date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-02-01,48,19,0.00,0.0,0
1998-02-02,48,19,0.00,0.0,0
1998-02-03,48,19,T,T,M
1998-02-04,36,31,2.50,M,M
1998-02-05,40,35,2.25,0.0,T
1998-02-06,M,M,0.00,0.0,0
1998-02-07,M,M,0.00,0.0,0
1998-02-08,49,21,0.00,0.0,0
1998-02-09,M,M,0.00,0.0,0
1998-02-10,M,M,0.00,0.0,0
1998-02-11,55,20,0.32,0.0,0
1998-02-12,52,37,0.00,0.0,0
1998-02-13,45,35,0.00,0.0,0
1998-02-14,52,21,0.00,0.0,0
1998-02-15,44,20,0.00,0.0,0
1998-02-16,44,20,0.00,0.0,0
1998-02-17,46,20,0.96,0.0,0
1998-02-18,53,43,0.19,0.0,0
1998-02-19,50,38,0.00,0.0,0
1998-02-20,49,40,0.11,0.0,0
1998-02-21,47,36,0.00,0.0,0
1998-02-22,49,M,0.00,0.0,0
1998-02-23,49,32,0.00,0.0,0
1998-02-24,M,M,0.00,0.0,0
1998-02-25,49,32,0.00,0.0,0
1998-02-26,52,33,0.00,0.0,0
1998-02-27,58,30,0.00,0.0,0
1998-02-28,59,30,0.19,0.0,0
1998-03-01,56,32,0.00,0.0,0
1998-03-02,M,M,0.00,0.0,0
1998-03-03,43,34,0.00,0.0,0
1998-03-04,44,31,0.00,0.0,0
1998-03-05,46,23,0.00,0.0,0
1998-03-06,M,M,0.00,0.0,0
1998-03-07,M,M,0.00,0.0,0
1998-03-08,59,32,1.41,0.0,0
1998-03-09,62,32,0.09,0.0,0
1998-03-10,37,20,0.00,0.0,0
1998-03-11,30,18,0.00,0.0,0
1998-03-12,33,18,0.00,0.0,0
1998-03-13,40,18,0.00,0.0,0
1998-03-14,49,31,0.00,0.0,0
1998-03-15,42,27,0.00,0.0,0
1998-03-16,44,23,0.00,0.0,0
1998-03-17,43,23,0.33,0.0,0
1998-03-18,42,35,0.80,0.0,0
1998-03-19,62,40,0.00,0.0,0
1998-03-20,54,40,1.95,0.0,0
1998-03-21,40,34,0.24,M,M
1998-03-22,40,32,0.00,0.0,0
1998-03-23,48,26,0.00,0.0,0
1998-03-24,48,23,0.00,0.0,0
1998-03-25,53,22,0.00,0.0,0
1998-03-26,74,37,0.00,0.0,0
1998-03-27,85,46,0.00,0.0,0
1998-03-28,82,57,0.00,0.0,0
1998-03-29,85,49,0.00,0.0,0
1998-03-30,88,49,0.00,0.0,0
1998-03-31,M,M,0.00,0.0,0
1998-04-01,88,53,0.47,0.0,0
1998-04-02,M,M,0.00,0.0,0
1998-04-03,65,37,T,0.0,0
1998-04-04,50,39,0.10,0.0,0
1998-04-05,58,31,0.00,0.0,0
1998-04-06,63,31,0.00,0.0,0
1998-04-07,67,29,0.00,0.0,0
1998-04-08,70,43,0.21,0.0,0
1998-04-09,53,41,1.09,0.0,0
1998-04-10,59,30,0.00,0.0,0
1998-04-11,63,30,0.00,0.0,0
1998-04-12,66,33,0.00,0.0,0
1998-04-13,71,32,0.00,0.0,0
1998-04-14,68,46,T,0.0,0
1998-04-15,75,46,T,0.0,0
1998-04-16,77,52,0.00,0.0,0
1998-04-17,80,42,0.00,0.0,0
1998-04-18,M,M,0.00,0.0,0
1998-04-19,M,M,1.68,0.0,0
1998-04-20,63,40,0.00,0.0,0
1998-04-21,69,38,0.00,0.0,0
1998-04-22,69,42,0.00,0.0,0
1998-04-23,69,42,0.00,0.0,0
1998-04-24,M,M,0.00,0.0,0
1998-04-25,M,M,0.00,0.0,0
1998-04-26,75,41,0.42,0.0,0
1998-04-27,75,35,0.00,0.0,0
1998-04-28,65,34,0.00,0.0,0
1998-04-29,75,36,0.00,0.0,0
1998-04-30,73,55,0.20,0.0,0
1998-05-01,M,M,0.00,0.0,0
1998-05-02,M,M,0.00,0.0,0
1998-05-03,M,M,0.00,0.0,0
1998-05-04,M,M,0.00,0.0,0
1998-05-05,M,M,0.00,0.0,0
1998-05-06,M,M,0.00,0.0,0
1998-05-07,M,M,0.00,0.0,0
1998-05-08,M,M,0.00,0.0,0
1998-05-09,M,M,0.00,0.0,0
1998-05-10,M,M,0.00,0.0,0
1998-05-11,60,50,0.31,0.0,0
1998-05-12,59,50,0.49,0.0,0
1998-05-13,75,44,0.00,0.0,0
1998-05-14,79,43,0.00,0.0,0
1998-05-15,86,47,0.00,0.0,0
1998-05-16,90,54,0.00,0.0,0
1998-05-17,85,52,0.00,0.0,0
1998-05-18,88,52,0.00,0.0,0
1998-05-19,91,56,0.00,0.0,0
1998-05-20,90,63,0.00,0.0,0
1998-05-21,82,50,0.00,0.0,0
1998-05-22,73,52,0.00,0.0,0
1998-05-23,73,47,0.00,0.0,0
1998-05-24,71,46,0.24,0.0,0
1998-05-25,83,47,0.00,0.0,0
1998-05-26,80,57,0.00,0.0,0
1998-05-27,76,57,0.00,0.0,0
1998-05-28,84,57,0.00,0.0,0
1998-05-29,M,M,0.00,0.0,0
1998-05-30,M,M,0.00,0.0,0
1998-05-31,91,57,0.24,0.0,0
1998-06-01,76,50,0.00,0.0,0
1998-06-02,85,51,T,0.0,0
1998-06-03,76,51,T,0.0,0
