date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2017-11-01,53,39,0.00,0.0,0
2017-11-02,55,40,0.00,0.0,0
2017-11-03,69,52,0.00,0.0,0
2017-11-04,69,42,0.00,0.0,0
2017-11-05,50,43,0.60,0.0,0
2017-11-06,58,48,0.02,0.0,0
2017-11-07,68,38,0.20,0.0,0
2017-11-08,39,33,0.82,0.0,0
2017-11-09,42,33,0.06,0.0,0
2017-11-10,45,37,0.11,0.0,0
2017-11-11,37,16,0.00,0.0,0
2017-11-12,37,26,0.00,0.0,0
2017-11-13,39,27,0.14,0.0,0
2017-11-14,44,32,0.00,0.0,0
2017-11-15,43,30,0.00,0.0,0
2017-11-16,46,30,0.03,0.0,0
2017-11-18,M,M,0.00,0.0,0
2017-11-19,55,37,0.10,0.0,0
2017-11-20,44,28,0.00,0.0,0
2017-11-21,51,28,0.00,0.0,0
2017-11-22,53,44,0.00,0.0,0
2017-11-23,47,24,0.00,0.0,0
2017-11-24,38,24,0.00,0.0,0
2017-11-25,50,36,0.00,0.0,0
2017-11-26,59,39,0.00,0.0,0
2017-11-27,46,36,0.00,0.0,0
2017-11-28,54,38,0.00,0.0,0
2017-11-29,57,40,0.00,0.0,0
2017-11-30,60,38,0.00,0.0,0
2017-12-01,51,36,0.00,0.0,0
2017-12-02,48,36,0.00,0.0,0
2017-12-03,46,38,0.03,0.0,0
2017-12-04,50,35,0.00,0.0,0
2017-12-05,49,38,0.00,0.0,0
2017-12-06,54,31,0.12,0.0,0
2017-12-07,39,31,0.00,0.0,0
2017-12-08,42,28,0.00,0.0,0
2017-12-09,42,27,T,T,0
2017-12-10,27,22,T,T,0
2017-12-11,33,27,0.00,0.0,0
2017-12-12,42,30,0.00,0.0,0
2017-12-13,38,14,0.00,0.0,0
2017-12-14,35,14,0.00,0.0,0
2017-12-15,34,20,0.00,0.0,0
2017-12-16,29,21,0.00,0.0,0
2017-12-17,43,27,0.00,0.0,0
2017-12-18,45,27,0.00,0.0,0
2017-12-19,52,37,0.00,0.0,0
2017-12-20,54,37,0.00,0.0,0
2017-12-21,44,27,0.00,0.0,0
2017-12-22,40,27,0.00,0.0,0
2017-12-23,51,31,0.11,0.0,0
2017-12-24,56,32,0.42,0.0,0
2017-12-25,36,28,0.00,0.0,0
2017-12-26,36,20,0.00,0.0,0
2017-12-27,30,19,0.00,0.0,0
2017-12-28,22,6,0.00,0.0,0
2017-12-29,22,6,0.00,0.0,0
2017-12-30,24,11,0.01,0.5,1
2017-12-31,26,7,0.00,0.0,1
2018-01-01,13,5,T,0.2,1
2018-01-02,16,3,0.00,0.0,1
2018-01-03,19,3,0.00,0.0,0
2018-01-04,25,13,0.00,0.0,0
2018-01-05,19,4,0.00,0.0,0
2018-01-06,12,2,0.00,0.0,0
2018-01-07,12,-0,0.00,0.0,0
2018-01-08,23,-0,0.00,0.0,0
2018-01-09,39,17,T,0.0,0
2018-01-10,42,29,0.00,0.0,0
2018-01-11,48,29,0.00,0.0,0
2018-01-12,59,46,0.58,0.0,0
2018-01-13,62,25,1.63,0.0,0
2018-01-14,26,8,0.00,0.0,0
2018-01-15,19,7,0.00,0.0,0
2018-01-16,25,7,0.00,0.0,0
2018-01-17,31,16,T,T,T
2018-01-18,19,11,0.00,0.0,0
2018-01-19,39,13,0.00,0.0,0
2018-01-20,49,27,0.00,0.0,0
2018-01-21,56,36,0.00,0.0,0
2018-01-22,59,50,0.00,0.0,0
2018-01-23,60,46,0.51,0.0,0
2018-01-24,53,33,0.06,0.0,0
2018-01-25,35,25,0.00,0.0,0
2018-01-26,34,24,0.00,0.0,0
2018-01-27,41,26,0.00,0.0,0
2018-01-28,56,38,0.07,0.0,0
2018-01-29,48,34,0.10,0.0,0
2018-01-30,41,23,0.01,T,T
2018-01-31,25,12,0.00,0.0,0
2018-02-01,44,14,0.00,0.0,0
2018-02-02,45,14,0.15,M,M
2018-02-03,21,10,0.00,0.0,0
2018-02-04,29,13,0.00,0.0,0
2018-02-05,37,23,0.77,0.3,0
2018-02-06,28,19,0.00,0.0,0
2018-02-07,31,25,T,0.0,0
2018-02-08,37,17,0.47,0.0,0
2018-02-09,31,18,0.00,0.0,0
2018-02-10,47,24,0.00,0.0,0
2018-02-11,52,40,0.46,0.0,0
2018-02-12,62,35,0.05,0.0,0
2018-02-13,45,24,0.00,0.0,0
2018-02-14,34,25,0.00,0.0,0
2018-02-15,60,32,T,0.0,0
2018-02-16,74,31,0.10,0.0,0
2018-02-17,74,25,0.00,0.0,0
2018-02-18,36,25,0.45,1.0,1
2018-02-19,43,33,0.01,0.0,0
2018-02-20,61,33,0.00,0.0,0
2018-02-21,73,58,0.00,0.0,0
2018-02-22,77,45,0.01,0.0,0
2018-02-23,46,35,0.18,0.0,0
2018-02-24,54,35,0.02,0.0,0
2018-02-25,55,42,0.46,0.0,0
2018-02-26,58,42,0.00,0.0,0
2018-02-27,46,34,0.00,0.0,0
2018-02-28,54,40,0.00,0.0,0
2018-03-01,59,43,0.00,0.0,0
2018-03-02,51,33,0.12,0.0,0
2018-03-03,40,26,0.00,0.0,0
2018-03-04,41,24,0.00,0.0,0
2018-03-05,45,22,0.00,0.0,0
2018-03-06,41,21,0.00,0.0,0
2018-03-07,37,21,0.02,0.0,0
2018-03-08,42,24,0.00,0.0,0
2018-03-09,37,24,0.00,0.0,0
2018-03-10,35,23,0.00,0.0,0
2018-03-11,44,23,0.00,0.0,0
2018-03-12,44,23,0.00,0.0,0
2018-03-13,36,24,T,0.0,0
2018-03-14,39,22,0.00,0.0,0
2018-03-15,34,22,0.00,0.0,0
2018-03-16,46,27,0.00,0.0,0
2018-03-17,39,26,0.00,0.0,0
2018-03-18,36,25,0.00,0.0,0
2018-03-19,53,26,0.00,0.0,0
2018-03-20,56,31,0.16,M,M
2018-03-21,31,24,1.00,M,M
2018-03-22,31,22,0.45,6.5,7
2018-03-23,38,23,0.00,0.0,6
2018-03-24,41,23,0.00,0.0,0
2018-03-25,40,23,0.00,0.0,0
2018-03-26,39,21,0.00,0.0,0
2018-03-27,45,26,0.00,0.0,0
2018-03-28,39,26,0.24,0.0,0
2018-03-29,53,37,0.14,0.0,0
2018-03-30,68,47,0.00,0.0,0
2018-03-31,64,31,0.00,0.0,0
2018-04-01,64,31,0.00,0.0,0
2018-04-02,58,31,0.33,0.0,0
2018-04-03,43,31,T,0.0,0
2018-04-04,60,37,T,0.0,0
2018-04-05,62,27,0.01,0.0,0
2018-04-06,48,29,0.00,0.0,0
2018-04-07,68,35,0.00,0.0,0
2018-04-08,35,24,0.00,0.0,0
2018-04-09,46,24,0.00,0.0,0
2018-04-10,34,27,0.00,0.0,0
2018-04-11,49,33,0.00,0.0,0
2018-04-12,55,37,0.00,0.0,0
2018-04-13,74,51,0.00,0.0,0
2018-04-14,80,51,0.00,0.0,0
2018-04-15,79,58,0.00,0.0,0
2018-04-16,61,38,2.36,0.0,0
2018-04-17,46,32,0.08,0.0,0
2018-04-18,38,28,0.00,0.0,0
2018-04-19,56,29,0.00,0.0,0
2018-04-20,53,28,0.00,0.0,0
2018-04-21,56,29,0.00,0.0,0
2018-04-22,57,40,0.00,0.0,0
2018-04-23,63,43,0.00,0.0,0
2018-04-24,64,43,T,0.0,0
2018-04-25,52,44,0.97,0.0,0
2018-04-26,59,40,0.03,0.0,0
2018-04-27,64,42,0.53,0.0,0
2018-04-28,61,45,0.10,0.0,0
