date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2011-11-22,47,46,M,M,M
2011-11-23,61,47,M,M,M
2011-11-24,58,36,M,M,M
2011-11-25,56,37,M,M,M
2011-11-26,66,46,M,M,M
2011-11-27,62,45,M,M,M
2011-11-28,66,44,M,M,M
2011-11-29,66,51,M,M,M
2011-11-30,63,37,M,M,M
2011-12-01,45,33,M,M,M
2011-12-02,48,31,M,M,M
2011-12-03,55,30,M,M,M
2011-12-04,48,32,M,M,M
2011-12-05,55,36,M,M,M
2011-12-06,59,39,M,M,M
2011-12-07,61,56,M,M,M
2011-12-08,56,32,M,M,M
2011-12-09,41,28,M,M,M
2011-12-10,50,30,M,M,M
2011-12-11,41,24,M,M,M
2011-12-12,41,24,M,M,M
2011-12-13,44,24,M,M,M
2011-12-14,47,30,M,M,M
2011-12-15,50,39,M,M,M
2011-12-16,60,42,M,M,M
2011-12-17,43,33,M,M,M
2011-12-18,37,27,M,M,M
2011-12-19,36,27,M,M,M
2011-12-20,50,30,M,M,M
2011-12-21,49,40,M,M,M
2011-12-22,60,43,M,M,M
2011-12-23,58,45,M,M,M
2011-12-24,48,34,M,M,M
2011-12-25,40,28,M,M,M
2011-12-26,49,28,M,M,M
2011-12-27,45,33,M,M,M
2011-12-28,49,36,M,M,M
2011-12-29,41,23,M,M,M
2011-12-30,36,25,M,M,M
2011-12-31,56,31,M,M,M
2012-01-01,56,35,M,M,M
2012-01-02,54,32,M,M,M
2012-01-03,36,24,M,M,M
2012-01-04,28,10,M,M,M
2012-01-05,30,11,M,M,M
2012-01-06,41,29,M,M,M
2012-01-07,62,36,M,M,M
2012-01-08,64,38,M,M,M
2012-01-09,45,27,M,M,M
2012-01-10,36,27,M,M,M
2012-01-11,49,28,M,M,M
2012-01-12,47,28,M,M,M
2012-01-13,56,30,M,M,M
2012-01-14,31,23,M,M,M
2012-01-15,32,22,M,M,M
2012-01-16,29,16,M,M,M
2012-01-17,39,17,M,M,M
2012-01-18,57,36,M,M,M
2012-01-19,37,19,M,M,M
2012-01-20,37,20,0.00,M,M
2012-01-21,29,22,0.07,M,M
2012-01-22,28,24,0.03,M,M
2012-01-23,30,24,M,M,M
2012-01-24,40,29,0.37,M,M
2012-01-25,51,30,0.00,M,M
2012-01-26,44,32,0.00,M,M
2012-01-27,58,35,0.13,M,M
2012-01-28,61,30,0.24,M,M
2012-01-29,50,30,0.00,M,M
2012-01-30,45,28,0.02,M,M
2012-01-31,40,27,0.00,M,M
2012-02-01,64,37,0.00,M,M
2012-02-02,63,45,0.01,M,M
2012-02-03,50,31,0.01,M,M
2012-02-04,47,30,0.00,M,M
2012-02-05,42,31,0.21,M,M
2012-02-06,40,25,0.00,M,M
2012-02-07,50,27,0.00,M,M
2012-02-08,50,31,0.00,M,M
2012-02-09,35,26,0.12,M,M
2012-02-10,41,26,0.00,M,M
2012-02-11,41,28,0.13,M,M
2012-02-12,36,18,0.05,M,M
2012-02-13,28,20,0.00,M,M
2012-02-14,43,23,0.00,M,M
2012-02-15,52,33,0.00,M,M
2012-02-16,49,34,0.00,M,M
2012-02-17,43,37,0.22,M,M
2012-02-18,48,32,0.01,M,M
2012-02-19,55,30,0.00,M,M
2012-02-20,42,29,0.00,M,M
2012-02-21,44,26,0.00,M,M
2012-02-22,46,29,0.00,M,M
2012-02-23,60,41,0.00,M,M
2012-02-24,60,40,0.20,M,M
2012-02-25,50,33,0.02,M,M
2012-02-26,40,30,0.00,M,M
2012-02-27,46,30,0.00,M,M
2012-02-28,62,31,0.00,M,M
2012-02-29,52,33,0.00,M,M
2012-03-01,54,37,1.19,M,M
2012-03-02,58,34,0.00,M,M
2012-03-04,57,M,M,M,M
2012-03-05,M,-21,0.01,M,M
2012-03-06,M,M,0.01,M,M
2012-03-07,M,M,0.00,M,M
2012-03-08,66,36,0.00,M,M
2012-03-09,71,40,0.03,M,M
2012-03-10,52,28,0.01,M,M
2012-03-11,45,28,0.00,M,M
2012-03-12,62,34,0.00,M,M
2012-03-13,69,40,0.04,M,M
2012-03-14,78,56,0.00,M,M
2012-03-15,76,56,0.00,M,M
2012-03-16,76,47,M,M,M
2012-03-20,71,59,0.07,M,M
2012-03-21,70,56,M,M,M
2012-03-22,68,56,M,M,M
2012-03-23,73,52,M,M,M
2012-03-24,80,55,M,M,M
2012-03-25,57,46,M,M,M
2012-03-26,60,47,M,M,M
2012-03-27,54,29,M,M,M
2012-03-28,51,31,0.00,M,M
2012-03-29,72,46,M,M,M
2012-03-30,57,35,0.00,0.0,M
2012-03-31,48,37,M,M,M
2012-04-01,50,41,M,M,M
2012-04-02,61,41,M,M,M
2012-04-03,57,39,M,M,M
2012-04-04,67,43,M,M,M
2012-04-05,72,40,M,M,M
2012-04-06,57,35,M,M,M
2012-04-07,57,38,M,M,M
2012-04-08,61,41,M,M,M
2012-04-09,66,46,M,M,M
2012-04-10,64,41,M,M,M
2012-04-11,59,35,M,M,M
2012-04-12,50,38,M,M,M
2012-04-13,56,41,M,M,M
2012-04-14,62,42,M,M,M
2012-04-15,73,49,M,M,M
2012-04-16,81,58,M,M,M
2012-04-17,86,63,M,M,M
2012-04-18,71,52,M,M,M
2012-04-19,55,48,M,M,M
2012-04-20,69,47,M,M,M
2012-04-21,70,54,M,M,M
2012-04-22,79,45,M,M,M
2012-04-23,46,37,M,M,M
2012-04-24,44,37,M,M,M
2012-04-25,60,39,M,M,M
2012-04-26,65,46,M,M,M
2012-04-27,62,44,M,M,M
2012-04-28,56,37,M,M,M
2012-04-29,52,38,M,M,M
2012-04-30,66,41,M,M,M
2012-05-01,58,47,M,M,M
2012-05-02,79,56,M,M,M
2012-05-03,62,52,M,M,M
2012-05-04,80,54,M,M,M
2012-05-05,83,60,M,M,M
2012-05-06,77,57,M,M,M
2012-05-07,67,52,M,M,M
2012-05-08,67,55,M,M,M
2012-05-09,69,60,M,M,M
2012-05-10,72,50,M,M,M
2012-05-11,64,45,M,M,M
2012-05-12,69,50,M,M,M
2012-05-13,76,56,M,M,M
2012-05-14,80,62,M,M,M
2012-05-15,65,60,M,M,M
2012-05-16,79,62,M,M,M
2012-05-17,81,54,M,M,M
2012-05-18,70,48,M,M,M
2012-05-19,74,50,M,M,M
2012-05-20,79,56,M,M,M
2012-05-21,80,61,M,M,M
2012-05-22,68,62,M,M,M
2012-05-23,77,62,M,M,M
2012-05-24,77,64,M,M,M
2012-05-25,79,65,M,M,M
2012-05-26,83,66,M,M,M
2012-05-27,86,67,M,M,M
2012-05-28,87,62,M,M,M
2012-05-29,89,67,M,M,M
2012-05-30,89,66,M,M,M
2012-05-31,81,65,M,M,M
2012-06-01,78,59,M,M,M
2012-06-03,71,55,M,M,M
2012-06-04,75,56,0.20,M,M
2012-06-05,68,52,0.00,M,M
2012-06-06,66,50,0.01,M,M
2012-06-07,73,56,0.00,M,M
2012-06-08,77,55,0.02,M,M
2012-06-09,80,60,0.00,M,M
2012-06-10,86,67,0.00,M,M
2012-06-11,89,65,0.00,M,M
2012-06-12,85,65,0.05,M,M
2012-06-13,71,64,0.76,M,M
2012-06-14,75,60,0.00,M,M
2012-06-15,78,57,0.00,M,M
2012-06-16,78,56,0.00,M,M
2012-06-17,78,54,0.00,M,M
