date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-01,54,20,0.00,M,M
2000-01-02,55,21,0.00,M,M
2000-01-03,67,35,0.00,M,M
2000-01-04,65,51,T,M,M
2000-01-05,58,29,0.26,M,M
2000-01-06,39,18,0.00,M,M
2000-01-07,45,20,0.00,M,M
2000-01-08,47,16,0.00,M,M
2000-01-09,43,23,0.00,M,M
2000-01-12,48,26,0.05,M,M
2000-01-13,M,M,0.02,M,M
2000-01-14,53,13,0.00,M,M
2000-01-15,28,13,0.00,M,M
2000-01-16,33,13,0.00,M,M
2000-01-17,59,8,0.00,M,M
2000-01-18,21,8,0.00,M,M
2000-01-19,21,12,0.00,M,M
2000-01-20,35,22,M,2.6,3
2000-01-21,22,0,T,T,M
2000-01-22,17,2,0.00,M,M
2000-01-23,20,3,0.03,M,M
2000-01-24,30,20,0.00,M,M
2000-01-25,41,16,0.18,4.0,6
2000-01-27,30,7,0.00,M,M
2000-01-28,18,8,0.00,M,M
2000-01-29,30,-2,0.00,M,M
2000-01-30,39,-2,0.02,M,M
2000-01-31,27,15,0.60,7.0,13
2000-02-01,32,20,0.00,M,M
2000-02-02,32,7,0.00,M,M
2000-02-03,29,6,0.00,M,M
2000-02-04,35,18,0.03,0.2,M
2000-02-05,39,21,0.00,M,M
2000-02-06,34,17,0.00,M,M
2000-02-07,37,21,0.00,M,M
2000-02-08,43,8,0.00,M,M
2000-02-09,35,7,0.00,M,M
2000-02-10,54,12,0.00,M,M
2000-02-11,57,23,0.07,M,M
2000-02-12,51,21,0.00,M,M
2000-02-13,33,15,0.00,M,M
2000-02-14,38,24,0.34,M,M
2000-02-15,52,28,0.00,M,M
2000-02-16,41,24,0.00,M,M
2000-02-17,60,22,0.00,M,M
2000-02-18,36,22,0.10,1.0,1
2000-02-19,37,27,1.10,M,M
2000-02-20,39,30,0.00,M,M
2000-02-21,40,28,0.00,M,M
2000-02-22,47,25,0.00,M,M
2000-02-23,57,26,0.00,M,M
2000-02-25,72,45,0.00,M,M
