date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1975-06-01,64,50,T,0.0,0
1975-06-02,73,54,0.00,0.0,0
1975-06-03,73,57,0.02,0.0,0
1975-06-04,78,60,0.35,0.0,0
1975-06-05,78,57,0.20,0.0,0
1975-06-06,77,58,0.00,0.0,0
1975-06-07,85,59,0.02,0.0,0
1975-06-08,75,60,0.00,0.0,0
1975-06-09,73,61,0.08,0.0,0
1975-06-10,77,63,0.07,0.0,0
1975-06-11,75,61,0.10,0.0,0
1975-06-12,72,55,0.00,0.0,0
1975-06-13,76,59,0.00,0.0,0
1975-06-14,79,60,T,0.0,0
1975-06-15,78,57,1.06,0.0,0
1975-06-16,74,58,0.00,0.0,0
1975-06-17,77,59,0.89,0.0,0
1975-06-18,73,60,0.75,0.0,0
1975-06-19,82,66,0.00,0.0,0
1975-06-20,81,65,0.00,0.0,0
1975-06-21,82,65,0.00,0.0,0
1975-06-22,82,64,0.48,0.0,0
1975-06-23,81,63,0.77,0.0,0
1975-06-24,80,65,1.38,0.0,0
1975-06-25,81,67,0.00,0.0,0
1975-06-26,82,67,0.00,0.0,0
1975-06-27,82,67,0.00,0.0,0
1975-06-28,83,67,0.00,0.0,0
1975-06-29,82,68,0.00,0.0,0
1975-06-30,81,69,0.05,0.0,0
1975-07-01,82,66,0.00,0.0,0
1975-07-02,81,66,0.00,0.0,0
1975-07-03,84,69,0.01,0.0,0
1975-07-04,83,70,0.00,0.0,0
1975-07-05,85,70,0.00,0.0,0
1975-07-06,86,69,0.00,0.0,0
1975-07-07,87,69,0.00,0.0,0
1975-07-08,85,70,0.00,0.0,0
1975-07-09,85,72,0.04,0.0,0
1975-07-10,86,65,1.41,0.0,0
1975-07-11,79,59,0.09,0.0,0
1975-07-12,78,56,0.00,0.0,0
1975-07-13,75,56,0.00,0.0,0
1975-07-14,72,58,0.00,0.0,0
1975-07-15,76,61,0.00,0.0,0
1975-07-16,77,64,0.00,0.0,0
1975-07-17,80,65,0.00,0.0,0
1975-07-18,82,68,0.00,0.0,0
1975-07-19,82,68,0.11,0.0,0
1975-07-20,85,69,0.00,0.0,0
1975-07-21,86,66,1.79,0.0,0
1975-07-22,85,69,0.00,0.0,0
1975-07-23,86,71,0.00,0.0,0
1975-07-24,86,70,0.00,0.0,0
1975-07-25,78,67,0.05,0.0,0
1975-07-26,79,67,0.00,0.0,0
1975-07-27,76,67,0.00,0.0,0
1975-07-28,79,67,0.06,0.0,0
1975-07-29,83,68,0.00,0.0,0
1975-07-30,83,69,0.00,0.0,0
1975-07-31,81,65,0.00,0.0,0
1975-08-01,71,63,0.13,0.0,0
1975-08-02,72,63,0.02,0.0,0
1975-08-03,74,66,0.12,0.0,0
1975-08-04,79,63,0.12,0.0,0
1975-08-05,79,64,0.00,0.0,0
1975-08-06,80,65,0.00,0.0,0
1975-08-07,85,62,0.00,0.0,0
1975-08-08,77,59,0.00,0.0,0
1975-08-09,78,58,0.00,0.0,0
1975-08-10,76,63,0.00,0.0,0
1975-08-11,80,65,0.00,0.0,0
1975-08-12,87,68,0.00,0.0,0
1975-08-13,87,69,0.00,0.0,0
1975-08-14,87,69,0.00,0.0,0
1975-08-15,79,65,0.39,0.0,0
1975-08-16,83,65,0.66,0.0,0
1975-08-17,76,65,0.07,0.0,0
1975-08-18,78,65,0.42,0.0,0
1975-08-19,79,65,0.20,0.0,0
1975-08-20,82,68,0.00,0.0,0
1975-08-21,85,68,0.00,0.0,0
1975-08-22,84,69,0.00,0.0,0
1975-08-23,84,68,0.00,0.0,0
1975-08-24,81,68,0.00,0.0,0
1975-08-25,75,66,0.00,0.0,0
1975-08-26,79,65,0.04,0.0,0
1975-08-27,75,62,2.30,0.0,0
1975-08-28,83,68,0.00,0.0,0
1975-08-29,82,68,T,0.0,0
1975-08-30,82,60,0.17,0.0,0
1975-08-31,83,60,0.12,0.0,0
1975-09-01,86,71,0.00,0.0,0
1975-09-02,88,72,0.00,0.0,0
1975-09-03,88,75,0.00,0.0,0
1975-09-04,88,70,0.00,0.0,0
1975-09-05,85,69,0.00,0.0,0
1975-09-06,78,59,0.00,0.0,0
1975-09-07,70,56,0.33,0.0,0
1975-09-08,77,57,0.00,0.0,0
1975-09-09,78,59,0.03,0.0,0
1975-09-10,79,65,0.11,0.0,0
1975-09-11,78,59,0.03,0.0,0
1975-09-12,81,50,0.36,0.0,0
1975-09-13,60,46,0.00,0.0,0
1975-09-14,59,46,0.00,0.0,0
1975-09-15,57,47,0.26,0.0,0
1975-09-16,58,48,0.55,0.0,0
1975-09-17,73,55,0.07,0.0,0
1975-09-18,72,61,0.00,0.0,0
1975-09-19,76,62,0.21,0.0,0
1975-09-20,65,50,2.01,0.0,0
1975-09-21,66,50,0.00,0.0,0
1975-09-22,58,44,0.00,0.0,0
1975-09-23,63,44,0.00,0.0,0
1975-09-24,59,46,0.00,0.0,0
1975-09-25,59,41,0.00,0.0,0
1975-09-26,60,41,0.00,0.0,0
1975-09-27,60,45,0.00,0.0,0
1975-09-28,67,48,0.00,0.0,0
1975-09-29,67,50,0.00,0.0,0
1975-09-30,72,51,0.00,0.0,0
1975-10-01,75,49,0.48,0.0,0
1975-10-02,58,39,0.12,0.0,0
1975-10-03,57,39,0.00,0.0,0
1975-10-04,61,40,0.00,0.0,0
1975-10-05,65,44,0.00,0.0,0
1975-10-06,69,50,0.00,0.0,0
1975-10-07,71,52,0.00,0.0,0
1975-10-08,71,53,0.00,0.0,0
1975-10-09,75,55,0.00,0.0,0
1975-10-10,77,58,0.00,0.0,0
1975-10-11,80,64,0.00,0.0,0
1975-10-12,84,64,0.00,0.0,0
1975-10-13,80,62,0.00,0.0,0
1975-10-14,78,59,0.00,0.0,0
1975-10-15,75,58,0.00,0.0,0
1975-10-16,69,45,0.00,0.0,0
1975-10-17,62,45,0.00,0.0,0
1975-10-18,60,40,0.00,0.0,0
1975-10-19,56,38,0.00,0.0,0
1975-10-20,63,37,0.00,0.0,0
1975-10-21,71,52,0.00,0.0,0
1975-10-22,75,54,0.00,0.0,0
1975-10-23,69,52,0.00,0.0,0
1975-10-24,63,56,0.08,0.0,0
1975-10-25,70,37,0.98,0.0,0
1975-10-26,43,36,0.00,0.0,0
1975-10-27,59,38,0.00,0.0,0
1975-10-28,59,43,0.03,0.0,0
1975-10-29,70,52,0.00,0.0,0
1975-10-30,63,41,0.00,0.0,0
1975-10-31,63,41,0.00,0.0,0
1975-11-01,62,43,0.00,0.0,0
1975-11-02,68,49,0.05,0.0,0
1975-11-03,65,55,1.20,0.0,0
1975-11-04,66,54,0.13,0.0,0
1975-11-05,66,54,0.11,0.0,0
1975-11-06,67,55,0.00,0.0,0
1975-11-07,66,55,0.00,0.0,0
1975-11-08,70,55,0.00,0.0,0
1975-11-09,73,58,0.00,0.0,0
1975-11-10,70,36,0.33,0.0,0
1975-11-11,58,36,0.00,0.0,0
1975-11-12,61,35,0.00,0.0,0
1975-11-13,43,23,0.00,0.0,0
1975-11-14,42,23,0.00,0.0,0
1975-11-15,50,28,0.00,0.0,0
1975-11-16,63,41,0.00,0.0,0
1975-11-17,62,46,0.00,0.0,0
1975-11-18,64,45,0.00,0.0,0
1975-11-19,63,45,0.00,0.0,0
1975-11-20,61,32,1.23,0.0,0
1975-11-21,33,25,0.00,0.0,0
1975-11-22,29,24,0.00,0.0,0
1975-11-23,28,21,T,T,0
1975-11-24,42,23,0.00,0.0,0
1975-11-25,33,17,0.00,0.0,0
1975-11-26,30,19,0.14,0.0,0
1975-11-27,29,11,0.30,4.7,5
1975-11-28,34,23,0.00,0.0,2
1975-11-29,56,33,0.04,0.0,0
1975-11-30,65,33,0.82,0.0,0
1975-12-01,42,18,0.00,0.0,0
1975-12-02,44,20,0.00,0.0,0
1975-12-03,66,42,0.00,0.0,0
1975-12-04,67,44,0.00,0.0,0
1975-12-05,61,41,0.00,0.0,0
1975-12-06,58,40,1.57,0.0,0
1975-12-07,42,31,0.00,0.0,0
1975-12-08,47,32,0.00,0.0,0
1975-12-09,45,29,0.00,0.0,0
1975-12-10,38,29,0.00,0.0,0
1975-12-11,49,29,0.00,0.0,0
1975-12-12,58,39,0.00,0.0,0
1975-12-13,57,51,0.00,0.0,0
1975-12-14,59,51,T,0.0,0
1975-12-15,60,32,1.05,0.0,0
1975-12-16,34,21,0.00,0.0,0
1975-12-17,46,22,0.00,0.0,0
1975-12-18,29,3,0.00,0.0,0
1975-12-19,24,3,0.00,0.0,0
1975-12-20,48,18,0.00,0.0,0
1975-12-21,40,19,0.00,0.0,0
1975-12-22,37,21,0.00,0.0,0
1975-12-23,38,24,0.00,0.0,0
1975-12-24,45,32,0.00,0.0,0
1975-12-25,33,25,0.36,3.6,4
1975-12-26,30,25,0.35,3.5,8
1975-12-27,32,25,0.01,0.1,6
1975-12-28,35,27,0.00,0.0,4
1975-12-29,M,M,0.95,0.0,0
1975-12-30,M,M,0.08,0.0,0
1975-12-31,M,M,0.02,0.0,0
1976-01-01,45,29,0.00,0.0,0
1976-01-02,49,33,0.00,0.0,0
1976-01-03,35,15,0.00,0.0,0
1976-01-04,28,5,0.00,0.0,0
1976-01-05,29,5,0.00,0.0,0
1976-01-06,32,12,0.00,0.0,0
1976-01-07,41,15,0.04,0.4,0
1976-01-08,17,-5,0.00,0.0,0
1976-01-09,17,-5,0.00,0.0,0
1976-01-10,30,8,0.04,0.0,0
1976-01-11,45,27,0.05,0.0,0
1976-01-12,45,28,T,0.0,0
1976-01-13,51,31,0.00,0.0,0
1976-01-14,51,25,0.00,0.0,0
1976-01-15,43,25,0.00,0.0,0
1976-01-16,46,27,0.00,0.0,0
1976-01-17,32,17,0.00,0.0,0
1976-01-18,33,19,0.00,0.0,0
1976-01-19,39,26,0.00,0.0,0
1976-01-20,42,19,0.38,0.5,1
1976-01-21,37,19,0.00,0.0,T
1976-01-22,46,33,0.00,0.0,T
1976-01-23,58,38,0.00,0.0,0
1976-01-24,62,41,0.00,0.0,0
1976-01-25,52,40,0.38,0.0,0
1976-01-26,51,19,0.00,0.0,0
1976-01-27,31,14,0.00,0.0,0
1976-01-28,39,15,0.00,0.0,0
1976-01-29,50,27,0.00,0.0,0
1976-01-30,54,33,0.00,0.0,0
1976-01-31,56,31,0.00,0.0,0
1976-02-01,40,30,0.00,0.0,0
1976-02-02,44,26,0.00,0.0,0
1976-02-03,45,21,0.00,0.0,0
1976-02-04,47,28,0.00,0.0,0
1976-02-05,47,34,0.00,0.0,0
1976-02-06,45,15,T,0.0,0
1976-02-07,22,8,T,T,0
1976-02-08,35,11,0.00,0.0,0
1976-02-09,56,33,0.00,0.0,0
1976-02-10,65,41,0.00,0.0,0
1976-02-11,66,36,0.32,0.0,0
1976-02-12,52,36,0.00,0.0,0
1976-02-13,56,39,0.00,0.0,0
1976-02-14,71,48,0.00,0.0,0
1976-02-15,57,49,0.00,0.0,0
1976-02-16,62,55,0.00,0.0,0
1976-02-17,68,52,0.00,0.0,0
1976-02-18,57,39,0.36,0.0,0
1976-02-19,52,39,0.00,0.0,0
1976-02-20,61,44,0.00,0.0,0
1976-02-21,59,36,1.00,0.0,0
1976-02-22,39,21,0.00,0.0,0
1976-02-23,46,21,0.00,0.0,0
1976-02-24,61,38,0.00,0.0,0
1976-02-25,64,37,0.00,0.0,0
1976-02-26,61,40,0.00,0.0,0
1976-02-27,62,45,0.00,0.0,0
1976-02-28,70,51,0.00,0.0,0
1976-02-29,67,49,0.00,0.0,0
1976-03-01,62,49,0.00,0.0,0
1976-03-02,63,54,0.00,0.0,0
1976-03-03,69,56,0.00,0.0,0
1976-03-04,69,56,T,0.0,0
1976-03-05,65,26,0.68,0.0,0
1976-03-06,43,23,0.00,0.0,0
1976-03-07,52,24,0.00,0.0,0
1976-03-08,58,35,0.62,0.0,0
1976-03-09,39,32,1.13,0.0,0
1976-03-10,45,33,0.00,0.0,0
1976-03-11,61,35,0.00,0.0,0
1976-03-12,60,45,0.23,0.0,0
1976-03-13,63,21,0.00,0.0,0
1976-03-14,49,21,0.00,0.0,0
1976-03-15,56,33,0.00,0.0,0
1976-03-16,58,28,0.06,0.0,0
1976-03-17,45,28,0.00,0.0,0
1976-03-18,58,32,0.00,0.0,0
1976-03-19,61,40,0.00,0.0,0
1976-03-20,62,50,0.00,0.0,0
1976-03-21,70,36,0.00,0.0,0
1976-03-22,57,37,0.00,0.0,0
1976-03-23,60,39,T,0.0,0
1976-03-24,63,44,0.00,0.0,0
1976-03-25,54,42,0.13,0.0,0
1976-03-26,60,48,0.00,0.0,0
1976-03-27,61,38,0.68,0.0,0
1976-03-28,64,40,0.00,0.0,0
1976-03-29,57,44,0.58,0.0,0
1976-03-30,67,36,0.31,0.0,0
1976-03-31,50,35,0.00,0.0,0
1976-04-01,55,37,0.00,0.0,0
1976-04-02,61,40,0.00,0.0,0
1976-04-03,75,50,0.00,0.0,0
1976-04-04,74,40,0.00,0.0,0
1976-04-05,60,39,0.00,0.0,0
1976-04-06,68,41,0.00,0.0,0
1976-04-07,72,52,0.00,0.0,0
1976-04-08,71,49,0.00,0.0,0
1976-04-09,64,37,0.00,0.0,0
1976-04-10,62,39,0.00,0.0,0
1976-04-11,69,44,0.00,0.0,0
1976-04-12,77,42,0.00,0.0,0
1976-04-13,70,45,0.00,0.0,0
1976-04-14,61,51,0.04,0.0,0
1976-04-15,71,58,0.00,0.0,0
1976-04-16,74,51,0.02,0.0,0
1976-04-17,66,53,0.07,0.0,0
1976-04-18,71,50,0.12,0.0,0
1976-04-19,61,50,0.20,0.0,0
1976-04-20,62,52,1.80,0.0,0
1976-04-21,63,45,0.54,0.0,0
1976-04-22,65,46,0.00,0.0,0
1976-04-23,74,56,0.00,0.0,0
1976-04-24,73,57,0.00,0.0,0
1976-04-25,63,41,1.26,0.0,0
1976-04-26,46,33,0.00,0.0,0
1976-04-27,60,34,0.00,0.0,0
1976-04-28,63,40,0.00,0.0,0
1976-04-29,46,39,0.10,0.0,0
1976-04-30,53,39,0.00,0.0,0
1976-05-01,62,43,0.10,0.0,0
1976-05-02,60,43,0.00,0.0,0
1976-05-03,72,31,0.00,0.0,0
1976-05-04,57,32,0.01,0.0,0
1976-05-05,66,43,0.00,0.0,0
1976-05-06,66,51,0.23,0.0,0
1976-05-07,70,40,0.28,0.0,0
1976-05-08,57,39,0.00,0.0,0
1976-05-09,60,42,0.00,0.0,0
1976-05-10,67,46,0.05,0.0,0
1976-05-11,63,49,0.20,0.0,0
1976-05-12,76,53,0.00,0.0,0
1976-05-13,73,49,0.76,0.0,0
1976-05-14,59,49,0.07,0.0,0
1976-05-15,65,49,0.07,0.0,0
1976-05-16,60,49,0.21,0.0,0
1976-05-17,62,47,0.04,0.0,0
1976-05-18,62,45,0.00,0.0,0
1976-05-19,68,47,0.00,0.0,0
1976-05-20,68,50,0.00,0.0,0
1976-05-21,72,54,0.00,0.0,0
1976-05-22,74,61,0.00,0.0,0
1976-05-23,77,62,0.00,0.0,0
1976-05-24,76,54,1.04,0.0,0
1976-05-25,66,53,0.11,0.0,0
1976-05-26,65,53,0.07,0.0,0
1976-05-27,57,47,1.00,0.0,0
1976-05-28,57,47,1.07,0.0,0
1976-05-29,67,50,0.00,0.0,0
1976-05-30,74,60,0.01,0.0,0
1976-05-31,77,57,0.33,0.0,0
1976-06-01,73,59,0.02,0.0,0
1976-06-02,74,58,0.31,0.0,0
1976-06-03,72,57,0.10,0.0,0
1976-06-04,72,57,0.00,0.0,0
1976-06-05,68,58,0.12,0.0,0
1976-06-06,70,59,0.38,0.0,0
1976-06-07,71,58,0.00,0.0,0
1976-06-08,73,59,0.00,0.0,0
1976-06-09,76,60,0.00,0.0,0
1976-06-10,76,60,0.00,0.0,0
1976-06-11,77,61,0.00,0.0,0
1976-06-12,77,62,0.00,0.0,0
1976-06-13,79,63,0.00,0.0,0
1976-06-14,78,64,0.00,0.0,0
1976-06-15,78,63,0.00,0.0,0
1976-06-16,74,54,1.62,0.0,0
1976-06-17,75,58,0.00,0.0,0
1976-06-18,76,59,1.05,0.0,0
1976-06-19,74,51,0.06,0.0,0
1976-06-20,70,52,0.00,0.0,0
1976-06-21,72,55,0.00,0.0,0
1976-06-22,75,59,0.00,0.0,0
1976-06-23,74,57,1.55,0.0,0
1976-06-24,69,57,2.58,0.0,0
1976-06-25,70,62,0.91,0.0,0
1976-06-26,74,62,0.03,0.0,0
1976-06-27,79,65,0.00,0.0,0
1976-06-28,84,66,0.00,0.0,0
1976-06-29,84,64,0.00,0.0,0
1976-06-30,81,58,T,0.0,0
1976-07-01,74,58,0.00,0.0,0
1976-07-02,75,61,0.00,0.0,0
1976-07-03,75,62,0.12,0.0,0
1976-07-04,76,63,0.89,0.0,0
1976-07-05,71,61,0.04,0.0,0
