date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1952-05-02,M,M,0.00,0.0,0
1952-05-03,M,M,0.00,0.0,0
1952-05-04,M,M,0.00,0.0,0
1952-05-05,M,M,0.00,0.0,0
1952-05-06,M,M,0.00,0.0,0
1952-05-07,M,M,0.00,0.0,0
1952-05-08,M,M,0.00,0.0,0
1952-05-09,M,M,0.00,0.0,0
1952-05-10,M,M,0.00,0.0,0
1952-05-11,M,M,0.00,0.0,0
1952-05-12,M,M,0.00,0.0,0
1952-05-13,M,M,0.00,0.0,0
1952-05-14,M,M,0.00,0.0,0
1952-05-15,M,M,0.06,0.0,0
1952-05-16,M,M,0.00,0.0,0
1952-05-17,M,M,0.00,0.0,0
1952-05-18,M,M,0.03,0.0,0
1952-05-19,M,M,0.03,0.0,0
1952-05-20,M,M,0.00,0.0,0
1952-05-21,M,M,0.00,0.0,0
1952-05-22,M,M,0.00,0.0,0
1952-05-23,M,M,0.00,0.0,0
1952-05-24,M,M,0.00,0.0,0
1952-05-25,M,M,0.00,0.0,0
1952-05-26,M,M,0.00,0.0,0
1952-05-27,M,M,0.31,0.0,0
1952-05-28,M,M,0.18,0.0,0
1952-05-29,M,M,0.00,0.0,0
1952-05-30,M,M,0.00,0.0,0
1952-05-31,M,M,0.00,0.0,0
1952-06-01,M,M,0.00,0.0,0
1952-06-02,M,M,0.00,0.0,0
1952-06-03,M,M,0.00,0.0,0
1952-06-04,M,M,0.00,0.0,0
1952-06-05,M,M,0.00,0.0,0
1952-06-06,M,M,0.00,0.0,0
1952-06-07,M,M,0.00,0.0,0
1952-06-08,M,M,0.00,0.0,0
1952-06-09,M,M,0.00,0.0,0
1952-06-10,M,M,0.00,0.0,0
1952-06-11,M,M,0.00,0.0,0
1952-06-12,M,M,0.48,0.0,0
1952-06-13,M,M,0.00,0.0,0
1952-06-14,M,M,0.00,0.0,0
1952-06-15,M,M,0.00,0.0,0
1952-06-16,M,M,0.00,0.0,0
1952-06-17,M,M,0.00,0.0,0
1952-06-18,M,M,0.00,0.0,0
1952-06-19,M,M,0.00,0.0,0
1952-06-20,M,M,0.00,0.0,0
1952-06-21,M,M,0.00,0.0,0
1952-06-22,M,M,0.00,0.0,0
1952-06-23,M,M,0.00,0.0,0
1952-06-24,M,M,0.00,0.0,0
1952-06-25,M,M,0.00,0.0,0
1952-06-26,M,M,0.22,0.0,0
1952-06-27,M,M,0.00,0.0,0
1952-06-28,M,M,0.00,0.0,0
1952-06-29,M,M,0.00,0.0,0
1952-06-30,M,M,0.00,0.0,0
1952-07-01,M,M,0.00,0.0,0
1952-07-02,M,M,0.00,0.0,0
1952-07-03,M,M,0.00,0.0,0
1952-07-04,M,M,0.00,0.0,0
1952-07-05,M,M,0.00,0.0,0
1952-07-06,M,M,0.00,0.0,0
1952-07-07,M,M,0.00,0.0,0
1952-07-08,M,M,0.33,0.0,0
1952-07-09,M,M,0.00,0.0,0
1952-07-10,M,M,0.00,0.0,0
1952-07-11,M,M,0.00,0.0,0
1952-07-12,M,M,1.08,0.0,0
1952-07-13,M,M,0.00,0.0,0
1952-07-14,M,M,M,0.0,0
1952-07-15,M,M,M,0.0,0
1952-07-16,M,M,M,0.0,0
1952-07-17,M,M,M,0.0,0
1952-07-18,M,M,M,0.0,0
1952-07-19,M,M,M,0.0,0
1952-07-20,M,M,M,0.0,0
1952-07-21,M,M,M,0.0,0
1952-07-22,M,M,M,0.0,0
1952-07-23,M,M,M,0.0,0
1952-07-24,M,M,M,0.0,0
1952-07-25,M,M,M,0.0,0
1952-07-26,M,M,M,0.0,0
1952-07-27,M,M,M,0.0,0
1952-07-28,M,M,M,0.0,0
1952-07-29,M,M,M,0.0,0
1952-07-30,M,M,M,0.0,0
1952-07-31,M,M,M,0.0,0
1952-08-01,M,M,M,0.0,0
1952-08-02,M,M,M,0.0,0
1952-08-03,M,M,M,0.0,0
1952-08-04,M,M,M,0.0,0
1952-08-05,M,M,M,0.0,0
1952-08-06,M,M,M,0.0,0
1952-08-07,M,M,M,0.0,0
1952-08-08,M,M,M,0.0,0
1952-08-09,M,M,M,0.0,0
1952-08-10,M,M,M,0.0,0
1952-08-11,M,M,M,0.0,0
1952-08-12,M,M,M,0.0,0
1952-08-13,M,M,M,0.0,0
1952-08-14,M,M,M,0.0,0
1952-08-15,M,M,M,0.0,0
1952-08-16,M,M,M,0.0,0
1952-08-17,M,M,M,0.0,0
1952-08-18,M,M,M,0.0,0
1952-08-19,M,M,M,0.0,0
1952-08-20,M,M,M,0.0,0
1952-08-21,M,M,M,0.0,0
1952-08-22,M,M,M,0.0,0
1952-08-23,M,M,M,0.0,0
1952-08-24,M,M,M,0.0,0
1952-08-25,M,M,M,0.0,0
1952-08-26,M,M,M,0.0,0
1952-08-27,M,M,M,0.0,0
1952-08-28,M,M,0.00,0.0,0
1952-08-29,M,M,T,0.0,0
1952-08-30,M,M,0.00,0.0,0
1952-08-31,M,M,0.00,0.0,0
1952-09-01,M,M,0.00,0.0,0
1952-09-02,M,M,0.00,0.0,0
1952-09-03,M,M,0.00,0.0,0
1952-09-04,M,M,0.00,0.0,0
1952-09-05,M,M,0.00,0.0,0
1952-09-06,M,M,0.00,0.0,0
1952-09-07,M,M,0.00,0.0,0
1952-09-08,M,M,0.00,0.0,0
1952-09-09,M,M,0.00,0.0,0
1952-09-10,M,M,0.00,0.0,0
1952-09-11,M,M,0.00,0.0,0
1952-09-12,M,M,0.00,0.0,0
1952-09-13,M,M,0.00,0.0,0
1952-09-14,M,M,0.00,0.0,0
1952-09-15,M,M,0.00,0.0,0
1952-09-16,M,M,0.00,0.0,0
1952-09-17,M,M,0.00,0.0,0
1952-09-18,M,M,0.00,0.0,0
1952-09-19,M,M,0.00,0.0,0
1952-09-20,M,M,0.00,0.0,0
1952-09-21,M,M,0.00,0.0,0
1952-09-22,M,M,0.00,0.0,0
1952-09-23,M,M,0.00,0.0,0
1952-09-24,M,M,0.00,0.0,0
1952-09-25,M,M,0.00,0.0,0
1952-09-26,M,M,0.00,0.0,0
1952-09-27,M,M,0.00,0.0,0
1952-09-28,M,M,0.00,0.0,0
1952-09-29,M,M,0.00,0.0,0
1952-09-30,M,M,0.00,0.0,0
1952-10-01,M,M,0.00,0.0,0
1952-10-02,M,M,0.00,0.0,0
1952-10-03,M,M,0.00,0.0,0
1952-10-04,M,M,0.00,0.0,0
1952-10-05,M,M,0.00,0.0,0
1952-10-06,M,M,0.00,0.0,0
1952-10-07,M,M,0.00,0.0,0
1952-10-08,M,M,0.00,0.0,0
1952-10-09,M,M,0.00,0.0,0
1952-10-10,M,M,0.00,0.0,0
1952-10-11,M,M,0.00,0.0,0
1952-10-12,M,M,0.00,0.0,0
1952-10-13,M,M,0.00,0.0,0
1952-10-14,M,M,0.00,0.0,0
1952-10-15,M,M,0.00,0.0,0
1952-10-16,M,M,0.00,0.0,0
1952-10-17,M,M,0.00,0.0,0
1952-10-18,M,M,0.00,0.0,0
