date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1962-09-01,92,69,0.06,0.0,0
1962-09-02,86,69,0.61,0.0,0
1962-09-03,87,70,0.04,0.0,0
1962-09-04,94,69,0.46,0.0,0
1962-09-05,89,68,0.05,0.0,0
1962-09-06,74,56,0.00,0.0,0
1962-09-07,72,55,0.00,0.0,0
1962-09-08,80,57,0.00,0.0,0
1962-09-09,79,61,0.58,0.0,0
1962-09-10,89,66,0.23,0.0,0
1962-09-11,85,61,0.00,0.0,0
1962-09-12,87,63,0.00,0.0,0
1962-09-13,94,67,0.00,0.0,0
1962-09-14,95,69,1.05,0.0,0
1962-09-15,85,68,0.02,0.0,0
1962-09-16,86,69,0.60,0.0,0
1962-09-17,82,66,0.13,0.0,0
1962-09-18,84,56,0.00,0.0,0
1962-09-19,84,57,0.00,0.0,0
1962-09-20,84,52,0.00,0.0,0
1962-09-21,72,45,0.00,0.0,0
1962-09-22,72,48,0.01,0.0,0
1962-09-23,67,58,T,0.0,0
1962-09-24,83,59,0.00,0.0,0
1962-09-25,80,61,0.12,0.0,0
1962-09-26,70,61,0.08,0.0,0
1962-09-27,74,47,T,0.0,0
1962-09-28,75,45,0.00,0.0,0
1962-09-29,72,41,0.00,0.0,0
1962-09-30,74,44,0.00,0.0,0
1962-10-01,79,50,0.00,0.0,0
1962-10-02,70,60,0.76,0.0,0
1962-10-03,76,48,0.00,0.0,0
1962-10-04,79,50,0.00,0.0,0
1962-10-05,81,52,0.00,0.0,0
1962-10-06,84,58,0.00,0.0,0
1962-10-07,88,64,T,0.0,0
1962-10-08,81,65,T,0.0,0
1962-10-09,83,51,0.00,0.0,0
1962-10-10,86,53,0.00,0.0,0
1962-10-11,89,55,0.00,0.0,0
1962-10-12,86,59,0.00,0.0,0
1962-10-13,86,65,0.01,0.0,0
1962-10-14,88,67,T,0.0,0
1962-10-15,88,64,0.00,0.0,0
1962-10-16,86,65,0.00,0.0,0
1962-10-17,86,59,0.19,0.0,0
1962-10-18,76,46,0.00,0.0,0
1962-10-19,81,46,0.00,0.0,0
1962-10-20,84,48,0.00,0.0,0
1962-10-21,84,53,0.03,0.0,0
1962-10-22,70,44,0.62,0.0,0
1962-10-23,73,45,0.00,0.0,0
1962-10-24,62,32,0.00,0.0,0
1962-10-25,58,34,0.00,0.0,0
1962-10-26,55,29,0.00,0.0,0
1962-10-27,60,31,0.00,0.0,0
1962-10-28,69,41,0.00,0.0,0
1962-10-29,75,44,0.00,0.0,0
1962-10-30,76,54,T,0.0,0
1962-10-31,77,37,T,0.0,0
1962-11-01,63,31,0.00,0.0,0
1962-11-02,61,34,0.00,0.0,0
1962-11-03,61,43,0.11,0.0,0
1962-11-04,50,39,0.06,0.0,0
1962-11-05,51,27,0.00,0.0,0
1962-11-06,54,28,0.00,0.0,0
1962-11-07,62,30,0.00,0.0,0
1962-11-08,63,41,0.16,0.0,0
1962-11-09,50,39,0.02,0.0,0
1962-11-10,47,31,T,0.0,0
1962-11-11,60,31,0.00,0.0,0
1962-11-12,71,34,0.03,0.0,0
1962-11-13,52,39,0.03,0.0,0
1962-11-14,62,31,0.00,0.0,0
1962-11-15,71,33,0.00,0.0,0
1962-11-16,66,52,0.00,0.0,0
1962-11-17,69,48,0.00,0.0,0
1962-11-18,56,41,0.00,0.0,0
1962-11-19,43,40,0.41,0.0,0
1962-11-20,46,40,T,0.0,0
1962-11-21,59,41,0.03,0.0,0
1962-11-22,58,41,0.06,0.0,0
1962-11-23,58,29,0.00,0.0,0
1962-11-24,63,30,0.00,0.0,0
1962-11-25,60,46,0.09,0.0,0
1962-11-26,61,32,0.00,0.0,0
1962-11-27,61,34,0.00,0.0,0
1962-11-28,59,35,0.04,0.0,0
1962-11-29,54,43,0.03,0.0,0
1962-11-30,73,40,0.00,0.0,0
1962-12-01,74,38,0.00,M,M
1962-12-02,74,36,0.00,M,M
1962-12-03,72,37,0.00,M,M
1962-12-04,67,38,0.00,M,M
1962-12-05,67,40,0.03,M,M
1962-12-06,49,27,T,M,M
1962-12-07,36,21,0.00,M,M
1962-12-08,38,27,0.06,M,M
1962-12-09,45,23,0.00,M,M
1962-12-10,36,18,0.00,M,M
1962-12-11,40,19,0.02,M,M
1962-12-12,21,1,0.00,M,M
1962-12-13,13,-2,0.00,M,M
1962-12-14,29,-0,0.00,M,M
1962-12-15,46,15,0.00,M,M
1962-12-16,49,30,T,M,M
1962-12-17,57,25,0.00,M,M
1962-12-18,65,26,0.00,M,M
1962-12-19,67,31,0.00,M,M
1962-12-20,70,46,T,M,M
1962-12-21,61,45,0.13,M,M
1962-12-22,47,34,0.23,M,M
1962-12-23,38,32,0.00,M,M
1962-12-24,46,26,0.00,M,M
1962-12-25,32,26,0.40,M,M
