date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2002-05-21,87,67,0.00,M,M
2002-05-22,87,67,0.00,M,M
2002-05-23,90,66,0.00,M,M
2002-05-24,89,66,0.00,M,M
2002-05-25,91,65,0.00,M,M
2002-05-26,86,65,0.00,M,M
2002-05-27,87,67,0.00,M,M
2002-05-28,88,70,0.26,M,M
2002-05-29,89,67,0.00,M,M
2002-05-30,87,67,0.00,M,M
2002-05-31,88,71,0.01,M,M
2002-06-01,88,70,0.00,0.0,M
2002-06-02,89,72,0.00,0.0,0
2002-06-03,88,73,0.00,0.0,0
2002-06-04,90,75,0.00,0.0,0
2002-06-05,91,75,T,0.0,0
2002-06-06,87,75,0.00,0.0,0
2002-06-07,90,75,0.00,0.0,0
2002-06-08,90,73,0.00,0.0,0
2002-06-09,91,72,0.13,0.0,0
2002-06-10,93,71,0.02,0.0,0
2002-06-11,95,72,0.02,0.0,0
2002-06-12,87,73,0.14,0.0,0
2002-06-13,86,74,0.55,0.0,0
2002-06-14,86,76,0.29,0.0,0
2002-06-15,81,74,3.57,0.0,0
2002-06-16,82,74,3.24,0.0,0
2002-06-17,87,73,0.12,0.0,0
2002-06-18,89,73,0.01,0.0,0
2002-06-19,89,74,0.00,0.0,0
2002-06-20,91,73,0.84,0.0,0
2002-06-21,88,72,1.86,0.0,0
2002-06-22,77,73,0.45,0.0,0
2002-06-23,80,71,0.92,0.0,0
2002-06-24,88,73,0.03,0.0,0
2002-06-25,89,72,0.24,0.0,0
2002-06-26,86,74,0.04,0.0,0
2002-06-27,89,74,T,0.0,0
2002-06-28,89,74,0.04,0.0,0
2002-06-29,89,73,0.22,0.0,0
2002-06-30,89,75,0.05,0.0,0
2002-07-01,87,73,1.27,0.0,0
2002-07-02,87,72,0.12,0.0,0
2002-07-03,88,74,0.02,0.0,0
2002-07-04,88,74,0.00,0.0,0
2002-07-05,89,75,0.00,0.0,0
2002-07-06,89,76,0.00,0.0,0
2002-07-07,89,71,1.75,0.0,0
2002-07-08,88,72,0.12,0.0,0
2002-07-09,84,73,0.32,0.0,0
2002-07-10,82,72,0.21,0.0,0
2002-07-11,81,72,0.25,0.0,0
2002-07-12,88,74,0.01,0.0,0
2002-07-13,90,79,0.00,0.0,0
2002-07-14,90,79,0.00,0.0,0
2002-07-15,90,77,0.00,0.0,0
2002-07-16,90,77,0.00,0.0,0
2002-07-17,91,73,3.30,0.0,0
2002-07-18,89,77,T,0.0,0
2002-07-19,91,77,T,0.0,0
2002-07-20,90,77,0.00,0.0,0
2002-07-21,92,78,0.00,0.0,0
2002-07-22,90,73,0.40,0.0,0
2002-07-23,92,75,0.00,0.0,0
2002-07-24,93,77,0.00,0.0,0
2002-07-25,88,76,0.41,0.0,0
2002-07-26,92,75,0.00,0.0,0
2002-07-27,92,76,0.48,0.0,0
2002-07-28,92,77,0.04,0.0,0
2002-07-29,92,72,0.78,0.0,0
2002-07-30,91,74,0.02,0.0,0
2002-07-31,93,75,0.00,0.0,0
2002-08-01,91,76,0.00,0.0,0
2002-08-02,90,77,0.00,0.0,0
2002-08-03,90,77,0.00,0.0,0
2002-08-04,91,77,0.00,0.0,0
2002-08-05,93,75,0.00,0.0,0
2002-08-06,91,75,0.00,0.0,0
2002-08-07,91,78,0.00,0.0,0
2002-08-08,91,73,0.11,0.0,0
2002-08-09,90,73,0.00,0.0,0
2002-08-10,92,74,0.00,0.0,0
2002-08-11,92,75,0.16,0.0,0
2002-08-12,86,74,0.10,0.0,0
2002-08-13,91,74,0.18,0.0,0
2002-08-14,93,74,0.00,0.0,0
2002-08-15,91,71,1.64,0.0,0
2002-08-16,92,76,0.00,0.0,0
2002-08-17,90,75,0.34,0.0,0
2002-08-18,93,74,0.13,0.0,0
2002-08-19,91,74,0.00,0.0,0
2002-08-20,90,73,T,0.0,0
2002-08-21,90,73,0.13,0.0,0
2002-08-22,90,73,0.36,0.0,0
2002-08-23,90,M,0.00,0.0,0
2002-08-24,90,75,0.06,0.0,0
2002-08-25,90,76,0.05,0.0,0
2002-08-26,89,77,0.05,0.0,0
2002-08-27,89,77,0.00,0.0,0
2002-08-28,91,72,0.21,0.0,0
2002-08-29,89,71,1.37,0.0,0
2002-08-30,89,74,0.00,0.0,0
2002-08-31,90,75,0.10,0.0,0
2002-09-01,89,75,0.30,0.0,0
2002-09-02,91,76,0.00,0.0,0
2002-09-03,90,76,0.00,0.0,0
2002-09-04,90,75,0.08,0.0,0
2002-09-05,89,76,0.01,0.0,0
2002-09-06,90,74,2.33,0.0,0
2002-09-07,87,75,0.58,0.0,0
2002-09-08,89,76,0.00,0.0,0
2002-09-09,89,75,0.08,0.0,0
2002-09-10,90,74,0.00,0.0,0
2002-09-11,88,74,0.60,0.0,0
2002-09-12,80,71,4.09,0.0,0
2002-09-13,80,73,0.04,0.0,0
2002-09-14,86,77,0.00,0.0,0
2002-09-15,91,77,0.00,0.0,0
2002-09-16,91,77,0.00,0.0,0
2002-09-17,92,76,0.72,0.0,0
2002-09-18,91,76,T,0.0,0
2002-09-19,92,77,0.11,0.0,0
2002-09-20,94,77,T,0.0,0
2002-09-21,93,75,0.02,0.0,0
