date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1978-06-01,92,73,0.09,0.0,0
1978-06-02,93,73,0.01,0.0,0
1978-06-03,93,74,0.13,0.0,0
1978-06-04,94,75,T,0.0,0
1978-06-05,93,75,0.00,0.0,0
1978-06-06,94,74,0.00,0.0,0
1978-06-07,94,73,0.26,0.0,0
1978-06-08,92,76,0.00,0.0,0
1978-06-09,92,75,0.02,0.0,0
1978-06-10,94,75,0.00,0.0,0
1978-06-11,97,75,0.02,0.0,0
1978-06-12,92,75,0.00,0.0,0
1978-06-13,94,74,0.03,0.0,0
1978-06-14,93,72,0.00,0.0,0
1978-06-15,94,72,0.02,0.0,0
1978-06-16,91,73,0.00,0.0,0
1978-06-17,94,72,0.00,0.0,0
1978-06-18,89,73,0.00,0.0,0
1978-06-19,83,72,1.40,0.0,0
1978-06-20,90,74,0.07,0.0,0
1978-06-21,88,74,0.45,0.0,0
1978-06-22,88,71,0.70,0.0,0
1978-06-23,90,72,0.54,0.0,0
1978-06-24,90,73,0.00,0.0,0
1978-06-25,90,76,0.00,0.0,0
1978-06-26,91,75,0.23,0.0,0
1978-06-27,91,76,0.16,0.0,0
1978-06-28,92,73,1.65,0.0,0
1978-06-29,94,75,0.05,0.0,0
1978-06-30,94,76,0.01,0.0,0
1978-07-01,94,76,0.00,0.0,0
1978-07-02,95,72,0.04,0.0,0
1978-07-03,93,73,0.00,0.0,0
1978-07-04,92,75,0.30,0.0,0
1978-07-05,93,77,0.00,0.0,0
1978-07-06,94,75,0.63,0.0,0
1978-07-07,94,75,0.00,0.0,0
1978-07-08,92,73,0.65,0.0,0
1978-07-09,91,77,T,0.0,0
1978-07-10,92,75,0.00,0.0,0
1978-07-11,94,77,0.00,0.0,0
1978-07-12,95,72,1.82,0.0,0
1978-07-13,91,75,0.19,0.0,0
1978-07-14,91,73,0.25,0.0,0
1978-07-15,92,73,0.90,0.0,0
1978-07-16,90,76,0.08,0.0,0
1978-07-17,91,74,0.42,0.0,0
1978-07-18,92,72,0.00,0.0,0
1978-07-19,90,74,0.00,0.0,0
1978-07-20,87,73,0.15,0.0,0
1978-07-21,92,77,0.00,0.0,0
1978-07-22,92,76,0.03,0.0,0
1978-07-23,89,74,0.26,0.0,0
1978-07-24,90,76,0.07,0.0,0
1978-07-25,94,77,0.00,0.0,0
1978-07-26,93,72,0.00,0.0,0
1978-07-27,93,74,0.00,0.0,0
1978-07-28,92,75,0.00,0.0,0
1978-07-29,94,72,0.81,0.0,0
1978-07-30,94,73,0.48,0.0,0
1978-07-31,93,75,0.00,0.0,0
1978-08-01,94,74,0.04,0.0,0
1978-08-02,93,70,0.97,0.0,0
1978-08-03,91,72,1.20,0.0,0
1978-08-04,92,74,0.00,0.0,0
1978-08-05,90,74,0.01,0.0,0
1978-08-06,92,74,T,0.0,0
1978-08-07,87,74,0.20,0.0,0
1978-08-08,89,75,0.51,0.0,0
1978-08-09,90,76,0.00,0.0,0
1978-08-10,93,72,0.00,0.0,0
1978-08-11,94,77,0.07,0.0,0
1978-08-12,92,74,0.35,0.0,0
1978-08-13,91,74,0.09,0.0,0
1978-08-14,92,75,0.00,0.0,0
1978-08-15,94,77,0.00,0.0,0
1978-08-16,93,76,0.00,0.0,0
1978-08-17,93,72,1.07,0.0,0
1978-08-18,94,78,0.00,0.0,0
1978-08-19,96,78,0.04,0.0,0
1978-08-20,94,71,1.54,0.0,0
1978-08-21,94,76,0.00,0.0,0
1978-08-22,93,77,0.00,0.0,0
1978-08-23,91,77,0.00,0.0,0
1978-08-24,92,73,1.76,0.0,0
1978-08-25,87,72,0.56,0.0,0
1978-08-26,97,74,0.00,0.0,0
1978-08-27,94,77,0.00,0.0,0
1978-08-28,93,75,0.00,0.0,0
1978-08-29,93,76,0.00,0.0,0
1978-08-30,93,76,0.00,0.0,0
1978-08-31,93,73,0.19,0.0,0
1978-09-01,93,76,0.00,0.0,0
1978-09-02,94,75,0.00,0.0,0
1978-09-03,88,74,0.00,0.0,0
1978-09-04,93,75,T,0.0,0
1978-09-05,95,69,3.47,0.0,0
1978-09-06,89,73,0.37,0.0,0
1978-09-07,88,73,0.93,0.0,0
1978-09-08,88,75,0.00,0.0,0
1978-09-09,94,77,0.00,0.0,0
1978-09-10,93,77,0.00,0.0,0
1978-09-11,M,M,0.00,0.0,0
1978-09-12,93,76,0.08,0.0,0
1978-09-13,M,M,0.00,0.0,0
1978-09-14,92,75,0.00,0.0,0
1978-09-15,92,74,0.23,0.0,0
1978-09-16,91,73,0.00,0.0,0
1978-09-17,91,74,0.00,0.0,0
1978-09-18,94,78,0.00,0.0,0
1978-09-19,94,75,0.00,0.0,0
1978-09-20,95,74,0.00,0.0,0
1978-09-21,93,74,0.00,0.0,0
1978-09-22,94,74,0.00,0.0,0
1978-09-23,90,75,0.03,0.0,0
1978-09-24,93,73,0.09,0.0,0
1978-09-25,93,73,0.00,0.0,0
1978-09-26,90,72,0.69,0.0,0
1978-09-27,91,71,0.00,0.0,0
1978-09-28,91,72,0.00,0.0,0
1978-09-29,92,74,0.00,0.0,0
1978-09-30,92,74,0.47,0.0,0
1978-10-01,91,74,0.00,0.0,0
1978-10-02,92,74,0.02,0.0,0
1978-10-03,93,74,0.19,0.0,0
1978-10-04,92,74,0.00,0.0,0
1978-10-05,92,72,0.17,0.0,0
1978-10-06,92,73,0.00,0.0,0
1978-10-07,93,72,0.00,0.0,0
1978-10-08,88,66,0.00,0.0,0
1978-10-09,87,69,0.00,0.0,0
1978-10-10,86,72,T,0.0,0
1978-10-11,86,69,0.00,0.0,0
1978-10-12,88,70,0.63,0.0,0
1978-10-13,87,71,0.02,0.0,0
1978-10-14,90,72,0.00,0.0,0
1978-10-15,80,72,0.41,0.0,0
1978-10-16,85,62,0.00,0.0,0
1978-10-17,82,64,0.00,0.0,0
1978-10-18,84,63,0.00,0.0,0
1978-10-19,83,63,0.00,0.0,0
1978-10-20,87,65,0.00,0.0,0
1978-10-21,87,65,0.00,0.0,0
1978-10-22,85,67,0.00,0.0,0
1978-10-23,84,69,0.70,0.0,0
1978-10-24,86,70,0.29,0.0,0
1978-10-25,86,70,0.00,0.0,0
1978-10-26,86,69,0.03,0.0,0
1978-10-27,86,72,0.00,0.0,0
1978-10-28,89,73,0.00,0.0,0
1978-10-29,90,71,0.23,0.0,0
