date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-06-01,78,37,0.03,M,M
1998-06-02,67,49,0.03,M,M
1998-06-03,63,47,0.10,M,M
1998-06-04,66,44,0.00,M,M
1998-06-05,72,38,0.00,M,M
1998-06-06,75,41,0.00,M,M
1998-06-07,69,42,0.28,M,M
1998-06-08,66,46,0.24,M,M
1998-06-09,70,40,T,M,M
1998-06-10,57,50,0.84,M,M
1998-06-11,66,47,0.20,M,M
1998-06-12,66,43,0.06,M,0
1998-06-13,73,47,0.00,M,M
1998-06-14,74,40,0.00,M,M
1998-06-15,75,45,0.00,M,M
1998-06-16,62,41,0.00,M,M
1998-06-17,74,37,0.00,M,M
1998-06-18,76,42,0.00,M,M
1998-06-19,72,48,0.00,M,M
1998-06-20,78,41,0.00,M,M
1998-06-21,79,43,0.06,M,M
1998-06-22,74,44,0.01,M,M
1998-06-23,73,48,0.00,M,M
1998-06-24,66,52,0.01,M,M
1998-06-25,68,47,0.19,M,M
1998-06-26,64,41,0.00,M,M
1998-06-27,79,32,0.00,M,M
1998-06-28,80,40,T,M,M
1998-06-29,82,40,T,M,M
1998-06-30,82,39,T,M,M
1998-07-01,82,44,0.00,M,M
1998-07-02,82,48,0.00,M,M
1998-07-03,80,51,0.00,M,M
1998-07-04,81,46,0.00,M,M
1998-07-05,84,48,0.00,M,M
1998-07-06,90,48,0.00,M,M
1998-07-07,89,50,0.05,M,M
1998-07-08,89,46,0.00,M,M
1998-07-09,88,44,0.00,M,M
1998-07-10,82,43,0.00,M,M
1998-07-11,83,42,0.00,M,M
1998-07-12,89,41,0.00,M,M
1998-07-13,86,46,0.00,M,M
1998-07-14,86,46,0.00,M,M
1998-07-15,90,42,0.00,M,M
1998-07-16,99,43,0.00,M,M
1998-07-17,97,50,0.00,M,M
1998-07-18,94,51,0.00,M,M
1998-07-19,95,46,0.00,M,M
1998-07-20,96,48,0.00,M,M
1998-07-21,98,50,0.00,M,M
1998-07-22,94,53,1.07,M,M
1998-07-23,85,58,0.19,M,0
1998-07-24,86,53,0.01,M,M
1998-07-25,83,55,0.09,M,M
1998-07-26,91,49,T,M,M
1998-07-27,92,52,0.00,M,M
1998-07-28,93,50,0.00,M,M
1998-07-29,90,50,0.00,M,M
1998-07-30,82,44,0.00,M,M
1998-07-31,76,52,0.00,M,M
1998-09-01,96,43,0.00,M,M
1998-09-02,98,43,0.00,M,M
1998-09-03,98,44,0.00,M,M
1998-09-04,97,49,0.00,M,M
1998-09-05,75,62,0.06,M,M
1998-09-06,88,56,0.04,M,M
1998-09-07,84,51,0.24,M,0
1998-09-08,81,56,0.05,M,M
1998-09-09,68,51,0.01,M,M
1998-09-10,70,48,0.42,M,M
1998-09-11,77,44,0.00,M,M
1998-09-12,81,46,0.00,M,M
1998-09-13,85,38,0.00,M,M
1998-09-14,88,40,0.00,M,M
1998-09-15,87,45,0.00,M,M
1998-09-16,87,42,0.00,M,M
1998-09-17,81,42,0.00,M,M
1998-09-18,70,35,0.00,M,M
1998-09-19,66,35,0.00,M,M
1998-09-20,68,35,0.00,M,M
1998-09-21,69,35,0.00,M,M
1998-09-22,73,33,0.00,M,M
1998-09-23,74,31,0.00,M,M
1998-09-24,76,33,0.00,M,M
1998-09-25,59,45,0.91,M,M
1998-09-26,56,44,0.11,M,M
1998-09-27,65,38,0.15,M,M
1998-09-28,73,39,0.00,M,M
1998-09-29,79,39,0.00,M,M
1998-09-30,78,37,0.00,M,M
1998-10-01,69,42,0.00,M,M
1998-10-02,57,43,0.01,M,M
1998-10-03,55,34,0.00,M,0
1998-10-04,58,32,0.00,M,M
1998-10-05,67,25,0.00,M,M
1998-10-06,71,26,0.00,M,M
1998-10-07,69,28,0.00,M,M
1998-10-08,61,33,T,M,M
1998-10-09,56,27,T,M,M
1998-10-10,57,31,0.00,M,M
1998-10-11,69,26,0.00,M,M
1998-10-12,74,35,0.00,M,M
1998-10-13,61,37,0.01,M,M
1998-10-14,57,29,0.00,M,M
1998-10-15,52,28,0.02,M,M
1998-10-16,53,22,T,M,M
