date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1919-10-01,M,M,0.00,0.0,M
1919-10-02,M,M,0.00,0.0,M
1919-10-03,M,M,0.00,0.0,M
1919-10-04,M,M,0.00,0.0,M
1919-10-05,M,M,0.00,0.0,M
1919-10-06,76,27,0.00,0.0,M
1919-10-07,68,29,0.00,0.0,M
1919-10-08,54,31,0.00,0.0,M
1919-10-09,45,15,0.00,0.0,M
1919-10-10,61,20,0.00,0.0,M
1919-10-11,69,24,0.00,0.0,M
1919-10-12,70,27,0.00,0.0,M
1919-10-13,57,26,0.00,0.0,M
1919-10-14,64,26,0.00,0.0,M
1919-10-15,62,24,0.00,0.0,M
1919-10-16,65,20,0.00,0.0,M
1919-10-17,62,24,T,0.0,M
1919-10-18,55,19,0.00,0.0,M
1919-10-19,55,19,0.00,0.0,M
1919-10-20,64,23,0.00,0.0,M
1919-10-21,63,29,0.00,0.0,M
1919-10-22,50,33,0.13,0.0,M
1919-10-23,36,22,0.80,3.2,3
1919-10-24,43,4,0.00,0.0,3
1919-10-25,M,6,0.00,0.0,3
1919-10-26,29,18,0.45,8.6,9
1919-10-27,46,3,0.00,0.0,7
1919-10-28,45,22,0.30,0.0,6
1919-10-29,34,22,0.72,4.9,11
1919-10-30,41,19,0.12,0.0,11
1919-10-31,40,6,T,0.0,10
1919-11-01,40,33,0.87,M,6
1919-11-02,39,29,0.52,1.2,7
1919-11-03,40,36,1.70,M,2
1919-11-04,42,32,1.20,M,2
1919-11-05,34,11,0.15,M,3
1919-11-06,36,11,0.43,M,10
1919-11-07,28,21,1.50,M,23
1919-11-08,40,10,0.00,M,19
1919-11-09,47,11,0.00,M,16
1919-11-10,35,19,0.25,M,18
1919-11-11,35,31,0.23,M,16
1919-11-12,51,12,0.00,M,15
1919-11-13,52,15,0.00,M,15
1919-11-14,56,16,0.00,M,14
1919-11-15,54,21,0.00,M,14
1919-11-16,59,24,0.00,M,13
1919-11-17,59,20,0.00,M,13
1919-11-18,44,19,0.04,M,12
1919-11-19,35,28,0.51,M,15
1919-11-20,40,5,T,M,14
1919-11-21,46,18,0.00,M,14
1919-11-22,58,21,0.00,M,13
1919-11-23,57,23,0.00,M,13
1919-11-24,47,16,0.00,M,12
1919-11-25,36,22,0.10,M,12
1919-11-26,35,7,0.05,M,12
1919-11-27,36,9,0.00,M,12
1919-11-28,30,10,0.11,M,13
1919-11-29,33,28,1.24,M,24
1919-11-30,33,19,0.87,M,33
1919-12-01,29,17,0.75,0.0,36
1919-12-02,30,16,0.31,2.0,38
1919-12-03,30,15,0.40,2.0,40
1919-12-04,34,16,T,0.0,34
1919-12-05,33,24,0.41,6.0,40
1919-12-06,32,6,T,0.0,39
1919-12-07,28,23,0.95,6.1,44
1919-12-08,27,-4,0.10,1.0,44
1919-12-09,25,5,0.57,4.5,45
1919-12-10,27,12,2.27,22.7,62
1919-12-11,40,13,1.42,17.8,74
1919-12-12,21,-2,0.80,3.0,71
1919-12-13,27,-15,0.00,0.0,68
1919-12-14,48,-1,0.00,0.0,67
1919-12-15,45,8,0.00,0.0,64
1919-12-16,M,14,0.00,0.0,62
1919-12-17,46,20,0.00,0.0,59
1919-12-18,49,21,T,0.0,59
1919-12-19,38,32,1.57,0.0,57
1919-12-20,M,33,1.10,0.0,52
1919-12-21,37,M,0.12,0.0,50
1919-12-22,37,30,T,0.0,49
1919-12-23,37,31,0.82,0.0,48
1919-12-24,44,24,0.25,0.0,46
1919-12-25,51,26,0.63,6.7,53
1919-12-26,51,12,0.00,0.0,52
1919-12-27,57,12,0.00,0.0,50
1919-12-28,64,15,0.00,0.0,49
1919-12-29,45,14,0.00,0.0,48
1919-12-30,38,25,0.00,0.0,47
1919-12-31,50,11,0.00,0.0,47
1920-01-01,48,10,0.00,0.0,47
1920-01-02,51,8,0.00,0.0,47
1920-01-03,52,9,0.00,0.0,46
1920-01-04,42,9,0.00,0.0,M
1920-01-05,39,19,0.61,M,M
1920-01-06,41,4,0.00,0.0,54
1920-01-07,35,14,0.00,0.0,54
1920-01-08,50,12,0.00,0.0,54
1920-01-09,59,9,0.00,0.0,53
1920-01-10,58,14,0.00,0.0,53
1920-01-11,64,10,0.00,0.0,53
1920-01-12,59,14,0.00,0.0,53
1920-01-13,62,9,0.00,0.0,53
1920-01-14,55,10,0.00,0.0,52
1920-01-15,49,23,0.00,0.0,48
1920-01-16,54,20,0.15,0.0,48
