date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-06-27,M,M,0.00,M,M
2001-07-09,87,58,0.00,M,M
2001-07-10,91,58,0.05,M,M
2001-07-11,90,74,0.00,M,M
2001-07-12,90,70,M,M,M
2001-07-13,88,68,M,M,M
2001-07-14,88,56,0.02,M,M
2001-07-15,88,56,0.00,M,M
2001-07-16,88,56,0.00,M,M
2001-07-17,M,M,0.00,M,M
2001-07-19,M,M,0.28,M,M
2001-07-20,M,M,0.29,M,M
2001-07-23,86,58,0.01,M,M
2001-07-24,87,58,0.74,M,M
2001-07-25,86,78,0.23,M,M
2001-07-28,89,66,0.17,M,M
2001-07-29,80,66,0.00,M,M
2001-07-30,84,69,1.92,M,M
2001-07-31,80,62,0.05,M,M
2001-08-01,84,58,0.00,M,M
2001-08-02,84,58,0.00,M,M
2001-08-03,84,62,0.00,M,M
2001-08-04,86,64,0.00,M,M
2001-08-05,88,64,0.00,M,M
2001-08-21,96,64,0.60,M,M
2001-08-22,85,67,0.00,M,M
2001-08-25,89,63,0.00,M,M
2001-08-26,87,57,0.00,M,M
2001-08-27,86,58,0.00,M,M
2001-08-28,90,64,0.00,M,M
2001-08-29,93,64,0.00,M,M
2001-08-30,93,64,0.24,M,M
2001-08-31,84,70,0.21,M,M
2001-09-01,89,72,0.11,M,M
2001-09-02,89,70,0.30,M,M
2001-09-03,89,65,0.00,M,M
2001-09-04,M,M,0.00,M,M
2001-09-05,79,66,0.05,M,M
2001-09-06,86,65,0.00,M,M
2001-09-07,86,61,0.00,M,M
2001-09-26,88,47,0.00,M,M
2001-09-27,88,46,0.00,M,M
2001-09-28,88,46,0.00,M,M
2001-09-29,75,44,0.05,M,M
2001-10-01,75,44,M,M,M
2001-10-02,75,44,0.00,M,M
2001-10-07,85,48,M,M,M
2001-10-08,67,37,0.00,M,M
2001-10-09,67,36,0.00,M,M
2001-10-10,71,36,0.00,M,M
2001-10-11,80,36,0.00,M,M
2001-10-12,80,37,0.00,M,M
2001-10-13,80,36,0.00,M,M
2001-10-14,81,37,0.00,M,M
2001-10-15,81,36,M,M,M
2001-10-16,81,36,M,M,M
2001-10-17,80,40,0.00,M,M
2001-10-18,67,40,0.00,M,M
2001-10-19,68,34,0.00,M,M
2001-10-20,79,34,M,M,M
2001-10-22,82,56,0.00,M,M
2001-10-23,85,54,0.00,M,M
2001-10-24,86,54,0.00,M,M
2001-10-25,88,53,M,M,M
2001-10-26,88,43,0.00,M,M
2001-10-27,70,33,0.00,M,M
2001-10-28,70,32,0.00,M,M
2001-10-31,73,28,0.00,M,M
2001-11-01,76,28,0.00,M,M
2001-11-02,76,28,0.00,M,M
2001-11-04,83,82,0.01,M,M
2001-11-05,M,M,0.01,M,M
2001-11-06,65,35,M,M,M
2001-11-08,75,29,0.00,M,M
2001-11-09,78,44,0.00,M,M
2001-11-10,71,31,0.00,M,M
2001-11-12,72,31,0.00,M,M
2001-11-14,73,29,0.00,M,M
2001-11-15,73,48,M,M,M
2001-11-17,77,45,0.00,M,M
2001-11-18,73,45,0.00,M,M
2001-11-19,71,44,0.00,M,M
2001-11-20,75,45,0.00,M,M
2001-11-21,75,31,0.10,M,M
