date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-01-01,53,43,0.15,M,M
1996-01-02,65,48,0.02,M,M
1996-01-03,65,49,0.00,M,M
1996-01-04,49,26,0.00,M,M
1996-01-05,53,23,0.00,M,M
1996-01-06,44,31,0.11,M,M
1996-01-07,52,24,0.62,M,M
1996-01-08,38,24,0.00,M,M
1996-01-09,46,19,0.00,M,M
1996-01-10,46,25,0.00,M,M
1996-01-11,35,23,0.00,M,M
1996-01-12,58,29,1.49,M,M
1996-01-13,48,28,0.00,M,M
1996-01-14,56,28,0.00,M,M
1996-01-15,65,39,0.00,M,M
1996-01-16,60,38,0.00,M,M
1996-01-17,66,38,0.00,M,M
1996-01-18,70,46,0.21,M,M
1996-01-19,68,36,0.39,M,M
1996-01-20,38,29,0.00,M,M
1996-01-21,48,33,0.03,M,M
1996-01-22,42,30,0.00,M,M
1996-01-23,63,31,0.00,M,M
1996-01-24,66,51,0.05,M,M
1996-01-25,52,30,0.00,M,M
1996-01-26,62,31,0.00,M,M
1996-01-27,64,43,0.00,M,M
1996-01-28,46,30,0.00,M,M
1996-01-29,57,32,0.03,M,M
1996-01-30,50,41,0.02,M,M
1996-01-31,55,36,0.56,M,M
1996-02-01,38,34,0.00,M,M
1996-02-02,38,34,1.06,M,M
1996-02-03,36,22,0.23,2.5,M
1996-02-04,23,15,0.02,M,M
1996-02-05,27,10,0.00,M,M
1996-02-06,38,12,0.00,M,M
1996-02-07,49,20,0.00,M,M
1996-02-08,58,29,0.00,M,M
1996-02-09,66,33,0.01,M,M
1996-02-10,61,28,0.00,M,M
1996-02-11,64,46,0.00,M,M
1996-02-12,46,34,0.00,M,M
1996-02-13,45,27,0.00,M,M
1996-02-14,54,45,0.00,M,M
1996-02-15,61,43,0.02,M,M
1996-02-16,49,28,0.00,M,M
1996-02-17,40,24,0.19,M,M
1996-02-18,49,28,0.00,M,M
1996-02-19,62,27,0.00,M,M
1996-02-20,63,39,0.63,M,M
1996-02-21,64,43,0.00,M,M
1996-02-22,71,41,0.00,M,M
1996-02-23,73,45,0.00,M,M
1996-02-24,75,38,0.00,M,M
1996-02-25,67,30,0.00,M,M
1996-02-26,75,43,0.00,M,M
1996-02-27,74,51,0.00,M,M
1996-02-28,70,55,0.02,M,M
1996-02-29,61,36,0.00,M,M
1996-03-01,44,38,0.40,M,M
1996-03-02,49,33,0.28,M,M
1996-03-03,62,35,0.00,M,M
1996-03-04,50,30,0.00,M,M
1996-03-05,69,31,0.00,M,M
1996-03-06,64,56,0.23,M,M
1996-03-07,64,27,1.17,M,M
1996-03-08,57,21,0.37,M,M
1996-03-09,37,20,0.00,M,M
1996-03-10,43,33,0.00,M,M
1996-03-11,43,30,0.00,M,M
1996-03-12,56,26,0.00,M,M
1996-03-13,63,28,0.00,M,M
1996-03-14,65,49,0.00,M,M
1996-03-15,69,49,0.04,M,M
1996-03-16,63,49,0.12,M,M
1996-03-17,60,52,0.50,M,M
1996-03-18,56,49,0.19,M,M
1996-03-19,69,47,0.01,M,M
1996-03-20,55,41,0.00,M,M
1996-03-21,53,35,0.00,M,M
1996-03-22,53,30,0.00,M,M
1996-03-23,58,23,0.00,M,M
1996-03-24,61,26,0.00,M,M
1996-03-25,70,36,0.00,M,M
1996-03-26,67,59,0.33,M,M
1996-03-27,60,43,0.04,M,M
1996-03-28,63,44,1.95,M,M
1996-03-29,59,40,0.08,M,M
1996-03-30,53,42,0.00,M,M
1996-03-31,57,34,0.35,M,M
1996-04-01,70,53,0.37,M,M
1996-04-02,59,35,0.00,M,M
1996-04-03,64,32,0.00,M,M
1996-04-04,71,53,0.00,M,M
1996-04-05,75,49,0.00,M,M
1996-04-06,55,42,0.36,M,M
