date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2003-02-11,46,26,M,M,M
2003-02-12,54,26,M,M,M
2003-02-13,63,21,0.00,M,M
2003-02-14,56,23,0.00,M,M
2003-02-15,61,45,0.01,M,M
2003-02-16,74,40,0.05,M,M
2003-02-17,45,32,1.50,M,M
2003-02-18,36,31,0.01,M,M
2003-02-19,49,27,0.00,M,M
2003-02-21,57,35,0.00,M,M
2003-02-22,64,44,0.00,M,M
2003-02-23,78,44,0.82,M,M
2003-02-24,62,28,0.00,M,M
2003-02-25,67,43,0.00,M,M
2003-02-26,56,37,0.01,M,M
2003-02-27,43,37,0.34,M,M
2003-02-28,48,37,0.70,M,M
2003-03-01,48,38,0.00,M,M
2003-03-02,64,40,0.17,M,M
2003-03-03,65,40,0.01,M,M
2003-03-04,56,36,0.00,M,M
2003-03-05,66,44,0.24,M,M
2003-03-06,70,53,0.08,M,M
2003-03-07,65,38,0.13,M,M
2003-03-08,42,31,0.26,M,M
2003-03-09,65,39,0.00,M,M
2003-03-10,74,39,0.00,M,M
2003-03-11,60,33,0.00,M,M
2003-03-12,55,42,0.25,M,M
2003-03-13,73,44,0.00,M,M
2003-03-15,51,38,0.00,M,M
2003-03-16,65,50,0.25,M,M
2003-03-17,75,59,0.08,M,M
2003-03-18,69,56,0.10,M,M
2003-03-19,70,51,T,M,M
2003-03-20,65,51,T,M,M
2003-03-22,79,49,0.37,M,M
2003-03-23,86,45,0.00,M,M
2003-03-24,69,47,0.00,M,M
2003-03-25,73,38,0.00,M,M
2003-03-26,75,44,0.00,M,M
2003-03-27,80,54,0.00,M,M
2003-03-28,80,50,0.00,M,M
2003-03-29,78,59,0.02,M,M
2003-03-30,78,59,0.23,M,M
2003-03-31,78,35,0.29,M,M
2003-04-01,52,29,0.00,0.0,0
2003-04-02,69,38,0.00,0.0,0
2003-04-03,82,55,0.00,0.0,0
2003-04-04,85,54,0.00,0.0,0
2003-04-05,82,56,0.00,0.0,0
2003-04-06,85,52,0.01,0.0,0
2003-04-07,67,M,0.08,0.0,0
2003-04-08,61,45,0.52,0.0,0
2003-04-09,50,47,1.92,0.0,0
2003-04-10,51,45,1.21,0.0,0
2003-04-11,60,41,0.23,0.0,0
2003-04-12,48,44,0.73,0.0,0
2003-04-13,74,44,0.00,0.0,0
2003-04-14,76,43,0.00,0.0,0
