date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2007-01-01,65,35,0.00,M,0
2007-01-02,65,35,0.00,M,0
2007-01-03,67,33,0.00,M,0
2007-01-04,72,46,0.00,M,0
2007-01-05,75,62,0.00,M,0
2007-01-10,54,37,0.00,M,M
2007-01-11,55,31,0.00,M,M
2007-01-12,72,40,0.00,M,M
2007-01-13,74,48,0.00,M,M
2007-01-14,75,52,0.00,M,M
2007-01-15,78,56,0.00,M,M
2007-01-16,65,55,0.13,M,M
2007-01-17,55,38,0.00,M,M
2007-01-18,46,36,0.20,M,M
2007-01-19,57,42,0.00,M,M
2007-01-20,48,36,0.00,M,M
2007-01-22,57,41,0.78,M,M
2007-01-23,52,40,0.00,M,M
2007-01-24,53,36,0.00,M,M
2007-01-25,52,37,0.00,M,M
2007-01-26,48,32,0.00,M,M
2007-01-27,66,36,0.00,M,M
2007-01-28,59,48,0.41,M,M
2007-01-29,52,31,0.25,M,M
2007-01-30,52,31,0.00,M,M
2007-01-31,48,35,0.00,M,M
2007-02-01,42,31,0.90,M,M
2007-02-02,52,41,0.37,M,M
2007-02-03,51,39,0.00,M,M
2007-02-04,55,35,0.00,M,M
2007-02-05,51,32,0.00,M,M
2007-02-06,42,26,0.00,M,M
2007-02-07,55,34,0.00,M,M
2007-02-08,49,34,0.00,M,M
2007-02-09,49,29,0.00,M,M
2007-02-10,49,33,0.00,M,M
2007-02-11,53,28,0.00,M,M
2007-02-12,65,32,0.00,M,M
2007-02-13,73,44,0.00,M,M
2007-02-14,64,44,0.55,M,M
2007-02-15,44,32,0.00,M,M
2007-02-16,43,32,0.00,M,M
2007-02-17,53,26,0.00,M,M
2007-02-18,50,39,0.00,M,M
2007-02-19,49,31,0.00,M,M
2007-02-20,67,39,0.00,M,M
2007-02-21,67,39,0.00,M,M
2007-02-22,73,52,0.00,M,M
2007-02-23,63,43,0.00,M,M
2007-02-24,56,29,0.00,M,M
2007-02-25,62,41,0.65,M,M
2007-02-26,66,51,0.29,M,M
2007-02-27,67,42,0.00,M,M
2007-02-28,60,44,0.00,M,M
2007-03-01,72,42,0.00,M,M
2007-03-02,75,60,3.16,M,M
2007-03-03,70,49,0.00,M,M
2007-03-04,58,45,0.00,M,M
2007-03-05,64,35,0.00,M,M
2007-03-06,53,38,0.00,M,M
2007-03-07,70,35,0.00,M,M
2007-03-08,57,40,0.00,M,M
2007-03-09,60,34,0.00,M,M
2007-03-10,70,39,0.19,M,M
2007-03-11,67,44,0.00,M,M
2007-03-12,67,39,0.00,M,M
2007-03-13,78,43,0.00,M,M
2007-03-14,82,52,0.00,M,M
2007-03-15,81,57,0.05,M,M
2007-03-16,69,62,0.77,M,M
2007-03-17,67,39,0.12,M,M
2007-03-18,52,34,0.00,M,M
2007-03-19,61,32,0.00,M,M
2007-03-20,77,51,0.00,M,M
2007-03-21,68,52,0.00,M,M
2007-03-22,76,46,0.00,M,M
2007-03-23,82,51,0.00,M,M
