date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1944-08-01,M,M,M,0.0,M
1944-08-02,M,M,M,0.0,M
1944-08-03,M,M,M,0.0,M
1944-08-04,M,M,M,0.0,M
1944-08-05,M,M,M,0.0,M
1944-08-06,M,M,M,0.0,M
1944-08-07,M,M,M,0.0,M
1944-08-08,M,M,M,0.0,M
1944-08-09,M,M,M,0.0,M
1944-08-10,M,M,M,0.0,M
1944-08-11,M,M,M,0.0,M
1944-08-12,M,M,M,0.0,M
1944-08-13,M,M,M,0.0,M
1944-08-14,M,M,M,0.0,M
1944-08-15,M,M,M,0.0,M
1944-08-16,M,M,M,0.0,M
1944-08-17,M,M,M,0.0,M
1944-08-18,M,M,M,0.0,M
1944-08-19,M,M,M,0.0,M
1944-08-20,M,M,M,0.0,M
1944-08-21,M,M,M,0.0,M
1944-08-22,M,M,M,0.0,M
1944-08-23,M,M,M,0.0,M
1944-08-24,75,50,M,0.0,M
1944-08-25,76,50,M,0.0,M
1944-08-26,72,53,M,0.0,M
1944-08-27,67,56,0.40,0.0,M
1944-08-28,M,56,M,0.0,M
1944-08-29,79,52,M,0.0,M
1944-08-30,81,63,M,0.0,M
1944-08-31,72,53,2.58,0.0,M
1944-09-01,78,56,0.22,0.0,M
1944-09-02,84,53,0.00,0.0,M
1944-09-03,87,61,0.00,0.0,M
1944-09-04,83,60,0.00,0.0,M
1944-09-05,78,56,T,0.0,M
1944-09-06,78,55,0.01,0.0,M
1944-09-07,69,39,T,0.0,M
1944-09-08,73,38,0.00,0.0,M
1944-09-09,75,53,0.00,0.0,M
1944-09-10,80,60,0.03,0.0,M
1944-09-11,74,59,0.00,0.0,M
1944-09-12,71,58,0.50,0.0,M
1944-09-13,63,58,1.32,0.0,M
1944-09-14,63,52,0.05,0.0,M
1944-09-15,68,52,T,0.0,M
1944-09-16,75,53,0.00,0.0,M
1944-09-17,83,62,0.13,0.0,M
1944-09-18,83,61,0.00,0.0,M
1944-09-19,76,63,0.00,0.0,M
1944-09-20,81,61,0.08,0.0,M
1944-09-21,76,56,0.00,0.0,M
1944-09-22,67,42,0.00,0.0,M
1944-09-23,67,48,0.00,0.0,M
1944-09-24,62,49,T,0.0,M
1944-09-25,72,48,0.00,0.0,M
1944-09-26,76,49,T,0.0,M
1944-09-27,73,56,0.05,0.0,M
1944-09-28,65,52,0.45,0.0,M
1944-09-29,64,37,0.00,0.0,M
1944-09-30,69,40,0.00,0.0,M
1944-10-01,67,52,0.00,M,M
1944-10-02,53,40,T,M,M
1944-10-03,61,43,T,M,M
1944-10-04,64,46,T,M,M
1944-10-05,74,57,0.19,M,M
1944-10-06,75,52,0.00,M,M
1944-10-07,71,48,0.00,M,M
1944-10-08,56,47,0.00,M,M
1944-10-09,49,34,0.00,M,M
1944-10-10,53,38,0.00,M,M
1944-10-11,57,29,0.00,M,M
1944-10-12,63,30,0.00,M,M
1944-10-13,73,36,0.00,M,M
1944-10-14,60,39,0.00,M,M
1944-10-15,58,23,0.00,M,M
1944-10-16,69,29,0.00,M,M
1944-10-17,71,36,0.00,M,M
1944-10-18,75,42,0.00,M,M
1944-10-19,68,30,0.00,M,M
1944-10-20,61,30,0.00,M,M
1944-10-21,56,35,0.00,M,M
1944-10-22,58,24,0.00,M,M
1944-10-23,68,35,0.00,M,M
1944-10-24,66,35,0.00,M,M
1944-10-25,61,43,0.00,M,M
1944-10-26,62,30,0.00,M,M
1944-10-27,60,23,0.00,M,M
1944-10-28,66,42,0.00,M,M
1944-10-29,60,24,0.00,M,M
1944-10-30,66,35,0.00,M,M
1944-10-31,72,48,0.08,M,M
1944-11-01,74,45,0.00,0.0,M
1944-11-02,66,57,0.23,0.0,M
1944-11-03,63,40,1.08,0.0,M
1944-11-04,63,25,0.00,0.0,M
1944-11-05,41,27,0.00,0.0,M
1944-11-06,47,22,0.00,0.0,M
1944-11-07,60,37,0.00,0.0,M
1944-11-08,63,46,T,0.0,M
1944-11-09,59,43,0.96,0.0,M
1944-11-10,57,39,0.32,0.0,M
1944-11-11,47,38,0.00,0.0,M
1944-11-12,56,40,0.00,0.0,M
1944-11-13,65,46,0.01,0.0,M
1944-11-14,62,49,0.30,0.0,M
1944-11-15,57,42,0.09,0.0,M
1944-11-16,45,35,0.16,0.0,M
1944-11-17,44,32,0.00,0.0,M
1944-11-18,45,29,0.00,0.0,M
1944-11-19,45,36,0.00,0.0,M
1944-11-20,39,32,T,0.0,M
1944-11-21,38,30,T,0.0,M
1944-11-22,35,29,0.00,0.0,M
1944-11-23,34,25,0.06,0.5,0
1944-11-24,42,19,0.00,0.0,M
1944-11-25,41,M,0.00,0.0,M
1944-11-26,38,31,0.30,1.0,0
1944-11-27,37,28,0.00,0.0,0
1944-11-28,30,26,0.00,0.0,0
1944-11-29,31,22,0.07,1.5,2
1944-11-30,29,15,0.06,1.0,2
1944-12-01,23,12,0.00,0.0,2
1944-12-02,30,2,0.00,0.0,2
1944-12-03,34,15,0.00,0.0,2
1944-12-04,35,29,0.29,3.0,5
1944-12-05,36,30,0.34,3.0,6
1944-12-06,35,26,0.00,0.0,5
1944-12-07,35,24,0.00,0.0,5
1944-12-08,33,22,0.00,0.0,5
1944-12-09,32,25,0.00,0.0,5
1944-12-10,30,23,0.04,0.5,5
1944-12-11,27,17,0.43,4.5,9
1944-12-12,25,9,0.00,0.0,9
1944-12-13,26,18,0.00,0.0,9
1944-12-14,25,-0,0.00,0.0,9
1944-12-15,36,15,0.07,0.5,7
