date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2010-12-01,M,M,0.00,0.0,0
2010-12-09,M,M,0.00,0.0,3
2010-12-20,M,M,0.20,2.0,2
2010-12-21,M,M,0.00,0.0,7
2010-12-22,M,M,0.00,0.0,7
2010-12-23,M,M,0.00,0.0,0
2010-12-24,M,M,0.00,0.0,7
2010-12-25,M,M,0.17,1.6,8
2010-12-26,M,M,0.00,0.0,8
2010-12-27,M,M,0.00,0.0,8
2010-12-28,M,M,0.00,0.0,8
2010-12-29,M,M,0.00,0.0,7
2010-12-30,M,M,0.00,0.0,5
2010-12-31,M,M,M,0.0,0
2011-01-01,M,M,0.05,0.0,0
2011-01-02,M,M,0.00,0.0,0
2011-01-03,M,M,0.00,0.0,0
2011-01-04,M,M,0.03,0.5,1
2011-01-05,M,M,0.00,0.0,0
2011-01-06,M,M,0.00,0.0,0
2011-01-07,M,M,0.01,0.2,1
2011-01-08,M,M,0.00,0.0,0
2011-01-09,M,M,0.00,0.0,0
2011-01-10,M,M,0.01,0.3,1
2011-01-11,M,M,0.14,1.5,2
2011-01-12,M,M,0.00,0.0,2
2011-01-13,M,M,T,T,T
2011-01-14,M,M,0.03,0.5,3
2011-01-15,M,M,T,T,3
2011-01-16,M,M,M,0.3,3
2011-01-17,M,M,0.44,3.8,7
2011-01-18,M,M,T,T,6
2011-01-19,M,M,T,T,6
2011-01-20,M,M,0.00,0.0,6
2011-01-21,M,M,0.00,0.0,6
2011-01-22,M,M,0.00,0.0,6
2011-01-23,M,M,0.01,0.3,6
2011-01-24,M,M,0.00,0.0,6
2011-01-25,M,M,0.00,0.0,6
2011-01-26,M,M,0.02,0.3,6
2011-01-27,M,M,T,0.3,6
2011-01-28,M,M,0.15,1.1,7
2011-01-29,M,M,0.00,0.0,7
2011-01-30,M,M,0.00,0.0,7
2011-01-31,M,M,0.12,2.0,9
2011-02-01,M,M,0.22,8.0,14
2011-02-02,M,M,0.01,T,13
2011-02-03,M,M,0.00,0.0,13
2011-02-04,M,M,0.00,0.0,13
2011-02-05,M,M,0.02,2.0,14
2011-02-06,M,M,0.02,0.5,14
2011-02-07,M,M,0.01,0.2,14
2011-02-08,M,M,0.00,0.0,14
2011-02-09,M,M,0.00,0.0,14
2011-02-10,M,M,T,T,11
2011-02-11,M,M,T,T,11
2011-02-12,M,M,0.00,0.0,11
2011-02-13,M,M,0.00,0.0,10
2011-02-14,M,M,0.00,0.0,9
2011-02-15,M,M,T,T,8
2011-02-16,M,M,T,T,5
2011-02-17,M,M,0.00,0.0,5
2011-02-18,M,M,0.00,0.0,0
2011-02-19,M,M,0.00,0.0,0
2011-02-20,M,M,1.40,T,0
2011-02-21,M,M,0.06,2.0,2
2011-02-22,M,M,M,0.0,1
2011-02-23,M,M,0.00,0.0,1
