date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-08-02,79,57,M,M,M
1996-08-03,82,57,M,M,M
1996-08-04,84,61,M,M,M
1996-08-05,90,72,M,M,M
1996-08-06,89,71,M,M,M
1996-08-07,85,68,M,M,M
1996-08-08,79,61,M,M,M
1996-08-09,74,56,M,M,M
1996-08-10,73,53,M,M,M
1996-08-11,75,54,M,M,M
1996-08-12,83,60,M,M,M
1996-08-13,82,64,M,M,M
1996-08-14,81,63,M,M,M
1996-08-15,69,57,M,M,M
1996-08-16,77,53,M,M,M
1996-08-17,79,53,M,M,M
1996-08-18,79,57,M,M,M
1996-08-19,80,68,M,M,M
1996-08-20,83,64,M,M,M
1996-08-21,87,66,M,M,M
1996-08-22,79,64,M,M,M
1996-08-23,78,55,M,M,M
1996-08-24,82,55,M,M,M
1996-08-25,82,60,M,M,M
1996-08-26,69,62,M,M,M
1996-08-27,73,51,M,M,M
1996-08-28,75,46,M,M,M
1996-08-29,78,50,M,M,M
1996-08-30,79,55,M,M,M
1996-08-31,81,59,M,M,M
1996-09-01,81,57,M,M,M
1996-09-02,82,61,M,M,M
1996-09-03,83,60,M,M,M
1996-09-04,86,61,M,M,M
1996-09-05,86,61,M,M,M
1996-09-06,84,57,M,M,M
1996-09-07,82,61,M,M,M
1996-09-08,81,60,M,M,M
1996-09-09,70,55,M,M,M
1996-09-10,81,53,M,M,M
1996-09-11,74,49,M,M,M
1996-09-12,59,47,M,M,M
1996-09-13,61,40,M,M,M
1996-09-14,62,48,M,M,M
1996-09-15,67,46,M,M,M
1996-09-16,64,46,M,M,M
1996-09-17,64,46,M,M,M
1996-09-18,70,43,M,M,M
1996-09-23,73,44,M,M,M
1996-09-24,71,46,M,M,M
1996-09-25,70,41,M,M,M
1996-09-26,64,54,M,M,M
1996-09-27,63,53,M,M,M
1996-09-28,61,49,M,M,M
1996-09-29,58,42,M,M,M
1996-09-30,78,46,M,M,M
1996-10-01,74,54,M,M,M
1996-10-02,62,35,M,M,M
1996-10-03,51,30,M,M,M
1996-10-04,53,31,M,M,M
1996-10-05,68,48,M,M,M
1996-10-07,73,41,M,M,M
1996-10-08,49,33,M,M,M
1996-10-09,55,34,M,M,M
1996-10-10,45,31,M,M,M
1996-10-11,56,30,M,M,M
1996-10-12,67,49,M,M,M
1996-10-13,75,49,M,M,M
1996-10-14,58,38,M,M,M
1996-10-15,69,50,M,M,M
1996-10-16,75,48,M,M,M
1996-10-17,68,44,M,M,M
1996-10-18,52,33,M,M,M
1996-10-19,55,28,M,M,M
1996-10-20,58,27,M,M,M
1996-10-21,62,43,M,M,M
1996-10-22,57,51,M,M,M
1996-10-23,57,40,M,M,M
1996-10-24,47,41,M,M,M
1996-10-25,65,39,M,M,M
1996-10-26,64,50,M,M,M
1996-10-27,64,43,M,M,M
1996-10-28,53,33,M,M,M
1996-10-29,55,33,M,M,M
1996-10-30,52,26,M,M,M
1996-10-31,34,24,M,M,M
1996-11-01,35,22,M,M,M
1996-11-02,38,22,M,M,M
1996-11-03,48,22,M,M,M
1996-11-04,46,37,M,M,M
1996-11-05,50,32,M,M,M
1996-11-06,61,40,M,M,M
1996-11-07,42,32,M,M,M
1996-11-08,42,28,M,M,M
1996-11-09,37,24,M,M,M
1996-11-10,32,20,M,M,M
1996-11-11,29,17,M,M,M
1996-11-12,29,14,M,M,M
1996-11-13,28,10,M,M,M
1996-11-14,30,10,M,M,M
1996-11-15,39,28,M,M,M
1996-11-16,59,39,M,M,M
1996-11-17,51,26,M,M,M
1996-11-18,31,20,M,M,M
1996-11-19,27,15,M,M,M
1996-11-20,30,14,M,M,M
1996-11-21,32,22,M,M,M
1996-11-22,33,17,M,M,M
1996-11-23,34,26,M,M,M
1996-11-24,28,16,M,M,M
1996-11-25,29,8,M,M,M
1996-11-26,17,3,M,M,M
1996-11-27,20,-0,M,M,M
1996-11-28,32,14,M,M,M
1996-11-29,38,27,M,M,M
1996-11-30,40,31,M,M,M
1996-12-01,32,22,M,M,M
1996-12-02,26,13,M,M,M
1996-12-03,30,22,M,M,M
1996-12-04,33,27,M,M,M
1996-12-05,34,29,M,M,M
1996-12-06,34,29,M,M,M
1996-12-07,31,18,M,M,M
1996-12-08,30,26,M,M,M
1996-12-09,28,23,M,M,M
1996-12-10,34,24,M,M,M
1996-12-11,36,33,M,M,M
1996-12-12,34,32,M,M,M
1996-12-13,36,25,M,M,M
1996-12-14,40,29,M,M,M
1996-12-15,41,26,M,M,M
1996-12-16,26,17,M,M,M
1996-12-17,25,15,M,M,M
1996-12-18,15,4,M,M,M
1996-12-19,12,-5,M,M,M
1996-12-20,17,-4,M,M,M
1996-12-21,31,17,M,M,M
1996-12-22,36,22,M,M,M
1996-12-23,33,26,M,M,M
1996-12-24,26,-1,M,M,M
1996-12-25,-0,-7,M,M,M
1996-12-26,3,-12,M,M,M
1996-12-27,32,-12,M,M,M
1996-12-28,33,22,M,M,M
1996-12-29,26,17,M,M,M
1996-12-30,20,16,M,M,M
1996-12-31,32,13,M,M,M
1997-01-01,33,31,M,M,M
1997-01-02,38,32,M,M,M
1997-01-03,37,31,M,M,M
1997-01-04,36,33,M,M,M
1997-01-05,34,7,M,M,M
1997-01-06,16,6,M,M,M
1997-01-07,14,1,M,M,M
1997-01-08,28,5,M,M,M
1997-01-09,26,20,M,M,M
1997-01-10,25,14,M,M,M
1997-01-11,14,-1,M,M,M
1997-01-12,4,-5,M,M,M
1997-01-13,14,-0,M,M,M
1997-01-14,16,-1,M,M,M
1997-01-15,20,14,M,M,M
1997-01-16,19,-7,M,M,M
1997-01-17,3,-14,M,M,M
1997-01-18,5,-8,M,M,M
1997-01-19,27,1,M,M,M
1997-01-20,32,14,M,M,M
1997-01-21,42,25,M,M,M
1997-01-22,44,19,M,M,M
1997-01-23,27,11,M,M,M
1997-01-24,31,24,M,M,M
1997-01-25,24,-3,M,M,M
1997-01-26,19,-10,M,M,M
1997-01-27,23,1,M,M,M
1997-01-28,6,-9,M,M,M
1997-01-29,15,-11,M,M,M
1997-01-30,19,7,M,M,M
1997-01-31,39,17,M,M,M
1997-02-01,33,22,M,M,M
