date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1953-03-01,M,M,0.00,M,M
1953-03-02,M,M,T,M,M
1953-03-03,M,M,0.03,M,M
1953-03-04,M,M,0.40,M,M
1953-03-05,M,M,0.00,M,M
1953-03-06,M,M,0.00,M,M
1953-03-07,M,M,0.00,M,M
1953-03-08,M,M,0.14,M,M
1953-03-09,M,M,0.00,M,M
1953-03-10,M,M,0.00,M,M
1953-03-11,M,M,0.00,M,M
1953-03-12,M,M,0.13,M,M
1953-03-13,M,M,0.00,M,M
1953-03-14,M,M,0.00,M,M
1953-03-15,M,M,0.60,M,M
1953-03-16,M,M,0.00,M,M
1953-03-17,M,M,0.05,M,M
1953-03-18,M,M,0.00,M,M
1953-03-19,M,M,0.00,M,M
1953-03-20,M,M,0.00,M,M
1953-03-21,M,M,0.00,M,M
1953-03-22,M,M,0.15,M,M
1953-03-23,M,M,0.40,M,M
1953-03-24,M,M,0.00,M,M
1953-03-25,M,M,0.00,M,M
1953-03-26,M,M,0.00,M,M
1953-03-27,M,M,0.00,M,M
1953-03-28,M,M,0.00,M,M
1953-03-29,M,M,0.00,M,M
1953-03-30,M,M,0.00,M,M
1953-03-31,M,M,0.27,M,M
1953-04-01,M,M,0.43,0.0,0
1953-04-02,M,M,0.09,0.0,0
1953-04-03,M,M,0.05,0.0,0
1953-04-04,M,M,0.00,0.0,0
1953-04-05,M,M,0.00,0.0,0
1953-04-06,M,M,0.00,0.0,0
1953-04-07,M,M,0.00,0.0,0
1953-04-08,M,M,0.00,0.0,0
1953-04-09,M,M,0.05,0.0,0
1953-04-10,M,M,0.39,0.0,0
1953-04-11,M,M,0.00,0.0,0
1953-04-12,M,M,0.00,0.0,0
1953-04-13,M,M,0.00,0.0,0
1953-04-14,M,M,0.00,0.0,0
1953-04-15,M,M,0.50,0.0,0
1953-04-16,M,M,0.14,0.0,0
1953-04-17,M,M,0.00,0.0,0
1953-04-18,M,M,0.00,0.0,0
1953-04-19,M,M,T,T,0
1953-04-20,M,M,0.00,0.0,0
1953-04-21,M,M,0.00,0.0,0
1953-04-22,M,M,0.00,0.0,0
1953-04-23,M,M,0.00,0.0,0
1953-04-24,M,M,0.00,0.0,0
1953-04-25,M,M,0.34,0.0,0
1953-04-26,M,M,0.02,0.0,0
1953-04-27,M,M,0.00,0.0,0
1953-04-28,M,M,0.08,0.0,0
1953-04-29,M,M,0.08,0.0,0
1953-04-30,M,M,0.11,0.0,0
1953-05-01,M,M,0.73,0.0,0
1953-05-02,M,M,0.08,0.0,0
1953-05-03,M,M,0.19,0.0,0
1953-05-04,M,M,M,0.0,0
1953-05-05,M,M,M,0.0,0
1953-05-06,M,M,M,0.0,0
1953-05-07,M,M,M,0.0,0
1953-05-08,M,M,M,0.0,0
1953-05-09,M,M,M,0.0,0
1953-05-10,M,M,M,0.0,0
1953-05-11,M,M,M,0.0,0
1953-05-12,M,M,M,0.0,0
1953-05-13,M,M,M,0.0,0
1953-05-14,M,M,M,0.0,0
1953-05-15,M,M,M,0.0,0
1953-05-16,M,M,M,0.0,0
1953-05-17,M,M,M,0.0,0
1953-05-18,M,M,M,0.0,0
1953-05-19,M,M,M,0.0,0
1953-05-20,M,M,M,0.0,0
1953-05-21,M,M,M,0.0,0
1953-05-22,M,M,M,0.0,0
1953-05-23,M,M,M,0.0,0
1953-05-24,M,M,M,0.0,0
1953-05-25,M,M,M,0.0,0
1953-05-26,M,M,M,0.0,0
1953-05-27,M,M,M,0.0,0
1953-05-28,M,M,M,0.0,0
1953-05-29,M,M,M,0.0,0
1953-05-30,M,M,M,0.0,0
1953-05-31,M,M,M,0.0,0
1953-07-01,M,M,0.00,0.0,0
1953-07-02,M,M,0.00,0.0,0
1953-07-03,M,M,0.00,0.0,0
1953-07-04,M,M,0.00,0.0,0
1953-07-05,M,M,0.38,0.0,0
1953-07-06,M,M,0.00,0.0,0
1953-07-07,M,M,0.00,0.0,0
1953-07-08,M,M,0.00,0.0,0
1953-07-09,M,M,0.00,0.0,0
1953-07-10,M,M,0.00,0.0,0
1953-07-11,M,M,0.00,0.0,0
1953-07-12,M,M,0.00,0.0,0
1953-07-13,M,M,0.00,0.0,0
1953-07-14,M,M,0.23,0.0,0
1953-07-15,M,M,0.00,0.0,0
1953-07-16,M,M,0.00,0.0,0
1953-07-17,M,M,0.48,0.0,0
1953-07-18,M,M,0.00,0.0,0
1953-07-19,M,M,0.00,0.0,0
1953-07-20,M,M,0.00,0.0,0
1953-07-21,M,M,0.36,0.0,0
1953-07-22,M,M,0.00,0.0,0
1953-07-23,M,M,0.00,0.0,0
1953-07-24,M,M,0.00,0.0,0
1953-07-25,M,M,0.00,0.0,0
1953-07-26,M,M,0.47,0.0,0
1953-07-27,M,M,0.10,0.0,0
1953-07-28,M,M,0.00,0.0,0
1953-07-29,M,M,0.00,0.0,0
1953-07-30,M,M,0.49,0.0,0
1953-07-31,M,M,0.08,0.0,0
1953-08-01,M,M,0.00,0.0,0
1953-08-02,M,M,0.43,0.0,0
1953-08-03,M,M,0.00,0.0,0
1953-08-04,M,M,0.40,0.0,0
1953-08-05,M,M,0.03,0.0,0
1953-08-06,M,M,0.00,0.0,0
1953-08-07,M,M,0.03,0.0,0
1953-08-08,M,M,0.11,0.0,0
1953-08-09,M,M,0.00,0.0,0
1953-08-10,M,M,0.00,0.0,0
1953-08-11,M,M,0.00,0.0,0
1953-08-12,M,M,0.15,0.0,0
1953-08-13,M,M,0.00,0.0,0
1953-08-14,M,M,0.00,0.0,0
1953-08-15,M,M,0.00,0.0,0
1953-08-16,M,M,0.00,0.0,0
1953-08-17,M,M,0.00,0.0,0
1953-08-18,M,M,0.00,0.0,0
1953-08-19,M,M,0.00,0.0,0
1953-08-20,M,M,0.00,0.0,0
1953-08-21,M,M,0.00,0.0,0
1953-08-22,M,M,0.00,0.0,0
1953-08-23,M,M,0.00,0.0,0
1953-08-24,M,M,0.00,0.0,0
1953-08-25,M,M,0.00,0.0,0
1953-08-26,M,M,0.00,0.0,0
1953-08-27,M,M,0.00,0.0,0
1953-08-28,M,M,0.00,0.0,0
1953-08-29,M,M,0.00,0.0,0
1953-08-30,M,M,0.00,0.0,0
1953-08-31,M,M,0.00,0.0,0
1953-09-01,M,M,0.00,0.0,0
1953-09-02,M,M,0.00,0.0,0
1953-09-03,M,M,0.00,0.0,0
1953-09-04,M,M,1.22,0.0,0
1953-09-05,M,M,0.00,0.0,0
1953-09-06,M,M,0.00,0.0,0
1953-09-07,M,M,0.08,0.0,0
1953-09-08,M,M,0.00,0.0,0
1953-09-09,M,M,0.00,0.0,0
1953-09-10,M,M,0.30,0.0,0
1953-09-11,M,M,0.00,0.0,0
1953-09-12,M,M,0.40,0.0,0
1953-09-13,M,M,0.00,0.0,0
1953-09-14,M,M,0.00,0.0,0
1953-09-15,M,M,0.00,0.0,0
1953-09-16,M,M,0.00,0.0,0
1953-09-17,M,M,0.00,0.0,0
