date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2007-01-06,M,M,0.00,0.0,0
2007-01-07,M,M,0.00,0.0,0
2007-01-08,M,M,T,0.0,0
2007-01-09,M,M,0.00,0.0,0
2007-01-10,M,M,0.00,0.0,0
2007-01-11,M,M,0.00,0.0,0
2007-01-12,M,M,0.14,0.0,0
2007-01-15,M,M,0.28,2.3,2
2007-01-16,M,M,0.01,0.5,4
2007-01-17,M,M,0.00,0.0,4
2007-01-18,M,M,0.01,0.2,4
2007-01-19,M,M,0.01,0.2,4
2007-01-20,M,M,0.00,0.0,3
2007-01-21,M,M,0.09,0.4,3
2007-01-22,M,M,0.17,4.8,6
2007-01-23,M,M,0.00,0.0,5
2007-01-24,M,M,0.00,0.0,5
2007-01-25,M,M,0.00,0.0,5
2007-01-26,M,M,0.00,0.0,5
2007-01-27,M,M,0.00,0.0,5
2007-01-28,M,M,0.01,0.1,5
2007-01-29,M,M,0.01,0.3,4
2007-01-30,M,M,0.05,1.2,4
2007-02-01,M,M,0.01,0.1,4
2007-02-03,M,M,0.00,0.0,4
2007-02-04,M,M,0.00,0.0,4
2007-02-05,M,M,0.00,0.0,4
2007-02-06,M,M,0.00,0.0,4
2007-02-07,M,M,0.08,1.0,5
2007-02-08,M,M,0.00,0.0,5
2007-02-09,M,M,0.00,0.0,5
2007-02-10,M,M,0.00,0.0,5
2007-02-11,M,M,0.00,0.0,5
2007-02-12,M,M,0.19,3.0,5
2007-02-13,M,M,0.01,2.1,8
2007-02-14,M,M,0.17,4.5,9
2007-02-15,M,M,0.00,0.0,9
2007-02-16,M,M,0.00,0.0,9
2007-02-19,M,M,0.00,0.0,7
2007-02-20,M,M,0.00,0.0,7
2007-02-21,M,M,0.00,0.0,5
2007-02-22,M,M,0.00,0.0,3
2007-02-23,M,M,0.00,0.0,2
2007-02-24,M,M,0.05,3.0,5
2007-02-25,M,M,0.55,4.6,9
2007-02-26,M,M,0.17,1.2,7
2007-02-27,M,M,0.05,0.6,8
2007-02-28,M,M,0.00,0.0,7
2007-03-01,M,M,0.10,5.4,7
2007-03-02,M,M,0.01,0.8,7
2007-03-03,M,M,0.00,0.0,6
2007-03-04,M,M,0.00,0.0,6
2007-03-05,M,M,0.00,0.0,6
2007-03-06,M,M,0.03,0.4,6
2007-03-07,M,M,0.00,0.0,6
2007-03-08,M,M,0.00,0.0,3
2007-03-09,M,M,0.63,0.0,0
