date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1962-06-01,66,51,0.00,0.0,0
1962-06-02,63,46,T,0.0,0
1962-06-03,64,44,0.10,0.0,0
1962-06-04,78,54,0.15,0.0,0
1962-06-05,80,58,0.14,0.0,0
1962-06-06,77,55,T,0.0,0
1962-06-07,78,55,0.00,0.0,0
1962-06-08,76,48,T,0.0,0
1962-06-09,80,64,T,0.0,0
1962-06-10,81,63,0.22,0.0,0
1962-06-11,81,58,0.21,0.0,0
1962-06-12,70,44,0.00,0.0,0
1962-06-13,74,40,0.00,0.0,0
1962-06-14,78,44,0.00,0.0,0
1962-06-15,81,49,0.00,0.0,0
1962-06-16,87,56,0.00,0.0,0
1962-06-17,89,63,0.00,0.0,0
1962-06-18,85,61,0.55,0.0,0
1962-06-19,77,55,T,0.0,0
1962-06-20,76,52,0.00,0.0,0
1962-06-21,76,49,0.00,0.0,0
1962-06-22,81,56,0.10,0.0,0
1962-06-23,85,59,0.00,0.0,0
1962-06-24,86,54,0.00,0.0,0
1962-06-25,92,54,0.00,0.0,0
1962-06-26,78,52,0.00,0.0,0
1962-06-27,88,48,0.00,0.0,0
1962-06-28,89,57,0.00,0.0,0
1962-06-29,88,59,0.00,0.0,0
1962-06-30,88,63,0.00,0.0,0
1962-07-01,89,58,0.00,0.0,0
1962-07-02,77,M,1.70,0.0,0
1962-07-03,69,59,0.10,0.0,0
1962-07-04,80,57,T,0.0,0
1962-07-05,80,65,0.00,0.0,0
1962-07-06,87,58,0.00,0.0,0
1962-07-07,89,65,0.00,0.0,0
1962-07-08,85,65,T,0.0,0
1962-07-09,80,49,0.00,0.0,0
1962-07-10,84,55,0.00,0.0,0
1962-07-11,88,59,T,0.0,0
1962-07-12,88,63,0.00,0.0,0
1962-07-13,79,49,0.10,0.0,0
1962-07-14,73,56,0.10,0.0,0
1962-07-15,73,54,T,0.0,0
1962-07-16,68,55,T,0.0,0
1962-07-17,84,48,0.00,0.0,0
1962-07-18,82,53,0.00,0.0,0
1962-07-19,82,52,0.10,0.0,0
1962-07-20,80,64,0.20,0.0,0
1962-07-21,80,61,0.00,0.0,0
1962-07-22,82,M,T,0.0,0
1962-07-23,72,55,0.00,0.0,0
1962-07-24,84,50,0.00,0.0,0
1962-07-25,81,57,0.10,0.0,0
1962-07-26,82,44,T,0.0,0
1962-07-27,76,56,0.00,0.0,0
1962-07-28,71,57,0.50,0.0,0
1962-07-29,78,56,0.00,0.0,0
1962-07-30,77,57,0.00,0.0,0
1962-07-31,77,45,0.00,0.0,0
1962-08-01,81,54,T,0.0,0
1962-08-02,82,51,0.00,0.0,0
1962-08-03,79,57,T,0.0,0
1962-08-04,78,61,0.36,0.0,0
1962-08-05,81,55,0.00,0.0,0
1962-08-06,84,59,0.00,0.0,0
1962-08-07,86,59,0.00,0.0,0
1962-08-08,85,58,0.00,0.0,0
1962-08-09,83,52,0.00,0.0,0
1962-08-10,79,48,0.00,0.0,0
1962-08-11,80,48,0.00,0.0,0
1962-08-12,76,59,T,0.0,0
1962-08-13,74,57,0.00,0.0,0
1962-08-14,79,43,0.00,0.0,0
1962-08-15,77,47,0.00,0.0,0
1962-08-16,78,57,0.10,0.0,0
1962-08-17,76,46,0.00,0.0,0
1962-08-18,79,40,0.00,0.0,0
1962-08-19,87,57,0.00,0.0,0
1962-08-20,85,67,T,0.0,0
1962-08-21,88,56,0.00,0.0,0
1962-08-22,87,60,0.00,0.0,0
1962-08-23,91,66,0.00,0.0,0
1962-08-24,78,66,1.29,0.0,0
1962-08-25,75,58,0.00,0.0,0
1962-08-26,78,50,0.00,0.0,0
1962-08-27,84,55,0.00,0.0,0
1962-08-28,87,57,0.00,0.0,0
1962-08-29,87,58,0.00,0.0,0
1962-08-30,86,63,0.15,0.0,0
1962-08-31,78,63,T,0.0,0
1962-09-01,78,46,0.00,0.0,0
1962-09-02,80,45,0.00,0.0,0
1962-09-03,84,47,0.33,0.0,0
1962-09-04,78,53,T,0.0,0
1962-09-05,63,35,0.00,0.0,0
1962-09-06,66,33,0.00,0.0,0
1962-09-07,76,36,0.00,0.0,0
1962-09-08,76,58,T,0.0,0
1962-09-09,69,58,0.48,0.0,0
1962-09-10,66,49,0.15,0.0,0
1962-09-11,77,44,0.00,0.0,0
1962-09-12,86,58,0.00,0.0,0
1962-09-13,85,67,0.09,0.0,0
1962-09-14,78,47,0.00,0.0,0
1962-09-15,74,55,0.02,0.0,0
1962-09-16,77,47,0.29,0.0,0
1962-09-17,69,41,0.00,0.0,0
1962-09-18,70,48,0.00,0.0,0
1962-09-19,67,53,0.00,0.0,0
1962-09-20,58,30,0.00,0.0,0
1962-09-21,58,31,0.17,0.0,0
1962-09-22,62,39,0.05,0.0,0
1962-09-23,66,34,T,0.0,0
1962-09-24,66,47,0.17,0.0,0
1962-09-25,63,46,0.06,0.0,0
1962-09-26,65,37,T,0.0,0
1962-09-27,61,44,0.00,0.0,0
1962-09-28,60,35,0.00,0.0,0
1962-09-29,64,25,0.00,0.0,0
1962-09-30,61,37,0.05,0.0,0
1962-10-01,72,52,0.12,0.0,0
1962-10-02,64,50,0.00,0.0,0
1962-10-03,68,53,0.08,0.0,0
1962-10-04,61,53,0.52,0.0,0
1962-10-05,63,49,T,0.0,0
1962-10-06,63,44,0.00,0.0,0
1962-10-07,62,53,0.29,0.0,0
1962-10-08,60,54,0.35,0.0,0
1962-10-09,68,48,0.13,0.0,0
1962-10-10,81,45,0.00,0.0,0
1962-10-11,79,61,0.00,0.0,0
1962-10-12,72,53,0.00,0.0,0
1962-10-13,77,38,0.00,0.0,0
1962-10-14,81,57,0.00,0.0,0
1962-10-15,79,60,0.00,0.0,0
1962-10-16,73,39,0.16,0.0,0
1962-10-17,61,37,0.00,0.0,0
1962-10-18,65,43,0.00,0.0,0
1962-10-19,72,37,0.00,0.0,0
1962-10-20,62,M,0.06,0.0,0
1962-10-21,62,29,0.00,0.0,0
1962-10-22,59,35,0.05,0.0,0
1962-10-23,M,M,0.00,0.0,0
1962-10-24,44,26,0.00,0.0,0
1962-10-25,37,23,0.02,T,T
1962-10-26,41,17,0.00,0.0,0
1962-10-27,62,25,0.00,0.0,0
1962-10-28,50,41,0.00,0.0,0
1962-10-29,51,26,0.00,0.0,0
1962-10-30,55,34,0.00,0.0,0
1962-10-31,48,28,0.00,0.0,0
1962-11-01,42,32,0.00,0.0,0
1962-11-02,41,25,0.01,0.0,0
1962-11-03,39,30,0.06,T,T
1962-11-04,35,27,0.14,T,T
1962-11-05,39,29,0.02,0.0,0
1962-11-06,48,28,0.00,0.0,0
1962-11-07,46,34,0.00,0.0,0
1962-11-08,40,30,0.00,0.0,0
1962-11-09,44,23,0.00,0.0,0
1962-11-10,48,23,0.00,0.0,0
1962-11-11,45,28,0.00,0.0,0
1962-11-12,49,32,0.00,0.0,0
1962-11-13,50,26,0.00,0.0,0
1962-11-14,59,27,0.00,0.0,0
1962-11-15,49,33,0.00,0.0,0
1962-11-16,46,36,0.00,0.0,0
1962-11-17,45,30,0.15,2.0,2
1962-11-18,34,28,0.00,0.0,0
1962-11-19,33,20,0.00,0.0,0
1962-11-20,47,31,0.00,0.0,0
1962-11-21,48,32,0.01,0.0,0
1962-11-22,39,17,0.00,0.0,0
1962-11-23,39,17,0.01,T,T
1962-11-24,38,18,0.00,0.0,0
1962-11-25,45,21,0.00,0.0,0
1962-11-26,50,26,0.00,0.0,0
1962-11-27,48,28,0.00,0.0,0
1962-11-28,50,23,0.00,0.0,0
1962-11-29,59,29,0.00,0.0,0
1962-11-30,58,30,0.00,0.0,0
1962-12-01,59,34,0.00,0.0,0
1962-12-02,63,33,T,0.0,0
1962-12-03,62,36,0.00,0.0,0
1962-12-04,48,36,0.46,0.0,0
1962-12-05,38,23,0.01,T,T
1962-12-06,25,13,0.00,0.0,T
1962-12-07,30,20,T,T,T
1962-12-08,29,18,0.01,T,T
1962-12-09,20,11,0.02,1.0,1
1962-12-10,19,2,0.00,0.0,1
1962-12-11,11,-6,0.00,0.0,1
