date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-12-07,73,48,0.00,M,M
2000-12-10,80,53,0.00,M,M
2000-12-12,82,63,0.10,M,M
2000-12-13,82,62,0.00,M,M
2000-12-14,84,62,0.00,M,M
2000-12-15,87,61,0.00,M,M
2000-12-16,84,56,0.00,M,M
2000-12-17,86,66,0.29,M,M
2000-12-18,71,36,0.00,M,M
2000-12-19,74,45,0.00,M,M
2000-12-20,69,29,0.00,M,M
2000-12-21,55,30,0.00,M,M
2000-12-22,66,42,0.00,M,M
2000-12-24,63,50,0.00,M,M
2000-12-25,74,53,0.00,M,M
2000-12-26,73,49,0.00,M,M
2000-12-27,73,47,0.00,M,M
2000-12-28,75,57,0.15,M,M
2000-12-29,56,55,0.13,M,M
2000-12-30,57,36,M,M,M
2000-12-31,57,24,0.00,M,M
2001-01-01,56,23,0.00,M,M
2001-01-02,60,35,0.00,M,M
2001-01-03,59,32,0.00,M,M
2001-01-04,63,48,0.00,M,M
2001-01-05,57,23,0.00,M,M
2001-01-07,57,25,0.00,M,M
2001-01-08,78,38,0.00,M,M
2001-01-09,77,43,0.01,M,M
2001-01-10,60,27,0.00,M,M
2001-01-11,63,40,0.00,M,M
2001-01-15,78,48,0.00,M,M
2001-01-16,78,51,0.00,M,M
2001-01-17,78,53,0.00,M,M
2001-01-18,81,59,0.00,M,M
2001-01-19,83,56,0.00,M,M
2001-01-20,86,63,0.00,M,M
2001-01-21,65,26,0.00,M,M
2001-01-22,59,42,0.00,M,M
2001-01-23,65,34,0.00,M,M
2001-01-24,68,37,0.00,M,M
2001-01-25,66,33,0.00,M,M
2001-01-27,71,37,0.00,M,M
2001-01-28,76,44,0.00,M,M
2001-01-31,83,57,0.00,M,M
2001-02-01,81,60,0.00,M,M
2001-02-03,84,54,0.00,M,M
2001-02-04,61,52,0.01,M,M
2001-02-05,55,52,0.00,M,M
2001-02-06,44,30,0.01,M,M
2001-02-07,78,42,0.00,M,M
2001-02-08,78,41,0.00,M,M
2001-02-09,79,41,0.00,M,M
2001-02-10,81,52,0.00,M,M
2001-02-11,87,56,0.00,M,M
2001-02-12,87,56,0.00,M,M
2001-02-13,86,63,0.00,M,M
2001-02-14,86,56,0.00,M,M
