date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2015-01-01,74,61,M,M,M
2015-01-02,80,63,M,M,M
2015-01-03,80,64,M,M,M
2015-01-04,84,65,M,M,M
2015-01-05,85,63,M,M,M
2015-01-06,75,54,0.45A,M,M
2015-01-07,81,51,0.00,M,M
2015-01-08,71,40,0.00,M,M
2015-01-09,65,46,0.00,M,M
2015-01-10,77,47,0.00,M,M
2015-01-11,69,51,0.00,M,M
2015-01-12,83,62,0.00,M,M
2015-01-13,80,61,1.30,M,M
2015-01-14,80,62,0.00,M,M
2015-01-15,70,55,0.01,M,M
2015-01-16,69,55,0.03,M,M
2015-01-17,68,M,0.00,M,M
2015-01-18,76,55,0.00,M,M
2015-01-19,72,44,0.00,M,M
2015-01-20,71,50,0.00,M,M
2015-01-21,73,51,0.00,M,M
2015-01-22,79,53,0.00,M,M
2015-01-23,81,59,0.00,M,M
2015-01-24,80,64,0.36,M,M
2015-01-25,70,40,T,M,M
2015-01-26,65,48,0.23,M,M
2015-01-27,70,41,0.00,M,M
2015-01-28,67,41,0.00,M,M
2015-01-29,63,41,0.00,M,M
2015-01-30,73,44,0.00,M,M
2015-01-31,75,42,0.00,M,M
2015-02-01,73,47,0.00,M,M
2015-02-02,76,53,0.00,M,M
2015-02-03,78,41,T,M,M
2015-02-04,71,49,0.00,M,M
2015-02-05,78,61,1.39,M,M
2015-02-06,73,47,0.03,M,M
2015-02-07,70,46,0.00,M,M
2015-02-08,74,48,0.00,M,M
2015-02-09,77,54,0.00,M,M
2015-02-10,75,56,1.28,M,M
2015-02-11,70,46,0.00,M,M
2015-02-12,69,44,0.00,M,M
2015-02-13,71,45,0.00,M,M
2015-02-14,65,40,0.00,M,M
2015-02-15,63,44,0.00,M,M
2015-02-16,75,46,0.00,M,M
2015-02-17,76,54,0.00,M,M
2015-02-18,82,52,0.26,M,M
2015-02-19,64,36,0.00,M,M
2015-02-20,55,29,0.00,M,M
2015-02-21,62,39,0.00,M,M
2015-02-22,74,52,0.00,M,M
2015-02-23,83,59,0.00,M,M
2015-02-24,85,60,0.00,M,M
2015-02-25,81,60,0.00,M,M
2015-02-26,83,65,0.02,M,M
2015-02-27,68,54,0.46,M,M
2015-02-28,68,54,0.15,M,M
2015-03-01,74,65,5.69,M,M
2015-03-02,82,63,0.01,M,M
2015-03-03,84,60,0.02,M,M
2015-03-04,83,63,0.01,M,M
2015-03-05,85,65,T,M,M
2015-03-06,87,65,0.00,M,M
2015-03-07,83,55,0.00,M,M
2015-03-08,73,57,0.01,M,M
2015-03-09,79,57,0.00,M,M
2015-03-10,82,61,0.00,M,M
