date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2002-01-06,65,27,0.00,M,M
2002-01-07,72,39,0.10,M,M
2002-01-08,55,24,T,M,M
2002-01-09,52,19,0.00,M,M
2002-01-10,62,22,0.00,M,M
2002-01-11,73,30,0.00,M,M
2002-01-12,75,30,0.00,M,M
2002-01-13,76,44,0.05,M,M
2002-01-14,67,39,0.07,M,M
2002-01-15,67,52,0.76,M,M
2002-01-16,67,34,T,M,M
2002-01-17,73,35,0.00,M,M
2002-01-18,77,47,T,M,M
2002-01-19,73,42,0.00,M,M
2002-01-20,85,42,0.00,M,M
2002-01-21,82,62,0.00,M,M
2002-01-22,84,57,0.00,M,M
2002-01-24,86,54,0.00,M,M
2002-01-25,86,52,0.00,M,M
2002-01-26,85,65,0.03,M,M
2002-01-27,77,57,0.00,M,M
2002-01-30,85,56,0.00,M,M
2002-01-31,86,58,0.00,M,M
2002-02-01,87,54,0.00,M,M
2002-02-02,85,55,0.00,M,M
2002-02-03,79,51,0.00,M,M
2002-02-04,79,47,0.00,M,M
2002-02-05,63,32,0.00,M,M
2002-02-06,64,38,0.00,M,M
2002-02-07,81,43,0.00,M,M
2002-02-08,71,36,0.28,M,M
2002-02-09,62,36,0.00,M,M
2002-02-10,78,56,0.00,M,M
2002-02-11,77,52,0.14,M,M
2002-02-12,74,43,0.00,M,M
2002-02-13,71,42,0.00,M,M
2002-02-14,60,50,0.00,M,M
2002-02-15,72,42,0.00,M,M
2002-02-16,80,47,0.02,M,M
2002-02-17,68,40,0.05,M,M
2002-02-18,70,37,0.00,M,M
2002-02-19,67,35,0.00,M,M
2002-02-20,76,37,0.00,M,M
2002-02-21,81,46,0.00,M,M
2002-02-22,86,62,0.07,M,M
2002-02-24,67,55,0.81,M,M
2002-02-25,67,35,0.00,M,M
2002-02-26,76,36,0.00,M,M
2002-02-27,77,47,0.00,M,M
2002-02-28,56,22,0.00,M,M
2002-03-01,60,30,0.00,M,M
2002-03-02,69,48,M,M,M
2002-03-03,85,68,0.00,M,M
2002-03-04,79,48,0.82,M,M
2002-03-05,54,31,0.00,M,M
2002-03-06,61,39,0.00,M,M
2002-03-07,74,46,0.00,M,M
2002-03-08,73,54,0.00,M,M
2002-03-09,83,52,0.00,M,M
2002-03-10,84,53,T,M,M
2002-03-11,82,42,0.00,M,M
2002-03-12,80,51,0.00,M,M
2002-03-13,87,53,0.30,M,M
2002-03-14,80,47,0.00,M,M
2002-03-15,81,49,0.00,M,M
2002-03-16,87,56,0.00,M,M
2002-03-17,90,57,0.02,M,M
2002-03-18,89,54,0.00,M,M
2002-03-19,89,55,0.00,M,M
2002-03-20,89,55,0.00,M,M
2002-03-21,88,55,0.00,M,M
2002-03-22,86,58,T,M,M
2002-03-23,76,48,0.00,M,M
2002-03-24,76,46,0.00,M,M
2002-03-25,84,53,0.00,M,M
2002-03-26,87,56,0.01,M,M
2002-03-27,91,57,0.05,M,M
2002-03-28,86,51,0.00,M,M
2002-03-29,84,53,0.00,M,M
2002-03-30,89,62,0.00,M,M
2002-03-31,89,64,0.00,M,M
2002-04-01,89,66,0.00,M,M
2002-04-02,88,58,0.00,M,M
2002-04-03,85,58,0.00,M,M
2002-04-05,86,59,0.00,M,M
2002-04-06,76,44,0.00,M,M
2002-04-07,76,46,0.00,M,M
2002-04-08,80,48,0.00,M,M
2002-04-09,84,55,0.00,M,M
2002-04-10,89,56,0.00,M,M
