date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-09-12,84,58,0.00,M,M
2009-09-13,80,57,0.00,M,M
2009-09-14,83,55,0.00,M,M
2009-09-15,83,51,0.00,M,M
2009-09-16,79,51,0.00,M,M
2009-09-17,88,51,0.00,M,M
2009-09-18,83,51,0.00,M,M
2009-09-19,83,54,0.00,M,M
2009-09-20,80,57,0.00,M,M
2009-09-21,78,55,0.00,M,M
2009-09-22,70,55,0.52,M,M
2009-09-23,76,51,0.00,M,M
2009-09-24,74,50,0.00,M,M
2009-09-25,77,57,1.75,M,M
2009-09-26,70,50,0.25,M,M
2009-09-27,77,50,0.00,M,M
2009-09-28,74,50,T,M,M
2009-09-29,60,43,0.00,M,M
2009-09-30,59,36,0.00,M,M
2009-10-01,68,36,0.57,0.0,0
2009-10-02,57,46,1.61,0.0,0
2009-10-03,54,44,0.18,0.0,0
2009-10-04,52,39,0.08,0.0,0
2009-10-05,54,37,0.00,0.0,0
2009-10-06,52,40,0.72,0.0,0
2009-10-07,50,35,0.16,0.0,0
2009-10-08,67,33,0.01,0.0,0
2009-10-09,51,29,0.00,0.0,0
2009-10-10,50,27,T,T,T
2009-10-11,50,23,0.00,0.0,0
2009-10-12,43,24,T,T,T
2009-10-13,40,24,M,1.5,M
2009-10-14,41,24,T,T,0
2009-10-15,44,33,0.44,0.0,0
2009-10-16,47,36,0.21,0.0,0
2009-10-17,47,36,0.03,0.0,0
2009-10-18,51,34,0.00,0.0,0
2009-10-19,63,35,0.00,0.0,0
2009-10-20,64,41,0.00,0.0,0
2009-10-21,65,41,0.05,0.0,0
2009-10-22,54,37,0.91,0.0,0
2009-10-23,46,36,M,M,0
2009-10-24,38,29,1.04A,T,0
2009-10-25,56,28,0.10,M,M
2009-10-26,50,38,0.00,0.0,M
2009-10-27,54,33,0.00,0.0,M
2009-10-28,56,34,0.00,0.0,0
2009-10-29,56,34,0.01,0.0,0
2009-10-30,58,49,0.47,0.0,0
2009-10-31,58,34,0.06,0.0,0
2009-11-01,47,34,0.00,0.0,0
2009-11-02,64,35,0.00,0.0,0
2009-11-03,64,25,0.00,0.0,0
2009-11-04,47,24,0.07,0.0,0
2009-11-05,51,27,0.00,0.0,0
2009-11-06,60,26,0.00,0.0,0
2009-11-07,67,43,0.00,0.0,0
2009-11-08,67,41,0.00,0.0,0
2009-11-09,70,35,0.00,0.0,0
2009-11-10,60,33,0.00,0.0,0
2009-11-11,59,31,0.00,0.0,0
2009-11-12,57,37,0.00,0.0,0
2009-11-13,56,39,0.00,0.0,0
2009-11-14,55,41,0.07,0.0,0
2009-11-15,50,28,0.00,0.0,0
2009-11-16,44,27,0.00,0.0,0
2009-11-17,49,25,0.00,0.0,0
2009-11-18,49,26,0.00,0.0,0
2009-11-19,52,24,T,0.0,0
2009-11-20,51,34,0.00,0.0,0
2009-11-21,52,27,0.00,0.0,0
2009-11-22,53,27,0.00,0.0,0
2009-11-23,60,27,0.00,0.0,0
2009-11-24,55,43,0.66,0.0,0
2009-11-25,55,36,0.62,0.0,0
2009-11-26,42,30,0.08,T,T
2009-11-27,34,24,0.00,0.0,0
2009-11-28,45,24,0.00,0.0,0
2009-11-29,47,26,0.00,0.0,0
2009-11-30,37,26,0.00,0.0,0
2009-12-01,50,26,0.00,0.0,M
2009-12-02,51,28,0.00,0.0,M
2009-12-03,34,25,T,T,M
2009-12-04,28,6,0.20,3.0,M
2009-12-05,29,6,T,T,M
2009-12-06,28,10,0.00,0.0,M
2009-12-07,20,10,T,T,M
2009-12-08,23,12,0.00,0.0,M
2009-12-09,17,-7,0.00,0.0,M
2009-12-10,7,-7,T,T,M
2009-12-11,13,-9,0.00,0.0,M
2009-12-12,20,-3,0.00,0.0,M
2009-12-13,31,5,0.00,0.0,M
2009-12-14,16,5,T,T,6
2009-12-15,16,-6,T,T,6
2009-12-16,8,-6,0.00,0.0,6
2009-12-17,15,-6,0.00,0.0,M
2009-12-18,26,12,0.00,0.0,M
