date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2003-08-01,M,M,0.00,0.0,0
2003-08-02,M,M,0.00,0.0,0
2003-08-03,M,M,0.00,0.0,0
2003-08-04,M,M,0.00,0.0,0
2003-08-05,M,M,0.00,0.0,0
2003-08-06,M,M,0.05,0.0,0
2003-08-07,M,M,T,0.0,0
2003-08-08,M,M,0.00,0.0,0
2003-08-09,M,M,0.00,0.0,0
2003-08-10,M,M,0.00,0.0,0
2003-08-11,M,M,0.00,0.0,0
2003-08-12,M,M,0.00,0.0,0
2003-08-13,M,M,0.00,0.0,0
2003-08-14,M,M,0.00,0.0,0
2003-08-15,M,M,0.00,0.0,0
2003-08-16,M,M,0.00,0.0,0
2003-08-17,M,M,0.00,0.0,0
2003-08-18,M,M,0.00,0.0,0
2003-08-19,M,M,0.12,0.0,0
2003-08-20,M,M,0.00,0.0,0
2003-08-21,M,M,0.00,0.0,0
2003-08-22,M,M,0.00,0.0,0
2003-08-23,M,M,0.00,0.0,0
2003-08-24,M,M,0.00,0.0,0
2003-08-25,M,M,0.00,0.0,0
2003-08-26,M,M,0.00,0.0,0
2003-08-27,M,M,0.00,0.0,0
2003-08-28,M,M,0.00,0.0,0
2003-08-29,M,M,0.00,0.0,0
2003-08-30,M,M,0.00,0.0,0
2003-08-31,M,M,0.00,0.0,0
2003-12-01,M,M,0.00,0.0,3
2003-12-02,M,M,0.00,0.0,2
2003-12-03,M,M,0.00,0.0,2
2003-12-04,M,M,0.00,0.0,2
2003-12-05,M,M,0.08,0.9,3
2003-12-06,M,M,0.00,0.0,M
2003-12-07,M,M,0.00,0.0,M
2003-12-08,M,M,0.00,0.0,M
2003-12-09,M,M,0.10,0.8,M
2003-12-10,M,M,T,T,M
2003-12-11,M,M,0.00,0.0,M
2003-12-12,M,M,0.00,0.0,M
2003-12-13,M,M,T,T,M
2003-12-14,M,M,T,0.0,M
2003-12-15,M,M,0.00,0.0,M
2003-12-16,M,M,0.20,2.7,6
2003-12-17,M,M,0.00,0.0,M
2003-12-18,M,M,0.10,1.4,7
2003-12-19,M,M,0.00,0.0,M
2003-12-20,M,M,0.00,0.0,M
2003-12-21,M,M,0.00,0.0,M
2003-12-22,M,M,0.00,0.0,M
2003-12-23,M,M,0.00,0.0,M
2003-12-24,M,M,0.00,0.0,M
2003-12-25,M,M,0.00,0.0,M
2003-12-26,M,M,0.00,0.0,M
2003-12-27,M,M,0.00,0.0,M
2003-12-28,M,M,0.00,0.0,M
2003-12-29,M,M,0.00,0.0,M
2003-12-30,M,M,0.03,0.6,3
2003-12-31,M,M,0.00,0.0,M
2004-01-01,M,M,0.00,M,3
2004-01-02,M,M,0.00,0.0,M
2004-01-03,M,M,0.00,0.0,M
2004-01-04,M,M,0.00,0.0,M
2004-01-05,M,M,T,0.2,M
2004-01-06,M,M,0.00,0.0,M
2004-01-07,M,M,0.00,0.0,M
2004-01-08,M,M,0.00,0.0,M
2004-01-09,M,M,0.00,0.0,M
2004-01-10,M,M,0.00,0.0,M
2004-01-11,M,M,0.00,0.0,M
2004-01-12,M,M,0.00,0.0,M
2004-01-13,M,M,T,0.0,M
2004-01-14,M,M,T,0.0,M
2004-01-15,M,M,0.00,0.0,M
2004-01-16,M,M,0.00,0.0,M
2004-01-17,M,M,0.00,0.0,M
2004-01-18,M,M,T,0.0,M
