date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1981-10-01,53,41,0.08,M,M
1981-10-02,55,31,0.00,M,M
1981-10-03,54,40,0.15,M,M
1981-10-04,55,44,0.59,M,M
1981-10-05,54,50,0.22,M,M
1981-10-06,56,43,0.07,M,M
1981-10-07,60,35,0.00,M,M
1981-10-08,64,42,0.00,M,M
1981-10-09,58,44,0.06,M,M
1981-10-10,57,48,0.07,M,M
1981-10-11,57,44,0.00,M,M
1981-10-12,64,49,0.00,M,M
1981-10-13,62,55,0.07,M,M
1981-10-14,62,49,0.49,M,M
1981-10-15,58,44,0.03,M,M
1981-10-16,64,38,0.00,M,M
1981-10-17,61,43,0.68,M,M
1981-10-18,M,41,0.26,M,M
1981-10-19,63,28,T,M,M
1981-10-20,62,45,0.00,M,M
1981-10-21,49,34,0.00,M,M
1981-10-22,42,33,0.00,M,M
1981-10-23,M,24,0.01,M,M
1981-10-24,31,24,0.06,1.3,1
1981-10-25,38,28,0.00,0.0,0
1981-10-26,52,25,0.00,M,M
1981-10-27,58,26,0.00,M,M
1981-10-28,60,31,0.00,M,M
1981-10-29,60,45,0.00,M,M
1981-10-30,64,57,0.00,M,M
1981-10-31,63,43,0.00,M,M
1982-01-01,10,-15,0.00,0.0,8
1982-01-02,21,M,0.25,M,10
1982-01-03,21,-10,0.05,T,10
1982-01-04,15,-17,0.00,0.0,10
1982-01-05,20,-0,0.00,0.0,10
1982-01-06,13,-8,0.00,0.0,10
1982-01-07,1,-21,0.00,0.0,10
1982-01-08,12,-4,0.00,0.0,10
1982-01-09,-4,-23,0.00,0.0,10
1982-01-10,-7,-28,0.00,0.0,10
1982-01-11,6,M,0.00,0.0,10
1982-01-12,12,-3,0.00,0.0,10
1982-01-13,8,-0,0.04,0.5,10
1982-01-14,6,-19,0.00,0.0,10
1982-01-15,10,-4,0.06,0.5,11
1982-01-16,4,-24,T,M,11
1982-01-17,1,-22,0.03,0.5,11
1982-01-18,12,2,0.05,1.0,11
1982-01-19,21,7,T,T,11
1982-01-20,18,1,0.29,6.0,14
1982-01-21,16,11,0.06,2.0,16
1982-01-22,15,11,0.27,4.0,20
1982-01-23,16,3,0.39,6.0,26
1982-01-24,12,-6,0.00,0.0,M
1982-01-25,14,-12,0.00,M,M
1982-01-26,9,-19,0.00,0.0,28
1982-01-27,40,5,0.00,0.0,28
1982-01-28,38,-0,0.00,0.0,28
1982-01-29,31,4,0.00,0.0,28
1982-01-30,29,3,0.00,0.0,24
1982-01-31,10,-19,0.00,0.0,20
1982-03-01,40,15,0.00,0.0,9
1982-03-02,28,12,0.00,0.0,9
1982-03-03,21,4,0.00,0.0,9
1982-03-04,30,11,0.00,0.0,9
1982-03-05,25,6,0.00,0.0,9
1982-03-06,26,12,0.00,0.0,9
1982-03-07,24,-5,0.00,0.0,9
1982-03-08,21,12,0.18,3.0,12
1982-03-09,18,-6,0.00,0.0,12
1982-03-10,41,15,0.00,0.0,10
1982-03-11,39,19,0.00,0.0,9
1982-03-12,39,32,0.46,0.0,7
1982-03-13,41,M,0.00,0.0,7
1982-03-14,41,22,0.00,0.0,7
1982-03-15,41,32,T,0.0,6
1982-03-16,37,32,0.50,3.0,9
1982-03-17,41,29,0.00,0.0,6
