date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1987-08-01,76,62,0.35,0.0,0
1987-08-02,80,68,0.93,0.0,0
1987-08-03,90,62,0.00,0.0,0
1987-08-04,84,54,0.00,0.0,0
1987-08-05,68,48,0.00,0.0,0
1987-08-06,77,49,0.00,0.0,0
1987-08-07,77,59,0.00,0.0,0
1987-08-08,81,50,0.00,0.0,0
1987-08-09,78,57,0.07,0.0,0
1987-08-10,76,58,0.00,0.0,0
1987-08-11,79,44,0.00,0.0,0
1987-08-12,80,62,0.00,0.0,0
1987-08-13,79,64,0.23,0.0,0
1987-08-14,71,62,0.01,0.0,0
1987-08-15,84,68,0.02,0.0,0
1987-08-16,82,70,0.86,0.0,0
1987-08-17,80,60,0.00,0.0,0
1987-08-18,71,53,0.06,0.0,0
1987-08-19,70,44,0.02,0.0,0
1987-08-20,63,50,0.00,0.0,0
1987-08-21,76,54,0.15,0.0,0
1987-08-22,76,51,0.06,0.0,0
1987-08-23,66,42,0.13,0.0,0
1987-08-24,70,43,0.00,0.0,0
1987-08-25,71,43,0.00,0.0,0
1987-08-26,69,51,0.00,0.0,0
1987-08-27,68,52,0.02,0.0,0
1987-08-28,70,43,0.00,0.0,0
1987-08-29,75,45,0.02,0.0,0
1987-08-30,73,59,0.02,0.0,0
1987-08-31,71,47,0.00,0.0,0
1987-09-01,69,41,0.02,0.0,0
1987-09-02,59,42,0.14,0.0,0
1987-09-03,71,33,0.00,0.0,0
1987-09-04,73,50,0.00,0.0,0
1987-09-05,79,58,0.00,0.0,0
1987-09-06,79,60,0.15,0.0,0
1987-09-07,78,48,0.00,0.0,0
1987-09-08,70,46,0.01,0.0,0
1987-09-09,73,51,0.00,0.0,0
1987-09-10,76,44,0.00,0.0,0
1987-09-11,72,57,0.23,0.0,0
1987-09-12,69,54,1.43,0.0,0
1987-09-13,62,49,0.10,0.0,0
1987-09-14,69,43,0.00,0.0,0
1987-09-15,75,42,0.00,0.0,0
1987-09-16,75,52,0.00,0.0,0
1987-09-17,75,51,0.22,0.0,0
1987-09-18,66,44,0.04,0.0,0
1987-09-19,64,51,0.78,0.0,0
1987-09-20,64,40,0.08,0.0,0
1987-09-21,60,50,0.09,0.0,0
1987-09-22,66,54,0.00,0.0,0
1987-09-23,73,47,0.00,0.0,0
1987-09-24,62,43,0.00,0.0,0
1987-09-25,67,44,0.00,0.0,0
1987-09-26,69,39,0.00,0.0,0
1987-09-27,76,47,0.09,0.0,0
1987-09-28,76,52,0.02,0.0,0
1987-09-29,75,46,0.07,0.0,0
1987-09-30,56,40,0.40,0.0,0
1987-10-01,51,35,0.13,0.0,0
1987-10-02,50,38,1.16,0.0,0
1987-10-03,46,34,0.01,0.0,0
1987-10-04,67,33,0.00,0.0,0
1987-10-05,65,45,0.17,0.0,0
1987-10-06,55,40,0.21,0.0,0
1987-10-07,40,35,0.33,0.0,0
1987-10-08,45,33,0.00,0.0,0
1987-10-09,49,36,0.11,0.0,0
1987-10-10,42,32,0.04,0.0,0
1987-10-11,49,24,0.00,0.0,0
1987-10-12,56,30,0.00,0.0,0
1987-10-13,61,26,0.00,0.0,0
1987-10-14,65,40,0.00,0.0,0
1987-10-15,62,41,0.20,0.0,0
1987-10-16,55,40,0.20,0.0,0
1987-10-17,55,41,0.17,0.0,0
1987-10-18,56,34,0.00,0.0,0
1987-10-19,55,33,0.00,0.0,0
1987-10-20,53,25,0.00,0.0,0
1987-10-21,47,27,0.01,0.0,0
1987-10-22,38,28,0.10,0.0,0
1987-10-23,44,31,0.03,0.0,0
1987-10-24,44,28,0.13,0.0,0
1987-10-25,49,25,0.01,0.0,0
1987-10-26,47,38,0.06,0.0,0
1987-10-27,48,36,0.25,0.0,0
1987-10-28,47,31,0.27,0.0,0
1987-10-29,47,31,0.01,0.0,0
1987-10-30,46,31,0.01,0.0,0
1987-10-31,46,29,0.00,0.0,0
1987-11-01,57,26,0.00,M,M
1987-11-02,53,44,0.00,M,M
1987-11-03,59,50,0.29,M,M
1987-11-04,58,45,0.25,M,M
1987-11-05,48,30,0.01,M,M
1987-11-06,43,24,0.30,M,M
1987-11-07,48,21,0.00,M,M
1987-11-08,44,30,0.00,M,M
1987-11-09,35,28,0.00,M,M
1987-11-10,34,21,0.04,M,M
1987-11-11,48,22,T,M,M
1987-11-12,54,24,0.00,M,M
1987-11-13,49,32,0.00,M,M
1987-11-14,44,28,0.00,M,M
1987-11-15,49,27,0.00,M,M
1987-11-16,52,41,0.14,M,M
1987-11-17,51,36,1.01,M,M
1987-11-18,37,28,0.15,M,M
1987-11-19,35,26,0.13,M,M
1987-11-20,26,15,0.32,M,M
1987-11-21,21,11,0.06,M,M
1987-11-22,39,14,0.00,M,M
1987-11-23,37,23,0.22,M,M
1987-11-24,36,25,0.00,M,M
1987-11-25,32,24,0.00,M,M
1987-11-26,36,25,0.00,M,M
1987-11-27,32,12,0.00,M,M
1987-11-28,35,30,0.00,M,M
1987-11-29,38,33,0.53,M,M
1987-11-30,39,29,0.46,M,M
1987-12-01,30,24,0.10,M,M
1987-12-02,32,20,0.02,M,M
1987-12-03,31,-0,0.03,M,M
1987-12-04,32,M,0.07,M,M
1987-12-05,31,25,0.00,M,M
1987-12-06,37,13,0.00,M,M
1987-12-07,37,19,0.00,M,M
1987-12-08,38,31,0.06,M,M
1987-12-09,40,35,0.52,M,M
1987-12-10,36,32,0.11,M,M
1987-12-11,37,27,0.08,M,M
1987-12-12,39,30,0.00,M,M
1987-12-13,37,30,0.01,M,M
1987-12-14,34,28,0.00,M,M
1987-12-15,32,28,0.21,M,M
1987-12-16,31,25,0.21,M,M
1987-12-17,29,22,0.01,M,M
1987-12-18,27,20,0.10,M,M
1987-12-19,29,19,0.05,M,M
1987-12-20,35,27,0.27,M,M
1987-12-21,34,15,0.00,M,M
1987-12-22,35,22,0.00,M,M
1987-12-23,32,21,0.00,M,M
1987-12-24,34,20,0.09,M,M
1987-12-25,32,24,0.05,M,M
1987-12-26,26,5,0.00,M,M
1987-12-27,31,13,0.00,M,M
1987-12-28,30,-4,0.00,M,M
1987-12-29,30,17,0.02,M,M
1987-12-30,30,-2,0.00,M,M
1987-12-31,35,22,0.06,M,M
1988-01-01,22,3,0.00,M,M
1988-01-02,15,-5,0.00,M,M
1988-01-03,22,-0,0.00,M,M
1988-01-04,21,-2,0.00,M,M
1988-01-05,4,-10,0.02,M,M
1988-01-06,9,-7,0.00,M,M
1988-01-07,8,-16,0.00,M,M
1988-01-08,16,1,0.01,M,M
1988-01-09,13,-1,0.01,M,M
1988-01-10,12,-13,0.00,M,M
1988-01-11,24,5,0.05,M,M
1988-01-12,31,16,0.08,M,M
1988-01-13,29,2,0.06,M,M
1988-01-14,10,-9,0.02,M,M
1988-01-15,25,9,0.01,M,M
1988-01-16,38,20,0.00,M,M
1988-01-17,40,16,0.00,M,M
1988-01-18,36,23,0.00,M,M
1988-01-19,32,15,0.00,M,M
1988-01-20,30,19,0.10,M,M
1988-01-21,26,20,0.20,M,M
1988-01-22,23,-4,0.02,M,M
1988-01-23,23,17,0.03,M,M
1988-01-24,21,12,0.08,M,M
1988-01-25,19,9,0.05,M,M
1988-01-26,17,11,0.02,M,M
1988-01-27,15,-2,0.00,M,M
1988-01-28,16,7,0.13,M,M
1988-01-29,35,M,0.00,M,M
1988-01-30,37,28,0.00,M,M
1988-01-31,38,17,0.00,M,M
1988-02-01,25,8,0.01,M,M
1988-02-02,21,8,0.01,M,M
1988-02-03,17,-6,0.01,M,M
1988-02-04,15,9,0.02,M,M
1988-02-05,10,2,0.00,M,M
1988-02-06,4,-8,0.06,M,M
1988-02-07,10,-2,0.00,M,M
1988-02-08,8,-4,0.00,M,M
1988-02-09,15,M,0.01,M,M
