date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-02,M,M,0.10,M,12
2000-01-03,M,M,0.24,M,16
2000-01-04,M,M,0.01,0.3,16
2000-01-05,M,M,0.03,M,16
2000-01-06,M,M,0.20,M,18
2000-01-07,M,M,0.05,1.5,18
2000-01-08,M,M,0.01,0.2,18
2000-01-10,M,M,0.06,0.5,18
2000-01-11,M,M,0.18,0.5,18
2000-01-12,M,M,T,0.1,18
2000-01-13,M,M,0.02,1.5,18
2000-01-14,M,M,T,0.1,18
2000-01-15,M,M,0.02,0.3,18
2000-01-18,M,M,0.31,T,22
2000-01-19,M,M,0.03,1.0,22
2000-01-22,M,M,M,2.5,24
2000-01-23,M,M,0.19,0.3,24
2000-01-25,M,M,0.01,0.3,24
2000-01-26,M,M,0.04,1.0,24
2000-01-27,M,M,T,0.1,24
2000-01-31,M,M,M,0.7,24
2000-02-01,M,M,0.12,2.3,26
2000-02-02,M,M,M,0.5,26
2000-02-03,M,M,0.06,1.5,26
2000-02-04,M,M,0.11,2.5,30
2000-02-05,M,M,M,0.5,30
2000-02-06,M,M,0.01,M,30
2000-02-07,M,M,0.01,0.8,30
2000-02-09,M,M,T,0.1,30
2000-02-10,M,M,0.03,0.7,30
2000-02-11,M,M,0.07,0.1,32
2000-02-13,M,M,0.02,0.2,32
2000-02-14,M,M,0.02,M,34
2000-02-15,M,M,T,0.1,34
2000-02-16,M,M,0.45,2.5,42
2000-02-20,M,M,0.02,0.2,42
2000-02-24,M,M,0.07,M,19
2000-02-28,M,M,0.03,M,8
2000-03-01,M,M,0.01,M,2
2000-03-02,M,M,0.04,0.1,2
2000-03-12,M,M,0.01,0.5,3
2000-03-14,M,M,0.01,0.2,2
2000-03-15,M,M,0.13,1.8,3
2000-03-16,M,M,0.27,M,7
2000-03-19,M,M,0.11,0.5,5
2000-03-21,M,M,0.11,M,2
2000-03-25,M,M,0.20,M,0
2000-03-26,M,M,0.22,0.1,M
2000-03-27,M,M,0.54,1.4,M
2000-03-28,M,M,0.34,3.0,6
2000-03-29,M,M,0.12,0.1,8
2000-04-04,M,M,0.16,0.1,0
2000-04-05,M,M,M,1.3,1
2000-04-06,M,M,0.32,1.5,2
2000-04-07,M,M,T,M,0
2000-04-09,M,M,0.10,1.0,1
2000-04-11,M,M,0.08,1.2,1
2000-04-12,M,M,0.06,0.2,1
2000-04-13,M,M,T,M,0
2000-04-15,M,M,0.20,0.1,0
2000-04-16,M,M,0.17,M,1
2000-04-17,M,M,0.02,M,1
2000-04-18,M,M,0.09,M,0
2000-04-29,M,M,0.09,M,M
2000-05-01,M,M,0.04,M,M
2000-05-08,M,M,0.03,M,M
2000-05-09,M,M,0.03,M,M
2000-05-11,M,M,0.15,M,M
2000-05-12,M,M,0.10,M,M
2000-05-13,M,M,0.12,M,M
2000-05-14,M,M,0.08,M,M
2000-05-15,M,M,0.01,M,M
2000-05-22,M,M,0.03,M,M
2000-05-23,M,M,0.32,M,M
2000-05-24,M,M,0.05,M,M
2000-05-25,M,M,0.02,M,M
2000-06-01,M,M,0.06,M,M
2000-06-02,M,M,0.18,M,M
2000-06-09,M,M,0.33,M,M
2000-06-10,M,M,0.19,M,M
2000-06-11,M,M,0.16,M,M
2000-06-14,M,M,0.15,M,M
2000-06-15,M,M,0.09,M,M
2000-06-16,M,M,0.26,M,M
2000-06-17,M,M,0.04,M,M
2000-06-19,M,M,0.36,M,M
2000-06-21,M,M,1.02,M,M
2000-06-22,M,M,0.18,M,M
2000-06-24,M,M,0.10,M,M
2000-06-25,M,M,0.17,M,M
2000-06-26,M,M,0.12,M,M
2000-06-27,M,M,0.35,M,M
2000-06-29,M,M,0.19,M,M
2000-07-01,M,M,0.08,M,M
2000-07-02,M,M,0.18,M,M
2000-07-03,M,M,0.32,M,M
2000-07-06,M,M,0.36,M,M
2000-07-07,M,M,0.02,M,M
2000-07-08,M,M,0.04,M,M
2000-07-09,M,M,0.42,M,M
2000-07-13,M,M,0.06,M,M
2000-07-14,M,M,0.04,M,M
2000-07-20,M,M,0.06,M,M
2000-07-21,M,M,0.12,M,M
2000-07-22,M,M,0.03,M,M
2000-07-24,M,M,0.02,M,M
2000-07-27,M,M,0.18,M,M
2000-07-28,M,M,0.67,M,M
2000-07-29,M,M,0.06,M,M
2000-08-02,M,M,0.57,M,M
2000-08-07,M,M,0.58,M,M
2000-08-09,M,M,0.43,M,M
2000-08-13,M,M,0.02,M,M
2000-08-15,M,M,0.15,M,M
2000-08-18,M,M,0.10,M,M
2000-08-19,M,M,0.02,M,M
2000-08-26,M,M,0.37,M,M
2000-08-27,M,M,0.01,M,M
2000-08-29,M,M,0.03,M,M
2000-09-01,M,M,0.65,M,M
2000-09-02,M,M,0.04,M,M
2000-09-03,M,M,0.30,M,M
2000-09-04,M,M,0.03,M,M
2000-09-08,M,M,0.12,M,M
2000-09-10,M,M,0.40,M,M
2000-09-11,M,M,0.26,M,M
2000-09-12,M,M,0.29,M,M
2000-09-15,M,M,0.16,M,M
2000-09-16,M,M,0.02,M,M
