date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-11-10,M,M,T,0.0,0
2004-11-11,M,M,0.77,0.0,0
2004-11-12,M,M,0.00,0.0,0
2004-11-13,M,M,M,0.0,0
2004-11-14,M,M,M,0.0,0
2004-11-15,M,M,M,0.0,0
2004-11-16,M,M,M,0.0,0
2004-11-17,M,M,M,0.0,0
2004-11-18,M,M,M,0.0,0
2004-11-19,M,M,M,0.0,0
2004-11-20,M,M,M,0.0,0
2004-11-21,M,M,M,0.0,0
2004-11-22,M,M,M,0.0,0
2004-11-23,M,M,M,0.0,0
2004-11-24,M,M,M,0.0,0
2004-11-25,M,M,M,0.0,0
2004-11-26,M,M,M,0.1,T
2004-11-27,M,M,M,0.0,0
2004-11-28,M,M,M,0.1,T
2004-11-29,M,M,M,0.0,T
2004-11-30,M,M,0.00,0.0,T
2004-12-01,M,M,M,0.0,T
2004-12-02,M,M,M,0.0,T
2004-12-03,M,M,M,0.2,2
2004-12-04,M,M,M,0.0,T
2004-12-05,M,M,M,0.0,0
2004-12-06,M,M,M,0.6,1
2004-12-08,M,M,M,0.0,T
2004-12-09,M,M,M,0.0,T
2004-12-10,M,M,M,0.0,0
2004-12-11,M,M,M,0.0,0
2004-12-12,M,M,M,4.0,4
2004-12-13,M,M,M,2.1,7
2004-12-14,M,M,M,1.5,9
2004-12-15,M,M,M,0.0,8
2004-12-16,M,M,M,0.4,6
2004-12-17,M,M,M,0.8,6
2004-12-18,M,M,M,0.5,6
2004-12-19,M,M,M,1.0,6
2004-12-20,M,M,M,0.1,7
2004-12-21,M,M,M,4.2,18
2004-12-22,M,M,M,1.6,17
2004-12-23,M,M,M,0.0,16
2004-12-24,M,M,M,0.1,15
2004-12-25,M,M,M,0.0,14
2004-12-26,M,M,M,5.5,24
2004-12-27,M,M,M,0.0,21
2004-12-28,M,M,M,0.1,19
2004-12-29,M,M,M,0.0,19
2004-12-30,M,M,M,0.0,15
2004-12-31,M,M,M,0.0,7
2005-01-01,M,M,M,0.7,7
2005-01-02,M,M,M,0.0,7
2005-01-03,M,M,M,0.0,7
2005-01-04,M,M,M,0.0,7
2005-01-05,M,M,M,0.1,7
2005-01-06,M,M,0.00,0.0,7
2005-01-07,M,M,M,0.0,7
2005-01-08,M,M,M,0.0,7
2005-01-09,M,M,M,0.0,8
2005-01-10,M,M,M,0.5,8
2005-01-11,M,M,M,1.5,10
2005-01-12,M,M,M,0.2,9
2005-01-13,M,M,0.04,0.0,7
2005-01-14,M,M,M,0.0,7
2005-01-15,M,M,M,0.0,7
2005-01-16,M,M,M,0.0,7
2005-01-17,M,M,M,0.0,7
2005-01-18,M,M,M,0.0,8
2005-01-19,M,M,M,4.7,12
2005-01-20,M,M,M,0.4,12
2005-01-21,M,M,M,0.0,12
2005-01-22,M,M,M,5.4,17
2005-01-23,M,M,M,0.0,16
2005-01-24,M,M,M,T,16
2005-01-25,M,M,M,0.2,15
2005-01-26,M,M,M,0.0,16
2005-01-27,M,M,M,0.0,16
2005-01-28,M,M,M,0.0,16
2005-01-29,M,M,M,0.0,16
2005-01-30,M,M,M,0.0,15
2005-01-31,M,M,M,0.0,15
2005-02-01,M,M,M,0.0,15
2005-02-02,M,M,M,0.0,14
2005-02-03,M,M,M,0.0,14
2005-02-04,M,M,M,0.0,14
2005-02-05,M,M,M,0.0,13
2005-02-06,M,M,M,0.0,12
2005-02-07,M,M,M,0.3,11
2005-02-08,M,M,M,0.0,11
2005-02-09,M,M,M,0.0,11
2005-02-10,M,M,M,0.0,11
2005-02-11,M,M,M,0.0,11
2005-02-12,M,M,M,0.0,11
2005-02-13,M,M,M,0.0,11
2005-02-14,M,M,M,1.5,11
2005-02-15,M,M,M,0.0,12
2005-02-16,M,M,M,0.0,12
2005-02-17,M,M,M,0.0,12
2005-02-18,M,M,M,T,12
2005-02-19,M,M,M,0.0,12
2005-02-20,M,M,M,0.0,12
2005-02-21,M,M,M,0.9,15
2005-02-22,M,M,M,0.0,15
2005-02-23,M,M,M,0.0,15
2005-02-24,M,M,M,0.0,14
2005-02-25,M,M,M,0.0,14
2005-02-26,M,M,M,0.0,14
2005-02-27,M,M,M,0.0,14
2005-02-28,M,M,M,0.5,16
2005-03-01,M,M,M,T,16
2005-03-02,M,M,M,0.5,16
2005-03-03,M,M,M,0.0,16
2005-03-04,M,M,M,0.0,15
2005-03-05,M,M,M,0.0,15
2005-03-06,M,M,M,0.0,14
2005-03-07,M,M,M,0.0,12
2005-03-08,M,M,M,0.0,14
2005-03-09,M,M,M,0.0,14
2005-03-10,M,M,M,0.0,14
2005-03-11,M,M,M,0.5,14
2005-03-12,M,M,M,3.5,19
2005-03-13,M,M,M,0.0,17
2005-03-14,M,M,M,0.0,16
2005-03-15,M,M,M,0.0,15
2005-03-16,M,M,M,0.0,14
2005-03-17,M,M,M,0.0,14
2005-03-18,M,M,M,0.0,14
2005-03-19,M,M,M,1.0,15
2005-03-20,M,M,M,2.4,20
2005-03-21,M,M,M,0.1,18
2005-03-22,M,M,M,0.0,16
2005-03-23,M,M,M,0.0,15
2005-03-24,M,M,M,0.0,15
2005-03-25,M,M,M,0.0,15
2005-03-26,M,M,M,0.0,14
