date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2008-07-13,M,M,0.00,M,M
2008-07-14,M,M,T,M,M
2008-07-15,M,M,0.95,M,M
2008-07-16,M,M,0.00,M,M
2008-07-24,M,M,0.00,M,M
2008-07-25,M,M,T,M,M
2008-07-26,M,M,T,M,M
2008-07-27,M,M,0.03,M,M
2008-07-28,M,M,0.00,M,M
2008-07-29,M,M,0.00,M,M
2008-07-30,M,M,1.40,0.0,0
2008-07-31,M,M,T,M,M
2008-08-01,M,M,0.00,M,M
2008-08-02,M,M,0.02,M,M
2008-08-03,M,M,0.00,M,M
2008-08-04,M,M,0.19,M,M
2008-08-05,M,M,0.00,M,M
2008-08-06,M,M,0.00,M,M
2008-08-07,M,M,0.00,M,M
2008-08-08,M,M,0.00,M,M
2008-08-09,M,M,0.50,M,M
2008-08-10,M,M,0.00,M,M
2008-08-11,M,M,0.00,M,M
2008-08-12,M,M,0.00,M,M
2008-08-13,M,M,0.00,M,M
2008-08-15,M,M,0.00,M,M
2008-08-16,M,M,0.00,M,M
2008-08-17,M,M,T,M,M
2008-08-18,M,M,0.00,M,M
2008-08-19,M,M,0.00,M,M
2008-08-20,M,M,0.00,M,M
2008-08-22,M,M,0.03,M,M
2008-08-23,M,M,0.37,M,M
2008-08-24,M,M,0.00,M,M
2008-08-25,78,43,0.00,0.0,0
2008-08-26,78,43,0.00,0.0,0
2008-08-27,77,46,0.00,0.0,0
2008-08-28,81,46,0.16,0.0,0
2008-08-29,82,55,M,M,0
2008-08-30,75,55,0.00,0.0,0
2008-08-31,84,57,M,M,0
2008-09-01,89,57,0.00,0.0,0
2008-09-02,88,57,0.00,0.0,0
2008-09-03,86,56,0.35,0.0,0
2008-09-04,68,48,0.00,0.0,0
2008-09-05,61,47,0.00,0.0,0
2008-09-06,63,47,0.11,0.0,0
2008-09-07,66,49,0.14,0.0,0
2008-09-08,64,47,0.17,0.0,0
2008-09-09,63,44,0.01,0.0,0
2008-09-10,62,44,0.01,0.0,0
2008-09-11,68,44,0.00,0.0,0
2008-09-12,66,56,0.17,0.0,0
2008-09-13,79,51,0.00,0.0,0
2008-09-14,64,51,0.79,0.0,0
2008-09-15,56,49,0.06,0.0,0
2008-09-16,63,49,T,0.0,0
2008-09-17,76,51,0.00,0.0,0
2008-09-18,67,45,0.00,0.0,0
2008-09-19,78,45,0.00,0.0,0
2008-09-20,77,58,T,0.0,0
2008-09-21,64,38,0.00,0.0,0
2008-09-22,62,38,0.00,0.0,0
2008-09-23,72,48,0.00,0.0,0
2008-09-24,77,62,0.06,0.0,0
2008-09-25,67,46,0.00,0.0,0
2008-09-26,66,46,0.00,0.0,0
2008-09-27,80,59,0.17,0.0,0
2008-09-28,62,52,0.05,0.0,0
2008-09-29,62,43,0.00,0.0,0
2008-09-30,57,43,0.16,0.0,0
2008-10-01,52,47,0.02,0.0,0
2008-10-02,50,45,0.06,0.0,0
2008-10-03,50,40,0.01,0.0,0
2008-10-04,50,36,0.00,0.0,0
2008-10-05,56,36,0.00,0.0,0
2008-10-06,M,M,M,0.0,0
2008-10-07,52,41,0.03A,0.0,0
2008-10-08,58,45,0.22,0.0,0
2008-10-09,58,45,0.06,0.0,0
2008-10-10,M,M,M,0.0,0
2008-10-11,50,39,T,0.0,0
2008-10-12,62,39,0.00,0.0,0
2008-10-13,64,52,T,0.0,0
2008-10-14,73,45,0.11,0.0,0
2008-10-15,54,45,0.00,0.0,0
2008-10-16,50,44,0.00,0.0,0
2008-10-17,51,35,T,0.0,0
2008-10-18,55,25,0.00,0.0,0
2008-10-19,55,25,0.00,0.0,0
2008-10-20,52,45,0.11,0.0,0
2008-10-21,49,36,0.08,0.0,0
2008-10-22,51,24,0.04,0.0,0
2008-10-23,47,24,0.00,0.0,0
2008-10-24,59,34,0.00,0.0,0
2008-10-25,44,38,0.39,0.0,0
2008-10-26,46,40,0.14,0.0,0
2008-10-27,44,35,0.18,0.0,0
2008-10-28,35,33,T,T,0
2008-10-29,35,33,0.00,0.0,0
2008-10-30,42,33,0.00,0.0,0
2008-10-31,66,40,0.00,0.0,0
2008-11-01,53,27,0.00,0.0,0
2008-11-02,55,25,0.00,0.0,0
2008-11-03,45,34,0.02,0.0,0
