date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1952-06-18,79,38,T,T,0
1952-06-19,70,M,0.09,0.0,0
1952-06-20,70,M,T,0.0,0
1952-06-21,64,M,0.47,0.0,0
1952-06-22,55,M,0.04,0.0,0
1952-06-23,59,M,T,0.0,0
1952-06-24,54,M,0.63,0.0,0
1952-06-25,56,M,0.28,0.0,0
1952-06-26,64,M,0.30,T,0
1952-06-27,67,M,0.02,0.0,0
1952-06-28,71,M,0.01,0.0,0
1952-06-29,64,M,0.09,0.0,0
1952-06-30,63,M,0.08,0.0,0
1952-07-01,59,40,0.07,T,0
1952-07-02,69,26,0.00,0.0,0
1952-07-03,84,31,0.00,0.0,0
1952-07-04,81,35,0.04,0.0,0
1952-07-05,75,45,0.00,0.0,0
1952-07-06,63,27,0.47,T,0
1952-07-07,75,27,0.00,0.0,0
1952-07-08,84,31,0.00,0.0,0
1952-07-09,89,36,T,0.0,0
1952-07-10,86,39,0.00,0.0,0
1952-07-11,82,36,0.00,0.0,0
1952-07-12,72,47,0.32,0.0,0
1952-07-13,72,36,0.00,0.0,0
1952-07-14,76,32,0.00,0.0,0
1952-07-15,78,34,0.00,0.0,0
1952-07-16,75,33,0.00,0.0,0
1952-07-17,72,28,0.00,0.0,0
1952-07-18,79,29,0.00,0.0,0
1952-07-19,65,45,0.04,0.0,0
1952-07-20,72,29,0.00,0.0,0
1952-07-21,67,37,0.00,0.0,0
1952-07-22,79,27,0.00,0.0,0
1952-07-23,82,33,0.00,0.0,0
1952-07-24,78,M,0.00,0.0,0
1952-07-25,80,30,0.00,0.0,0
1952-07-26,83,38,T,0.0,0
1952-07-27,84,55,0.00,0.0,0
1952-07-28,83,M,0.00,0.0,0
1952-07-29,88,M,0.00,0.0,0
1952-07-30,88,M,0.00,0.0,0
1952-07-31,90,46,0.00,0.0,0
1952-08-01,80,46,0.00,0.0,0
1952-08-02,82,38,0.00,0.0,0
1952-08-03,84,32,0.00,0.0,0
1952-08-04,84,39,T,0.0,0
1952-08-05,84,40,0.00,0.0,0
1952-08-06,82,38,0.00,0.0,0
1952-08-07,76,31,0.00,0.0,0
1952-08-08,82,37,0.00,0.0,0
1952-08-09,85,36,0.00,0.0,0
1952-08-10,72,47,0.53,T,0
1952-08-11,69,38,0.03,0.0,0
1952-08-12,79,34,0.00,0.0,0
1952-08-13,82,32,0.00,0.0,0
1952-08-14,75,44,0.06,0.0,0
1952-08-15,74,35,0.00,0.0,0
1952-08-16,76,29,0.00,0.0,0
1952-08-17,78,29,0.00,0.0,0
1952-08-18,79,30,0.03,0.0,0
1952-08-19,78,29,0.00,0.0,0
1952-08-20,77,27,0.00,0.0,0
1952-08-21,84,32,0.00,0.0,0
1952-08-22,83,32,0.00,0.0,0
1952-08-23,82,33,0.00,0.0,0
1952-08-24,92,33,0.00,0.0,0
1952-08-25,79,29,0.00,0.0,0
1952-08-26,79,29,T,0.0,0
1952-08-27,71,26,0.00,0.0,0
1952-08-28,75,25,0.00,0.0,0
1952-08-29,74,25,T,0.0,0
1952-08-30,67,26,0.00,0.0,0
1952-08-31,65,27,0.00,0.0,0
1952-09-01,71,22,0.00,0.0,0
1952-09-02,78,26,0.00,0.0,0
1952-09-03,83,36,0.03,0.0,0
1952-09-04,76,35,0.08,0.0,0
1952-09-05,72,36,0.00,0.0,0
1952-09-06,66,26,0.11,0.0,0
1952-09-07,66,28,T,0.0,0
1952-09-08,69,26,0.00,0.0,0
1952-09-09,65,33,0.00,0.0,0
1952-09-10,65,35,0.00,0.0,0
