date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2014-07-02,M,M,T,0.0,0
2014-07-03,68,48,0.00,0.0,0
2014-07-04,80,58,0.00,0.0,0
2014-07-05,83,58,0.04,0.0,0
2014-07-06,86,71,0.02,0.0,0
2014-07-07,92,67,0.29,0.0,0
2014-07-08,92,65,0.62,0.0,0
2014-07-09,81,58,0.00,0.0,0
2014-07-10,83,62,T,0.0,0
2014-07-11,85,66,0.00,0.0,0
2014-07-12,90,72,0.00,0.0,0
2014-07-13,94,70,0.66,0.0,0
2014-07-14,87,65,0.01,0.0,0
2014-07-15,77,50,0.14,0.0,0
2014-07-16,72,49,0.00,0.0,0
2014-07-17,76,49,0.00,0.0,0
2014-07-18,78,53,0.00,0.0,0
2014-07-19,77,54,0.00,0.0,0
2014-07-20,81,61,0.00,0.0,0
2014-07-21,86,66,0.00,0.0,0
2014-07-22,94,73,0.00,0.0,0
2014-07-23,95,67,0.00,0.0,0
2014-07-24,87,64,0.00,0.0,0
2014-07-25,84,66,0.00,0.0,0
2014-07-26,100,72,0.00,0.0,0
2014-07-27,91,67,0.00,0.0,0
2014-07-28,83,55,0.00,0.0,0
2014-07-29,77,51,0.00,0.0,0
2014-08-01,87,62,0.04,0.0,0
2014-08-02,86,61,0.00,0.0,0
2014-08-03,89,62,1.04,0.0,0
2014-08-04,75,65,0.00,0.0,0
2014-08-05,87,67,0.00,0.0,0
2014-08-06,88,68,0.00,0.0,0
2014-08-07,84,67,0.12,0.0,0
2014-08-08,80,66,0.00,0.0,0
2014-08-09,79,64,0.05,0.0,0
2014-08-10,83,67,0.22,0.0,0
2014-08-11,78,63,0.00,0.0,0
2014-08-12,77,54,0.00,0.0,0
2014-08-13,76,48,0.00,0.0,0
2014-08-14,81,53,0.00,0.0,0
2014-08-15,84,52,0.00,0.0,0
2014-08-16,83,57,0.40,0.0,0
2014-08-17,78,59,0.00,0.0,0
2014-08-18,83,60,0.01,0.0,0
2014-08-19,88,65,T,0.0,0
2014-08-20,89,66,0.00,0.0,0
