date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2003-04-30,M,M,3.30,0.0,0
2003-09-10,M,M,1.50,0.0,0
2003-09-18,M,M,0.50,0.0,0
2004-02-04,M,M,M,2.0,12
2004-02-29,M,M,M,0.0,0
2004-04-22,M,M,0.88,0.0,0
2004-05-22,M,M,3.58,0.0,0
2004-06-05,M,M,1.00,M,M
2004-07-08,M,M,0.74,0.0,0
2004-07-09,M,M,0.21,0.0,0
2004-08-01,M,M,0.00,0.0,0
2004-08-02,M,M,0.00,0.0,0
2004-08-03,M,M,0.00,0.0,0
2004-08-04,M,M,0.05,0.0,0
2004-08-05,M,M,0.00,0.0,0
2004-08-06,M,M,0.00,0.0,0
2004-08-07,M,M,0.00,0.0,0
2004-08-08,M,M,0.47,0.0,0
2004-08-09,M,M,0.00,0.0,0
2004-08-10,M,M,0.08,0.0,0
2004-08-11,M,M,0.00,0.0,0
2004-08-12,M,M,0.02,0.0,0
2004-08-13,M,M,0.00,0.0,0
2004-08-14,M,M,0.00,0.0,0
2004-08-15,M,M,0.00,0.0,0
2004-08-16,M,M,0.00,0.0,0
2004-08-17,M,M,0.00,0.0,0
2004-08-18,M,M,0.05,0.0,0
2004-08-19,M,M,0.00,0.0,0
2004-08-20,M,M,0.00,0.0,0
2004-08-21,M,M,0.00,0.0,0
2004-08-22,M,M,0.00,0.0,0
2004-08-23,M,M,0.00,0.0,0
2004-08-24,M,M,0.00,0.0,0
2004-08-25,M,M,0.00,0.0,0
2004-08-26,M,M,0.00,0.0,0
2004-08-27,M,M,0.00,0.0,0
2004-08-28,M,M,0.06,0.0,0
2004-08-29,M,M,0.00,0.0,0
2004-08-30,M,M,0.00,0.0,0
2004-08-31,M,M,0.00,0.0,0
2004-09-01,M,M,0.00,0.0,0
2004-09-02,M,M,0.00,0.0,0
2004-09-03,M,M,0.00,0.0,0
2004-09-04,M,M,0.00,0.0,0
2004-09-05,M,M,0.00,0.0,0
2004-09-06,M,M,0.62,0.0,0
2004-09-07,M,M,0.00,0.0,0
2004-09-08,M,M,0.00,0.0,0
2004-09-09,M,M,0.00,0.0,0
2004-09-10,M,M,0.00,0.0,0
2004-09-11,M,M,0.00,0.0,0
2004-09-12,M,M,0.00,0.0,0
2004-09-13,M,M,0.00,0.0,0
2004-09-14,M,M,0.05,0.0,0
2004-09-15,M,M,0.73,0.0,0
