date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1995-03-01,M,M,0.00,0.0,0
1995-03-02,M,M,0.00,0.0,0
1995-03-03,M,M,0.00,0.0,0
1995-03-04,M,M,0.00,0.0,0
1995-03-05,M,M,T,T,T
1995-03-06,M,M,0.00,0.0,0
1995-03-07,M,M,0.49,4.2,4
1995-03-08,M,M,0.00,0.0,3
1995-03-09,M,M,0.00,0.0,T
1995-03-10,M,M,0.00,0.0,0
1995-03-11,M,M,0.00,0.0,0
1995-03-12,M,M,0.00,0.0,0
1995-03-13,M,M,0.10,0.0,0
1995-03-14,M,M,0.80,0.0,0
1995-03-15,M,M,T,0.0,0
1995-03-16,M,M,0.00,0.0,0
1995-03-17,M,M,0.00,0.0,0
1995-03-18,M,M,0.29,0.0,0
1995-03-19,M,M,0.00,0.0,0
1995-03-20,M,M,0.07,0.0,0
1995-03-21,M,M,0.00,0.0,0
1995-03-22,M,M,0.00,0.0,0
1995-03-23,M,M,0.00,0.0,0
1995-03-24,M,M,0.00,0.0,0
1995-03-25,M,M,T,0.0,0
1995-03-26,M,M,0.81,0.0,0
1995-03-27,M,M,0.00,0.0,0
1995-03-28,M,M,0.00,0.0,0
1995-03-29,M,M,0.00,0.0,0
1995-03-30,M,M,0.00,0.0,0
1995-03-31,M,M,0.00,0.0,0
1995-04-01,M,M,0.00,0.0,0
1995-04-02,M,M,0.00,0.0,0
1995-04-03,M,M,T,0.0,0
1995-04-04,M,M,0.00,0.0,0
1995-04-05,M,M,0.00,0.0,0
1995-04-06,M,M,0.00,0.0,0
1995-04-07,M,M,0.00,0.0,0
1995-04-08,M,M,0.16,0.0,0
1995-04-09,M,M,0.39,0.0,0
1995-04-10,M,M,0.46,T,T
1995-04-11,M,M,0.57,0.0,0
1995-04-12,M,M,T,0.0,0
1995-04-13,M,M,T,0.0,0
1995-04-14,M,M,0.00,0.0,0
1995-04-15,M,M,0.00,0.0,0
1995-04-16,M,M,0.00,0.0,0
1995-04-17,M,M,0.09,0.0,0
1995-04-18,M,M,0.21,0.0,0
1995-04-19,M,M,0.00,0.0,0
1995-04-20,M,M,0.18,0.0,0
1995-04-21,M,M,0.32,0.0,0
1995-04-22,M,M,0.00,0.0,0
1995-04-23,M,M,0.00,0.0,0
1995-04-24,M,M,0.00,0.0,0
1995-04-25,M,M,0.00,0.0,0
1995-04-26,M,M,0.97,0.0,0
1995-04-27,M,M,0.36,0.0,0
1995-04-28,M,M,0.00,0.0,0
