date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-12-01,71,59,0.00,0.0,0
2001-12-02,61,38,0.00,0.0,0
2001-12-03,56,27,0.00,0.0,0
2001-12-04,60,33,0.00,0.0,0
2001-12-05,67,46,0.00,0.0,0
2001-12-06,71,54,0.00,0.0,0
2001-12-07,64,50,0.07,0.0,0
2001-12-08,53,38,0.25,0.0,0
2001-12-09,41,35,0.47,0.0,0
2001-12-10,47,24,0.00,0.0,0
2001-12-11,53,42,0.00,0.0,0
2001-12-12,46,40,0.00,0.0,0
2001-12-13,55,45,0.01,T,0
2001-12-14,55,45,0.12,0.0,0
2001-12-15,59,37,0.00,0.0,0
2001-12-16,41,32,0.00,0.0,0
2001-12-17,48,35,0.13,0.0,0
2001-12-18,56,40,0.80,0.0,0
2001-12-19,50,41,0.00,0.0,0
2001-12-20,50,32,T,T,0
2001-12-21,44,36,0.00,0.0,0
2001-12-22,41,30,0.00,0.0,0
2001-12-23,47,19,0.00,0.0,0
2001-12-24,53,41,0.70,0.0,0
2001-12-25,44,24,0.00,0.0,0
2001-12-26,41,29,0.00,0.0,0
2001-12-27,33,26,0.00,0.0,0
2001-12-28,40,19,T,T,0
2001-12-29,40,26,0.00,0.0,0
2001-12-30,36,25,0.00,0.0,0
2001-12-31,31,21,0.00,0.0,0
2002-02-01,50,37,0.14,0.0,0
2002-02-02,50,29,0.00,0.0,0
2002-02-03,41,17,0.00,0.0,0
2002-02-04,43,24,0.00,0.0,0
2002-02-05,38,18,0.00,0.0,0
2002-02-06,41,26,0.00,0.0,0
2002-02-07,39,31,0.05,0.0,0
2002-02-08,49,27,0.00,0.0,0
2002-02-09,48,25,0.00,0.0,0
2002-02-10,53,25,0.00,0.0,0
2002-02-11,53,28,0.51,0.1,T
2002-02-12,43,17,0.00,0.0,0
2002-02-13,42,29,0.00,0.0,0
2002-02-14,36,14,0.00,0.0,0
2002-02-15,46,30,0.00,0.0,0
2002-02-16,56,42,0.00,0.0,0
2002-02-17,46,34,0.19,0.0,0
2002-02-18,43,30,0.00,0.0,0
2002-02-19,51,21,0.00,0.0,0
2002-02-20,54,37,0.00,0.0,0
2002-02-21,62,47,0.20,0.0,0
2002-02-22,54,40,0.00,0.0,0
2002-02-23,44,33,0.00,0.0,0
2002-02-24,42,30,0.00,0.0,0
2002-02-25,51,24,0.00,0.0,0
2002-02-26,61,41,0.00,0.0,0
2002-02-27,54,33,0.10,0.1,T
2002-02-28,39,24,0.00,0.0,0
2002-03-01,44,17,0.00,0.0,0
2002-03-02,47,21,0.00,0.0,0
2002-03-03,M,M,1.58,0.0,0
2002-03-04,58,32,0.00,0.0,0
2002-03-05,38,21,0.00,0.0,0
2002-03-06,54,25,0.00,0.0,0
2002-03-07,64,34,0.00,0.0,0
2002-03-08,53,38,0.00,0.0,0
2002-03-09,67,41,0.00,0.0,0
2002-03-10,58,36,0.29,0.0,0
2002-03-11,38,26,0.00,0.0,0
2002-03-12,48,28,0.00,0.0,0
2002-03-13,43,36,0.12,0.0,0
2002-03-14,69,40,0.01,0.0,0
2002-03-15,56,40,0.00,0.0,0
2002-03-16,61,46,0.02,0.0,0
2002-03-17,46,32,0.00,0.0,0
2002-03-18,38,33,0.21,0.1,T
2002-03-19,47,35,0.01,0.0,0
2002-03-20,42,36,0.94,0.0,0
2002-03-21,52,35,0.03,0.0,0
2002-03-22,52,27,0.01,T,T
2002-03-23,62,23,0.00,0.0,0
2002-03-24,55,33,0.00,0.0,0
2002-03-25,46,37,0.00,0.0,0
2002-03-26,M,37,0.05,0.0,0
2002-03-27,57,41,1.41,0.0,0
2002-03-28,54,35,0.00,0.0,0
2002-03-29,51,33,0.00,0.0,0
2002-03-30,72,44,0.00,0.0,0
2002-03-31,59,45,0.03,0.0,0
2002-04-01,61,44,0.70,0.0,0
2002-04-02,56,38,0.00,0.0,0
2002-04-03,68,48,0.10,0.0,0
2002-04-04,51,34,0.06,0.0,0
2002-04-05,46,31,0.00,0.0,0
2002-04-06,48,32,T,T,0
2002-04-07,47,30,0.00,0.0,0
2002-04-08,58,38,0.00,0.0,0
2002-04-09,69,50,0.01,0.0,0
2002-04-10,64,48,0.10,0.0,0
2002-04-11,62,40,0.00,0.0,0
2002-04-12,63,36,0.00,0.0,0
2002-04-13,73,54,0.00,0.0,0
2002-04-14,75,54,0.03,0.0,0
2002-04-15,81,55,0.01,0.0,0
2002-04-16,91,56,0.00,0.0,0
2002-04-17,95,63,0.00,0.0,0
2002-04-18,85,58,0.00,0.0,0
2002-04-19,85,58,0.00,0.0,0
2002-04-20,70,55,0.17,0.0,0
2002-04-21,58,48,0.04,0.0,0
2002-04-22,49,44,0.27,0.0,0
2002-04-23,M,M,0.00,0.0,0
2002-04-24,61,32,0.00,0.0,0
2002-04-25,54,39,0.36,0.0,0
2002-04-26,56,33,0.06,0.0,0
2002-04-27,61,39,0.00,0.0,0
2002-04-28,57,45,1.29,0.0,0
2002-04-29,53,43,0.20,0.0,0
2002-04-30,56,40,0.01,0.0,0
2002-05-01,65,38,0.11,0.0,0
2002-05-02,63,46,0.24,0.0,0
2002-05-03,59,50,0.00,0.0,0
2002-05-04,66,37,0.00,0.0,0
2002-05-05,71,37,0.00,0.0,0
2002-05-06,74,49,0.00,0.0,0
2002-05-07,M,M,0.00,0.0,0
2002-05-08,76,55,0.00,0.0,0
2002-05-09,58,47,0.01,0.0,0
2002-05-10,77,51,0.02,0.0,0
2002-05-11,74,52,0.00,0.0,0
2002-05-12,66,51,0.30,0.0,0
2002-05-13,52,49,1.46,0.0,0
2002-05-14,68,44,0.64,0.0,0
2002-05-15,66,46,0.00,0.0,0
2002-05-16,75,39,0.00,0.0,0
2002-05-17,78,59,0.01,0.0,0
2002-05-18,72,42,2.10,0.0,0
2002-05-19,62,36,0.00,0.0,0
2002-05-20,57,42,0.00,0.0,0
2002-05-21,59,38,0.00,0.0,0
2002-05-22,66,39,0.00,0.0,0
2002-05-23,73,45,0.00,0.0,0
2002-05-24,83,50,0.00,0.0,0
2002-05-25,78,57,0.02,0.0,0
2002-05-26,62,48,0.01,0.0,0
2002-05-27,75,56,0.00,0.0,0
2002-05-28,75,59,0.02,0.0,0
2002-05-29,76,60,0.00,0.0,0
2002-05-30,78,60,0.00,0.0,0
2002-05-31,80,64,0.00,0.0,0
2002-06-01,83,60,0.73,0.0,0
2002-06-02,77,63,0.00,0.0,0
2002-06-03,70,50,0.00,0.0,0
2002-06-04,69,51,0.00,0.0,0
2002-06-05,77,62,0.00,0.0,0
2002-06-06,74,61,0.01,0.0,0
2002-06-07,63,58,2.14,0.0,0
2002-06-08,67,44,0.00,0.0,0
2002-06-09,77,47,0.00,0.0,0
2002-06-10,77,60,0.00,0.0,0
2002-06-11,83,57,0.00,0.0,0
2002-06-12,87,71,0.01,0.0,0
2002-06-13,74,54,0.58,0.0,0
2002-06-14,60,55,0.59,0.0,0
2002-06-15,60,54,0.00,0.0,0
2002-06-16,73,55,0.32,0.0,0
2002-06-17,75,53,0.01,0.0,0
2002-06-18,77,55,0.06,0.0,0
2002-06-19,79,55,0.00,0.0,0
2002-06-20,77,55,0.00,0.0,0
2002-06-21,79,53,0.00,0.0,0
2002-06-22,85,63,0.00,0.0,0
2002-06-23,84,64,0.00,0.0,0
2002-06-24,86,72,0.00,0.0,0
2002-06-25,81,67,0.00,0.0,0
2002-06-26,91,68,0.01,0.0,0
2002-06-27,87,72,0.14,0.0,0
2002-06-28,81,68,0.33,0.0,0
2002-06-29,83,68,0.01,0.0,0
2002-06-30,83,63,0.00,0.0,0
2002-07-01,86,69,0.00,0.0,0
2002-07-02,91,70,0.00,0.0,0
2002-07-03,93,70,0.00,0.0,0
2002-07-04,93,74,0.00,0.0,0
2002-07-05,91,75,0.00,0.0,0
2002-07-06,81,65,0.00,0.0,0
2002-07-07,83,63,0.00,0.0,0
2002-07-08,87,63,0.00,0.0,0
2002-07-09,87,71,0.00,0.0,0
