date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2017-06-12,88,66,0.00,0.0,0
2017-06-13,92,68,0.00,0.0,0
2017-06-14,94,68,0.10,0.0,0
2017-06-15,82,56,0.00,0.0,0
2017-06-16,72,52,0.00,0.0,0
2017-06-17,66,62,0.02,0.0,0
2017-06-18,70,64,0.40,0.0,0
2017-06-19,79,69,0.00,0.0,0
2017-06-20,81,68,1.30,0.0,0
2017-06-21,83,M,0.00,0.0,0
2017-06-22,84,53,0.02,0.0,0
2017-06-23,82,67,0.00,0.0,0
2017-06-24,81,69,1.40,0.0,0
2017-06-25,84,61,0.07,0.0,0
2017-06-26,82,57,0.00,0.0,0
2017-06-27,78,59,0.10,0.0,0
2017-06-28,77,55,0.00,0.0,0
2017-06-29,78,60,0.00,0.0,0
2017-06-30,76,67,0.00,0.0,0
2017-07-01,82,68,0.00,0.0,0
2017-07-02,80,69,0.06,0.0,0
2017-07-03,88,66,0.00,0.0,0
2017-07-04,88,63,0.03,0.0,0
2017-07-05,83,61,0.00,0.0,0
2017-07-06,82,64,0.00,0.0,0
2017-07-07,76,68,0.01,0.0,0
2017-07-08,75,66,0.85,0.0,0
2017-07-09,85,65,0.00,0.0,0
2017-07-10,81,61,0.00,0.0,0
2017-07-11,82,69,0.00,0.0,0
2017-07-12,85,71,0.10,0.0,0
2017-07-13,88,72,0.00,0.0,0
2017-07-14,92,61,0.32,0.0,0
2017-07-15,67,62,0.34,0.0,0
2017-07-16,81,61,0.00,0.0,0
2017-07-17,85,67,0.00,0.0,0
2017-07-18,82,70,0.00,0.0,0
2017-07-19,84,72,0.00,0.0,0
2017-07-20,91,70,0.00,0.0,0
2017-07-21,92,72,0.00,0.0,0
2017-07-22,89,71,0.00,0.0,0
2017-07-23,87,69,0.24,0.0,0
2017-07-24,80,66,0.34,0.0,0
2017-07-25,67,59,0.50,0.0,0
2017-07-26,67,57,0.00,0.0,0
2017-07-27,76,60,0.00,0.0,0
2017-07-28,78,65,0.00,0.0,0
2017-07-29,82,65,0.00,0.0,0
2017-07-30,71,55,0.00,0.0,0
2017-07-31,78,57,0.00,0.0,0
2017-08-01,84,63,0.00,0.0,0
2017-08-02,87,69,0.00,0.0,0
2017-08-03,86,65,0.00,0.0,0
2017-08-04,84,68,0.00,0.0,0
2017-08-05,82,70,0.71,0.0,0
2017-08-06,79,63,0.00,0.0,0
2017-08-07,74,60,0.00,0.0,0
2017-08-08,70,63,0.60,0.0,0
2017-08-09,75,57,0.00,0.0,0
2017-08-10,80,62,0.00,0.0,0
2017-08-11,83,61,0.00,0.0,0
2017-08-12,83,60,0.07,0.0,0
2017-08-13,75,64,0.02,0.0,0
2017-08-14,82,61,0.00,0.0,0
2017-08-15,80,66,0.45,0.0,0
2017-08-16,73,68,0.00,0.0,0
2017-08-17,82,62,0.00,0.0,0
2017-08-18,80,67,0.00,0.0,0
2017-08-19,79,70,2.00,0.0,0
2017-08-20,85,65,0.00,0.0,0
