date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1951-05-01,65,44,0.00,0.0,0
1951-05-02,79,48,0.00,0.0,0
1951-05-03,63,41,0.00,0.0,0
1951-05-04,56,44,0.00,0.0,0
1951-05-05,59,37,0.00,0.0,0
1951-05-06,65,40,0.00,0.0,0
1951-05-07,66,52,0.00,0.0,0
1951-05-08,74,45,0.00,0.0,0
1951-05-09,73,45,0.00,0.0,0
1951-05-10,66,52,T,0.0,0
1951-05-11,59,52,1.62,0.0,0
1951-05-12,63,49,0.02,0.0,0
1951-05-13,63,44,0.00,0.0,0
1951-05-14,61,42,0.00,0.0,0
1951-05-15,75,46,0.00,0.0,0
1951-05-16,79,50,0.00,0.0,0
1951-05-17,70,50,0.00,0.0,0
1951-05-18,61,48,0.00,0.0,0
1951-05-19,59,49,0.18,0.0,0
1951-05-20,69,52,0.09,0.0,0
1951-05-21,73,56,T,0.0,0
1951-05-22,72,60,0.00,0.0,0
1951-05-23,69,53,1.27,0.0,0
1951-05-24,53,49,0.80,0.0,0
1951-05-25,58,42,0.11,0.0,0
1951-05-26,62,43,0.00,0.0,0
1951-05-27,62,55,0.30,0.0,0
1951-05-28,67,50,0.00,0.0,0
1951-05-29,64,55,0.16,0.0,0
1951-05-30,72,52,T,0.0,0
1951-05-31,80,57,0.00,0.0,0
1951-06-12,72,47,0.00,0.0,0
1951-06-13,67,45,0.31,0.0,0
1951-06-14,59,52,0.92,0.0,0
1951-06-15,66,50,0.11,0.0,0
1951-06-16,70,55,0.00,0.0,0
1951-06-17,71,53,0.00,0.0,0
1951-06-18,72,54,0.00,0.0,0
1951-06-19,73,55,0.00,0.0,0
1951-06-20,73,60,0.00,0.0,0
1951-06-21,74,61,0.00,0.0,0
1951-06-22,74,65,T,0.0,0
1951-06-23,71,66,0.30,0.0,0
1951-06-24,79,65,0.00,0.0,0
1951-06-25,86,65,0.00,0.0,0
1951-06-26,74,59,0.00,0.0,0
1951-06-27,77,65,0.03,0.0,0
1951-06-28,73,63,T,0.0,0
1951-06-29,66,61,0.29,0.0,0
1951-06-30,70,62,0.04,0.0,0
1951-07-01,75,63,0.11,0.0,0
1951-07-02,77,60,0.00,0.0,0
1951-07-03,83,60,0.00,0.0,0
1951-07-04,78,63,0.02,0.0,0
1951-07-05,81,63,T,0.0,0
1951-07-06,76,58,0.01,0.0,0
1951-07-07,82,55,0.00,0.0,0
1951-07-08,78,61,0.00,0.0,0
1951-07-09,75,65,0.00,0.0,0
1951-07-10,76,67,0.00,0.0,0
1951-07-11,79,68,0.00,0.0,0
1951-07-12,78,66,T,0.0,0
1951-07-13,83,68,T,0.0,0
1951-07-14,82,66,T,0.0,0
