date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1899-09-01,76,51,0.60,0.0,0
1899-09-02,88,44,0.00,0.0,0
1899-09-03,83,48,0.20,0.0,0
1899-09-04,72,48,0.33,0.0,0
1899-09-05,62,49,0.70,0.0,0
1899-09-06,74,45,0.09,0.0,0
1899-09-07,77,45,0.00,0.0,0
1899-09-08,79,43,0.00,0.0,0
1899-09-09,84,44,0.00,0.0,0
1899-09-10,91,52,0.00,0.0,0
1899-09-11,90,53,0.00,0.0,0
1899-09-12,90,53,0.00,0.0,0
1899-09-13,80,54,0.48,0.0,0
1899-09-14,82,47,0.00,0.0,0
1899-09-15,84,47,0.00,0.0,0
1899-09-16,84,47,0.00,0.0,0
1899-09-17,82,45,0.00,0.0,0
1899-09-18,86,46,0.00,0.0,0
1899-09-19,85,44,0.00,0.0,0
1899-09-20,86,45,0.00,0.0,0
1899-09-21,84,44,0.00,0.0,0
1899-09-22,84,44,0.00,0.0,0
1899-09-23,79,49,0.00,0.0,0
1899-09-24,85,41,0.00,0.0,0
1899-09-25,86,45,0.00,0.0,0
1899-09-26,80,52,0.00,0.0,0
1899-09-27,82,50,0.00,0.0,0
1899-09-28,77,37,0.00,0.0,0
1899-09-29,74,41,0.00,0.0,0
1899-09-30,71,47,0.07,0.0,0
1899-10-01,62,40,0.00,0.0,0
1899-10-02,67,34,0.00,0.0,0
1899-10-03,72,38,0.00,0.0,0
1899-10-04,80,36,0.00,0.0,0
1899-10-05,75,37,0.00,0.0,0
1899-10-06,71,52,0.00,0.0,0
1899-10-07,61,39,0.03,0.0,0
1899-10-08,63,42,0.00,0.0,0
1899-10-09,63,35,0.00,0.0,0
1899-10-10,57,30,0.00,0.0,0
1899-10-11,54,38,0.00,0.0,M
1899-10-12,53,39,0.00,0.0,0
1899-10-13,54,39,0.00,0.0,0
1899-10-14,52,28,0.00,0.0,0
1899-10-15,53,27,0.00,0.0,0
1899-10-16,61,36,0.13,0.0,0
1899-10-17,58,39,0.00,0.0,0
1899-10-18,60,39,0.00,0.0,0
1899-10-19,56,43,0.95,0.0,0
1899-10-20,57,40,0.08,0.0,0
1899-10-21,60,39,0.03,0.0,0
1899-10-22,59,42,0.11,0.0,0
1899-10-23,57,44,0.00,0.0,0
1899-10-24,59,45,0.06,0.0,0
1899-10-25,57,41,0.01,0.0,0
1899-10-26,60,47,0.20,0.0,0
1899-10-27,62,43,0.00,0.0,0
1899-10-28,66,43,0.00,0.0,0
1899-10-29,69,43,0.00,0.0,0
1899-10-30,76,42,0.00,0.0,0
1899-10-31,78,38,0.00,0.0,0
1899-11-01,68,36,0.00,0.0,0
1899-11-02,75,40,0.00,0.0,0
1899-11-03,65,35,0.00,0.0,0
1899-11-04,61,39,0.15,0.0,0
1899-11-05,58,42,0.00,0.0,0
1899-11-06,57,49,0.00,0.0,0
1899-11-07,56,44,0.03,0.0,0
1899-11-08,59,45,0.00,0.0,0
1899-11-09,63,51,0.00,0.0,0
1899-11-10,60,47,0.13,0.0,0
1899-11-11,63,50,0.05,0.0,0
1899-11-12,59,42,0.00,0.0,0
1899-11-13,53,41,0.01,0.0,0
1899-11-14,57,42,0.00,0.0,0
1899-11-15,59,41,0.00,0.0,0
1899-11-16,55,40,0.00,0.0,0
1899-11-17,54,39,0.00,0.0,0
1899-11-18,52,44,0.70,0.0,0
1899-11-19,58,44,0.77,0.0,0
