date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-11-01,50,32,M,M,M
1996-11-02,55,32,M,M,M
1996-11-03,63,32,M,M,M
1996-11-04,69,45,M,M,M
1996-11-05,78,37,M,M,M
1996-11-06,69,48,M,M,M
1996-11-07,61,40,M,M,M
1996-11-08,53,33,M,M,M
1996-11-09,70,35,M,M,M
1996-11-10,50,30,M,M,M
1996-11-11,56,31,M,M,M
1996-11-12,40,37,M,M,M
1996-11-13,44,39,M,M,M
1996-11-14,53,38,M,M,M
1996-11-15,62,50,M,M,M
1996-11-16,64,37,M,M,M
1996-11-17,45,29,M,M,M
1996-11-18,56,27,M,M,M
1996-11-20,64,51,M,M,M
1996-11-21,54,40,M,M,M
1996-11-22,54,40,M,M,M
1996-11-23,65,31,M,M,M
1996-11-24,31,26,M,M,M
1996-11-25,41,24,M,M,M
1996-11-26,41,21,M,M,M
1996-11-27,45,19,M,M,M
1996-11-28,54,24,M,M,M
1996-11-29,46,37,M,M,M
1996-11-30,44,33,M,M,M
1996-12-01,51,26,M,M,M
1996-12-02,60,34,M,M,M
1996-12-03,49,28,M,M,M
1996-12-04,51,27,M,M,M
1996-12-05,54,24,M,M,M
1996-12-06,58,37,M,M,M
1996-12-07,58,32,M,M,M
1996-12-08,66,23,M,M,M
1996-12-09,74,32,M,M,M
1996-12-10,75,53,M,M,M
1996-12-11,60,33,M,M,M
1996-12-12,60,33,M,M,M
1996-12-13,69,31,M,M,M
1996-12-14,61,41,M,M,M
1996-12-15,42,23,M,M,M
1996-12-16,48,15,M,M,M
1996-12-17,35,20,M,M,M
1996-12-18,27,11,M,M,M
1996-12-19,27,8,M,M,M
1996-12-20,45,12,M,M,M
1996-12-21,55,35,M,M,M
1996-12-22,69,44,M,M,M
1996-12-23,61,20,M,M,M
1996-12-24,29,12,M,M,M
1996-12-25,49,19,M,M,M
1996-12-26,45,20,M,M,M
1996-12-27,58,27,M,M,M
1996-12-28,58,27,M,M,M
1996-12-29,50,25,M,M,M
1996-12-30,70,24,M,M,M
1996-12-31,61,51,M,M,M
1997-01-01,64,53,M,M,M
1997-01-02,79,50,M,M,M
1997-01-03,78,57,M,M,M
1997-01-04,67,43,M,M,M
1997-01-05,43,29,M,M,M
1997-01-06,38,20,M,M,M
1997-01-07,43,18,M,M,M
1997-01-08,35,29,M,M,M
1997-01-09,41,22,M,M,M
1997-01-10,34,12,M,M,M
1997-01-11,17,10,M,M,M
1997-01-12,16,8,M,M,M
1997-01-13,18,12,M,M,M
1997-01-14,27,17,M,M,M
1997-01-15,38,21,M,M,M
1997-01-16,32,2,M,M,M
1997-01-17,38,1,M,M,M
