date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1979-01-01,M,22,M,M,M
1979-01-02,M,5,M,M,M
1979-01-03,24,2,M,M,M
1979-01-04,32,12,M,M,M
1979-01-05,26,18,M,M,M
1979-01-06,22,M,M,M,M
1979-01-07,27,19,M,M,M
1979-01-08,25,5,M,M,M
1979-01-09,29,-2,M,M,M
1979-01-10,29,14,M,M,M
1979-01-11,18,3,M,M,M
1979-01-12,38,11,M,M,M
1979-01-13,42,33,M,M,M
1979-01-15,23,-3,M,M,M
1979-01-16,44,21,M,M,M
1979-01-17,48,35,M,M,M
1979-01-18,43,21,M,M,M
1979-01-19,45,28,M,M,M
1979-01-20,45,M,M,M,M
1979-01-21,38,26,M,M,M
1979-01-22,35,18,M,M,M
1979-01-23,42,24,M,M,M
1979-01-24,38,22,M,M,M
1979-01-25,31,6,M,M,M
1979-01-26,34,M,M,M,M
1979-01-27,33,27,M,M,M
1979-01-28,32,24,M,M,M
1979-01-29,28,11,M,M,M
1979-01-30,30,10,M,M,M
1979-01-31,26,15,M,M,M
1979-02-01,22,4,0.00,M,M
1979-02-02,35,3,0.00,M,M
1979-02-03,38,29,M,M,M
1979-02-04,39,18,0.00,M,M
1979-02-05,25,4,0.00,M,M
1979-02-06,35,12,0.00,M,M
1979-02-07,35,18,0.35,M,M
1979-02-08,24,-2,0.35,M,M
1979-02-09,24,-3,0.14,M,M
1979-02-10,33,-0,0.00,M,M
1979-02-11,45,7,0.00,M,M
1979-02-12,45,M,0.00,M,M
1979-02-13,38,22,0.00,M,M
1979-02-14,49,22,0.00,M,M
1979-02-15,59,43,0.00,M,M
1979-02-16,M,24,T,M,M
1979-02-17,27,15,0.00,M,M
1979-02-18,27,18,0.18,M,M
1979-02-19,32,3,0.00,M,M
1979-02-20,44,12,0.00,M,M
1979-02-21,58,40,0.33,M,M
1979-02-22,55,33,0.00,M,M
1979-02-23,65,51,2.41,M,M
1979-02-24,63,34,M,M,M
1979-02-25,44,31,M,M,M
1979-02-26,36,24,0.19,M,M
1979-02-27,44,18,0.00,M,M
1979-02-28,50,26,0.00,M,M
1979-03-01,44,39,S,0.0,0
1979-03-02,64,36,M,0.0,0
1979-03-03,64,46,M,0.0,0
1979-03-04,62,41,1.24A,0.0,0
1979-03-05,43,35,0.02,0.0,0
1979-03-06,57,25,0.00,0.0,0
1979-03-07,54,33,0.00,0.0,0
1979-03-08,42,M,0.08,0.0,0
1979-03-09,64,22,0.00,0.0,0
1979-03-10,61,33,0.17,0.0,0
1979-03-11,45,19,0.00,0.0,0
1979-03-12,61,27,0.00,0.0,0
