date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1976-04-01,M,M,0.50,0.0,0
1976-04-02,M,M,0.30,0.0,0
1976-04-03,M,M,0.10,0.0,0
1976-04-04,M,M,0.40,0.0,0
1976-04-05,M,M,0.10,0.0,0
1976-04-06,M,M,0.00,0.0,0
1976-04-07,M,M,0.05,0.0,0
1976-04-08,M,M,0.01,0.0,0
1976-04-09,M,M,0.00,0.0,0
1976-04-10,M,M,0.00,0.0,0
1976-04-11,M,M,0.00,0.0,0
1976-04-12,M,M,0.00,0.0,0
1976-04-13,M,M,0.00,0.0,0
1976-04-14,M,M,0.00,0.0,0
1976-04-15,M,M,0.00,0.0,0
1976-04-16,M,M,0.00,0.0,0
1976-04-17,M,M,0.00,0.0,0
1976-04-18,M,M,0.00,0.0,0
1976-04-19,M,M,0.00,0.0,0
1976-04-20,M,M,0.00,0.0,0
1976-04-21,M,M,0.00,0.0,0
1976-04-22,M,M,0.45,0.0,0
1976-04-23,M,M,T,0.0,0
1976-04-24,M,M,0.00,0.0,0
1976-04-25,M,M,0.03,0.0,0
1976-04-26,M,M,0.90,0.0,0
1976-04-27,M,M,T,0.0,0
1976-04-28,M,M,0.00,0.0,0
1976-04-29,M,M,0.00,0.0,0
1976-04-30,M,M,0.00,0.0,0
1976-05-01,M,M,0.00,0.0,0
1976-05-02,M,M,0.28,0.0,0
1976-05-03,M,M,0.42,0.0,0
1976-05-04,M,M,0.00,0.0,0
1976-05-05,M,M,0.00,0.0,0
1976-05-06,M,M,0.00,0.0,0
1976-05-07,M,M,0.20,0.0,0
1976-05-08,M,M,0.04,0.0,0
1976-05-09,M,M,0.00,0.0,0
1976-05-10,M,M,0.00,0.0,0
1976-05-11,M,M,0.01,0.0,0
1976-05-12,M,M,0.14,0.0,0
1976-05-13,M,M,0.00,0.0,0
1976-05-14,M,M,0.00,0.0,0
1976-05-15,M,M,0.00,0.0,0
1976-05-16,M,M,0.22,0.0,0
1976-05-17,M,M,0.58,0.0,0
1976-05-18,M,M,0.60,0.0,0
1976-05-19,M,M,0.12,0.0,0
1976-05-20,M,M,T,0.0,0
1976-05-21,M,M,0.05,0.0,0
1976-05-22,M,M,0.00,0.0,0
1976-05-23,M,M,0.00,0.0,0
1976-05-24,M,M,0.00,0.0,0
1976-05-25,M,M,0.00,0.0,0
1976-05-26,M,M,0.40,0.0,0
1976-05-27,M,M,0.00,0.0,0
1976-05-28,M,M,0.00,0.0,0
1976-05-29,M,M,0.00,0.0,0
1976-05-30,M,M,0.13,0.0,0
1976-05-31,M,M,0.09,0.0,0
1976-06-01,M,M,0.09,0.0,0
1976-06-02,M,M,1.20,0.0,0
1976-06-03,M,M,0.05,0.0,0
1976-06-04,M,M,0.00,0.0,0
1976-06-05,M,M,0.00,0.0,0
1976-06-06,M,M,0.00,0.0,0
1976-06-07,M,M,0.13,0.0,0
1976-06-08,M,M,0.00,0.0,0
1976-06-09,M,M,0.00,0.0,0
1976-06-10,M,M,0.00,0.0,0
1976-06-11,M,M,0.00,0.0,0
1976-06-12,M,M,0.53,0.0,0
1976-06-13,M,M,0.00,0.0,0
1976-06-14,M,M,0.00,0.0,0
1976-06-15,M,M,0.00,0.0,0
1976-06-16,M,M,0.07,0.0,0
1976-06-17,M,M,0.75,0.0,0
1976-06-18,M,M,0.00,0.0,0
1976-06-19,M,M,0.00,0.0,0
1976-06-20,M,M,2.67,0.0,0
1976-06-21,M,M,0.50,0.0,0
1976-06-22,M,M,0.20,0.0,0
1976-06-23,M,M,0.00,0.0,0
1976-06-24,M,M,0.00,0.0,0
1976-06-25,M,M,0.05,0.0,0
1976-06-26,M,M,0.15,0.0,0
1976-06-27,M,M,0.00,0.0,0
1976-06-28,M,M,0.00,0.0,0
1976-06-29,M,M,0.00,0.0,0
1976-06-30,M,M,0.26,0.0,0
1976-07-01,M,M,0.05,0.0,0
1976-07-02,M,M,0.01,0.0,0
1976-07-03,M,M,0.00,0.0,0
1976-07-04,M,M,0.04,0.0,0
1976-07-05,M,M,0.00,0.0,0
1976-07-06,M,M,0.00,0.0,0
1976-07-07,M,M,0.10,0.0,0
1976-07-08,M,M,0.60,0.0,0
1976-07-09,M,M,0.33,0.0,0
1976-07-10,M,M,0.00,0.0,0
1976-07-11,M,M,0.28,0.0,0
1976-07-12,M,M,0.62,0.0,0
1976-07-13,M,M,0.00,0.0,0
1976-07-14,M,M,0.00,0.0,0
1976-07-15,M,M,0.16,0.0,0
1976-07-16,M,M,0.04,0.0,0
1976-07-17,M,M,0.08,0.0,0
1976-07-18,M,M,0.00,0.0,0
1976-07-19,M,M,0.00,0.0,0
1976-07-20,M,M,0.00,0.0,0
1976-07-21,M,M,0.00,0.0,0
1976-07-22,M,M,0.43,0.0,0
1976-07-23,M,M,0.01,0.0,0
1976-07-24,M,M,0.63,0.0,0
1976-07-25,M,M,0.19,0.0,0
1976-07-26,M,M,0.00,0.0,0
1976-07-27,M,M,0.00,0.0,0
1976-07-28,M,M,0.00,0.0,0
1976-07-29,M,M,0.15,0.0,0
1976-07-30,M,M,0.05,0.0,0
1976-07-31,M,M,0.00,0.0,0
1976-08-01,M,M,0.04,0.0,0
1976-08-02,M,M,0.00,0.0,0
1976-08-03,M,M,0.00,0.0,0
1976-08-04,M,M,0.00,0.0,0
1976-08-05,M,M,0.00,0.0,0
1976-08-06,M,M,0.16,0.0,0
1976-08-07,M,M,1.20,0.0,0
1976-08-08,M,M,0.79,0.0,0
1976-08-09,M,M,0.00,0.0,0
1976-08-10,M,M,0.00,0.0,0
1976-08-11,M,M,0.00,0.0,0
1976-08-12,M,M,0.00,0.0,0
1976-08-13,M,M,0.00,0.0,0
1976-08-14,M,M,0.07,0.0,0
1976-08-15,M,M,0.00,0.0,0
1976-08-16,M,M,0.45,0.0,0
1976-08-17,M,M,0.00,0.0,0
1976-08-18,M,M,0.00,0.0,0
1976-08-19,M,M,0.00,0.0,0
1976-08-20,M,M,0.00,0.0,0
1976-08-21,M,M,0.00,0.0,0
1976-08-22,M,M,0.00,0.0,0
1976-08-23,M,M,0.00,0.0,0
1976-08-24,M,M,0.00,0.0,0
1976-08-25,M,M,0.00,0.0,0
1976-08-26,M,M,0.00,0.0,0
1976-08-27,M,M,0.01,0.0,0
1976-08-28,M,M,0.00,0.0,0
1976-08-29,M,M,0.00,0.0,0
1976-08-30,M,M,0.00,0.0,0
1976-08-31,M,M,0.00,0.0,0
1976-09-01,M,M,0.00,0.0,0
1976-09-02,M,M,0.03,0.0,0
1976-09-03,M,M,T,0.0,0
1976-09-04,M,M,0.00,0.0,0
1976-09-05,M,M,0.01,0.0,0
1976-09-06,M,M,0.00,0.0,0
1976-09-07,M,M,0.00,0.0,0
1976-09-08,M,M,0.00,0.0,0
1976-09-09,M,M,0.00,0.0,0
1976-09-10,M,M,0.38,0.0,0
1976-09-11,M,M,0.01,0.0,0
1976-09-12,M,M,0.00,0.0,0
1976-09-13,M,M,0.00,0.0,0
1976-09-14,M,M,0.00,0.0,0
1976-09-15,M,M,0.00,0.0,0
1976-09-16,M,M,0.35,0.0,0
1976-09-17,M,M,0.28,0.0,0
1976-09-18,M,M,0.42,0.0,0
1976-09-19,M,M,0.08,0.0,0
1976-09-20,M,M,0.00,0.0,0
1976-09-21,M,M,0.16,0.0,0
1976-09-22,M,M,0.00,0.0,0
1976-09-23,M,M,0.00,0.0,0
1976-09-24,M,M,0.00,0.0,0
1976-09-25,M,M,0.00,0.0,0
1976-09-26,M,M,T,0.0,0
1976-09-27,M,M,0.12,0.0,0
1976-09-28,M,M,0.77,0.0,0
1976-09-29,M,M,T,0.0,0
1976-09-30,M,M,0.20,0.0,0
1976-10-01,M,M,1.05,0.0,0
1976-10-02,M,M,0.17,0.0,0
1976-10-03,M,M,0.03,0.0,0
1976-10-04,M,M,0.00,0.0,0
1976-10-05,M,M,0.00,0.0,0
1976-10-06,M,M,0.00,0.0,0
1976-10-07,M,M,0.14,0.0,0
1976-10-08,M,M,1.15,0.0,0
1976-10-09,M,M,1.05,0.0,0
1976-10-10,M,M,0.86,0.0,0
1976-10-11,M,M,0.00,0.0,0
1976-10-12,M,M,0.00,0.0,0
1976-10-13,M,M,0.00,0.0,0
1976-10-14,M,M,0.01,0.0,0
1976-10-15,M,M,0.00,0.0,0
1976-10-16,M,M,0.01,0.0,0
1976-10-17,M,M,0.00,0.0,0
1976-10-18,M,M,0.00,0.0,0
1976-10-19,M,M,0.00,0.0,0
1976-10-20,M,M,0.00,0.0,0
1976-10-21,M,M,0.86,0.0,0
1976-10-22,M,M,0.02,0.0,0
1976-10-23,M,M,T,0.0,0
1976-10-24,M,M,0.27,0.0,0
1976-10-25,M,M,0.14,0.0,0
1976-10-26,M,M,0.51,0.0,0
1976-10-27,M,M,0.00,0.0,0
