date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1920-04-01,M,M,0.00,M,M
1920-04-02,M,M,0.00,M,M
1920-04-03,M,M,0.00,M,M
1920-04-04,M,M,0.00,M,M
1920-04-05,M,M,0.30,M,M
1920-04-07,M,M,0.00,M,M
1920-04-08,M,M,0.10,M,M
1920-04-09,M,M,0.00,M,M
1920-04-10,M,M,0.00,M,M
1920-04-11,M,M,0.00,M,M
1920-04-12,M,M,0.00,M,M
1920-04-13,M,M,0.00,M,M
1920-04-14,M,M,0.00,M,M
1920-04-15,M,M,0.00,M,M
1920-04-16,M,M,0.20,M,M
1920-04-17,M,M,0.10,M,M
1920-04-18,M,M,0.00,M,M
1920-04-19,M,M,0.00,M,M
1920-04-20,M,M,0.40,M,M
1920-04-21,M,M,0.30,M,M
1920-04-22,M,M,0.00,M,M
1920-04-23,M,M,0.00,M,M
1920-04-24,M,M,0.00,M,M
1920-04-25,M,M,0.00,M,M
1920-04-26,M,M,0.00,M,M
1920-04-27,M,M,0.40,M,M
1920-04-28,M,M,0.00,M,M
1920-04-29,M,M,0.00,M,M
1920-04-30,M,M,0.30,M,M
1920-05-01,M,M,0.00,M,M
1920-05-02,M,M,0.00,M,M
1920-05-03,M,M,0.00,M,M
1920-05-04,M,M,0.00,M,M
1920-05-05,M,M,0.00,M,M
1920-05-06,M,M,0.00,M,M
1920-05-07,M,M,0.00,M,M
1920-05-08,M,M,0.00,M,M
1920-05-09,M,M,0.00,M,M
1920-05-10,M,M,0.00,M,M
1920-05-11,M,M,0.30,M,M
1920-05-12,M,M,0.00,M,M
1920-05-13,M,M,0.12,M,M
1920-05-14,M,M,0.00,M,M
1920-05-15,M,M,0.00,M,M
1920-05-16,M,M,0.00,M,M
1920-05-17,M,M,0.00,M,M
1920-05-18,M,M,0.00,M,M
1920-05-19,M,M,0.00,M,M
1920-05-20,M,M,0.00,M,M
1920-05-21,M,M,0.15,M,M
1920-05-22,M,M,0.00,M,M
1920-05-23,M,M,0.00,M,M
1920-05-24,M,M,0.10,M,M
1920-05-25,M,M,0.00,M,M
1920-05-26,M,M,0.00,M,M
1920-05-27,M,M,0.00,M,M
1920-05-28,M,M,0.00,M,M
1920-05-29,M,M,0.00,M,M
1920-05-30,M,M,0.00,M,M
1920-05-31,M,M,0.00,M,M
1920-06-01,M,M,0.00,M,M
1920-06-02,M,M,0.00,M,M
1920-06-03,M,M,0.46,M,M
1920-06-04,M,M,0.00,M,M
1920-06-05,M,M,0.50,M,M
1920-06-06,M,M,0.00,M,M
1920-06-07,M,M,0.00,M,M
1920-06-08,M,M,0.00,M,M
1920-06-09,M,M,0.00,M,M
1920-06-10,M,M,0.00,M,M
1920-06-11,M,M,0.00,M,M
1920-06-12,M,M,0.00,M,M
1920-06-13,M,M,0.12,M,M
1920-06-14,M,M,0.00,M,M
1920-06-15,M,M,0.20,M,M
1920-06-16,M,M,0.80,M,M
1920-06-17,M,M,1.00,M,M
1920-06-18,M,M,0.00,M,M
1920-06-19,M,M,0.00,M,M
1920-06-20,M,M,0.00,M,M
1920-06-21,M,M,0.00,M,M
1920-06-22,M,M,0.10,M,M
1920-06-23,M,M,0.23,M,M
1920-06-24,M,M,0.00,M,M
1920-06-25,M,M,0.00,M,M
1920-06-26,M,M,0.00,M,M
1920-06-27,M,M,0.00,M,M
1920-06-28,M,M,0.00,M,M
1920-06-29,M,M,0.16,M,M
1920-06-30,M,M,0.00,M,M
1920-07-01,M,M,0.00,M,M
1920-07-02,M,M,0.20,M,M
1920-07-03,M,M,0.00,M,M
1920-07-04,M,M,0.00,M,M
1920-07-05,M,M,0.00,M,M
1920-07-06,M,M,0.00,M,M
1920-07-07,M,M,0.00,M,M
1920-07-08,M,M,0.00,M,M
1920-07-09,M,M,0.00,M,M
1920-07-10,M,M,0.00,M,M
1920-07-11,M,M,0.30,M,M
1920-07-12,M,M,0.20,M,M
1920-07-13,M,M,0.00,M,M
1920-07-14,M,M,0.00,M,M
1920-07-15,M,M,0.00,M,M
1920-07-16,M,M,0.00,M,M
1920-07-17,M,M,0.00,M,M
