date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1991-05-01,64,40,0.00,0.0,0
1991-05-02,M,M,M,0.0,0
1991-05-03,67,33,0.00,0.0,0
1991-05-04,73,49,0.00,0.0,0
1991-05-05,68,38,0.00,0.0,0
1991-05-06,M,M,M,0.0,0
1991-05-07,60,44,0.00,0.0,0
1991-05-08,62,42,0.04,0.0,0
1991-05-09,52,22,0.00,0.0,0
1991-05-10,45,M,0.00,0.0,0
1991-05-11,55,M,0.03,0.0,0
1991-05-12,54,44,0.02,0.0,0
1991-05-13,63,41,0.07,0.0,0
1991-05-14,55,30,T,0.0,0
1991-05-15,64,28,0.00,0.0,0
1991-05-16,70,43,0.18,0.0,0
1991-05-17,57,39,0.68,0.0,0
1991-05-18,43,32,0.22,0.0,0
1991-05-19,56,35,0.00,0.0,0
1991-05-20,64,43,0.13,0.0,0
1991-05-21,64,41,0.00,0.0,0
1991-05-22,70,34,0.00,0.0,0
1991-05-23,73,36,0.00,0.0,0
1991-05-24,73,47,0.00,0.0,0
1991-05-25,68,28,0.00,0.0,0
1991-05-26,60,29,0.00,0.0,0
1991-05-27,62,30,0.00,0.0,0
1991-05-28,68,34,0.00,0.0,0
1991-05-29,64,36,0.00,0.0,0
1991-05-30,53,33,0.01,0.0,0
1991-05-31,58,32,0.00,0.0,0
1991-06-01,71,41,0.00,0.0,0
1991-06-02,78,43,0.00,0.0,0
1991-06-03,78,35,0.00,0.0,0
1991-06-04,62,27,0.00,0.0,0
1991-06-05,60,34,0.00,0.0,0
1991-06-06,54,37,0.13,0.0,0
1991-06-07,63,44,0.00,0.0,0
1991-06-08,72,43,0.00,0.0,0
1991-06-09,75,45,0.00,0.0,0
1991-06-10,84,48,0.00,0.0,0
1991-06-11,89,49,0.00,0.0,0
1991-06-12,68,35,0.00,0.0,0
1991-06-13,63,36,0.00,0.0,0
1991-06-14,59,28,0.00,0.0,0
1991-06-15,70,44,0.00,0.0,0
1991-06-16,76,33,0.00,0.0,0
1991-06-17,65,29,0.00,0.0,0
1991-06-18,70,33,0.00,0.0,0
1991-06-19,70,40,0.03,0.0,0
1991-06-20,55,42,0.32,0.0,0
1991-06-21,53,35,0.40,0.0,0
1991-06-22,66,42,T,0.0,0
1991-06-23,67,39,0.00,0.0,0
1991-06-24,71,48,0.42,0.0,0
1991-06-25,64,45,T,0.0,0
1991-06-26,67,36,0.00,0.0,0
1991-06-27,70,42,0.01,0.0,0
1991-06-28,74,55,0.14,0.0,0
1991-06-29,70,50,0.30,0.0,0
1991-06-30,69,42,0.00,0.0,0
1991-07-01,75,48,0.00,0.0,0
1991-07-02,85,52,0.00,0.0,0
1991-07-03,93,57,0.00,0.0,0
1991-07-04,98,52,0.00,0.0,0
1991-07-05,92,46,0.00,0.0,0
1991-07-06,83,41,0.00,0.0,0
1991-07-07,82,44,0.00,0.0,0
1991-07-08,83,30,0.00,0.0,0
1991-07-09,86,49,0.00,0.0,0
1991-07-10,79,30,0.00,0.0,0
1991-07-11,83,30,0.00,0.0,0
1991-07-12,83,37,0.00,0.0,0
1991-07-13,93,51,0.43,0.0,0
1991-07-14,80,49,T,0.0,0
1991-07-15,82,53,T,0.0,0
1991-07-16,74,37,0.10,0.0,0
1991-07-17,61,52,0.16,0.0,0
1991-07-18,73,40,0.00,0.0,0
1991-07-19,81,46,0.00,0.0,0
1991-07-20,83,47,0.00,0.0,0
1991-07-21,86,47,0.00,0.0,0
1991-07-22,85,49,0.00,0.0,0
1991-07-23,90,38,0.00,0.0,0
1991-07-24,94,61,T,0.0,0
1991-07-25,86,49,0.00,0.0,0
1991-07-26,79,45,0.00,0.0,0
1991-07-27,84,50,0.00,0.0,0
1991-07-28,90,53,0.00,0.0,0
1991-07-29,91,55,0.00,0.0,0
1991-07-30,89,32,0.00,0.0,0
1991-07-31,90,56,0.00,0.0,0
1991-08-01,93,47,0.00,0.0,0
1991-08-02,82,49,0.00,0.0,0
1991-08-03,89,52,0.00,0.0,0
1991-08-04,92,67,0.00,0.0,0
1991-08-05,87,58,0.00,0.0,0
1991-08-06,82,50,0.10,0.0,0
1991-08-07,85,53,0.00,0.0,0
1991-08-08,84,62,0.00,0.0,0
1991-08-09,90,53,0.00,0.0,0
1991-08-10,80,37,0.00,0.0,0
1991-08-11,78,37,0.00,0.0,0
1991-08-12,79,49,0.00,0.0,0
1991-08-13,85,41,0.00,0.0,0
1991-08-14,85,49,0.00,0.0,0
1991-08-15,86,51,0.00,0.0,0
1991-08-16,88,60,0.03,0.0,0
1991-08-17,87,55,0.00,0.0,0
1991-08-18,92,51,0.27,0.0,0
1991-08-19,90,55,0.02,0.0,0
1991-08-20,91,51,0.00,0.0,0
1991-08-21,93,57,0.00,0.0,0
1991-08-22,94,58,0.00,0.0,0
1991-08-23,90,50,0.00,0.0,0
1991-08-24,90,43,0.00,0.0,0
1991-08-25,83,42,0.00,0.0,0
1991-08-26,74,39,0.00,0.0,0
1991-08-27,84,47,0.00,0.0,0
1991-08-28,81,55,0.00,0.0,0
1991-08-29,70,51,0.00,0.0,0
1991-08-30,84,50,0.00,0.0,0
1991-08-31,89,49,0.00,0.0,0
1991-09-01,85,48,0.00,0.0,0
1991-09-02,71,40,0.00,0.0,0
1991-09-03,79,44,0.00,0.0,0
1991-09-04,83,44,0.00,0.0,0
1991-09-05,86,50,0.00,0.0,0
1991-09-06,88,53,0.00,0.0,0
1991-09-07,89,45,0.00,0.0,0
1991-09-08,76,32,0.00,0.0,0
1991-09-09,69,41,0.00,0.0,0
1991-09-10,69,36,0.00,0.0,0
1991-09-11,74,46,0.00,0.0,0
1991-09-12,80,45,0.00,0.0,0
1991-09-13,85,49,0.00,0.0,0
1991-09-14,74,32,0.00,0.0,0
1991-09-15,72,34,0.00,0.0,0
1991-09-16,81,41,0.00,0.0,0
1991-09-17,88,46,0.00,0.0,0
1991-09-18,83,44,0.00,0.0,0
1991-09-19,81,44,0.00,0.0,0
1991-09-20,87,45,0.00,0.0,0
1991-09-21,76,26,0.00,0.0,0
1991-09-22,67,26,0.00,0.0,0
1991-09-23,73,37,0.00,0.0,0
1991-09-24,75,38,0.00,0.0,0
1991-09-25,80,43,0.00,0.0,0
1991-09-26,85,46,0.00,0.0,0
1991-09-27,85,54,0.00,0.0,0
1991-09-28,85,49,0.00,0.0,0
