date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1978-10-01,M,M,0.00,0.0,0
1978-10-02,M,M,0.00,0.0,0
1978-10-03,M,M,0.00,0.0,0
1978-10-04,M,M,0.00,0.0,0
1978-10-05,M,M,0.00,0.0,0
1978-10-06,M,M,0.00,0.0,0
1978-10-07,M,M,0.00,0.0,0
1978-10-08,M,M,T,0.0,0
1978-10-09,M,M,0.00,0.0,0
1978-10-10,M,M,0.00,0.0,0
1978-10-11,74,M,0.00,0.0,0
1978-10-12,70,32,0.00,0.0,0
1978-10-13,69,34,0.00,0.0,0
1978-10-14,75,36,0.00,0.0,0
1978-10-15,73,38,0.00,0.0,0
1978-10-16,75,46,0.00,0.0,0
1978-10-17,75,40,0.00,0.0,0
1978-10-18,76,40,0.00,0.0,0
1978-10-19,80,38,0.00,0.0,0
1978-10-20,75,46,0.00,0.0,0
1978-10-21,68,37,0.00,0.0,0
1978-10-22,64,26,0.00,0.0,0
1978-10-23,74,36,0.00,0.0,0
1978-10-24,74,44,0.00,0.0,0
1978-10-25,73,26,0.00,0.0,0
1978-10-26,70,33,0.00,0.0,0
1978-10-27,66,38,0.00,0.0,0
1978-10-28,70,36,0.00,0.0,0
1978-10-29,63,33,0.01,0.0,0
1978-10-30,54,28,0.00,0.0,0
1978-10-31,53,21,0.00,0.0,0
1978-11-01,60,24,0.00,0.0,0
1978-11-02,61,29,0.00,0.0,0
1978-11-03,67,39,0.00,0.0,0
1978-11-04,72,46,0.00,0.0,0
1978-11-05,54,24,0.00,0.0,0
1978-11-06,62,30,0.00,0.0,0
1978-11-07,62,38,0.00,0.0,0
1978-11-08,59,45,0.01,0.0,0
1978-11-09,50,26,0.00,0.0,0
1978-11-10,34,21,0.00,0.0,0
1978-11-11,30,3,0.00,0.0,0
1978-11-12,35,6,0.00,0.0,0
1978-11-13,35,8,0.00,0.0,0
1978-11-14,40,10,0.00,0.0,0
1978-11-15,42,M,0.00,0.0,0
1978-11-16,M,28,0.00,0.0,0
1978-11-17,55,40,0.00,0.0,0
1978-11-18,53,24,0.00,0.0,0
1978-11-19,41,24,0.09,1.5,2
1978-11-20,27,20,T,T,2
1978-11-21,33,19,T,T,1
1978-11-22,34,19,0.00,0.0,1
1978-11-23,33,23,0.05,0.6,2
1978-11-24,39,29,0.00,0.0,T
1978-11-25,37,31,0.05,0.5,T
1978-11-26,35,26,T,0.0,T
1978-11-27,37,23,T,0.0,T
1978-11-28,44,33,0.01,0.0,0
1978-11-29,47,38,0.72,0.0,0
1978-11-30,45,33,0.37,0.0,0
1978-12-01,47,34,0.01,0.0,0
1978-12-02,41,32,T,0.0,0
1978-12-03,48,30,0.00,0.0,0
1978-12-04,55,36,0.31,0.0,0
1978-12-05,39,27,0.31,0.5,0
