date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1997-01-01,58,44,0.19,0.0,M
1997-01-02,47,42,M,0.0,0
1997-01-03,50,32,T,0.0,0
1997-01-04,41,25,0.00,0.0,0
1997-01-05,40,20,0.00,0.0,0
1997-01-06,36,20,0.00,0.0,0
1997-01-07,42,24,0.00,0.0,0
1997-01-08,46,30,0.00,0.0,0
1997-01-09,49,35,T,0.0,0
1997-01-10,52,35,0.25,0.0,0
1997-01-11,48,29,0.00,0.0,0
1997-01-12,46,11,0.00,0.0,0
1997-01-13,23,4,0.00,0.0,0
1997-01-14,25,4,0.00,0.0,0
1997-01-15,32,9,0.00,0.0,0
1997-01-16,35,13,0.00,0.0,0
1997-01-17,43,14,0.25,0.0,0
1997-01-18,49,41,0.03,0.0,0
1997-01-19,53,44,T,0.0,0
1997-01-20,51,31,0.00,0.0,0
1997-01-21,44,33,0.00,0.0,0
1997-01-22,44,M,0.05,1.0,1
1997-01-23,39,23,0.00,0.0,M
1997-01-24,40,19,0.00,0.0,M
1997-01-25,41,20,0.00,0.0,M
1997-01-26,28,19,0.45,6.0,6
1997-01-27,23,10,T,M,6
1997-01-28,42,10,0.00,0.0,3
1997-01-29,52,35,0.00,0.0,T
1997-01-30,52,41,0.00,0.0,0
1997-01-31,51,46,T,0.0,0
1997-02-01,50,34,0.06,M,M
1997-02-02,46,30,T,M,M
1997-02-03,43,29,0.02,M,M
1997-02-04,47,27,M,M,M
1997-02-05,29,20,M,M,M
1997-02-06,37,16,M,M,M
1997-02-07,32,17,M,M,M
1997-02-08,26,20,M,M,M
1997-02-09,31,20,M,M,M
1997-02-10,28,23,M,M,M
1997-02-11,40,25,M,M,M
1997-02-12,44,23,0.04,M,M
1997-02-13,41,25,M,M,M
1997-02-14,52,32,0.03,M,M
1997-02-15,56,33,M,M,M
1997-02-16,67,38,M,M,M
1997-02-17,64,34,M,M,M
1997-02-18,47,29,M,M,M
1997-02-19,46,34,0.06,M,M
1997-02-20,46,25,0.02,M,M
1997-02-21,42,25,M,M,M
1997-02-22,43,21,M,M,M
1997-02-23,40,20,M,M,M
1997-02-24,48,21,M,M,M
1997-02-25,53,25,M,M,M
1997-02-26,50,34,0.07,M,M
1997-02-27,44,27,0.18,M,M
1997-02-28,35,26,0.23,M,M
1997-03-01,39,27,T,T,0
1997-03-02,49,27,0.00,0.0,0
1997-03-03,42,25,0.04,T,T
1997-03-04,42,21,T,T,T
1997-03-05,42,26,0.00,0.0,0
1997-03-06,54,35,0.00,0.0,0
1997-03-07,52,38,0.00,0.0,0
1997-03-08,55,26,0.00,0.0,0
1997-03-09,58,26,0.00,0.0,0
1997-03-10,55,30,0.00,0.0,0
1997-03-11,50,30,T,0.0,0
1997-03-12,42,28,T,T,T
1997-03-13,44,26,0.05,0.5,1
1997-03-14,43,25,0.00,0.0,M
1997-03-15,41,29,0.00,0.0,M
1997-03-16,62,41,0.00,0.0,0
1997-03-17,56,34,0.03,0.0,0
1997-03-18,55,35,0.00,0.0,0
1997-03-19,69,44,0.04,0.0,0
1997-03-20,52,28,T,0.0,0
1997-03-21,55,31,0.00,0.0,0
1997-03-22,62,31,0.00,0.0,0
1997-03-23,61,35,0.00,0.0,0
1997-03-24,55,30,0.00,0.0,0
1997-03-25,67,34,0.00,0.0,0
1997-03-26,76,41,0.00,0.0,0
1997-03-27,61,25,0.00,0.0,0
1997-03-28,53,27,0.00,0.0,0
1997-03-29,48,26,0.00,0.0,0
1997-03-30,57,34,0.00,0.0,0
1997-03-31,63,25,0.00,0.0,0
1997-04-01,45,24,0.00,0.0,0
1997-04-02,46,21,0.00,0.0,0
1997-04-03,52,30,0.00,0.0,0
1997-04-04,51,24,0.00,0.0,0
1997-04-05,39,20,0.00,0.0,0
1997-04-06,46,26,0.00,0.0,0
1997-04-07,59,33,0.00,0.0,0
1997-04-08,50,32,0.11,0.0,0
1997-04-09,47,29,T,0.0,0
1997-04-10,45,32,T,0.0,0
1997-04-11,44,20,0.12,0.0,0
1997-04-12,43,24,0.00,0.0,0
1997-04-13,59,29,0.00,0.0,0
1997-04-14,51,41,T,0.0,0
1997-04-15,65,42,0.00,0.0,0
1997-04-16,72,41,0.00,0.0,0
1997-04-17,62,40,0.00,0.0,0
1997-04-18,61,39,0.01,0.0,0
1997-04-19,64,41,0.44,0.0,0
1997-04-20,56,42,0.21,0.0,0
1997-04-21,59,32,0.00,0.0,0
1997-04-22,43,42,0.25,0.0,0
1997-04-23,62,39,0.45,0.0,0
1997-04-24,51,30,0.06,0.0,0
1997-04-25,70,36,0.00,0.0,0
1997-04-26,76,40,0.00,0.0,0
1997-04-27,76,41,0.25,0.0,0
1997-04-28,53,36,0.04,0.0,0
1997-04-29,52,39,0.07,0.0,0
1997-04-30,56,38,0.06,0.0,0
1997-05-01,54,28,0.01,0.0,0
1997-05-02,49,28,0.00,0.0,0
1997-05-03,63,38,0.00,0.0,0
1997-05-04,56,35,0.10,0.0,0
1997-05-05,61,38,0.00,0.0,0
1997-05-06,68,45,0.00,0.0,0
1997-05-07,60,32,0.00,0.0,0
1997-05-08,66,36,0.00,0.0,0
1997-05-09,72,37,0.00,0.0,0
1997-05-10,75,44,0.00,0.0,0
1997-05-11,77,46,0.00,0.0,0
1997-05-12,81,50,0.00,0.0,0
1997-05-13,87,49,0.18,0.0,0
1997-05-14,87,55,0.00,0.0,0
1997-05-15,78,51,T,0.0,0
1997-05-16,80,49,0.00,0.0,0
1997-05-17,80,49,0.00,0.0,0
1997-05-18,77,39,0.00,0.0,0
1997-05-19,70,41,0.00,0.0,0
1997-05-20,76,42,0.00,0.0,0
1997-05-21,68,35,0.00,0.0,0
1997-05-22,68,41,0.00,0.0,0
1997-05-23,69,41,0.09,0.0,0
1997-05-24,60,39,0.26,0.0,0
1997-05-25,55,41,0.10,0.0,0
1997-05-26,58,37,0.00,0.0,0
1997-05-27,70,49,T,0.0,0
1997-05-28,71,53,0.16,0.0,0
1997-05-29,63,50,0.45,0.0,0
1997-05-30,70,54,0.15,0.0,0
1997-05-31,81,57,T,0.0,0
1997-06-01,71,48,0.11,0.0,0
1997-06-02,62,39,T,0.0,0
1997-06-03,74,40,0.40,0.0,0
1997-06-04,67,45,0.91,0.0,0
1997-06-05,60,44,0.26,0.0,0
1997-06-06,60,39,0.00,0.0,0
1997-06-07,69,45,0.00,0.0,0
1997-06-08,67,36,0.00,0.0,0
1997-06-09,68,41,0.00,0.0,0
1997-06-10,75,49,0.00,0.0,0
1997-06-11,76,46,0.00,0.0,0
1997-06-12,77,46,0.35,0.0,0
1997-06-13,75,46,0.00,0.0,0
1997-06-14,72,46,0.00,0.0,0
1997-06-15,76,50,0.00,0.0,0
1997-06-16,80,53,0.00,0.0,0
1997-06-17,79,55,0.00,0.0,0
1997-06-18,76,46,0.00,0.0,0
1997-06-19,70,40,0.00,0.0,0
1997-06-20,70,39,0.00,0.0,0
1997-06-21,71,45,0.00,0.0,0
1997-06-22,66,36,0.00,0.0,0
1997-06-23,66,38,0.26,0.0,0
1997-06-24,70,39,0.00,0.0,0
1997-06-25,74,39,0.00,0.0,0
1997-06-26,80,41,0.00,0.0,0
1997-06-27,85,48,0.00,0.0,0
1997-06-28,71,45,0.00,0.0,0
1997-06-29,70,46,0.18,0.0,0
1997-06-30,69,44,0.14,0.0,0
1997-07-01,59,47,0.00,0.0,0
1997-07-02,69,42,0.00,0.0,0
1997-07-03,73,46,0.00,0.0,0
1997-07-04,84,53,0.00,0.0,0
1997-07-05,92,59,0.00,0.0,0
1997-07-06,82,49,0.00,0.0,0
1997-07-07,82,47,0.00,0.0,0
1997-07-08,82,53,0.00,0.0,0
1997-07-09,82,M,0.14,0.0,0
1997-07-10,64,39,0.08,0.0,0
1997-07-11,64,41,0.00,0.0,0
1997-07-12,69,43,0.00,0.0,0
1997-07-13,78,47,0.00,0.0,0
1997-07-14,82,56,0.00,0.0,0
1997-07-15,84,51,0.00,0.0,0
1997-07-16,83,50,0.00,0.0,0
1997-07-17,75,56,0.07,0.0,0
1997-07-18,63,47,0.00,0.0,0
1997-07-19,79,48,0.00,0.0,0
1997-07-20,84,58,0.00,0.0,0
1997-07-21,92,61,0.00,0.0,0
1997-07-22,92,48,0.00,0.0,0
1997-07-23,81,49,0.00,0.0,0
1997-07-24,82,50,0.00,0.0,0
1997-07-25,83,48,0.00,0.0,0
1997-07-26,82,47,0.00,0.0,0
1997-07-27,85,50,0.00,0.0,0
1997-07-28,86,55,0.00,0.0,0
1997-07-29,91,56,0.03,0.0,0
1997-07-30,81,56,0.35,0.0,0
1997-07-31,83,53,0.04,0.0,0
1997-08-01,83,53,T,0.0,M
1997-08-02,84,54,T,0.0,0
1997-08-03,84,55,0.00,0.0,0
1997-08-04,93,58,0.00,0.0,0
1997-08-05,93,61,0.00,0.0,0
1997-08-06,93,64,0.00,0.0,0
1997-08-07,96,59,0.00,0.0,0
1997-08-08,86,50,0.00,0.0,0
1997-08-09,86,55,0.00,0.0,0
1997-08-10,87,55,0.00,0.0,0
1997-08-11,M,M,M,0.0,0
1997-08-12,M,M,M,0.0,0
1997-08-13,M,M,M,0.0,0
1997-08-14,M,M,M,0.0,0
1997-08-15,M,M,M,0.0,0
1997-08-16,M,M,M,0.0,0
1997-08-17,M,M,M,0.0,0
1997-08-18,M,M,M,0.0,0
1997-08-19,M,M,M,0.0,0
1997-08-20,86,49,0.00,0.0,0
1997-08-21,85,47,0.00,0.0,0
1997-08-22,91,59,0.00,0.0,0
1997-08-23,85,50,0.00,0.0,0
1997-08-24,86,50,0.00,0.0,0
1997-08-25,86,50,0.15,0.0,0
1997-08-26,73,51,0.00,0.0,0
1997-08-27,81,49,0.00,0.0,0
1997-08-28,72,50,0.00,0.0,0
1997-08-29,71,46,0.00,0.0,0
1997-08-30,80,47,0.00,0.0,0
1997-08-31,79,52,0.00,0.0,0
1997-09-01,84,M,0.00,0.0,0
1997-09-02,89,55,0.00,0.0,0
1997-09-03,83,56,0.18,0.0,0
1997-09-04,76,50,0.06,0.0,0
1997-09-05,78,44,0.00,0.0,0
1997-09-06,78,44,0.00,0.0,0
1997-09-07,78,45,0.00,0.0,0
1997-09-08,80,44,0.00,0.0,0
1997-09-09,81,51,0.00,0.0,0
1997-09-10,82,55,0.05,0.0,0
1997-09-11,76,54,0.09,0.0,0
1997-09-12,62,50,0.18,0.0,0
1997-09-13,67,42,0.00,0.0,0
1997-09-14,62,39,0.00,0.0,0
1997-09-15,64,45,0.10,0.0,0
1997-09-16,61,42,0.11,0.0,0
1997-09-17,62,44,0.01,0.0,0
1997-09-18,63,42,0.00,0.0,0
1997-09-19,56,37,0.12,0.0,0
1997-09-20,60,37,0.00,0.0,0
1997-09-21,68,38,0.00,0.0,0
1997-09-22,73,45,0.00,0.0,0
1997-09-23,78,49,0.00,0.0,0
1997-09-24,82,56,0.00,0.0,0
1997-09-25,87,56,0.00,0.0,0
1997-09-26,80,55,0.00,0.0,0
1997-09-27,60,41,0.03,0.0,0
1997-09-28,64,41,0.00,0.0,0
1997-09-29,76,49,0.00,0.0,0
1997-09-30,85,59,0.00,0.0,0
1997-10-01,71,59,0.00,0.0,0
1997-10-02,74,44,0.00,0.0,0
1997-10-03,62,44,0.06,0.0,0
1997-10-04,70,49,0.00,0.0,0
1997-10-05,62,41,0.14,0.0,0
1997-10-06,56,36,0.00,0.0,0
1997-10-07,48,36,0.00,0.0,0
1997-10-08,51,36,0.00,0.0,0
1997-10-09,60,41,0.15,0.0,0
1997-10-10,55,35,0.04,0.0,0
1997-10-11,52,35,0.08,0.0,0
1997-10-12,50,37,0.00,0.0,0
1997-10-13,50,37,0.00,0.0,0
1997-10-14,72,42,0.00,0.0,0
1997-10-15,71,43,0.00,0.0,0
1997-10-16,72,44,0.00,0.0,0
1997-10-17,82,46,0.00,0.0,0
1997-10-18,68,37,0.00,0.0,0
1997-10-19,57,35,0.00,0.0,0
1997-10-20,59,31,0.00,0.0,0
1997-10-21,62,30,0.00,0.0,0
1997-10-22,60,32,0.00,0.0,0
1997-10-23,59,37,0.00,0.0,0
1997-10-24,44,28,0.26,0.0,0
1997-10-25,48,28,0.00,0.0,0
1997-10-26,58,32,0.00,0.0,0
1997-10-27,63,41,0.00,0.0,0
1997-10-28,64,39,0.00,0.0,0
1997-10-29,57,49,0.02,0.0,0
1997-10-30,58,47,0.02,0.0,0
1997-10-31,65,37,0.25,0.0,0
1997-11-01,56,34,0.00,0.0,0
1997-11-02,59,37,0.00,0.0,0
1997-11-03,65,39,0.00,0.0,0
1997-11-04,69,42,0.00,0.0,0
1997-11-05,63,44,0.00,0.0,0
1997-11-06,72,48,0.10,0.0,0
1997-11-07,50,34,0.60,0.0,0
1997-11-08,42,35,0.40,0.0,0
1997-11-09,40,30,0.00,0.0,0
1997-11-10,42,30,0.00,0.0,0
1997-11-11,45,29,0.00,0.0,0
1997-11-12,38,28,0.00,0.0,0
1997-11-13,35,28,0.00,0.0,0
1997-11-14,38,26,0.00,0.0,0
1997-11-15,36,26,0.00,0.0,0
1997-11-16,52,27,0.00,0.0,0
1997-11-17,49,33,0.00,0.0,0
1997-11-18,48,33,0.00,0.0,0
1997-11-19,47,36,0.18,0.0,0
1997-11-20,46,37,0.00,0.0,0
1997-11-21,50,35,0.00,0.0,0
1997-11-22,50,35,0.00,0.0,0
1997-11-23,49,38,0.08,0.0,0
1997-11-24,59,41,0.00,0.0,0
1997-11-25,47,30,0.03,0.0,0
1997-11-26,46,30,0.00,0.0,0
1997-11-27,39,28,T,0.0,0
1997-11-28,50,31,0.00,0.0,0
1997-11-29,49,34,0.00,0.0,0
1997-11-30,49,32,0.16,0.0,0
1997-12-01,45,30,T,0.0,0
1997-12-02,44,23,0.00,0.0,0
1997-12-03,35,22,0.00,0.0,0
1997-12-04,50,23,0.00,0.0,0
1997-12-05,34,22,0.00,0.0,0
1997-12-06,26,23,0.00,0.0,0
1997-12-07,30,24,0.00,0.0,0
1997-12-08,37,24,0.30,2.0,2
1997-12-09,37,21,0.00,0.0,1
1997-12-10,34,25,0.19,3.5,4
1997-12-11,42,30,0.00,0.0,M
1997-12-12,44,29,0.00,0.0,2
1997-12-13,43,20,0.00,0.0,2
1997-12-14,45,21,0.00,0.0,T
1997-12-15,49,32,0.14,0.0,0
1997-12-16,43,32,T,0.0,0
1997-12-17,48,36,0.10,0.0,0
1997-12-18,40,23,0.00,0.0,0
1997-12-19,38,22,0.00,0.0,0
1997-12-20,42,26,0.00,0.0,0
1997-12-21,37,27,0.00,0.0,0
1997-12-22,35,17,0.00,0.0,0
1997-12-23,36,17,0.02,0.5,1
1997-12-24,37,29,0.01,T,T
1997-12-25,32,18,0.05,0.5,1
1997-12-26,38,20,0.00,0.0,M
1997-12-27,45,32,0.00,0.0,M
1997-12-28,39,32,0.00,0.0,M
1997-12-29,53,35,0.00,0.0,M
1997-12-30,58,36,0.00,0.0,0
1997-12-31,59,31,0.00,0.0,0
1998-01-01,56,43,0.00,0.0,0
1998-01-02,56,33,T,0.0,0
1998-01-03,35,26,0.00,0.0,0
1998-01-04,44,28,0.10,0.5,1
1998-01-05,41,27,0.02,0.0,T
1998-01-06,41,27,0.00,0.0,0
1998-01-07,40,32,0.09,T,T
1998-01-08,42,20,0.00,0.0,0
1998-01-09,39,20,0.00,0.0,0
1998-01-10,29,23,0.08,T,T
1998-01-11,30,14,0.50,5.5,6
1998-01-12,M,1,0.14,2.5,7
1998-01-13,34,2,0.22,3.0,9
1998-01-14,44,M,0.00,0.0,5
1998-01-15,45,30,0.30,0.0,2
1998-01-16,44,31,0.12,0.0,T
1998-01-17,49,39,0.02,0.0,0
1998-01-18,54,41,0.00,0.0,0
1998-01-19,56,34,0.26,0.0,0
1998-01-20,45,29,0.00,0.0,0
1998-01-21,44,30,0.02,0.0,0
1998-01-22,44,34,0.05,0.0,0
1998-01-23,46,38,T,0.0,0
1998-01-24,52,39,T,0.0,0
1998-01-25,53,35,0.00,0.0,0
1998-01-26,50,39,0.00,0.0,0
1998-01-27,51,35,0.38,0.0,0
1998-01-28,47,36,0.00,0.0,0
1998-01-29,55,42,T,0.0,0
1998-01-30,50,28,0.05,0.0,0
1998-01-31,48,30,0.00,0.0,0
1998-02-01,53,34,0.00,0.0,0
1998-02-02,44,33,T,0.0,0
1998-02-03,45,35,0.18,0.0,0
1998-02-04,55,33,T,0.0,0
1998-02-05,52,34,T,0.0,0
1998-02-06,50,39,0.03,0.0,0
1998-02-07,51,39,0.05,0.0,0
1998-02-08,50,38,0.06,0.0,0
1998-02-09,45,25,0.00,0.0,0
1998-02-10,46,25,0.00,0.0,0
1998-02-11,44,31,0.01,0.0,0
1998-02-12,48,35,0.02,0.0,0
1998-02-13,48,31,0.30,0.0,0
1998-02-14,48,30,0.08,0.0,0
1998-02-15,42,31,0.44,1.0,1
1998-02-16,46,26,T,0.0,M
1998-02-17,41,29,0.00,0.0,M
1998-02-18,50,31,0.00,0.0,0
1998-02-19,41,35,0.08,0.0,0
1998-02-20,43,33,0.16,0.0,0
1998-02-21,43,32,0.12,T,T
1998-02-22,48,29,0.00,0.0,0
1998-02-23,46,30,0.00,0.0,0
1998-02-24,45,29,T,T,T
1998-02-25,43,24,0.00,0.0,0
1998-02-26,45,21,T,0.0,0
1998-02-27,42,21,0.00,0.0,0
1998-02-28,47,26,T,T,T
1998-03-01,48,32,0.01,0.0,0
1998-03-02,50,27,0.00,0.0,0
1998-03-03,50,24,0.15,T,T
1998-03-04,45,27,0.04,T,T
1998-03-05,40,21,0.06,1.0,1
1998-03-06,40,23,0.00,0.0,M
1998-03-07,42,26,0.00,0.0,M
1998-03-08,50,32,0.00,0.0,0
1998-03-09,54,36,0.00,0.0,0
1998-03-10,M,M,0.00,0.0,0
1998-03-11,M,M,0.00,0.0,0
1998-03-12,68,44,0.00,0.0,0
1998-03-13,66,46,0.00,0.0,0
1998-03-14,65,46,0.00,0.0,0
1998-03-15,M,M,0.00,0.0,0
1998-03-16,67,43,0.00,0.0,0
1998-03-17,67,24,0.00,0.0,0
1998-03-18,67,27,0.00,0.0,0
1998-03-19,67,29,0.00,0.0,0
1998-03-20,60,29,0.00,0.0,0
1998-03-21,70,44,0.00,0.0,0
1998-03-22,63,48,0.00,0.0,0
1998-03-23,60,46,0.00,0.0,0
1998-03-24,61,37,0.02,0.0,0
1998-03-25,M,M,0.00,0.0,0
1998-03-26,M,M,0.00,0.0,0
1998-03-27,59,26,0.00,0.0,0
1998-03-28,42,28,0.23,1.0,1
1998-03-29,38,20,T,T,M
1998-03-30,44,25,0.00,0.0,M
1998-03-31,55,28,0.00,0.0,M
1998-04-01,41,30,0.18,0.0,0
1998-04-02,40,30,0.00,0.0,0
1998-04-03,48,32,0.02,0.0,0
1998-04-04,53,34,0.18,0.0,0
1998-04-05,47,29,0.00,0.0,0
1998-04-06,52,32,T,0.0,0
1998-04-07,52,31,0.08,0.0,0
1998-04-08,44,26,0.01,0.0,0
1998-04-09,48,29,0.00,0.0,0
1998-04-10,55,38,0.03,0.0,0
1998-04-11,55,36,0.00,0.0,0
1998-04-12,42,24,0.14,0.0,0
1998-04-13,48,29,T,0.0,0
1998-04-14,40,28,0.04,0.0,0
1998-04-15,40,31,0.54,3.0,3
1998-04-16,49,29,T,0.0,M
1998-04-17,52,29,0.00,0.0,M
1998-04-18,55,33,0.00,0.0,M
1998-04-19,62,39,0.07,0.0,0
1998-04-20,58,36,0.00,0.0,0
1998-04-21,72,42,0.00,0.0,0
1998-04-22,71,43,0.00,0.0,0
1998-04-23,75,51,0.04,0.0,0
1998-04-24,66,37,0.56,0.0,0
1998-04-25,66,30,0.01,0.0,0
1998-04-26,53,31,0.00,0.0,0
1998-04-27,61,38,0.00,0.0,0
1998-04-28,69,43,0.00,0.0,0
1998-04-29,75,46,0.00,0.0,0
1998-04-30,82,56,0.00,0.0,0
1998-05-01,82,52,0.00,0.0,0
1998-05-02,77,47,0.08,0.0,0
1998-05-03,70,41,0.22,0.0,0
1998-05-04,68,43,0.00,0.0,0
1998-05-05,70,45,0.33,0.0,0
1998-05-06,70,46,0.03,0.0,0
1998-05-07,69,45,0.00,0.0,0
1998-05-08,72,43,0.00,0.0,0
1998-05-09,53,37,0.18,0.0,0
