date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1945-02-01,30,18,M,M,M
1945-02-02,34,18,M,M,M
1945-02-03,34,17,M,M,M
1945-02-04,38,12,M,M,M
1945-02-05,40,27,M,M,M
1945-02-06,39,24,M,M,M
1945-02-07,48,21,M,M,M
1945-02-08,45,33,M,M,M
1945-02-09,47,29,M,M,M
1945-02-10,62,31,M,M,M
1945-02-11,56,30,M,M,M
1945-02-12,52,23,M,M,M
1945-02-13,42,35,M,M,M
1945-02-14,40,27,M,M,M
1945-02-15,57,26,M,M,M
1945-02-16,59,43,M,M,M
1945-02-17,43,30,M,M,M
1945-02-18,34,18,M,M,M
1945-02-19,29,16,M,M,M
1945-02-20,38,6,M,M,M
1945-02-21,42,31,T,M,M
1945-02-22,68,42,M,M,M
1945-02-23,55,38,M,M,M
1945-02-24,47,30,M,M,M
1945-02-25,55,30,M,M,M
1945-02-26,57,39,M,M,M
1945-02-27,61,36,M,M,M
1945-02-28,36,26,M,M,M
1945-03-01,47,31,M,M,M
1945-03-02,51,29,T,M,M
1945-03-03,65,46,T,M,M
1945-03-04,54,28,M,M,M
1945-03-05,46,25,T,M,M
1945-03-06,68,44,M,M,M
1945-03-07,50,34,T,M,M
1945-03-08,44,29,M,M,M
1945-03-09,50,25,M,M,M
1945-03-10,57,27,T,M,M
1945-03-11,45,32,T,M,M
1945-03-12,52,26,M,M,M
1945-03-13,56,30,M,M,M
1945-03-14,60,27,M,M,M
1945-03-15,68,47,T,M,M
1945-03-16,82,52,M,M,M
1945-03-17,88,54,M,M,M
1945-03-18,71,45,M,M,M
1945-03-19,84,43,M,M,M
1945-03-20,83,68,M,M,M
1945-03-21,71,49,0.10,M,M
1945-03-22,51,39,1.23,M,M
1945-03-23,64,38,M,M,M
1945-03-24,67,38,M,M,M
1945-03-25,63,33,M,M,M
1945-03-26,70,34,M,M,M
1945-03-27,76,54,M,M,M
1945-03-28,83,51,M,M,M
1945-03-29,87,59,M,M,M
1945-03-30,79,60,M,M,M
1945-03-31,81,53,0.03,M,M
1945-04-01,73,44,M,M,M
1945-04-02,76,54,0.73,M,M
1945-04-03,78,57,M,M,M
1945-04-04,70,49,T,M,M
1945-04-05,69,40,0.14,M,M
1945-04-06,55,28,M,M,M
