date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-03-02,50,30,0.00,M,M
1999-03-03,61,33,0.40,M,M
1999-03-04,53,29,0.07,M,M
1999-03-05,42,24,0.00,M,M
1999-03-06,46,28,0.26,M,M
1999-03-07,40,18,T,M,M
1999-03-08,34,16,0.00,M,M
1999-03-09,33,18,0.02,M,M
1999-03-10,42,25,T,M,M
1999-03-11,40,22,0.00,M,M
1999-03-12,37,27,0.00,M,M
1999-03-13,48,26,0.00,M,M
1999-03-14,38,30,0.83,M,M
1999-03-15,40,31,0.02,M,M
1999-03-16,45,30,0.00,M,M
1999-03-17,66,30,0.00,M,M
1999-03-18,67,42,0.00,M,M
1999-03-19,50,37,0.00,M,M
1999-03-20,52,32,0.00,M,M
1999-03-21,47,30,1.58,M,M
1999-03-22,44,33,0.32,M,M
1999-03-23,52,27,0.00,M,M
1999-03-24,56,41,0.03,M,M
1999-03-25,50,32,0.00,M,M
1999-03-26,51,24,0.00,M,M
1999-03-27,56,29,0.01,M,M
1999-03-28,51,39,0.10,M,M
1999-03-29,66,43,0.00,M,M
1999-03-30,62,37,0.00,M,M
1999-03-31,72,31,0.00,M,M
1999-04-01,55,46,0.21,M,M
1999-04-02,68,48,0.01,M,M
1999-04-03,68,47,0.00,M,M
1999-04-04,75,46,0.12,M,M
1999-04-05,58,32,0.00,M,M
1999-04-06,63,32,T,M,M
1999-04-07,71,41,0.00,M,M
1999-04-08,80,44,0.00,M,M
1999-04-09,61,42,1.18,M,M
1999-04-10,58,38,0.13,M,M
1999-04-11,44,36,0.47,M,M
1999-04-12,57,41,0.02,M,M
1999-04-13,61,38,0.00,M,M
1999-04-14,67,40,0.00,M,M
1999-04-15,65,39,0.05,M,M
1999-04-16,50,41,0.34,M,M
1999-04-17,56,41,0.00,M,M
1999-04-18,58,40,T,M,M
1999-04-19,57,32,T,M,M
1999-04-20,52,38,0.14,M,M
1999-04-21,57,34,0.00,M,M
1999-04-22,71,42,0.13,M,M
1999-04-23,55,44,0.41,M,M
1999-04-24,59,35,0.00,M,M
1999-04-25,61,31,0.00,M,M
1999-04-26,73,37,0.00,M,M
1999-04-27,64,41,0.00,M,M
1999-04-28,63,39,0.00,M,M
1999-04-29,69,39,0.00,M,M
1999-04-30,66,37,0.00,M,M
1999-05-01,67,36,0.00,M,M
1999-05-02,67,43,0.00,M,M
1999-05-03,59,43,0.01,M,M
1999-05-04,61,50,0.01,M,M
1999-05-05,76,56,0.00,M,M
1999-05-06,63,51,T,M,M
1999-05-07,60,53,0.02,M,M
1999-05-08,76,52,T,M,M
1999-05-09,71,50,0.00,M,M
1999-05-10,73,45,0.00,M,M
1999-05-11,73,45,0.00,M,M
1999-05-12,78,47,0.00,M,M
1999-05-13,62,48,T,M,M
1999-05-14,67,41,0.00,M,M
1999-05-15,71,39,0.00,M,M
1999-05-16,68,38,0.00,M,M
1999-05-17,74,43,0.00,M,M
1999-05-18,75,48,0.04,M,M
1999-05-19,66,58,1.55,M,M
1999-05-20,74,48,0.01,M,M
1999-05-21,77,41,0.00,M,M
1999-05-22,82,49,0.10,M,M
1999-05-23,71,57,0.37,M,M
1999-05-24,70,51,0.43,M,M
1999-05-25,69,48,0.00,M,M
1999-05-26,72,54,0.00,M,M
1999-05-27,72,50,0.00,M,M
1999-05-28,82,49,0.00,M,M
1999-05-29,86,52,0.00,M,M
1999-05-30,88,56,0.00,M,M
1999-05-31,87,53,0.00,M,M
1999-06-01,84,59,T,M,M
1999-06-02,85,66,0.06,M,M
1999-06-03,78,63,0.01,M,M
1999-06-04,77,53,0.00,M,M
1999-06-05,78,49,0.00,M,M
1999-06-06,82,50,0.00,M,M
1999-06-07,95,61,0.00,M,M
1999-06-08,93,67,0.00,M,M
1999-06-09,90,64,0.00,M,M
1999-06-10,73,54,T,M,M
1999-06-11,80,50,0.00,M,M
1999-06-12,78,49,0.00,M,M
1999-06-13,79,67,T,M,M
1999-06-14,82,66,0.42,M,M
1999-06-15,80,60,0.00,M,M
1999-06-16,75,55,T,M,M
1999-06-17,67,57,0.10,M,M
1999-06-18,75,53,T,M,M
