date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-09-29,68,61,0.13,M,M
1999-09-30,62,42,1.69,M,M
1999-10-01,65,37,0.00,M,M
1999-10-02,66,38,0.00,M,M
1999-10-03,60,47,0.00,M,M
1999-10-04,57,42,0.85,M,M
1999-10-05,47,31,0.00,M,M
1999-10-06,57,30,0.00,M,M
1999-10-07,47,26,0.00,M,M
1999-10-08,54,29,0.01,M,M
1999-10-09,64,48,0.19,M,M
1999-10-10,62,56,0.55,M,M
1999-10-11,61,41,T,M,M
1999-10-12,59,36,0.00,M,M
1999-10-13,62,44,0.34,M,M
1999-10-14,54,32,0.11,M,M
1999-10-15,53,27,0.00,M,M
1999-10-16,61,43,0.00,M,M
1999-10-17,68,45,0.10,M,M
1999-10-18,51,M,M,M,M
1999-10-19,47,M,M,M,M
1999-10-20,48,43,0.30,M,M
1999-10-21,52,29,0.08,M,M
1999-10-22,52,33,0.30,M,M
1999-10-23,45,37,T,M,M
1999-10-24,44,36,0.00,M,M
1999-10-25,51,35,0.00,M,M
1999-10-26,60,35,0.00,M,M
1999-10-27,47,30,0.00,M,M
1999-10-28,50,25,0.00,M,M
1999-10-29,72,40,0.00,M,M
1999-10-30,67,40,0.00,M,M
1999-10-31,69,50,0.00,M,M
1999-11-01,63,39,0.00,M,M
1999-11-02,62,47,1.74,M,M
1999-11-03,49,31,T,M,M
1999-11-04,43,30,0.00,M,M
1999-11-05,59,30,0.00,M,M
1999-11-06,59,41,0.00,M,M
1999-11-07,41,30,0.00,M,M
1999-11-08,41,27,0.00,M,M
1999-11-09,64,28,0.00,M,M
1999-11-10,62,53,T,M,M
1999-11-11,54,28,0.00,M,M
1999-11-12,40,25,0.00,M,M
1999-11-13,47,34,0.00,M,M
1999-11-14,55,35,0.03,M,M
1999-11-15,35,27,T,M,M
1999-11-16,28,22,T,M,M
1999-11-17,32,20,T,M,M
1999-11-18,44,18,T,M,M
1999-11-19,54,35,0.00,M,M
1999-11-20,55,39,0.17,M,M
1999-11-21,57,36,0.00,M,M
1999-11-22,59,48,0.00,M,M
1999-11-23,59,51,0.07,M,M
1999-11-24,58,53,0.05,M,M
1999-11-25,53,39,0.29,M,M
1999-11-26,60,39,1.65,M,M
1999-11-27,51,37,0.17,M,M
1999-11-28,42,32,0.00,M,M
1999-11-29,34,25,0.04,M,M
1999-11-30,28,16,T,M,M
1999-12-01,26,13,0.00,M,M
1999-12-02,42,19,0.00,M,M
1999-12-03,53,33,0.00,M,M
1999-12-04,51,39,0.07,M,M
1999-12-05,58,33,0.00,M,M
1999-12-06,52,38,0.32,M,M
1999-12-07,38,28,T,M,M
1999-12-08,50,27,0.00,M,M
1999-12-09,53,27,0.00,M,M
1999-12-10,45,32,0.13,M,M
1999-12-11,34,26,T,M,M
1999-12-12,39,24,0.00,M,M
1999-12-13,40,26,0.16,M,M
1999-12-14,35,31,0.79,M,M
1999-12-15,40,33,0.07,M,M
1999-12-16,40,28,0.01,M,M
1999-12-17,33,25,0.00,M,M
1999-12-18,33,25,T,M,M
1999-12-19,33,24,0.00,M,M
1999-12-20,44,26,0.88,M,M
1999-12-21,43,26,T,M,M
1999-12-22,30,19,0.01,M,M
1999-12-23,30,16,0.02,M,M
1999-12-24,18,9,T,M,M
1999-12-25,21,9,T,M,M
1999-12-26,29,15,T,M,M
1999-12-27,24,16,0.03,M,M
1999-12-28,19,-1,T,M,M
1999-12-29,27,16,T,M,M
1999-12-30,40,26,0.00,M,M
1999-12-31,36,25,T,M,M
2000-01-01,47,19,0.00,M,M
2000-01-02,55,31,0.00,M,M
2000-01-03,58,50,T,M,M
2000-01-04,57,36,0.32,M,M
2000-01-05,36,16,T,M,M
2000-01-06,32,12,0.00,M,M
2000-01-07,39,24,0.01,M,M
2000-01-08,34,15,0.00,M,M
2000-01-09,46,31,T,M,M
2000-01-10,42,34,1.27,M,M
2000-01-11,43,31,T,M,M
2000-01-12,38,27,0.01,M,M
2000-01-13,30,9,0.06,M,M
2000-01-14,12,2,0.06,M,M
2000-01-15,20,7,0.00,M,M
