date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1949-01-01,34,29,0.02,0.2,T
1949-01-02,38,29,T,T,T
1949-01-03,41,26,0.00,0.0,0
1949-01-04,38,25,0.00,0.0,0
1949-01-05,53,33,2.56,0.0,0
1949-01-06,54,36,0.04,0.0,0
1949-01-07,53,30,0.00,0.0,0
1949-01-08,56,31,0.00,0.0,0
1949-01-09,52,31,0.00,0.0,0
1949-01-10,52,33,0.00,0.0,0
1949-01-11,42,32,0.00,0.0,0
1949-01-12,36,27,0.00,0.0,0
1949-01-13,42,32,0.00,0.0,0
1949-01-14,42,27,0.00,0.0,0
1949-01-15,40,21,0.00,0.0,0
1949-01-16,50,27,0.00,0.0,0
1949-01-17,53,36,0.00,0.0,0
1949-01-18,44,31,T,0.0,0
1949-01-19,58,38,T,0.0,0
1949-01-20,38,26,0.00,0.0,0
1949-01-21,34,22,0.53,T,T
1949-01-22,46,28,0.12,0.0,0
1949-01-23,38,21,0.29,0.0,0
1949-01-24,43,33,0.35,0.0,0
1949-01-25,47,31,0.05,0.0,0
1949-01-26,35,29,0.74,0.0,0
1949-01-27,36,31,0.34,0.0,0
1949-01-28,45,34,0.37,0.0,0
1949-01-29,40,23,0.00,0.0,0
1949-01-30,27,15,0.00,0.0,0
1949-01-31,32,21,0.69,6.5,5
1949-02-01,34,20,0.00,0.0,4
1949-02-02,30,13,0.00,0.0,4
1949-02-03,33,2,0.00,0.0,3
1949-02-04,40,31,0.14,T,3
1949-02-05,40,26,0.00,0.0,3
1949-02-06,35,18,0.00,0.0,2
1949-02-07,44,29,0.12,T,1
1949-02-08,48,20,0.00,0.0,T
1949-02-09,54,27,0.00,0.0,T
1949-02-10,36,26,0.19,6.3,6
1949-02-11,30,13,T,T,4
1949-02-12,36,5,0.00,0.0,2
1949-02-13,47,22,0.00,0.0,1
1949-02-14,57,38,T,0.0,T
1949-02-15,73,44,0.17,0.0,0
1949-02-16,49,36,0.20,0.0,0
1949-02-17,38,27,0.00,0.0,0
1949-02-18,48,20,0.00,0.0,0
1949-02-19,56,32,0.41,0.0,0
1949-02-20,61,38,0.37,0.0,0
1949-02-21,44,29,0.00,0.0,0
1949-02-22,45,34,0.58,T,0
1949-02-23,48,34,0.00,0.0,0
1949-02-24,52,26,T,0.0,0
1949-02-25,53,34,0.13,0.0,0
1949-02-26,44,28,0.00,0.0,0
1949-02-27,44,19,0.00,0.0,0
1949-02-28,35,20,0.32,5.0,2
1949-03-01,38,20,T,T,1
1949-03-02,37,22,0.00,0.0,T
1949-03-03,39,24,T,T,T
1949-03-04,44,18,0.00,0.0,0
1949-03-05,66,30,0.00,0.0,0
1949-03-06,55,40,0.04,0.0,0
1949-03-07,40,24,0.00,0.0,0
1949-03-08,56,23,0.00,0.0,0
1949-03-09,60,25,0.00,0.0,0
1949-03-10,49,37,0.08,0.0,0
1949-03-11,39,32,0.19,T,0
1949-03-12,38,29,T,T,0
1949-03-13,47,29,0.00,0.0,0
1949-03-14,48,24,0.00,0.0,0
1949-03-15,40,26,T,T,0
1949-03-16,37,20,0.00,0.0,0
1949-03-17,46,28,T,T,0
1949-03-18,36,21,1.05,3.6,2
1949-03-19,30,15,0.00,0.0,2
1949-03-20,37,10,0.00,0.0,T
1949-03-21,58,23,0.00,0.0,0
1949-03-22,68,49,0.12,0.0,0
1949-03-23,66,47,0.19,0.0,0
1949-03-24,64,36,0.00,0.0,0
1949-03-25,55,44,0.06,0.0,0
1949-03-26,60,46,T,0.0,0
1949-03-27,80,57,T,0.0,0
1949-03-28,68,51,T,0.0,0
1949-03-29,70,36,0.00,0.0,0
1949-03-30,75,41,0.00,0.0,0
1949-03-31,52,36,0.47,0.0,0
1949-04-01,38,33,0.25,T,T
1949-04-02,57,30,0.00,0.0,0
1949-04-03,55,32,0.00,0.0,0
1949-04-04,57,37,0.00,0.0,0
1949-04-05,56,27,0.22,0.0,0
1949-04-06,50,39,0.25,0.0,0
1949-04-07,60,41,0.01,0.0,0
1949-04-08,52,39,0.14,0.0,0
1949-04-09,58,37,0.00,0.0,0
1949-04-10,59,36,0.00,0.0,0
1949-04-11,63,35,0.00,0.0,0
1949-04-12,72,32,0.00,0.0,0
1949-04-13,61,48,0.93,0.0,0
1949-04-14,74,54,T,0.0,0
1949-04-15,80,49,0.05,0.0,0
1949-04-16,62,36,T,0.0,0
1949-04-17,55,32,0.00,0.0,0
1949-04-18,51,43,1.43,0.0,0
1949-04-19,52,36,0.00,0.0,0
1949-04-20,62,36,0.00,0.0,0
1949-04-21,72,37,0.00,0.0,0
1949-04-22,66,45,0.69,0.0,0
1949-04-23,64,45,0.10,0.0,0
1949-04-24,56,41,0.02,0.0,0
1949-04-25,61,32,0.00,0.0,0
1949-04-26,78,49,T,0.0,0
1949-04-27,76,55,0.04,0.0,0
1949-04-28,62,41,0.00,0.0,0
1949-04-29,64,31,0.00,0.0,0
1949-04-30,73,38,0.00,0.0,0
1949-05-01,72,56,0.38,0.0,0
1949-05-02,70,63,0.18,0.0,0
1949-05-03,81,56,0.23,0.0,0
1949-05-04,87,50,0.00,0.0,0
1949-05-05,90,58,0.10,0.0,0
1949-05-06,90,62,T,0.0,0
1949-05-07,81,50,0.00,0.0,0
1949-05-08,73,46,0.00,0.0,0
1949-05-09,73,45,0.07,0.0,0
1949-05-10,64,46,0.16,0.0,0
1949-05-11,62,43,0.00,0.0,0
1949-05-12,71,38,0.00,0.0,0
1949-05-13,70,46,0.00,0.0,0
1949-05-14,81,48,0.03,0.0,0
1949-05-15,73,54,T,0.0,0
1949-05-16,74,52,0.00,0.0,0
1949-05-17,80,58,0.00,0.0,0
1949-05-18,85,56,0.00,0.0,0
1949-05-19,85,62,0.41,0.0,0
1949-05-20,68,47,0.21,0.0,0
1949-05-21,67,41,0.00,0.0,0
1949-05-22,71,51,0.46,0.0,0
1949-05-23,77,58,0.00,0.0,0
1949-05-24,77,55,0.25,0.0,0
1949-05-25,64,44,0.00,0.0,0
1949-05-26,58,44,0.23,0.0,0
1949-05-27,63,43,T,0.0,0
1949-05-28,61,42,0.00,0.0,0
1949-05-29,64,36,T,0.0,0
1949-05-30,69,36,0.00,0.0,0
1949-05-31,77,42,0.00,0.0,0
1949-06-01,79,48,0.00,0.0,0
1949-06-02,80,48,0.00,0.0,0
1949-06-03,81,48,0.00,0.0,0
1949-06-04,84,48,0.00,0.0,0
1949-06-05,85,60,0.00,0.0,0
1949-06-06,86,58,0.00,0.0,0
1949-06-07,80,56,0.00,0.0,0
1949-06-08,70,47,0.00,0.0,0
1949-06-09,76,43,0.00,0.0,0
1949-06-10,77,50,0.10,0.0,0
1949-06-11,87,62,0.10,0.0,0
1949-06-12,92,64,0.00,0.0,0
1949-06-13,89,71,0.00,0.0,0
1949-06-14,89,69,0.00,0.0,0
1949-06-15,85,67,0.05,0.0,0
1949-06-16,85,69,0.14,0.0,0
1949-06-17,83,71,T,0.0,0
1949-06-18,78,70,0.08,0.0,0
1949-06-19,86,70,0.02,0.0,0
1949-06-20,89,69,0.00,0.0,0
1949-06-21,97,69,0.00,0.0,0
1949-06-22,89,64,0.03,0.0,0
1949-06-23,86,60,0.00,0.0,0
1949-06-24,93,54,0.00,0.0,0
1949-06-25,94,74,0.55,0.0,0
1949-06-26,92,71,0.18,0.0,0
1949-06-27,87,71,T,0.0,0
1949-06-28,79,65,0.00,0.0,0
1949-06-29,79,61,T,0.0,0
1949-06-30,84,64,0.00,0.0,0
1949-07-01,85,56,0.00,0.0,0
1949-07-02,92,68,0.00,0.0,0
1949-07-03,97,66,0.00,0.0,0
1949-07-04,100,70,T,0.0,0
1949-07-05,96,70,T,0.0,0
1949-07-06,95,71,0.10,0.0,0
1949-07-07,80,62,0.07,0.0,0
1949-07-08,85,60,0.00,0.0,0
1949-07-09,84,57,0.00,0.0,0
1949-07-10,74,65,0.15,0.0,0
1949-07-11,90,64,0.00,0.0,0
1949-07-12,75,67,1.01,0.0,0
1949-07-13,84,67,1.48,0.0,0
1949-07-14,89,67,T,0.0,0
1949-07-15,83,71,T,0.0,0
1949-07-16,84,69,0.00,0.0,0
1949-07-17,73,69,2.36,0.0,0
1949-07-18,89,70,0.25,0.0,0
1949-07-19,92,70,0.00,0.0,0
1949-07-20,92,74,0.00,0.0,0
1949-07-21,87,74,0.17,0.0,0
1949-07-22,92,73,0.12,0.0,0
1949-07-23,86,67,0.00,0.0,0
1949-07-24,85,62,0.00,0.0,0
1949-07-25,92,66,T,0.0,0
1949-07-26,92,68,0.18,0.0,0
1949-07-27,94,72,1.64,0.0,0
1949-07-28,95,74,T,0.0,0
1949-07-29,95,74,T,0.0,0
1949-07-30,94,71,0.20,0.0,0
1949-08-01,82,62,0.00,0.0,0
1949-08-02,85,65,0.00,0.0,0
1949-08-03,86,72,0.05,0.0,0
1949-08-04,89,72,0.06,0.0,0
1949-08-05,86,68,T,0.0,0
1949-08-06,89,63,0.00,0.0,0
1949-08-07,90,61,0.00,0.0,0
1949-08-08,93,64,0.00,0.0,0
1949-08-09,96,68,0.00,0.0,0
1949-08-10,99,68,0.00,0.0,0
1949-08-11,98,70,0.00,0.0,0
1949-08-12,86,68,T,0.0,0
1949-08-13,82,71,T,0.0,0
1949-08-14,78,64,0.00,0.0,0
1949-08-15,83,59,0.00,0.0,0
1949-08-16,85,65,0.00,0.0,0
1949-08-17,82,62,0.00,0.0,0
1949-08-18,68,60,0.34,0.0,0
1949-08-19,77,55,0.00,0.0,0
1949-08-20,75,46,0.00,0.0,0
1949-08-21,82,45,0.00,0.0,0
1949-08-22,85,50,0.00,0.0,0
1949-08-23,80,58,0.00,0.0,0
1949-08-24,88,68,0.00,0.0,0
1949-08-25,82,56,0.00,0.0,0
1949-08-26,85,55,0.00,0.0,0
1949-08-27,94,67,T,0.0,0
1949-08-28,91,69,0.26,0.0,0
1949-08-29,84,65,0.28,0.0,0
1949-08-30,86,62,0.00,0.0,0
1949-08-31,81,64,T,0.0,0
1949-09-01,78,52,0.00,0.0,0
1949-09-02,76,42,0.00,0.0,0
1949-09-03,81,47,0.00,0.0,0
1949-09-04,84,55,0.00,0.0,0
1949-09-05,90,66,0.44,0.0,0
1949-09-06,77,53,0.06,0.0,0
1949-09-07,65,49,0.00,0.0,0
1949-09-08,73,53,0.01,0.0,0
1949-09-09,65,45,0.00,0.0,0
1949-09-10,73,42,0.00,0.0,0
1949-09-11,75,44,0.00,0.0,0
1949-09-12,75,56,T,0.0,0
1949-09-13,71,62,0.38,0.0,0
1949-09-14,82,65,0.02,0.0,0
1949-09-15,76,62,T,0.0,0
1949-09-16,70,57,0.17,0.0,0
1949-09-17,80,48,0.00,0.0,0
1949-09-18,85,53,0.03,0.0,0
1949-09-19,82,61,0.02,0.0,0
1949-09-20,65,51,T,0.0,0
