date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1876-12-24,M,M,0.00,0.0,M
1876-12-25,M,M,0.00,0.0,M
1876-12-26,M,M,M,1.3,M
1876-12-27,M,M,0.00,0.0,M
1876-12-28,M,M,0.00,0.0,M
1876-12-29,M,M,M,1.4,M
1876-12-30,M,M,M,0.2,M
1876-12-31,M,M,0.00,0.0,M
1877-01-01,M,M,M,S,M
1877-01-02,M,M,M,18.0A,M
1877-01-03,M,M,0.00,0.0,M
1877-01-04,M,M,0.00,0.0,M
1877-01-05,M,M,0.00,0.0,M
1877-01-06,M,M,0.00,0.0,M
1877-01-07,M,M,0.00,0.0,M
1877-01-08,M,M,0.00,0.0,M
1877-01-09,M,M,0.00,0.0,M
1877-01-10,M,M,M,0.4,M
1877-01-11,M,M,0.00,0.0,M
1877-01-12,M,M,0.00,0.0,M
1877-01-13,M,M,0.00,0.0,M
1877-01-14,M,M,0.00,0.0,M
1877-01-15,M,M,M,0.2,M
1877-01-16,M,M,0.00,0.0,M
1877-01-17,M,M,0.00,0.0,M
1877-01-18,M,M,M,3.0,M
1877-01-19,M,M,0.00,0.0,M
1877-01-20,M,M,0.00,0.0,M
1877-01-21,M,M,0.00,0.0,M
1877-01-22,M,M,M,4.5,M
1877-01-23,M,M,0.00,0.0,M
1877-01-24,M,M,0.00,0.0,M
1877-01-25,M,M,0.00,0.0,M
1877-01-26,M,M,0.00,0.0,M
1877-01-27,M,M,0.00,0.0,M
1877-01-28,M,M,0.00,0.0,M
1877-01-29,M,M,0.00,0.0,M
1877-01-30,M,M,0.00,0.0,M
1877-01-31,M,M,0.00,0.0,M
1877-05-01,M,M,0.22,0.0,M
1877-05-02,M,M,0.00,0.0,M
1877-05-03,M,M,0.00,0.0,M
1877-05-04,M,M,0.00,0.0,M
1877-05-05,M,M,0.00,0.0,M
1877-05-06,M,M,0.31,0.0,M
1877-05-07,M,M,0.00,0.0,M
1877-05-08,M,M,0.28,0.0,M
1877-05-09,M,M,0.04,0.0,M
