date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1997-12-01,47,34,M,M,M
1997-12-02,47,33,M,M,M
1997-12-03,50,31,M,M,M
1997-12-04,54,41,M,M,M
1997-12-05,47,34,M,M,M
1997-12-06,40,29,M,M,M
1997-12-07,41,30,M,M,M
1997-12-08,49,27,M,M,M
1997-12-09,43,23,M,M,M
1997-12-10,41,32,M,M,M
1997-12-11,38,34,M,M,M
1997-12-12,42,33,M,M,M
1997-12-13,44,25,M,M,M
1997-12-14,45,27,M,M,M
1997-12-15,42,19,M,M,M
1997-12-16,57,29,M,M,M
1997-12-17,55,25,M,M,M
1997-12-18,46,28,M,M,M
1997-12-19,52,31,M,M,M
1997-12-20,55,31,M,M,M
1997-12-21,41,21,M,M,M
1997-12-22,41,18,M,M,M
1997-12-23,43,37,M,M,M
1997-12-24,43,29,M,M,M
1997-12-25,55,37,M,M,M
1997-12-26,51,30,M,M,M
1997-12-27,36,29,M,M,M
1997-12-28,39,24,M,M,M
1997-12-29,43,22,M,M,M
1997-12-30,42,33,M,M,M
1997-12-31,34,20,M,M,M
1998-01-01,33,16,M,M,M
1998-01-02,54,33,M,M,M
1998-01-03,59,40,M,M,M
1998-01-04,65,43,M,M,M
1998-01-05,59,37,M,M,M
1998-01-06,63,36,M,M,M
1998-01-07,64,52,M,M,M
1998-01-08,70,63,M,M,M
1998-01-09,66,45,M,M,M
1998-01-10,49,32,M,M,M
1998-01-11,50,28,M,M,M
1998-01-12,44,26,M,M,M
1998-01-13,50,32,M,M,M
1998-01-14,34,20,M,M,M
1998-01-15,48,20,M,M,M
1998-01-16,48,34,M,M,M
1998-01-17,44,34,M,M,M
1998-01-18,37,33,M,M,M
1998-01-19,40,29,M,M,M
1998-01-20,38,29,M,M,M
1998-01-21,39,27,M,M,M
1998-01-22,42,28,M,M,M
1998-01-23,56,34,M,M,M
1998-01-24,50,35,M,M,M
1998-01-25,41,33,M,M,M
1998-01-26,42,26,M,M,M
1998-01-27,45,27,M,M,M
1998-01-28,40,34,M,M,M
1998-01-29,51,32,M,M,M
1998-01-30,47,30,M,M,M
1998-01-31,43,30,M,M,M
1998-02-01,49,23,M,M,M
1998-02-02,52,23,M,M,M
1998-02-03,48,32,M,M,M
1998-02-04,43,37,M,M,M
1998-02-05,37,35,M,M,M
1998-02-06,47,30,M,M,M
1998-02-07,44,27,M,M,M
1998-02-08,39,25,M,M,M
1998-02-09,49,22,M,M,M
1998-02-10,56,24,M,M,M
1998-02-11,55,27,M,M,M
1998-02-12,56,41,M,M,M
1998-02-13,48,33,M,M,M
1998-02-14,38,27,M,M,M
1998-02-15,37,19,M,M,M
1998-02-16,42,18,M,M,M
1998-02-17,54,37,M,M,M
1998-02-18,57,43,M,M,M
1998-02-19,53,42,M,M,M
1998-02-20,48,34,M,M,M
1998-02-21,50,43,M,M,M
1998-02-22,52,32,M,M,M
1998-02-23,43,37,M,M,M
1998-02-24,43,37,M,M,M
1998-02-25,56,38,M,M,M
1998-02-26,58,40,M,M,M
1998-02-27,64,36,M,M,M
1998-02-28,57,43,M,M,M
1998-03-01,53,42,M,M,M
1998-03-02,55,36,M,M,M
1998-03-03,45,38,M,M,M
1998-03-04,48,36,M,M,M
1998-03-05,46,32,M,M,M
1998-03-06,50,29,M,M,M
1998-03-07,53,36,M,M,M
1998-03-08,45,42,M,M,M
1998-03-09,64,43,M,M,M
1998-03-10,57,30,M,M,M
1998-03-11,34,24,M,M,M
1998-03-12,34,20,M,M,M
1998-03-13,39,21,M,M,M
1998-03-14,52,29,M,M,M
1998-03-15,44,31,M,M,M
1998-03-16,44,26,M,M,M
1998-03-17,48,22,M,M,M
1998-03-18,42,36,M,M,M
1998-03-19,45,39,M,M,M
1998-03-20,46,39,M,M,M
1998-03-21,40,34,M,M,M
1998-03-22,40,30,M,M,M
1998-03-23,48,29,M,M,M
1998-03-24,47,28,M,M,M
1998-03-25,53,25,M,M,M
1998-03-26,69,33,M,M,M
1998-03-27,83,56,M,M,M
1998-03-28,79,62,M,M,M
1998-03-29,83,56,M,M,M
1998-03-30,88,50,M,M,M
1998-03-31,84,63,M,M,M
1998-04-01,75,58,0.12,M,0
1998-04-02,75,51,0.01,M,M
1998-04-03,62,39,0.00,M,0
1998-04-06,59,38,0.00,M,0
1998-04-07,66,33,0.00,M,M
1998-04-08,68,42,0.11,M,M
1998-04-09,46,38,1.45,M,M
1998-04-10,56,38,0.22,M,M
1998-04-11,60,31,0.00,M,M
1998-04-12,64,31,0.00,M,M
1998-04-13,68,31,0.00,M,M
1998-04-14,72,42,T,M,M
1998-04-15,72,51,0.01,M,M
1998-04-16,77,47,T,M,M
1998-04-17,76,58,0.59,M,M
1998-04-18,65,44,0.00,M,M
1998-04-19,55,47,0.50,M,M
1998-04-20,60,43,0.02,M,M
1998-04-21,68,40,0.00,M,M
1998-04-22,68,44,0.00,M,M
1998-04-23,51,47,0.41,M,M
1998-04-24,72,44,0.00,M,M
1998-04-25,68,48,0.00,M,M
1998-04-26,54,44,0.34,M,M
