date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-01,M,M,0.00,M,M
2000-01-02,M,M,0.00,M,M
2000-01-30,M,M,0.00,M,M
2000-02-12,M,M,0.00,M,M
2000-02-13,M,M,0.00,M,M
2000-03-09,M,M,0.00,M,M
2000-03-11,M,M,0.00,M,M
2000-03-25,M,M,0.00,M,M
2000-04-02,M,M,0.00,M,M
2000-04-30,M,M,0.00,M,M
2000-05-05,M,M,0.00,M,M
2000-05-27,M,M,0.00,M,M
2000-06-02,M,M,0.00,M,M
2000-06-03,M,M,0.00,M,M
2000-06-04,M,M,0.00,M,M
2000-06-17,M,M,0.00,M,M
2000-06-22,M,M,0.00,M,M
2000-06-23,M,M,0.00,M,M
2000-06-28,M,M,0.00,M,M
2000-06-29,M,M,0.00,M,M
2000-06-30,M,M,0.00,M,M
2000-07-06,M,M,0.00,M,M
2000-07-12,M,M,0.00,M,M
2000-07-29,M,M,0.00,M,M
2000-07-30,M,M,0.00,M,M
2000-08-03,M,M,0.00,M,M
2000-08-22,M,M,0.00,M,M
2000-08-26,M,M,0.00,M,M
2000-08-27,M,M,0.00,M,M
2000-08-28,79,61,0.00,M,M
2000-08-29,79,64,0.00,M,M
2000-08-31,84,66,0.00,M,M
2000-09-13,76,52,0.00,M,M
2000-09-14,77,47,0.00,M,M
2000-09-15,71,53,0.00,M,M
2000-09-16,64,43,0.00,M,M
2000-09-17,69,40,0.00,M,M
2000-09-18,74,46,0.00,M,M
2000-09-19,M,M,0.00,M,M
2000-09-20,M,M,0.00,M,M
2000-09-21,M,M,0.00,M,M
2000-09-22,M,M,0.00,M,M
2000-09-23,M,M,0.00,M,M
2000-09-24,M,M,0.00,M,M
2000-09-25,60,M,0.00,M,M
2000-09-26,51,M,0.00,M,M
2000-09-27,M,M,0.00,M,M
2000-09-28,M,M,0.00,M,M
2000-09-29,58,M,0.00,M,M
2000-09-30,M,M,0.00,M,M
2000-10-01,67,M,0.00,M,M
2000-10-02,70,43,0.00,M,M
2000-10-03,80,48,0.00,M,M
2000-10-04,75,42,0.00,M,M
2000-10-05,60,53,0.00,M,M
2000-10-06,68,44,0.00,M,M
2000-10-07,59,37,0.00,M,M
2000-10-08,52,30,0.00,M,M
2000-10-09,47,25,0.00,M,M
2000-10-10,48,27,0.00,M,M
2000-10-11,67,37,0.00,M,M
2000-10-12,72,33,0.00,M,M
2000-10-13,76,32,0.00,M,M
2000-10-16,60,47,0.00,M,M
2000-10-17,51,46,0.00,M,M
2000-10-18,56,42,0.00,M,M
2000-10-19,63,37,0.00,M,M
2000-10-21,74,M,0.00,M,M
2000-10-23,61,M,0.00,M,M
2000-10-24,69,38,0.00,M,M
2000-10-25,72,40,0.00,M,M
2000-10-26,73,42,0.00,M,M
2000-10-27,71,41,0.00,M,M
2000-10-28,61,38,0.00,M,M
2000-10-29,45,32,0.00,M,M
2000-11-01,60,28,0.00,M,M
2000-11-02,63,26,0.00,M,M
2000-11-03,M,M,0.00,M,M
2000-11-04,M,M,0.00,M,M
2000-11-05,M,M,0.00,M,M
2000-11-06,M,M,0.00,M,M
2000-11-07,M,M,0.00,M,M
2000-11-08,59,28,0.00,M,M
2000-11-09,57,40,0.00,M,M
2000-11-10,56,51,0.00,M,M
2000-11-11,53,44,0.00,M,M
2000-11-12,52,36,0.00,M,M
2000-11-13,49,39,0.00,M,M
2000-11-14,51,35,0.00,M,M
2000-11-15,44,26,0.00,M,M
2000-11-16,46,30,0.00,M,M
2000-11-21,37,25,0.00,M,M
2000-11-22,33,24,0.00,M,M
2000-11-23,33,14,0.00,M,M
2000-11-24,36,10,0.00,M,M
2000-11-25,35,15,0.00,M,M
2000-11-26,45,33,0.00,M,M
2000-11-27,49,37,0.00,M,M
2000-11-28,47,32,0.00,M,M
2000-11-29,45,24,0.00,M,M
2000-11-30,41,34,0.00,M,M
2000-12-01,38,26,0.00,M,M
2000-12-02,34,21,0.00,M,M
2000-12-27,30,21,M,M,M
2000-12-28,23,14,M,M,M
2000-12-29,28,6,M,M,M
2000-12-30,27,19,M,M,M
2000-12-31,26,22,M,M,M
2001-01-01,30,10,M,M,M
2001-01-02,24,-5,M,M,M
2001-01-03,31,-7,M,M,M
2001-01-04,33,7,M,M,M
2001-01-05,28,2,M,M,M
2001-01-06,36,18,M,M,M
2001-01-07,43,13,M,M,M
2001-01-08,37,14,M,M,M
2001-01-09,32,18,M,M,M
2001-01-10,28,12,M,M,M
2001-01-11,43,7,M,M,M
2001-01-12,41,9,T,M,M
2001-01-13,39,7,T,M,M
2001-01-14,39,9,T,M,M
2001-01-15,34,32,0.04,M,M
2001-01-16,43,33,T,M,M
2001-01-17,41,29,T,M,M
2001-01-18,35,21,0.01,M,M
2001-01-19,35,32,0.49,M,M
2001-01-20,34,22,0.12,M,M
2001-01-21,30,-0,0.21,M,M
2001-01-22,33,-5,T,M,M
2001-01-23,35,-6,T,M,M
2001-01-24,40,3,T,M,M
2001-01-25,36,18,T,M,M
2001-01-26,33,2,T,M,M
2001-01-27,38,22,0.03,M,M
2001-01-28,35,17,T,M,M
2001-01-29,36,5,T,M,M
2001-01-30,42,27,0.57,M,M
2001-01-31,46,33,0.01,M,M
2001-02-01,45,31,0.25,M,M
2001-02-02,39,23,0.03,M,M
2001-02-03,29,12,T,M,M
2001-02-04,36,9,T,M,M
2001-02-05,36,20,0.82,M,M
2001-02-06,41,33,T,M,M
2001-02-07,41,20,T,M,M
2001-02-08,37,17,T,M,M
2001-02-09,44,33,0.02,M,M
2001-02-10,53,23,0.01,M,M
2001-02-11,27,14,T,M,M
2001-02-12,30,7,T,M,M
