date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1924-04-01,M,M,0.00,M,M
1924-04-02,M,M,0.00,M,M
1924-04-03,M,M,0.00,M,M
1924-04-04,M,M,0.00,M,M
1924-04-05,M,M,0.00,M,M
1924-04-06,M,M,0.00,M,M
1924-04-07,M,M,0.00,M,M
1924-04-08,M,M,0.00,M,M
1924-04-09,M,M,0.00,M,M
1924-04-10,M,M,0.00,M,M
1924-04-11,M,M,0.00,M,M
1924-04-12,56,47,0.00,0.0,0
1924-04-13,57,49,0.00,0.0,0
1924-04-14,48,39,0.38,0.0,0
1924-04-15,53,40,0.00,0.0,0
1924-04-16,M,47,0.67,0.0,0
1924-04-17,52,47,0.03,0.0,0
1924-04-18,M,43,0.26,0.0,0
1924-04-19,M,49,0.00,0.0,0
1924-04-20,62,49,0.00,0.0,0
1924-04-21,M,52,0.00,0.0,0
1924-04-22,M,42,0.00,0.0,0
1924-04-23,M,43,0.00,0.0,0
1924-04-24,54,M,0.00,0.0,0
1924-04-25,54,45,0.00,0.0,0
1924-04-26,55,50,0.00,0.0,0
1924-04-27,M,47,0.00,0.0,0
1924-04-28,57,50,0.00,0.0,0
1924-04-29,57,40,0.25,0.0,0
1924-04-30,59,35,0.00,0.0,0
1924-05-01,66,36,0.00,0.0,0
1924-05-02,52,34,0.03,0.0,0
1924-05-03,51,33,0.12,0.0,0
1924-05-04,53,36,1.23,0.0,0
1924-05-05,56,33,0.00,0.0,0
1924-05-06,57,34,0.00,0.0,0
1924-05-07,73,42,0.00,0.0,0
1924-05-08,74,38,0.00,0.0,0
1924-05-09,64,38,0.00,0.0,0
1924-05-10,62,42,0.00,0.0,0
1924-05-11,60,46,0.00,0.0,0
1924-05-12,54,44,0.00,0.0,0
1924-05-13,54,47,0.06,0.0,0
1924-05-14,63,44,0.00,0.0,0
1924-05-15,78,43,0.00,0.0,0
1924-05-16,64,40,0.00,0.0,0
1924-05-17,62,43,0.00,0.0,0
1924-05-18,62,40,0.00,0.0,0
1924-05-19,65,43,0.00,0.0,0
1924-05-20,65,42,0.00,0.0,0
1924-05-21,66,44,0.00,0.0,0
1924-05-22,63,42,0.00,0.0,0
1924-05-23,64,42,0.00,0.0,0
1924-05-24,M,44,0.00,0.0,0
1924-05-25,60,35,0.00,0.0,0
1924-05-26,58,37,0.00,0.0,0
1924-05-27,61,40,0.00,0.0,0
1924-05-28,62,41,0.00,0.0,0
1924-05-29,75,43,0.00,0.0,0
1924-05-30,79,44,0.00,0.0,0
1924-05-31,77,45,0.00,0.0,0
1924-06-01,M,46,0.00,0.0,0
1924-06-02,68,48,0.00,0.0,0
1924-06-03,65,45,0.00,0.0,0
1924-06-04,66,41,0.00,0.0,0
1924-06-05,67,42,0.00,0.0,0
1924-06-06,56,45,0.20,0.0,0
1924-06-07,54,47,0.07,0.0,0
1924-06-08,62,47,0.00,0.0,0
1924-06-09,62,49,0.00,0.0,0
1924-06-10,61,51,T,0.0,0
1924-06-11,58,50,0.00,0.0,0
1924-06-12,59,46,T,0.0,0
1924-06-13,60,46,T,0.0,0
1924-06-14,61,46,0.00,0.0,0
1924-06-15,61,46,0.00,0.0,0
1924-06-16,55,45,0.00,0.0,0
1924-06-17,54,46,M,0.0,0
1924-06-18,53,51,0.70,0.0,0
1924-06-19,65,49,0.00,0.0,0
1924-06-20,72,44,0.00,0.0,0
1924-06-21,71,46,0.00,0.0,0
1924-06-22,65,45,0.00,0.0,0
1924-06-23,64,45,0.00,0.0,0
1924-06-24,60,44,0.00,0.0,0
1924-06-25,63,51,0.00,0.0,0
1924-06-26,62,45,0.00,0.0,0
1924-06-27,65,46,0.00,0.0,0
1924-06-28,72,44,0.00,0.0,0
1924-06-29,72,49,0.00,0.0,0
1924-06-30,74,48,0.00,0.0,0
1924-07-01,74,52,0.00,0.0,0
1924-07-02,80,53,0.00,0.0,0
1924-07-03,M,50,0.00,0.0,0
1924-07-04,63,46,0.00,0.0,0
1924-07-05,62,45,0.00,0.0,0
1924-07-06,65,46,0.00,0.0,0
1924-07-07,69,41,0.00,0.0,0
1924-07-08,74,43,0.00,0.0,0
1924-07-09,72,48,0.00,0.0,0
1924-07-10,69,41,0.00,0.0,0
1924-07-11,68,42,0.00,0.0,0
1924-07-12,68,44,0.00,0.0,0
1924-07-13,66,46,0.30,0.0,0
1924-07-14,62,48,0.46,0.0,0
1924-07-15,63,49,0.00,0.0,0
1924-07-16,64,44,0.00,0.0,0
1924-07-17,65,45,0.00,0.0,0
1924-07-18,64,49,0.00,0.0,0
1924-07-19,68,45,0.00,0.0,0
1924-07-20,72,46,0.00,0.0,0
1924-07-21,78,46,0.00,0.0,0
1924-07-22,79,47,0.00,0.0,0
1924-07-23,71,46,0.00,0.0,0
1924-07-24,71,50,0.00,0.0,0
1924-07-25,59,52,0.00,0.0,0
1924-07-26,58,52,0.00,0.0,0
1924-07-27,59,54,0.00,0.0,0
1924-07-28,64,46,0.00,0.0,0
1924-07-29,62,47,0.00,0.0,0
1924-07-30,61,47,0.00,0.0,0
1924-07-31,68,46,0.00,0.0,0
1924-08-01,69,45,0.00,0.0,0
1924-08-02,68,46,0.00,0.0,0
1924-08-03,66,47,0.00,0.0,0
1924-08-04,65,47,0.00,0.0,0
1924-08-05,67,47,0.00,0.0,0
1924-08-06,69,49,0.00,0.0,0
1924-08-07,60,52,0.00,0.0,0
1924-08-08,60,54,0.00,0.0,0
1924-08-09,64,51,0.00,0.0,0
1924-08-10,58,51,0.00,0.0,0
1924-08-11,58,52,0.00,0.0,0
1924-08-12,M,57,0.00,0.0,0
1924-08-13,67,58,0.00,0.0,0
1924-08-14,M,57,0.00,0.0,0
1924-08-15,64,58,0.00,0.0,0
1924-08-16,62,56,1.50,0.0,0
1924-08-17,60,47,0.30,0.0,0
1924-08-18,58,47,0.00,0.0,0
1924-08-19,58,47,0.00,0.0,0
1924-08-20,60,53,0.00,0.0,0
1924-08-21,67,55,0.00,0.0,0
1924-08-22,65,53,0.00,0.0,0
1924-08-23,62,55,0.00,0.0,0
1924-08-24,64,56,0.00,0.0,0
1924-08-25,66,55,0.00,0.0,0
1924-08-26,75,53,0.00,0.0,0
1924-08-27,74,54,0.00,0.0,0
1924-08-28,M,M,0.00,0.0,M
1924-08-29,M,M,0.00,0.0,M
1924-08-30,M,M,0.00,0.0,M
1924-08-31,M,M,0.00,0.0,M
1924-09-01,57,40,0.00,0.0,0
1924-09-02,56,41,0.00,0.0,0
1924-09-03,65,53,0.00,0.0,0
1924-09-04,67,49,0.00,0.0,0
1924-09-05,68,39,0.00,0.0,0
1924-09-06,68,40,0.00,0.0,0
1924-09-07,60,51,0.00,0.0,0
1924-09-08,59,50,0.00,0.0,0
1924-09-09,59,46,0.38,0.0,0
1924-09-10,58,46,0.00,0.0,0
1924-09-11,63,45,0.00,0.0,0
1924-09-12,65,47,0.00,0.0,0
1924-09-13,63,45,0.00,0.0,0
1924-09-14,60,48,0.00,0.0,0
1924-09-15,57,49,0.00,0.0,0
1924-09-16,56,51,0.00,0.0,0
1924-09-17,58,50,0.00,0.0,0
1924-09-18,57,43,0.03,0.0,0
1924-09-19,54,45,0.50,0.0,0
1924-09-20,58,45,0.00,0.0,0
1924-09-21,56,40,0.02,0.0,0
1924-09-22,54,41,0.32,0.0,0
1924-09-23,58,45,0.76,0.0,0
1924-09-24,59,45,1.00,0.0,0
1924-09-25,64,46,0.06,0.0,0
1924-09-26,68,46,0.00,0.0,0
1924-09-27,78,42,0.00,0.0,0
1924-09-28,77,45,0.00,0.0,0
1924-09-29,72,45,0.00,0.0,0
1924-09-30,68,46,0.56,0.0,0
1924-10-01,61,52,0.00,0.0,0
1924-10-02,67,46,0.09,0.0,0
1924-10-03,66,44,0.00,0.0,0
1924-10-04,66,45,0.00,0.0,0
1924-10-05,69,54,0.00,0.0,0
1924-10-06,68,47,0.00,0.0,0
1924-10-07,69,48,0.00,0.0,0
1924-10-08,66,44,0.38,0.0,0
1924-10-09,68,46,0.54,0.0,0
1924-10-10,69,47,0.00,0.0,0
1924-10-11,69,49,0.20,0.0,0
1924-10-12,68,48,0.12,0.0,0
1924-10-13,66,42,0.14,0.0,0
1924-10-14,68,38,0.02,0.0,0
1924-10-15,59,52,0.22,0.0,0
1924-10-16,61,44,M,0.0,0
1924-10-17,62,41,M,0.0,0
1924-10-18,62,42,0.00,0.0,0
1924-10-19,62,40,0.00,0.0,0
1924-10-20,63,44,0.00,0.0,0
1924-10-21,64,40,0.10,0.0,0
1924-10-22,65,38,0.50,0.0,0
1924-10-23,66,35,0.35,0.0,0
1924-10-24,67,33,1.00,0.0,0
1924-10-25,65,36,0.26,0.0,0
1924-10-26,66,40,0.00,0.0,0
1924-10-27,63,42,0.06,0.0,0
1924-10-28,57,48,0.00,0.0,0
1924-10-29,50,34,3.20,0.0,0
1924-10-30,52,32,2.90,0.0,0
1924-10-31,50,37,1.50,0.0,0
1924-11-01,56,40,1.90,0.0,0
1924-11-02,58,41,2.10,0.0,0
1924-11-03,58,38,0.36,0.0,0
1924-11-04,55,43,0.72,0.0,0
1924-11-05,52,34,1.00,0.0,0
1924-11-06,50,32,1.20,0.0,0
1924-11-07,50,33,2.05,0.0,0
1924-11-08,50,32,1.91,0.0,0
1924-11-09,51,30,1.14,0.0,0
1924-11-10,49,31,0.35,0.0,0
1924-11-11,47,31,0.00,0.0,0
1924-11-12,45,35,0.05,0.0,0
1924-11-13,47,34,T,0.0,0
1924-11-14,50,34,0.00,0.0,0
1924-11-15,53,32,0.00,0.0,0
1924-11-16,47,34,0.00,0.0,0
1924-11-17,52,34,0.00,0.0,0
1924-11-18,54,32,1.26,0.0,0
1924-11-19,58,49,M,0.0,0
1924-11-20,60,38,0.00,0.0,0
1924-11-21,60,41,M,0.0,0
1924-11-22,58,40,3.20,0.0,0
1924-11-23,53,M,0.00,0.0,0
1924-11-24,49,39,0.00,0.0,0
1924-11-25,46,36,0.00,0.0,0
1924-11-26,45,33,0.00,0.0,0
1924-11-27,43,30,0.00,0.0,0
1924-11-28,43,32,0.00,0.0,0
1924-11-29,43,31,0.00,0.0,0
1924-11-30,45,31,0.00,0.0,0
1924-12-01,50,41,0.55,0.0,0
1924-12-02,51,45,1.56,0.0,0
1924-12-03,52,40,0.80,0.0,0
1924-12-04,52,38,1.02,0.0,0
1924-12-05,46,38,0.34,0.0,0
1924-12-06,48,36,0.00,0.0,0
1924-12-07,46,39,0.00,0.0,0
1924-12-08,49,36,0.00,0.0,0
1924-12-09,52,35,0.00,0.0,0
1924-12-10,54,34,0.00,0.0,0
1924-12-11,58,36,0.00,0.0,0
1924-12-12,56,39,0.00,0.0,0
1924-12-13,54,40,0.00,0.0,0
1924-12-14,55,42,0.00,0.0,0
1924-12-15,57,32,1.10,0.0,0
1924-12-16,35,28,0.10,0.0,0
1924-12-17,30,16,0.00,0.0,0
1924-12-18,28,12,0.00,0.0,0
1924-12-19,26,16,T,0.4,T
1924-12-20,28,19,M,4.0,4
1924-12-21,29,21,0.13,2.2,7
1924-12-22,24,12,0.00,0.0,7
1924-12-23,37,9,0.00,0.0,7
1924-12-24,30,8,M,0.0,7
1924-12-25,26,10,0.00,0.0,7
1924-12-26,28,11,0.00,0.0,7
1924-12-27,36,M,0.80,0.0,3
1924-12-28,42,33,1.11,0.0,2
1924-12-29,44,34,1.26,0.0,0
1924-12-30,46,36,1.80,0.0,0
1924-12-31,49,36,0.10,0.0,0
1925-01-01,53,35,0.70,0.0,0
1925-01-02,50,M,1.30,0.0,0
1925-01-03,50,42,0.00,0.0,0
1925-01-04,51,43,1.50,0.0,0
1925-01-05,50,39,1.12,0.0,0
1925-01-06,43,36,0.51,0.0,0
1925-01-07,47,36,0.35,0.0,0
1925-01-08,48,37,0.40,0.0,0
1925-01-09,47,39,0.59,0.0,0
1925-01-10,46,38,0.54,0.0,0
1925-01-11,48,35,0.46,0.0,0
1925-01-12,49,34,1.06,0.0,0
1925-01-13,48,35,1.10,0.0,0
1925-01-14,48,33,0.00,0.0,0
1925-01-15,47,32,0.00,0.0,0
1925-01-16,47,31,0.00,0.0,0
1925-01-17,46,30,0.00,0.0,0
1925-01-18,46,32,0.00,0.0,0
1925-01-19,47,34,0.00,0.0,0
1925-01-20,48,33,2.04,0.0,0
1925-01-21,52,36,1.10,0.0,0
1925-01-22,55,38,1.14,0.0,0
1925-01-23,62,46,T,0.0,0
1925-01-24,48,41,0.00,0.0,0
1925-01-25,47,41,0.00,0.0,0
1925-01-26,49,38,1.15,0.0,0
1925-01-27,52,37,0.80,0.0,0
1925-01-28,54,36,2.40,0.0,0
1925-01-29,56,36,1.80,0.0,0
1925-01-30,56,39,0.10,0.0,0
1925-01-31,57,42,1.26,0.0,0
1925-08-01,84,45,0.00,0.0,0
1925-08-02,85,47,0.00,0.0,0
1925-08-03,85,48,0.00,0.0,0
1925-08-04,87,45,0.00,0.0,0
1925-08-05,88,50,0.00,0.0,0
1925-08-06,74,50,0.00,0.0,0
1925-08-07,76,55,0.00,0.0,0
1925-08-08,77,51,0.00,0.0,0
1925-08-09,78,50,0.00,0.0,0
1925-08-10,78,54,0.00,0.0,0
1925-08-11,82,54,0.00,0.0,0
1925-08-12,82,42,0.00,0.0,0
1925-08-13,79,45,0.00,0.0,0
1925-08-14,74,51,0.00,0.0,0
1925-08-15,80,M,0.00,0.0,0
1925-08-16,81,58,0.00,0.0,0
1925-08-17,84,49,0.00,0.0,0
1925-08-18,84,45,0.00,0.0,0
1925-08-19,85,45,0.00,0.0,0
1925-08-20,87,46,0.00,0.0,0
1925-08-21,71,52,0.00,0.0,0
1925-08-22,84,48,0.00,0.0,0
1925-08-23,86,42,0.00,0.0,0
1925-08-24,79,56,0.00,0.0,0
1925-08-25,78,54,0.00,0.0,0
1925-08-26,78,56,0.00,0.0,0
1925-08-27,75,58,0.00,0.0,0
1925-08-28,77,52,0.00,0.0,0
1925-08-29,78,56,0.00,0.0,0
1925-08-30,79,48,0.00,0.0,0
1925-08-31,78,46,0.00,0.0,0
1925-09-01,80,42,0.00,0.0,0
1925-09-02,76,58,0.10,0.0,0
1925-09-03,79,50,0.00,0.0,0
1925-09-04,80,44,0.00,0.0,0
1925-09-05,80,46,0.15,0.0,0
1925-09-06,81,44,0.45,0.0,0
1925-09-07,70,55,T,0.0,0
1925-09-08,71,59,0.00,0.0,0
1925-09-09,73,49,0.00,0.0,0
1925-09-10,74,50,0.00,0.0,0
1925-09-11,76,49,0.00,0.0,0
1925-09-12,75,50,0.00,0.0,0
1925-09-13,74,51,0.00,0.0,0
1925-09-14,73,50,0.00,0.0,0
1925-09-15,74,49,0.00,0.0,0
1925-09-16,72,48,0.10,0.0,0
1925-09-17,74,48,0.24,0.0,0
1925-09-18,58,44,0.58,0.0,0
1925-09-19,66,49,0.38,0.0,0
1925-09-20,68,48,0.10,0.0,0
1925-09-21,70,46,0.00,0.0,0
1925-09-22,73,46,0.00,0.0,0
1925-09-23,76,48,0.00,0.0,0
1925-09-24,72,50,0.00,0.0,0
1925-09-25,76,46,0.00,0.0,0
1925-09-26,78,48,0.00,0.0,0
1925-09-27,76,45,0.00,0.0,0
1925-09-28,78,46,0.00,0.0,0
1925-09-29,58,49,1.28,0.0,0
1925-09-30,63,46,0.34,0.0,0
1925-10-01,65,46,0.00,0.0,0
1925-10-02,64,47,0.00,0.0,0
1925-10-03,67,46,0.00,0.0,0
1925-10-04,66,48,0.00,0.0,0
1925-10-05,64,45,0.00,0.0,0
1925-10-06,62,44,0.00,0.0,0
1925-10-07,64,46,0.00,0.0,0
1925-10-08,63,45,0.00,0.0,0
1925-10-09,63,46,0.00,0.0,0
1925-10-10,67,45,0.00,0.0,0
1925-10-11,65,46,0.00,0.0,0
1925-10-12,65,45,0.00,0.0,0
1925-10-13,64,47,0.00,0.0,0
1925-10-14,65,46,0.00,0.0,0
1925-10-15,64,33,0.00,0.0,0
1925-10-16,54,42,0.00,0.0,0
1925-10-17,58,44,0.00,0.0,0
1925-10-18,61,42,0.00,0.0,0
1925-10-19,62,40,0.00,0.0,0
1925-10-20,63,43,0.00,0.0,0
1925-10-21,62,40,0.00,0.0,0
1925-10-22,65,45,0.00,0.0,0
1925-10-23,64,46,0.00,0.0,0
1925-10-24,67,44,0.00,0.0,0
1925-10-25,65,46,0.00,0.0,0
1925-10-26,62,48,0.00,0.0,0
1925-10-27,63,48,0.00,0.0,0
1925-10-28,65,46,0.00,0.0,0
1925-10-29,64,45,0.00,0.0,0
1925-10-30,66,42,0.00,0.0,0
1925-10-31,67,40,0.00,0.0,0
1925-11-01,66,40,0.00,0.0,M
1925-11-02,65,40,1.02,0.0,M
1925-11-03,67,38,0.31,0.0,M
1925-11-04,45,36,0.00,0.0,M
1925-11-05,46,34,0.00,0.0,M
1925-11-06,49,37,0.00,0.0,M
1925-11-07,52,36,0.00,0.0,M
1925-11-08,55,43,0.18,0.0,M
1925-11-09,52,40,0.37,0.0,M
1925-11-10,53,47,0.57,0.0,M
1925-11-11,55,44,1.87,0.0,M
1925-11-12,53,43,1.25,0.0,M
1925-11-13,54,42,0.70,0.0,M
1925-11-14,54,40,0.61,0.0,M
1925-11-15,55,38,0.45,0.0,M
1925-11-16,52,44,0.68,0.0,M
1925-11-17,54,48,1.12,0.0,M
1925-11-18,53,46,0.00,0.0,M
1925-11-19,52,38,0.00,0.0,M
1925-11-20,54,32,0.00,0.0,M
1925-11-21,54,32,0.00,0.0,M
1925-11-22,42,29,0.00,0.0,M
1925-11-23,53,34,0.00,0.0,M
1925-11-24,52,34,0.40,0.0,M
1925-11-25,52,38,0.25,0.0,M
1925-11-26,51,38,0.30,0.0,M
1925-11-27,50,39,1.18,0.0,M
1925-11-28,50,43,0.26,0.0,M
1925-11-29,51,42,0.25,0.0,M
1925-11-30,53,44,0.34,0.0,M
1925-12-01,51,34,0.00,0.0,0
1925-12-02,52,36,0.00,0.0,0
1925-12-03,52,34,0.00,0.0,0
1925-12-04,56,38,0.00,0.0,0
1925-12-05,56,37,0.00,0.0,0
1925-12-06,58,39,0.00,0.0,0
1925-12-07,58,36,0.00,0.0,0
1925-12-08,53,31,0.00,0.0,0
1925-12-09,55,36,0.00,0.0,0
1925-12-10,58,38,0.25,0.0,0
1925-12-11,60,41,0.78,0.0,0
1925-12-12,58,39,0.60,0.0,0
1925-12-13,55,34,0.00,0.0,0
1925-12-14,53,33,0.00,0.0,0
1925-12-15,52,33,0.00,0.0,0
1925-12-16,50,34,0.00,0.0,0
1925-12-17,52,33,0.20,0.0,0
1925-12-18,54,35,0.78,0.0,0
1925-12-19,54,36,0.50,0.0,0
1925-12-20,55,35,1.25,0.0,0
1925-12-21,56,36,0.75,0.0,0
1925-12-22,56,38,0.84,0.0,0
1925-12-23,54,36,1.02,0.0,0
1925-12-24,48,38,0.28,0.0,0
1925-12-25,44,36,0.00,0.0,0
1925-12-26,M,28,0.00,0.0,0
1925-12-27,38,26,0.00,0.0,0
1925-12-28,38,26,0.00,0.0,0
1925-12-29,39,28,0.00,0.0,0
1925-12-30,37,27,0.00,0.0,0
1925-12-31,38,26,0.00,0.0,0
1926-01-01,35,25,0.00,0.0,0
1926-01-02,37,26,0.00,0.0,0
1926-01-03,54,34,0.30,0.0,0
1926-01-04,56,38,0.49,0.0,0
1926-01-05,56,36,0.68,0.0,0
1926-01-06,55,34,0.00,0.0,0
1926-01-07,56,35,0.00,0.0,0
1926-01-08,43,29,0.00,0.0,0
1926-01-09,41,31,0.00,0.0,0
1926-01-10,41,28,0.00,0.0,0
1926-01-11,42,27,0.00,0.0,0
1926-01-12,35,26,0.00,0.0,0
1926-01-13,40,25,0.00,0.0,0
1926-01-14,52,32,0.74,0.0,0
1926-01-15,54,34,0.18,0.0,0
1926-01-16,58,36,0.65,0.0,0
1926-01-17,62,37,1.05,0.0,0
1926-01-18,45,35,0.69,0.0,0
1926-01-19,46,34,0.31,0.0,0
1926-01-20,47,37,0.43,0.0,0
1926-01-21,55,M,0.72,0.0,0
1926-01-22,54,40,0.00,0.0,0
1926-01-23,53,36,0.00,0.0,0
1926-01-24,54,32,0.00,0.0,0
1926-01-25,52,30,0.00,0.0,0
1926-01-26,53,30,0.00,0.0,0
1926-01-27,48,30,0.18,0.0,0
1926-01-28,52,41,1.02,0.0,0
1926-01-29,54,44,1.84,0.0,0
1926-01-30,53,40,0.00,0.0,0
1926-01-31,54,40,0.10,0.0,0
1926-02-01,54,40,0.00,0.0,0
1926-02-02,60,33,0.25,0.0,0
1926-02-03,54,40,0.12,0.0,0
1926-02-04,56,42,3.84,0.0,0
1926-02-05,57,43,2.78,0.0,0
1926-02-06,58,43,5.01,0.0,0
1926-02-07,60,46,1.03,0.0,0
1926-02-08,62,47,0.00,0.0,0
1926-02-09,57,49,0.62,0.0,0
1926-02-10,53,42,0.71,0.0,0
1926-02-11,52,40,0.00,0.0,0
1926-02-12,52,38,0.00,0.0,0
1926-02-13,51,36,0.60,0.0,0
1926-02-14,50,32,0.22,0.0,0
1926-02-15,52,40,1.30,0.0,0
1926-02-16,53,40,0.60,0.0,0
1926-02-17,54,41,0.00,0.0,0
1926-02-18,56,39,0.05,0.0,0
1926-02-19,56,40,0.10,0.0,0
1926-02-20,57,39,0.98,0.0,0
1926-02-21,57,38,1.03,0.0,0
1926-02-22,47,38,0.70,0.0,0
1926-02-23,52,37,1.90,0.0,0
1926-02-24,56,36,2.10,0.0,0
1926-02-25,58,38,0.10,0.0,0
1926-02-26,60,41,0.00,0.0,0
1926-02-27,62,41,0.00,0.0,0
1926-02-28,62,42,0.00,0.0,0
1926-03-01,64,42,0.00,0.0,0
1926-03-02,65,41,0.00,0.0,0
1926-03-03,55,47,0.00,0.0,0
1926-03-04,57,44,0.00,0.0,0
1926-03-05,58,38,0.00,0.0,0
1926-03-06,61,32,0.00,0.0,0
1926-03-07,50,34,0.00,0.0,0
1926-03-08,53,40,0.13,0.0,0
1926-03-09,55,36,0.00,0.0,0
1926-03-10,60,35,0.00,0.0,0
1926-03-11,63,43,0.02,0.0,0
1926-03-12,68,43,0.00,0.0,0
1926-03-13,67,42,0.00,0.0,0
1926-03-14,69,43,0.00,0.0,0
1926-03-15,63,43,T,0.0,0
1926-03-16,54,42,0.04,0.0,0
1926-03-17,54,42,0.48,0.0,0
1926-03-18,56,43,0.00,0.0,0
1926-03-19,60,40,0.00,0.0,0
1926-03-20,62,41,0.19,0.0,0
1926-03-21,65,48,0.00,0.0,0
1926-03-22,65,47,0.00,0.0,0
1926-03-23,66,47,0.00,0.0,0
1926-03-24,68,38,0.00,0.0,0
1926-03-25,70,34,0.00,0.0,0
1926-03-26,72,32,0.00,0.0,0
1926-03-27,71,36,0.00,0.0,0
1926-03-28,72,38,0.00,0.0,0
1926-03-29,73,39,0.00,0.0,0
1926-03-30,73,40,0.00,0.0,0
1926-03-31,72,42,0.00,0.0,0
1927-09-01,M,49,0.09,0.0,0
1927-09-02,47,M,0.00,0.0,0
1927-09-03,M,49,0.00,0.0,0
1927-09-04,67,53,0.00,0.0,0
1927-09-05,68,53,0.00,0.0,0
1927-09-06,68,45,0.05,0.0,0
1927-09-07,69,47,0.07,0.0,0
1927-09-08,67,48,0.00,0.0,0
1927-09-09,75,46,0.00,0.0,0
1927-09-10,M,46,0.10,0.0,0
1927-09-11,63,49,0.69,0.0,0
1927-09-12,56,49,0.12,0.0,0
1927-09-13,56,45,0.08,0.0,0
1927-09-14,60,46,0.00,0.0,0
1927-09-15,70,45,0.00,0.0,0
1927-09-16,75,43,0.00,0.0,0
1927-09-17,75,44,0.00,0.0,0
1927-09-18,76,43,0.00,0.0,0
1927-09-19,65,45,0.00,0.0,0
1927-09-20,64,46,0.00,0.0,0
1927-09-21,63,45,0.00,0.0,0
1927-09-22,61,45,0.00,0.0,0
1927-09-23,60,47,0.69,0.0,0
1927-09-24,75,48,0.00,0.0,0
1927-09-25,76,45,0.00,0.0,0
1927-09-26,75,42,1.39,0.0,0
1927-09-27,65,49,0.21,0.0,0
1927-09-28,64,42,0.12,0.0,0
1927-09-29,60,49,1.30,0.0,0
1927-09-30,62,47,0.00,0.0,0
1927-10-01,60,47,0.92,0.0,M
1927-10-02,M,48,0.17,0.0,M
1927-10-03,58,46,0.76,0.0,M
1927-10-04,55,45,0.98,0.0,M
1927-10-05,59,41,0.16,0.0,M
1927-10-06,46,M,0.00,0.0,M
1927-10-07,60,39,0.00,0.0,M
1927-10-08,61,38,0.00,0.0,M
1927-10-09,66,39,0.30,0.0,M
1927-10-10,67,38,0.00,0.0,M
1927-10-11,64,46,0.00,0.0,M
1927-10-12,63,39,0.00,0.0,M
1927-10-13,65,38,0.00,0.0,M
1927-10-14,64,39,0.00,0.0,M
1927-10-15,65,38,0.00,0.0,M
1927-10-16,64,37,0.62,0.0,M
1927-10-17,65,38,0.20,0.0,M
1927-10-18,67,36,0.00,0.0,M
1927-10-19,64,35,0.00,0.0,M
1927-10-20,60,38,0.00,0.0,M
1927-10-21,62,38,0.00,0.0,M
1927-10-22,61,39,0.00,0.0,M
1927-10-23,62,39,0.00,0.0,M
1927-10-24,63,34,0.00,0.0,M
1927-10-25,62,38,0.00,0.0,M
1927-10-26,M,47,0.10,0.0,M
1927-10-27,65,39,0.00,0.0,M
1927-10-28,55,39,0.94,0.0,M
1927-10-29,59,39,0.15,0.0,M
1927-10-30,59,40,0.00,0.0,M
1927-10-31,58,38,0.00,0.0,M
1927-11-01,55,34,0.32,0.0,0
1927-11-02,55,34,0.58,0.0,0
1927-11-03,65,34,0.00,0.0,0
1927-11-04,64,34,0.00,0.0,0
1927-11-05,62,34,0.00,0.0,0
1927-11-06,60,34,0.72,0.0,0
1927-11-07,51,34,0.29,0.0,0
1927-11-08,51,35,0.69,0.0,0
1927-11-09,49,35,1.54,0.0,0
1927-11-10,51,35,0.00,0.0,0
1927-11-11,52,34,0.00,0.0,0
1927-11-12,56,35,0.45,0.0,0
1927-11-13,54,35,0.48,0.0,0
