date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2002-07-13,110,82,0.07,M,M
2002-07-14,111,85,0.00,M,M
2002-07-15,107,76,0.02,M,M
2002-07-16,100,80,0.00,M,M
2002-07-17,101,83,0.00,M,M
2002-07-18,104,81,0.00,M,M
2002-07-19,104,81,0.00,M,M
2002-07-20,107,77,0.05,M,M
2002-07-21,105,78,0.00,M,M
2002-07-22,104,82,0.00,M,M
2002-07-23,107,81,0.00,M,M
2002-07-24,107,77,1.65,M,M
2002-07-25,103,82,0.00,M,M
2002-07-26,105,84,0.00,M,M
2002-07-27,105,83,0.00,M,M
2002-07-28,99,80,0.00,M,M
2002-07-29,103,75,0.00,M,M
2002-07-30,107,84,0.00,M,M
2002-07-31,99,80,0.00,M,M
2002-08-01,101,80,0.00,0.0,M
2002-08-02,104,77,0.19,0.0,0
2002-08-03,103,83,T,0.0,0
2002-08-04,104,82,0.00,0.0,0
2002-08-05,90,77,0.00,0.0,0
2002-08-06,102,74,0.08,0.0,0
2002-08-07,100,76,0.00,0.0,0
2002-08-08,104,75,0.00,0.0,0
2002-08-09,109,79,0.00,0.0,0
2002-08-10,110,87,0.00,0.0,0
2002-08-11,110,86,0.00,0.0,0
2002-08-12,107,82,0.00,0.0,0
2002-08-13,106,82,0.00,0.0,0
2002-08-14,107,80,0.00,0.0,0
2002-08-15,107,82,0.00,0.0,0
2002-08-16,108,77,0.00,0.0,0
2002-08-17,107,78,0.00,0.0,0
2002-08-18,106,80,0.00,0.0,0
2002-08-19,106,77,0.01,0.0,0
2002-08-20,94,79,0.00,0.0,0
2002-08-21,102,73,0.00,0.0,0
2002-08-22,102,75,0.00,0.0,0
2002-08-23,103,71,0.00,0.0,0
2002-08-24,104,66,0.00,0.0,0
2002-08-25,107,66,0.00,0.0,0
2002-08-26,108,65,0.00,0.0,0
2002-08-27,109,70,0.00,0.0,0
2002-08-28,110,79,0.00,0.0,0
2002-08-29,109,74,0.09,0.0,0
2002-08-30,104,76,0.00,0.0,0
2002-08-31,108,71,0.00,0.0,0
2002-09-01,113,83,0.00,0.0,0
2002-09-02,108,80,0.00,0.0,0
2002-09-03,107,79,0.00,0.0,0
2002-09-04,108,76,0.00,0.0,0
2002-09-05,110,82,0.00,0.0,0
2002-09-06,108,83,T,0.0,0
2002-09-07,103,71,0.20,0.0,0
2002-09-08,92,73,0.08,0.0,0
2002-09-09,84,71,0.02,0.0,0
2002-09-10,83,69,0.08,0.0,0
2002-09-11,97,68,0.01,0.0,0
2002-09-12,96,69,0.00,0.0,0
2002-09-13,99,67,0.00,0.0,0
2002-09-14,102,74,0.00,0.0,0
2002-09-15,106,82,0.00,0.0,0
2002-09-16,104,74,0.00,0.0,0
2002-09-17,105,75,0.00,0.0,0
2002-09-18,101,77,0.00,0.0,0
2002-09-19,94,72,0.00,0.0,0
2002-09-20,96,63,0.00,0.0,0
2002-09-21,99,63,0.00,0.0,0
2002-09-22,101,63,0.00,0.0,0
2002-09-23,107,71,0.00,0.0,0
2002-09-24,108,75,0.00,0.0,0
2002-09-25,108,74,0.00,0.0,0
2002-09-26,106,70,0.00,0.0,0
2002-09-27,104,73,0.00,0.0,0
2002-09-28,99,69,0.12,0.0,0
2002-09-29,94,68,0.00,0.0,0
2002-09-30,93,57,0.00,0.0,0
2002-10-01,90,66,0.00,0.0,0
2002-10-02,88,62,0.00,0.0,0
2002-10-03,79,46,0.00,0.0,0
2002-10-04,77,47,0.00,0.0,0
2002-10-05,87,49,0.00,0.0,0
2002-10-06,90,54,0.00,0.0,0
2002-10-07,93,63,0.00,0.0,0
2002-10-08,91,58,0.00,0.0,0
2002-10-09,92,57,0.00,0.0,0
2002-10-10,95,60,0.00,0.0,0
2002-10-11,98,62,0.00,0.0,0
2002-10-12,95,61,0.00,0.0,0
2002-10-13,91,65,0.00,0.0,0
2002-10-14,95,70,0.00,0.0,0
2002-10-15,93,64,0.00,0.0,0
2002-10-16,93,64,0.00,0.0,0
2002-10-17,93,61,0.38,0.0,0
2002-10-18,83,55,0.00,0.0,0
2002-10-19,78,53,0.00,0.0,0
2002-10-20,83,56,0.00,0.0,0
2002-10-21,86,58,0.00,0.0,0
2002-10-22,86,59,0.00,0.0,0
2002-10-23,85,61,0.00,0.0,0
2002-10-24,82,55,0.00,0.0,0
2002-10-25,81,49,0.00,0.0,0
2002-10-26,83,56,0.00,0.0,0
2002-10-27,74,49,0.37,0.0,0
2002-10-28,71,47,0.00,0.0,0
2002-10-29,73,47,0.00,0.0,0
2002-10-30,77,50,0.00,0.0,0
2002-10-31,81,50,0.00,0.0,0
2002-11-01,79,49,0.00,0.0,0
2002-11-02,81,52,0.00,0.0,0
2002-11-03,78,57,0.00,0.0,0
2002-11-04,82,46,0.00,0.0,0
2002-11-05,75,41,0.00,0.0,0
2002-11-06,76,41,0.00,0.0,0
2002-11-07,87,48,0.00,0.0,0
2002-11-08,83,M,0.00,0.0,0
2002-11-09,75,58,0.00,0.0,0
2002-11-10,80,64,0.01,0.0,0
2002-11-11,76,45,0.00,0.0,0
2002-11-12,77,M,0.00,0.0,0
2002-11-13,82,57,0.00,0.0,0
2002-11-14,83,45,0.00,0.0,0
2002-11-15,77,M,0.00,0.0,0
2002-11-16,78,M,0.00,0.0,0
2002-11-17,77,42,0.00,0.0,0
2002-11-18,80,41,0.00,0.0,0
2002-11-19,81,42,0.00,0.0,0
2002-11-20,82,M,0.00,0.0,0
2002-11-21,86,64,0.00,0.0,0
2002-11-22,90,46,0.00,0.0,0
2002-11-23,87,44,0.00,0.0,0
2002-11-24,79,43,0.00,0.0,0
2002-11-25,78,43,0.00,0.0,0
2002-11-26,65,41,T,0.0,0
2002-11-27,71,M,0.00,0.0,0
2002-11-28,73,54,0.00,0.0,0
2002-11-29,73,56,0.02,0.0,0
2002-11-30,71,55,0.52,0.0,0
2002-12-01,67,45,0.07,0.0,0
2002-12-02,68,44,0.00,0.0,0
2002-12-03,61,42,0.00,0.0,0
2002-12-04,63,41,0.00,0.0,0
2002-12-05,66,42,0.00,0.0,0
2002-12-06,73,55,0.00,0.0,0
2002-12-07,74,44,0.00,0.0,0
2002-12-08,69,39,0.00,0.0,0
2002-12-09,68,41,0.00,0.0,0
2002-12-10,67,40,0.00,0.0,0
2002-12-11,69,40,0.00,0.0,0
2002-12-12,64,37,0.00,0.0,0
2002-12-13,67,37,0.00,0.0,0
