date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-02-04,63,38,0.00,M,M
2009-02-05,66,39,0.00,M,M
2009-02-06,67,46,0.00,M,M
2009-02-07,66,35,0.00,M,M
2009-02-08,66,37,0.16,M,M
2009-02-09,45,37,0.39,M,M
2009-02-10,49,31,0.20,2.1,2
2009-02-11,40,26,0.00,M,M
2009-02-12,47,30,0.00,M,M
2009-02-13,57,26,0.00,M,M
2009-02-14,55,31,0.00,M,M
2009-02-15,51,28,0.00,M,M
2009-02-16,53,32,0.00,M,M
2009-02-17,66,40,0.05,M,M
2009-02-18,52,31,0.16,M,M
2009-02-19,56,30,0.00,M,M
2009-02-20,59,31,0.00,M,M
2009-02-21,66,36,0.00,M,M
2009-02-22,66,41,0.00,M,M
2009-02-23,65,47,0.00,M,M
2009-02-24,73,45,0.00,M,M
2009-02-25,75,43,0.00,M,M
2009-02-26,76,43,0.00,M,M
2009-02-27,70,37,0.00,M,M
2009-02-28,70,42,0.00,M,M
2009-03-01,72,48,0.00,0.0,M
2009-03-02,69,40,0.00,0.0,0
2009-03-03,75,44,0.00,0.0,0
2009-03-04,80,51,0.00,0.0,0
2009-03-05,75,46,0.00,0.0,0
2009-03-06,68,58,0.00,0.0,0
2009-03-07,67,35,0.00,0.0,0
2009-03-08,59,31,0.00,0.0,0
2009-03-09,66,36,0.10,0.0,0
2009-03-10,61,39,0.00,0.0,0
2009-03-11,67,41,0.00,0.0,0
2009-03-12,70,45,0.00,0.0,0
2009-03-13,64,39,T,0.0,0
2009-03-14,67,38,0.00,0.0,0
2009-03-15,63,35,0.00,0.0,0
2009-03-16,67,38,0.00,0.0,0
2009-03-17,73,42,0.00,0.0,0
2009-03-18,79,44,0.00,0.0,0
2009-03-19,80,43,0.00,0.0,0
2009-03-20,80,49,0.00,0.0,0
2009-03-21,81,47,0.00,0.0,0
2009-03-22,80,54,0.00,0.0,0
2009-03-23,74,42,0.00,0.0,0
2009-03-24,60,34,0.00,0.0,0
2009-03-25,67,36,0.00,0.0,0
2009-03-26,69,47,0.00,0.0,0
2009-03-27,68,35,0.00,0.0,0
2009-03-28,60,32,0.00,0.0,0
2009-03-29,71,40,0.00,0.0,0
2009-03-30,72,49,0.00,0.0,0
2009-03-31,65,33,0.00,0.0,0
2009-04-01,70,41,0.00,0.0,0
2009-04-02,66,39,0.00,0.0,0
2009-04-03,73,47,0.00,0.0,0
2009-04-04,71,43,0.02,0.0,0
2009-04-05,60,33,0.00,0.0,0
2009-04-06,70,45,0.00,0.0,0
2009-04-07,72,51,0.00,0.0,0
2009-04-08,81,52,0.00,0.0,0
2009-04-09,71,43,0.00,0.0,0
2009-04-10,71,43,0.00,0.0,0
2009-04-11,75,39,0.20,0.0,0
2009-04-12,52,40,0.36,0.0,0
2009-04-13,65,41,0.00,0.0,0
2009-04-14,77,49,0.00,0.0,0
2009-04-15,78,51,0.00,0.0,0
2009-04-16,65,31,0.00,0.0,0
2009-04-17,59,34,0.00,0.0,0
2009-04-18,66,39,0.00,0.0,0
2009-04-19,77,48,0.00,0.0,0
2009-04-20,83,51,0.00,0.0,0
2009-04-21,84,50,0.00,0.0,0
2009-04-22,90,52,0.00,0.0,0
2009-04-23,86,58,0.00,0.0,0
2009-04-24,85,53,0.00,0.0,0
2009-04-25,82,51,0.00,0.0,0
2009-04-26,77,43,0.00,0.0,0
2009-04-27,74,42,0.00,0.0,0
2009-04-28,78,46,0.00,0.0,0
2009-04-29,82,48,0.00,0.0,0
2009-04-30,83,47,0.00,0.0,0
2009-05-01,86,50,0.00,0.0,0
2009-05-02,83,62,0.00,0.0,0
2009-05-03,78,55,0.00,0.0,0
2009-05-04,84,56,0.00,0.0,0
2009-05-05,85,57,0.00,0.0,0
2009-05-06,86,54,0.00,0.0,0
2009-05-07,92,58,0.00,0.0,0
2009-05-08,94,58,0.00,0.0,0
2009-05-09,94,61,0.00,0.0,0
2009-05-10,95,58,0.00,0.0,0
2009-05-11,94,62,0.00,0.0,0
2009-05-12,95,65,0.00,0.0,0
2009-05-13,92,58,0.00,0.0,0
2009-05-14,92,58,0.00,0.0,0
2009-05-15,94,57,0.00,0.0,0
2009-05-16,94,59,0.00,0.0,0
2009-05-17,96,69,0.00,0.0,0
2009-05-18,92,64,0.00,0.0,0
2009-05-19,96,69,0.00,0.0,0
