date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1948-07-01,111,74,0.00,0.0,0
1948-07-02,110,74,0.00,0.0,0
1948-07-03,106,71,0.00,0.0,0
1948-07-04,108,64,0.00,0.0,0
1948-07-05,108,72,0.00,0.0,0
1948-07-06,106,69,0.00,0.0,0
1948-07-07,108,71,0.00,0.0,0
1948-07-08,110,65,0.00,0.0,0
1948-07-09,111,65,0.00,0.0,0
1948-07-10,112,65,0.00,0.0,0
1948-07-11,111,65,0.00,0.0,0
1948-07-12,110,65,0.00,0.0,0
1948-07-13,111,70,0.00,0.0,0
1948-07-14,110,60,0.00,0.0,0
1948-07-15,110,66,0.00,0.0,0
1948-07-16,113,72,0.00,0.0,0
1948-07-17,108,75,0.00,0.0,0
1948-07-18,107,77,0.00,0.0,0
1948-07-19,110,77,0.00,0.0,0
1948-07-20,111,73,0.00,0.0,0
1948-07-21,101,74,0.00,0.0,0
1948-07-22,103,73,0.00,0.0,0
1948-07-23,88,74,0.00,0.0,0
1948-07-24,99,78,0.00,0.0,0
1948-07-25,101,73,0.23,0.0,0
1948-07-26,86,77,0.05,0.0,0
1948-07-27,105,76,0.00,0.0,0
1948-07-28,99,71,0.00,0.0,0
1948-07-29,104,66,0.00,0.0,0
1948-07-30,100,67,0.00,0.0,0
1948-07-31,M,M,0.00,0.0,0
1948-08-01,106,74,0.00,0.0,0
1948-08-02,103,76,0.00,0.0,0
1948-08-03,103,75,0.00,0.0,0
1948-08-04,102,77,0.00,0.0,0
1948-08-05,103,75,0.01,0.0,0
1948-08-06,103,72,0.00,0.0,0
1948-08-07,105,70,0.43,0.0,0
1948-08-08,97,72,0.00,0.0,0
1948-08-09,101,74,0.00,0.0,0
1948-08-10,103,73,0.00,0.0,0
1948-08-11,103,74,0.00,0.0,0
1948-08-12,103,75,0.00,0.0,0
1948-08-13,102,74,0.00,0.0,0
1948-08-14,103,73,0.00,0.0,0
1948-08-15,105,70,0.02,0.0,0
1948-08-16,104,69,0.00,0.0,0
1948-08-17,103,74,0.00,0.0,0
1948-08-18,108,76,0.00,0.0,0
1948-08-19,110,77,0.00,0.0,0
1948-08-20,106,77,0.00,0.0,0
1948-08-21,105,71,0.19,0.0,0
1948-08-22,100,70,0.00,0.0,0
1948-08-23,105,69,0.00,0.0,0
1948-08-24,105,70,0.00,0.0,0
1948-08-25,105,62,0.00,0.0,0
1948-08-26,104,67,0.00,0.0,0
1948-08-27,104,61,0.00,0.0,0
1948-08-28,106,65,0.00,0.0,0
1948-08-29,111,71,0.00,0.0,0
1948-08-30,114,72,0.00,0.0,0
1948-08-31,108,71,0.00,0.0,0
1948-09-01,106,73,0.00,0.0,0
1948-09-02,110,72,0.00,0.0,0
1948-09-03,112,67,0.00,0.0,0
1948-09-04,113,69,0.00,0.0,0
1948-09-05,110,71,0.00,0.0,0
1948-09-06,105,68,0.00,0.0,0
1948-09-07,106,69,0.00,0.0,0
1948-09-08,102,67,0.00,0.0,0
1948-09-09,107,69,0.00,0.0,0
1948-09-10,104,72,0.00,0.0,0
1948-09-11,102,70,0.00,0.0,0
1948-09-12,104,69,0.00,0.0,0
1948-09-13,103,69,0.00,0.0,0
1948-09-14,108,70,0.00,0.0,0
1948-09-15,107,74,0.00,0.0,0
1948-09-16,93,67,T,0.0,0
1948-09-17,95,68,0.00,0.0,0
1948-09-18,100,76,0.00,0.0,0
1948-09-19,101,65,0.00,0.0,0
1948-09-20,98,59,0.00,0.0,0
1948-09-21,100,56,0.00,0.0,0
1948-09-22,99,62,0.00,0.0,0
1948-09-23,96,57,0.00,0.0,0
1948-09-24,95,65,0.00,0.0,0
1948-09-25,94,60,0.00,0.0,0
1948-09-26,90,57,0.00,0.0,0
1948-09-27,99,63,T,0.0,0
1948-09-28,96,66,0.00,0.0,0
1948-09-29,97,65,0.00,0.0,0
1948-09-30,98,60,0.00,0.0,0
1948-10-01,95,61,0.00,0.0,0
1948-10-02,96,62,0.00,0.0,0
1948-10-03,98,62,0.00,0.0,0
1948-10-04,100,66,0.00,0.0,0
1948-10-05,97,56,0.00,0.0,0
1948-10-06,90,58,0.00,0.0,0
1948-10-07,91,57,0.00,0.0,0
1948-10-08,97,58,0.00,0.0,0
1948-10-09,99,60,0.00,0.0,0
1948-10-10,99,60,0.00,0.0,0
1948-10-11,94,60,0.00,0.0,0
1948-10-12,93,61,0.00,0.0,0
1948-10-13,95,61,0.00,0.0,0
1948-10-14,95,64,0.00,0.0,0
1948-10-15,89,54,0.00,0.0,0
1948-10-16,89,54,0.00,0.0,0
1948-10-17,91,61,0.00,0.0,0
1948-10-18,86,55,0.17,0.0,0
1948-10-19,74,53,0.01,0.0,0
1948-10-20,78,52,0.00,0.0,0
1948-10-21,82,52,0.00,0.0,0
1948-10-22,89,58,0.00,0.0,0
1948-10-23,87,54,0.00,0.0,0
1948-10-24,88,53,0.00,0.0,0
1948-10-25,87,55,0.00,0.0,0
1948-10-26,89,52,0.00,0.0,0
1948-10-27,89,57,0.00,0.0,0
1948-10-28,86,59,0.00,0.0,0
1948-10-29,80,56,0.00,0.0,0
1948-10-30,76,55,0.01,0.0,0
1948-10-31,74,40,0.15,0.0,0
1948-11-01,65,43,0.00,0.0,0
1948-11-02,76,48,0.00,0.0,0
1948-11-03,82,46,0.00,0.0,0
1948-11-04,81,46,0.00,0.0,0
1948-11-05,80,33,0.00,0.0,0
1948-11-06,72,34,0.00,0.0,0
1948-11-07,79,40,0.00,0.0,0
1948-11-08,75,33,0.00,0.0,0
1948-11-09,70,27,0.00,0.0,0
1948-11-10,68,33,0.00,0.0,0
1948-11-11,73,34,0.00,0.0,0
1948-11-12,73,36,0.00,0.0,0
1948-11-13,76,39,0.00,0.0,0
1948-11-14,80,38,0.00,0.0,0
1948-11-15,82,41,0.00,0.0,0
1948-11-16,79,39,0.00,0.0,0
1948-11-17,79,37,0.00,0.0,0
1948-11-18,79,38,0.00,0.0,0
1948-11-19,70,31,0.00,0.0,0
1948-11-20,66,28,0.00,0.0,0
1948-11-21,67,30,0.00,0.0,0
1948-11-22,67,33,0.00,0.0,0
1948-11-23,71,31,0.00,0.0,0
1948-11-24,69,33,0.00,0.0,0
1948-11-25,70,35,0.00,0.0,0
1948-11-26,69,33,0.00,0.0,0
1948-11-27,65,41,0.00,0.0,0
1948-11-28,61,28,0.00,0.0,0
1948-11-29,64,35,0.00,0.0,0
1948-11-30,74,28,0.00,0.0,0
1948-12-01,72,26,0.00,0.0,0
1948-12-02,67,28,0.00,0.0,0
1948-12-03,70,31,0.00,0.0,0
1948-12-04,73,36,0.00,0.0,0
1948-12-05,57,22,0.00,0.0,0
1948-12-06,60,31,0.00,0.0,0
1948-12-07,62,26,0.00,0.0,0
1948-12-08,62,29,0.00,0.0,0
1948-12-09,64,28,0.00,0.0,0
1948-12-10,75,38,0.00,0.0,0
1948-12-11,72,32,0.00,0.0,0
1948-12-12,71,36,0.00,0.0,0
1948-12-13,74,38,0.00,0.0,0
1948-12-14,74,41,0.00,0.0,0
1948-12-15,70,47,0.00,0.0,0
1948-12-16,63,40,0.00,0.0,0
1948-12-17,66,43,0.00,0.0,0
1948-12-18,66,46,0.00,0.0,0
1948-12-19,63,32,0.00,0.0,0
1948-12-20,63,29,0.00,0.0,0
1948-12-21,63,32,0.00,0.0,0
1948-12-22,59,40,0.07,0.0,0
1948-12-23,56,49,0.34,0.0,0
1948-12-24,55,29,0.14,0.0,0
1948-12-25,55,41,0.00,0.0,0
1948-12-26,56,47,0.22,0.0,0
1948-12-27,59,48,0.03,0.0,0
1948-12-28,56,31,0.07,0.0,0
1948-12-29,56,29,0.00,0.0,0
1948-12-30,62,37,0.00,0.0,0
1948-12-31,61,43,0.00,0.0,0
1949-01-01,58,40,0.03,0.0,0
1949-01-02,63,39,0.00,0.0,0
1949-01-03,54,26,0.01,0.0,0
1949-01-04,42,20,0.00,0.0,0
1949-01-05,42,20,0.00,0.0,0
1949-01-06,48,24,0.00,0.0,0
1949-01-07,59,32,0.00,0.0,0
1949-01-08,60,28,0.00,0.0,0
1949-01-09,60,32,0.00,0.0,0
1949-01-10,56,41,0.20,0.0,0
1949-01-11,53,41,0.05,0.0,0
1949-01-12,56,41,0.00,0.0,0
1949-01-13,63,43,0.25,0.0,0
1949-01-14,53,34,0.03,0.0,0
1949-01-15,52,34,0.00,0.0,0
1949-01-16,50,26,0.07,0.0,0
1949-01-17,48,26,0.00,0.0,0
1949-01-18,51,26,0.00,0.0,0
1949-01-19,44,28,0.00,0.0,0
1949-01-20,48,31,0.00,0.0,0
1949-01-21,54,31,0.00,0.0,0
1949-01-22,59,32,0.00,0.0,0
1949-01-23,68,36,0.00,0.0,0
1949-01-24,57,41,0.39,0.0,0
1949-01-25,48,40,0.53,0.0,0
1949-01-26,47,36,0.58,0.0,0
1949-01-27,48,30,0.00,0.0,0
1949-01-28,48,27,0.00,0.0,0
1949-01-29,51,30,0.00,0.0,0
1949-01-30,50,23,0.00,0.0,0
1949-01-31,47,25,0.00,0.0,0
1949-02-01,52,25,0.00,0.0,0
1949-02-02,59,26,0.00,0.0,0
1949-02-03,51,31,0.00,0.0,0
1949-02-04,57,28,0.00,0.0,0
1949-02-05,58,27,0.02,0.0,0
1949-02-06,57,28,0.00,0.0,0
1949-02-07,59,29,T,0.0,0
1949-02-08,58,37,0.04,0.0,0
1949-02-09,59,27,0.00,0.0,0
1949-02-10,59,28,0.00,0.0,0
1949-02-11,70,33,0.00,0.0,0
1949-02-12,66,42,0.00,0.0,0
1949-02-13,59,40,0.07,0.0,0
1949-02-14,53,32,0.00,0.0,0
