date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1923-12-01,M,M,0.38,M,M
1923-12-02,M,M,0.10,M,M
1923-12-03,M,M,0.00,0.0,0
1923-12-04,M,M,0.00,0.0,0
1923-12-05,M,M,0.00,0.0,0
1923-12-06,M,M,0.00,0.0,0
1923-12-07,M,M,0.00,0.0,0
1923-12-08,M,M,0.00,0.0,0
1923-12-09,M,M,0.00,0.0,0
1923-12-10,M,M,0.03,0.0,0
1923-12-11,M,M,0.00,0.0,0
1923-12-12,M,M,0.00,0.0,0
1923-12-13,M,M,0.00,0.0,0
1923-12-14,M,M,0.00,0.0,0
1923-12-15,M,M,0.00,0.0,0
1923-12-16,M,M,0.00,0.0,0
1923-12-17,M,M,0.00,0.0,0
1923-12-18,M,M,0.00,0.0,0
1923-12-19,M,M,1.03,0.0,0
1923-12-20,M,M,0.02,0.5,T
1923-12-21,M,M,0.00,0.0,0
1923-12-22,M,M,0.00,0.0,0
1923-12-23,M,M,0.00,0.0,0
1923-12-24,M,M,0.00,0.0,0
1923-12-25,M,M,0.00,0.0,0
1923-12-26,M,M,1.34,0.0,0
1923-12-27,M,M,0.37,0.0,0
1923-12-28,M,M,0.42,0.0,0
1923-12-29,M,M,0.00,0.0,0
1923-12-30,M,M,0.07,0.0,0
1923-12-31,M,M,0.00,0.0,0
1924-01-01,M,M,0.00,0.0,0
1924-01-02,M,M,0.00,0.0,0
1924-01-03,M,M,0.00,0.0,0
1924-01-04,M,M,0.00,0.0,0
1924-01-05,M,M,0.00,0.0,0
1924-01-06,M,M,0.00,0.0,0
1924-01-07,M,M,0.00,0.0,0
1924-01-08,M,M,0.00,0.0,0
1924-01-09,M,M,0.00,0.0,0
1924-01-10,M,M,0.00,0.0,0
1924-01-11,M,M,0.00,0.0,0
1924-01-12,M,M,0.00,0.0,0
1924-01-13,M,M,0.00,0.0,0
1924-01-14,M,M,0.00,0.0,0
1924-01-15,M,M,0.00,0.0,0
1924-01-16,M,M,0.00,0.0,0
1924-01-17,M,M,0.00,0.0,0
1924-01-18,M,M,0.00,0.0,0
1924-01-19,M,M,0.00,0.0,0
1924-01-20,M,M,0.00,0.0,0
1924-01-21,M,M,0.00,0.0,0
1924-01-22,M,M,0.00,0.0,0
1924-01-23,M,M,0.00,0.0,0
1924-01-24,M,M,0.00,0.0,0
1924-01-25,M,M,0.00,0.0,0
1924-01-26,M,M,0.00,0.0,0
1924-01-27,M,M,0.00,0.0,0
1924-01-28,M,M,0.00,0.0,0
1924-01-29,M,M,0.00,0.0,0
1924-01-30,M,M,0.00,0.0,0
1924-01-31,M,M,0.00,0.0,0
1924-02-01,M,M,0.00,0.0,0
1924-02-02,M,M,0.00,0.0,0
1924-02-03,M,M,0.00,0.0,0
1924-02-04,M,M,0.00,0.0,0
1924-02-05,M,M,0.00,0.0,0
1924-02-06,M,M,0.00,0.0,0
1924-02-07,M,M,0.00,0.0,0
1924-02-08,M,M,0.00,0.0,0
1924-02-09,M,M,0.00,0.0,0
1924-02-10,M,M,0.00,0.0,0
1924-02-11,M,M,0.00,0.0,0
1924-02-12,M,M,0.00,0.0,0
1924-02-13,M,M,0.00,0.0,0
1924-02-14,M,M,0.00,0.0,0
1924-02-15,M,M,0.00,0.0,0
1924-02-16,M,M,0.00,0.0,0
1924-02-17,M,M,0.00,0.0,0
1924-02-18,M,M,0.00,0.0,0
1924-02-19,M,M,0.00,0.0,0
1924-02-20,M,M,0.00,0.0,0
1924-02-21,M,M,0.00,0.0,0
1924-02-22,M,M,0.00,0.0,0
1924-02-23,M,M,0.00,0.0,0
1924-02-24,M,M,0.00,0.0,0
1924-02-25,M,M,0.00,0.0,0
1924-02-26,M,M,0.00,0.0,0
1924-02-27,M,M,0.00,0.0,0
1924-02-28,M,M,0.00,0.0,0
1924-02-29,M,M,0.00,0.0,0
1924-03-01,M,M,0.00,0.0,0
1924-03-02,M,M,0.00,0.0,0
1924-03-03,M,M,0.00,0.0,0
1924-03-04,M,M,0.00,0.0,0
1924-03-05,M,M,0.00,0.0,0
1924-03-06,M,M,0.00,0.0,0
1924-03-07,M,M,0.00,0.0,0
1924-03-08,M,M,0.00,0.0,0
1924-03-09,M,M,0.00,0.0,0
1924-03-10,M,M,0.00,0.0,0
1924-03-11,M,M,0.00,0.0,0
1924-03-12,M,M,0.00,0.0,0
1924-03-13,M,M,0.00,0.0,0
1924-03-14,M,M,0.00,0.0,0
1924-03-15,M,M,0.01,0.0,0
1924-03-16,M,M,0.00,0.0,0
1924-03-17,M,M,0.00,0.0,0
1924-03-18,M,M,0.38,0.0,0
1924-03-19,M,M,0.00,0.0,0
1924-03-20,M,M,0.00,0.0,0
1924-03-21,M,M,T,0.0,0
1924-03-22,M,M,0.00,0.0,0
1924-03-23,M,M,0.00,0.0,0
1924-03-24,M,M,0.00,0.0,0
1924-03-25,M,M,0.00,0.0,0
1924-03-26,M,M,0.00,0.0,0
1924-03-27,M,M,0.65,0.0,0
1924-03-28,M,M,0.00,0.0,0
1924-03-29,M,M,0.00,0.0,0
1924-03-30,M,M,0.00,0.0,0
1924-03-31,M,M,0.00,0.0,0
1924-04-01,M,M,0.00,0.0,0
1924-04-02,M,M,0.02,0.0,0
1924-04-03,M,M,0.00,0.0,0
1924-04-04,M,M,0.00,0.0,0
1924-04-05,M,M,0.00,0.0,0
1924-04-06,M,M,0.15,0.0,0
1924-04-07,M,M,0.00,0.0,0
1924-04-08,M,M,0.00,0.0,0
1924-04-09,M,M,0.00,0.0,0
1924-04-10,M,M,0.00,0.0,0
1924-04-11,M,M,0.10,0.0,0
1924-04-12,M,M,0.00,0.0,0
1924-04-13,M,M,0.00,0.0,0
1924-04-14,M,M,0.00,0.0,0
1924-04-15,M,M,0.00,0.0,0
1924-04-16,M,M,0.00,0.0,0
