date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1948-09-01,112,83,0.00,0.0,0
1948-09-02,118,85,0.00,0.0,0
1948-09-03,116,84,0.00,0.0,0
1948-09-04,113,83,0.00,0.0,0
1948-09-05,109,79,0.00,0.0,0
1948-09-06,107,78,0.00,0.0,0
1948-09-07,107,76,0.00,0.0,0
1948-09-08,110,77,0.00,0.0,0
1948-09-09,111,79,0.00,0.0,0
1948-09-10,110,84,0.00,0.0,0
1948-09-11,107,80,0.00,0.0,0
1948-09-12,106,82,0.00,0.0,0
1948-09-13,108,81,0.00,0.0,0
1948-09-14,109,80,0.00,0.0,0
1948-09-15,92,75,T,0.0,0
1948-09-16,98,73,T,0.0,0
1948-09-17,101,76,0.00,0.0,0
1948-09-18,103,78,0.00,0.0,0
1948-09-19,99,74,0.00,0.0,0
1948-09-20,102,65,0.00,0.0,0
1948-09-21,102,67,0.00,0.0,0
1948-09-22,96,73,0.00,0.0,0
1948-09-23,95,63,0.00,0.0,0
1948-09-24,94,70,0.00,0.0,0
1948-09-25,84,64,0.00,0.0,0
1948-09-26,90,61,0.00,0.0,0
1948-09-27,97,66,0.00,0.0,0
1948-09-28,103,68,0.00,0.0,0
1948-09-29,104,71,0.00,0.0,0
1948-09-30,102,72,0.00,0.0,0
1948-10-01,101,71,0.00,0.0,0
1948-10-02,104,71,0.00,0.0,0
1948-10-03,106,73,0.00,0.0,0
1948-10-04,96,71,0.00,0.0,0
1948-10-05,94,64,0.00,0.0,0
1948-10-06,94,67,0.00,0.0,0
1948-10-07,99,71,0.00,0.0,0
1948-10-08,100,70,0.00,0.0,0
1948-10-09,98,70,0.00,0.0,0
1948-10-10,96,68,0.00,0.0,0
1948-10-11,95,67,0.00,0.0,0
1948-10-12,89,70,0.03,0.0,0
1948-10-13,92,67,0.00,0.0,0
1948-10-14,89,63,0.00,0.0,0
1948-10-15,90,59,0.00,0.0,0
1948-10-16,92,61,0.00,0.0,0
1948-10-17,76,60,0.88,0.0,0
1948-10-18,73,60,0.34,0.0,0
1948-10-19,81,58,0.00,0.0,0
1948-10-20,86,60,0.00,0.0,0
1948-10-21,88,61,0.00,0.0,0
1948-10-22,92,66,0.00,0.0,0
1948-10-23,92,67,0.00,0.0,0
1948-10-24,91,67,0.00,0.0,0
1948-10-25,90,63,0.00,0.0,0
1948-10-26,90,62,0.00,0.0,0
1948-10-27,88,64,0.00,0.0,0
1948-10-28,78,59,0.00,0.0,0
1948-10-29,78,63,0.00,0.0,0
1948-10-30,71,53,0.00,0.0,0
1948-10-31,75,48,0.00,0.0,0
1948-11-01,77,53,0.00,0.0,0
1948-11-02,85,55,0.00,0.0,0
1948-11-03,86,55,0.00,0.0,0
1948-11-04,74,59,0.00,0.0,0
1948-11-05,74,51,0.00,0.0,0
1948-11-06,78,50,0.00,0.0,0
1948-11-07,75,49,0.00,0.0,0
1948-11-08,68,51,0.00,0.0,0
1948-11-09,72,45,0.00,0.0,0
1948-11-10,74,46,0.00,0.0,0
1948-11-11,75,45,0.00,0.0,0
1948-11-12,75,48,0.00,0.0,0
1948-11-13,79,50,0.00,0.0,0
1948-11-14,81,50,0.00,0.0,0
1948-11-15,82,47,0.00,0.0,0
1948-11-16,82,48,0.00,0.0,0
1948-11-17,81,49,0.00,0.0,0
1948-11-18,69,52,0.00,0.0,0
1948-11-19,71,43,0.00,0.0,0
1948-11-20,70,43,0.00,0.0,0
1948-11-21,70,50,0.00,0.0,0
1948-11-22,71,47,0.00,0.0,0
1948-11-23,74,42,0.00,0.0,0
1948-11-24,77,42,0.00,0.0,0
1948-11-25,74,47,0.00,0.0,0
1948-11-26,70,47,0.00,0.0,0
1948-11-27,61,48,0.00,0.0,0
1948-11-28,66,42,0.00,0.0,0
1948-11-29,70,42,0.00,0.0,0
1948-11-30,72,42,0.00,0.0,0
1948-12-01,70,40,0.00,0.0,0
1948-12-02,69,42,0.00,0.0,0
1948-12-03,72,38,0.00,0.0,0
1948-12-04,62,44,0.00,0.0,0
1948-12-05,62,36,0.00,0.0,0
1948-12-06,68,39,0.00,0.0,0
1948-12-07,69,37,0.00,0.0,0
1948-12-08,68,43,0.00,0.0,0
1948-12-09,72,44,0.00,0.0,0
1948-12-10,72,41,0.00,0.0,0
1948-12-11,72,38,0.00,0.0,0
1948-12-12,74,44,0.00,0.0,0
1948-12-13,73,42,0.00,0.0,0
1948-12-14,67,49,T,0.0,0
1948-12-15,62,40,0.00,0.0,0
1948-12-16,62,36,0.00,0.0,0
1948-12-17,60,43,0.08,0.0,0
1948-12-18,62,45,0.01,0.0,0
1948-12-19,62,42,0.00,0.0,0
1948-12-20,65,36,0.00,0.0,0
1948-12-21,62,41,0.00,0.0,0
1948-12-22,57,51,0.18,0.0,0
1948-12-23,58,42,0.00,0.0,0
1948-12-24,58,35,0.00,0.0,0
1948-12-25,56,39,0.00,0.0,0
1948-12-26,62,41,0.00,0.0,0
1948-12-27,63,45,0.04,0.0,0
1948-12-28,62,37,0.00,0.0,0
1948-12-29,64,39,0.00,0.0,0
1948-12-30,61,49,T,0.0,0
1948-12-31,63,51,T,0.0,0
1949-01-01,67,40,0.00,0.0,0
1949-01-02,61,45,0.00,0.0,0
1949-01-03,46,34,0.00,0.0,0
1949-01-04,46,29,0.00,0.0,0
1949-01-05,50,30,0.00,0.0,0
1949-01-06,60,36,0.00,0.0,0
1949-01-07,62,37,0.00,0.0,0
1949-01-08,61,30,0.00,0.0,0
1949-01-09,63,39,T,0.0,0
1949-01-10,55,40,0.00,0.0,0
1949-01-11,59,41,0.08,0.0,0
1949-01-12,53,39,1.58,0.0,0
1949-01-13,59,38,0.34,0.0,0
1949-01-14,58,36,0.00,0.0,0
1949-01-15,58,39,T,0.0,0
1949-01-16,52,35,0.00,0.0,0
1949-01-17,53,37,0.00,0.0,0
1949-01-18,47,35,0.00,0.0,0
1949-01-19,56,34,0.00,0.0,0
1949-01-20,62,42,0.00,0.0,0
1949-01-21,65,38,0.00,0.0,0
1949-01-22,62,45,0.00,0.0,0
1949-01-23,61,45,T,0.0,0
1949-01-24,51,40,0.76,0.0,0
1949-01-25,50,38,0.07,0.0,0
1949-01-26,55,33,0.00,0.0,0
1949-01-27,58,34,0.00,0.0,0
1949-01-28,56,35,0.00,0.0,0
1949-01-29,54,38,0.00,0.0,0
1949-01-30,55,33,0.00,0.0,0
1949-01-31,56,32,0.00,0.0,0
1949-02-01,58,33,0.00,0.0,0
1949-02-02,61,39,T,0.0,0
1949-02-03,60,36,0.00,0.0,0
1949-02-04,61,39,0.00,0.0,0
1949-02-05,63,36,0.00,0.0,0
1949-02-06,65,37,0.00,0.0,0
1949-02-07,63,39,0.00,0.0,0
1949-02-08,62,45,0.00,0.0,0
1949-02-09,62,37,0.00,0.0,0
1949-02-10,67,39,0.00,0.0,0
1949-02-11,70,37,0.00,0.0,0
1949-02-12,60,46,0.00,0.0,0
1949-02-13,60,34,0.00,0.0,0
1949-02-14,58,39,0.00,0.0,0
1949-02-15,61,33,0.00,0.0,0
1949-02-16,70,39,0.00,0.0,0
1949-02-17,75,46,0.00,0.0,0
1949-02-18,78,45,0.00,0.0,0
1949-02-19,77,44,0.00,0.0,0
1949-02-20,75,46,0.00,0.0,0
1949-02-21,78,45,0.00,0.0,0
1949-02-22,82,48,0.00,0.0,0
1949-02-23,84,49,0.00,0.0,0
1949-02-24,83,52,0.00,0.0,0
1949-02-25,74,50,0.00,0.0,0
1949-02-26,76,46,0.00,0.0,0
1949-02-27,68,50,0.02,0.0,0
1949-02-28,70,43,0.00,0.0,0
1949-03-01,72,47,0.00,0.0,0
1949-03-02,77,45,0.00,0.0,0
1949-03-03,77,47,0.00,0.0,0
1949-03-04,78,53,0.00,0.0,0
1949-03-05,74,54,0.00,0.0,0
1949-03-06,77,49,0.00,0.0,0
1949-03-07,71,52,0.00,0.0,0
1949-03-08,70,49,0.00,0.0,0
1949-03-09,76,45,0.00,0.0,0
1949-03-10,80,49,0.00,0.0,0
1949-03-11,77,53,0.00,0.0,0
1949-03-12,75,45,0.00,0.0,0
1949-03-13,80,45,0.00,0.0,0
1949-03-14,85,47,0.00,0.0,0
1949-03-15,87,55,0.00,0.0,0
1949-03-16,84,54,0.00,0.0,0
1949-03-17,84,50,0.00,0.0,0
1949-03-18,87,50,0.00,0.0,0
1949-03-19,87,52,0.00,0.0,0
1949-03-20,77,55,0.00,0.0,0
1949-03-21,82,50,0.00,0.0,0
1949-03-22,80,54,0.00,0.0,0
1949-03-23,69,48,0.00,0.0,0
1949-03-24,69,42,0.02,0.0,0
1949-03-25,73,46,0.02,0.0,0
1949-03-26,76,46,0.00,0.0,0
1949-03-27,84,49,0.00,0.0,0
1949-03-28,77,53,0.00,0.0,0
1949-03-29,70,45,0.00,0.0,0
1949-03-30,74,44,0.00,0.0,0
1949-03-31,66,47,T,0.0,0
1949-04-01,74,48,T,0.0,0
1949-04-02,73,47,0.00,0.0,0
1949-04-03,80,49,0.00,0.0,0
1949-04-04,85,53,0.00,0.0,0
1949-04-05,89,55,0.00,0.0,0
1949-04-06,88,59,0.00,0.0,0
1949-04-07,87,61,T,0.0,0
1949-04-08,84,54,0.00,0.0,0
1949-04-09,87,58,0.00,0.0,0
1949-04-10,92,57,0.00,0.0,0
1949-04-11,90,64,0.00,0.0,0
1949-04-12,94,64,0.00,0.0,0
1949-04-13,92,55,0.00,0.0,0
1949-04-14,93,57,0.00,0.0,0
