date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1948-09-01,M,M,M,0.0,0
1948-09-02,M,M,M,0.0,0
1948-09-03,M,M,M,0.0,0
1948-09-04,M,M,M,0.0,0
1948-09-05,M,M,M,0.0,0
1948-09-06,M,M,0.00,0.0,0
1948-09-07,M,M,0.04,0.0,0
1948-09-08,M,M,0.57,0.0,0
1948-09-09,M,M,0.00,0.0,0
1948-09-10,M,M,0.00,0.0,0
1948-09-11,M,M,0.00,0.0,0
1948-09-12,M,M,0.00,0.0,0
1948-09-13,M,M,0.00,0.0,0
1948-09-14,M,M,0.00,0.0,0
1948-09-15,M,M,0.00,0.0,0
1948-09-16,M,M,0.00,0.0,0
1948-09-17,M,M,0.00,0.0,0
1948-09-18,M,M,0.00,0.0,0
1948-09-19,M,M,0.00,0.0,0
1948-09-20,M,M,0.00,0.0,0
1948-09-21,M,M,0.00,0.0,0
1948-09-22,M,M,0.00,0.0,0
1948-09-23,M,M,0.00,0.0,0
1948-09-24,M,M,0.00,0.0,0
1948-09-25,M,M,0.00,0.0,0
1948-09-26,M,M,0.00,0.0,0
1948-09-27,M,M,0.00,0.0,0
1948-09-28,M,M,0.12,0.0,0
1948-09-29,M,M,0.89,0.0,0
1948-09-30,M,M,1.98,0.0,0
1948-10-01,M,M,0.12,0.0,0
1948-10-02,M,M,0.09,0.0,0
1948-10-03,M,M,0.00,0.0,0
1948-10-04,M,M,1.65,0.0,0
1948-10-05,M,M,0.75,0.0,0
1948-10-06,M,M,0.00,0.0,0
1948-10-07,M,M,0.00,0.0,0
1948-10-08,M,M,0.03,0.0,0
1948-10-09,M,M,0.00,0.0,0
1948-10-10,M,M,0.00,0.0,0
1948-10-11,M,M,0.40,0.0,0
1948-10-12,M,M,0.00,0.0,0
1948-10-13,M,M,0.00,0.0,0
1948-10-14,M,M,0.00,0.0,0
1948-10-15,M,M,0.00,0.0,0
1948-10-16,M,M,0.00,0.0,0
1948-10-17,M,M,0.00,0.0,0
1948-10-18,M,M,0.27,0.0,0
1948-10-19,M,M,0.00,0.0,0
1948-10-20,M,M,0.00,0.0,0
1948-10-21,M,M,0.00,0.0,0
1948-10-22,M,M,0.00,0.0,0
1948-10-23,M,M,0.00,0.0,0
1948-10-24,M,M,0.00,0.0,0
1948-10-25,M,M,0.00,0.0,0
1948-10-26,M,M,0.00,0.0,0
1948-10-27,M,M,0.00,0.0,0
1948-10-28,M,M,0.00,0.0,0
1948-10-29,M,M,0.00,0.0,0
1948-10-30,M,M,0.00,0.0,0
1948-10-31,M,M,0.03,0.0,0
1948-11-01,M,M,0.00,0.0,0
1948-11-02,M,M,0.00,0.0,0
1948-11-03,M,M,0.39,0.0,0
1948-11-04,M,M,0.04,0.0,0
1948-11-05,M,M,0.09,0.0,0
1948-11-06,M,M,0.45,0.0,0
1948-11-07,M,M,0.00,0.0,0
1948-11-08,M,M,0.00,0.0,0
1948-11-09,M,M,0.00,0.0,0
1948-11-10,M,M,0.04,0.0,0
1948-11-11,M,M,0.00,0.0,0
1948-11-12,M,M,0.00,0.0,0
1948-11-13,M,M,0.00,0.0,0
1948-11-14,M,M,0.00,0.0,0
1948-11-15,M,M,0.00,0.0,0
1948-11-16,M,M,0.00,0.0,0
1948-11-17,M,M,1.46,0.0,0
1948-11-18,M,M,0.00,0.0,0
1948-11-19,M,M,0.74,0.0,0
1948-11-20,M,M,0.04,0.0,0
1948-11-21,M,M,0.00,0.0,0
1948-11-22,M,M,0.18,0.0,0
1948-11-23,M,M,0.46,0.0,0
1948-11-24,M,M,0.05,0.0,0
1948-11-25,M,M,0.04,0.0,0
1948-11-26,M,M,0.05,0.0,0
1948-11-27,M,M,0.34,0.0,0
1948-11-28,M,M,1.66,0.0,0
1948-11-29,M,M,0.06,0.0,0
1948-11-30,M,M,0.00,0.0,0
1948-12-01,M,M,0.00,0.0,0
1948-12-02,M,M,0.06,0.0,0
1948-12-03,M,M,0.49,0.0,0
1948-12-04,M,M,0.00,0.0,0
1948-12-05,M,M,0.00,0.0,0
1948-12-06,M,M,0.00,0.0,0
1948-12-07,M,M,0.25,0.0,0
1948-12-08,M,M,0.03,0.0,0
1948-12-09,M,M,0.13,0.0,0
1948-12-10,M,M,0.00,0.0,0
1948-12-11,M,M,0.00,0.0,0
1948-12-12,M,M,0.02,0.0,0
1948-12-13,M,M,0.00,0.0,0
1948-12-14,M,M,0.00,0.0,0
1948-12-15,M,M,0.00,0.0,0
1948-12-16,M,M,0.00,0.0,0
1948-12-17,M,M,0.04,0.0,0
1948-12-18,M,M,0.41,0.0,0
1948-12-19,M,M,0.54,0.0,0
1948-12-20,M,M,0.00,0.0,0
1948-12-21,M,M,0.00,0.0,0
1948-12-22,M,M,0.00,0.0,0
1948-12-23,M,M,0.00,0.0,0
1948-12-24,M,M,0.19,0.0,0
1948-12-25,M,M,0.80,0.0,0
1948-12-26,M,M,0.00,0.0,0
1948-12-27,M,M,0.00,0.0,0
1948-12-28,M,M,0.00,0.0,0
1948-12-29,M,M,0.00,0.0,0
1948-12-30,M,M,0.55,0.0,0
1948-12-31,M,M,0.00,0.0,0
1949-01-01,50,31,0.00,0.0,0
1949-01-02,51,24,0.00,0.0,0
1949-01-03,52,28,0.00,0.0,0
1949-01-04,57,41,0.00,0.0,0
1949-01-05,69,48,0.46,0.0,0
1949-01-06,65,44,0.53,0.0,0
1949-01-07,62,31,0.00,0.0,0
1949-01-08,58,33,0.00,0.0,0
1949-01-09,74,40,0.00,0.0,0
1949-01-10,77,41,0.00,0.0,0
1949-01-11,69,44,0.00,0.0,0
1949-01-12,58,38,0.00,0.0,0
1949-01-13,62,30,0.00,0.0,0
1949-01-14,68,37,0.00,0.0,0
1949-01-15,58,34,0.00,0.0,0
1949-01-16,65,36,0.00,0.0,0
1949-01-17,76,54,0.00,0.0,0
1949-01-18,67,54,0.00,0.0,0
1949-01-19,66,52,0.09,0.0,0
1949-01-20,63,40,0.00,0.0,0
1949-01-21,43,38,0.00,0.0,0
1949-01-22,60,38,0.00,0.0,0
1949-01-23,58,47,0.00,0.0,0
1949-01-24,73,50,0.00,0.0,0
1949-01-25,73,53,0.00,0.0,0
1949-01-26,76,52,0.00,0.0,0
1949-01-27,72,57,0.00,0.0,0
1949-01-28,65,53,0.10,0.0,0
1949-01-29,57,40,0.00,0.0,0
1949-01-30,43,29,0.50,0.0,0
1949-01-31,40,28,0.02,0.0,0
1949-02-01,55,34,0.00,0.0,0
1949-02-02,47,26,0.00,0.0,0
