date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1897-06-12,82,49,M,M,M
1897-06-13,85,53,M,M,M
1897-06-14,83,50,M,M,M
1897-06-15,74,31,M,M,M
1897-06-16,51,28,0.15,M,M
1897-06-17,53,30,0.11,M,M
1897-06-18,65,40,M,M,M
1897-06-19,76,48,M,M,M
1897-06-20,78,40,M,M,M
1897-06-21,83,52,M,M,M
1897-06-22,76,50,M,M,M
1897-06-23,68,38,M,M,M
1897-06-24,78,51,M,M,M
1897-06-25,73,49,M,M,M
1897-06-26,80,51,T,M,M
1897-06-27,72,38,T,M,M
1897-06-28,68,39,T,M,M
1897-06-29,76,47,M,M,M
1897-06-30,78,45,M,M,M
1897-07-01,78,46,0.00,M,M
1897-07-02,56,33,0.18,M,M
1897-07-03,52,28,T,M,M
1897-07-04,61,39,0.00,M,M
1897-07-05,62,40,0.00,M,M
1897-07-06,68,38,0.00,M,M
1897-07-07,72,42,0.00,M,M
1897-07-08,76,41,0.00,M,M
1897-07-09,76,45,0.00,M,M
1897-07-10,85,56,0.00,M,M
1897-07-11,87,54,0.00,M,M
1897-07-12,89,58,0.00,M,M
1897-07-13,84,53,0.00,M,M
1897-07-14,78,37,1.84,M,M
1897-07-15,76,43,0.00,M,M
1897-07-16,77,51,0.00,M,M
1897-07-17,75,40,0.05,M,M
1897-07-18,54,38,0.00,M,M
1897-07-19,56,40,0.19,M,M
1897-07-20,81,52,0.00,M,M
1897-07-21,78,44,0.00,M,M
1897-07-22,76,45,0.00,M,M
1897-07-23,74,40,T,M,M
1897-07-24,87,53,T,M,M
1897-07-25,84,54,T,M,M
1897-07-26,80,50,0.00,M,M
1897-07-27,69,49,T,M,M
1897-07-28,90,56,T,M,M
1897-07-29,85,51,0.00,M,M
1897-07-30,80,52,T,M,M
1897-07-31,84,52,0.00,M,M
1897-08-01,76,53,0.00,M,M
1897-08-02,78,57,0.50,M,M
1897-08-03,81,54,0.71,M,M
1897-08-04,84,48,0.20,M,M
1897-08-05,83,49,0.00,M,M
1897-08-06,87,56,0.00,M,M
1897-08-07,81,60,0.00,M,M
1897-08-08,80,60,0.00,M,M
1897-08-09,74,49,0.00,M,M
1897-08-10,86,53,0.00,M,M
1897-08-11,81,60,0.00,M,M
1897-08-12,84,58,0.00,M,M
1897-08-13,86,59,0.00,M,M
1897-08-14,83,49,0.00,M,M
1897-08-15,81,53,0.00,M,M
1897-08-16,82,54,0.00,M,M
1897-08-17,82,50,0.00,M,M
1897-08-18,83,48,0.00,M,M
1897-08-19,84,50,0.00,M,M
1897-08-20,82,51,0.00,M,M
1897-08-21,82,47,0.00,M,M
1897-08-22,86,46,0.00,M,M
1897-08-23,80,39,0.00,M,M
1897-08-24,79,37,T,M,M
1897-08-25,78,31,0.00,M,M
1897-08-26,82,42,0.00,M,M
1897-08-27,84,41,0.00,M,M
1897-08-28,79,40,0.00,M,M
1897-08-29,81,38,0.00,M,M
1897-08-30,82,37,0.00,M,M
1897-08-31,80,36,0.00,M,M
1897-09-01,78,37,M,M,M
1897-09-02,81,36,M,M,M
1897-09-03,82,39,M,M,M
1897-09-04,74,34,M,M,M
1897-09-05,76,37,M,M,M
1897-09-06,79,38,M,M,M
1897-09-07,74,32,M,M,M
1897-09-08,81,41,M,M,M
1897-09-09,80,40,M,M,M
1897-09-10,73,39,M,M,M
1897-09-11,72,39,M,M,M
1897-09-12,76,40,M,M,M
1897-09-13,70,47,M,M,M
1897-09-14,73,48,M,M,M
1897-09-15,74,36,M,M,M
1897-09-16,70,34,M,M,M
1897-09-17,60,35,M,M,M
1897-09-18,69,36,M,M,M
1897-09-19,65,39,M,M,M
1897-09-20,68,41,M,M,M
1897-09-21,63,42,M,M,M
1897-09-22,68,39,M,M,M
1897-09-23,64,40,M,M,M
1897-09-24,74,36,M,M,M
1897-09-25,76,38,M,M,M
1897-09-26,62,32,M,M,M
1897-09-27,67,31,M,M,M
1897-09-28,62,31,M,M,M
1897-09-29,61,28,M,M,M
1897-09-30,64,31,M,M,M
1897-10-01,65,34,M,M,M
1897-10-02,59,30,M,M,M
1897-10-03,64,29,M,M,M
1897-10-04,63,27,M,M,M
1897-10-05,67,28,M,M,M
1897-10-06,69,42,M,M,M
1897-10-07,62,35,M,M,M
1897-10-08,46,31,M,M,M
1897-10-09,55,32,M,M,M
1897-10-10,52,33,M,M,M
1897-10-11,41,31,M,M,M
1897-10-12,40,30,M,M,M
1897-10-13,54,28,M,M,M
1897-10-14,61,32,M,M,M
1897-10-15,41,22,M,M,M
1897-10-16,40,27,M,M,M
1897-10-17,46,28,M,M,M
1897-10-18,39,20,M,M,M
1897-10-19,48,19,M,M,M
1897-10-20,47,22,M,M,M
1897-10-21,49,31,M,M,M
1897-10-22,37,26,M,M,M
1897-10-23,38,28,M,M,M
1897-10-24,48,18,M,M,M
1897-10-25,51,14,M,M,M
1897-10-26,33,-6,M,M,M
1897-10-27,31,14,M,M,M
1897-10-28,34,20,M,M,M
1897-10-29,38,15,M,M,M
1897-10-30,39,12,M,M,M
