date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-02-26,22,-7,M,M,M
1998-02-27,21,-9,M,M,M
1998-02-28,19,-5,M,M,M
1998-03-01,30,-1,M,M,M
1998-03-02,21,-0,M,M,M
1998-03-03,27,10,M,M,M
1998-03-04,23,-11,M,M,M
1998-03-05,16,-16,M,M,M
1998-03-06,21,6,M,M,M
1998-03-07,14,-17,M,M,M
1998-03-08,10,-19,M,M,M
1998-03-09,27,-6,M,M,M
1998-03-10,31,-7,M,M,M
1998-03-11,31,3,M,M,M
1998-03-12,32,-3,M,M,M
1998-03-13,34,-3,M,M,M
1998-03-14,38,6,M,M,M
1998-03-15,35,6,M,M,M
1998-03-16,37,8,M,M,M
1998-03-17,35,17,M,M,M
1998-03-18,36,21,M,M,M
1998-03-19,34,13,M,M,M
1998-03-20,33,4,M,M,M
1998-03-21,39,8,M,M,M
1998-03-22,45,21,M,M,M
1998-03-23,44,28,M,M,M
1998-03-24,53,30,M,M,M
1998-03-25,47,32,M,M,M
1998-03-26,49,31,M,M,M
1998-03-27,43,27,M,M,M
1998-03-28,39,21,M,M,M
1998-03-29,30,22,M,M,M
1998-03-30,35,18,M,M,M
1998-03-31,42,16,M,M,M
1998-04-01,44,22,0.00,M,M
1998-04-02,45,29,0.03,M,0
1998-04-03,45,30,0.01,M,0
1998-04-04,45,24,0.01,M,M
1998-04-05,45,22,0.00,M,M
1998-04-06,44,26,0.00,M,M
1998-04-07,46,19,0.00,M,M
1998-04-08,43,18,0.00,M,0
1998-04-09,45,18,0.00,M,0
1998-04-10,52,20,0.00,M,0
1998-04-11,58,23,T,M,M
1998-04-12,40,21,T,M,0
1998-04-13,40,20,T,M,M
1998-04-14,41,25,T,M,M
1998-04-15,38,14,0.36,M,M
1998-04-16,43,12,0.00,M,0
1998-04-17,39,21,T,M,0
1998-04-18,45,15,0.00,M,M
1998-04-19,45,21,0.00,M,M
1998-04-20,54,23,0.00,M,M
1998-04-21,58,18,0.00,M,M
1998-04-22,65,22,0.00,M,M
1998-04-23,70,28,T,M,M
1998-04-24,54,29,T,M,M
1998-04-25,52,22,0.00,M,M
1998-04-26,56,26,0.00,M,0
1998-04-27,53,24,0.00,M,0
1998-04-28,60,23,0.00,M,M
1998-04-29,65,21,0.00,M,M
1998-04-30,68,28,0.00,M,M
1998-05-01,69,27,0.00,M,0
1998-05-02,67,29,T,M,M
1998-05-03,70,30,0.00,M,M
1998-05-04,62,26,0.07,M,M
1998-05-05,55,38,0.04,M,M
1998-05-06,52,35,0.14,M,M
1998-05-07,62,33,T,M,M
1998-05-08,64,32,0.00,M,M
1998-05-09,52,34,T,M,M
1998-05-10,53,33,T,M,M
1998-05-11,51,27,T,M,M
1998-05-12,59,24,T,M,M
1998-05-13,48,30,0.09,M,M
1998-05-14,50,26,T,M,M
1998-05-15,53,30,T,M,M
1998-05-16,62,26,T,M,M
1998-05-17,57,32,0.00,M,M
1998-05-18,62,27,0.00,M,M
1998-05-19,69,25,0.00,M,M
1998-05-20,71,36,T,M,M
1998-05-21,59,34,0.30,M,M
1998-05-22,51,31,0.01,M,M
1998-05-23,55,29,T,M,M
1998-05-24,63,27,0.00,M,M
1998-05-25,68,29,T,M,M
1998-05-26,67,34,T,M,M
1998-05-27,61,29,0.00,M,M
1998-05-28,69,30,0.00,M,M
1998-05-29,74,33,0.00,M,M
1998-05-30,61,35,0.00,M,M
1998-05-31,68,27,0.00,M,M
1998-06-01,70,33,T,M,M
1998-06-02,70,34,T,M,M
1998-06-03,63,36,T,M,M
1998-06-04,M,M,0.14,M,0
1998-06-05,51,33,T,M,M
1998-06-06,54,28,T,M,M
1998-06-07,52,40,0.12,M,M
1998-06-08,58,35,0.21,M,M
1998-06-09,53,40,0.24,M,M
1998-06-10,59,40,T,M,M
1998-06-11,62,35,0.00,M,M
1998-06-12,67,35,0.00,M,M
1998-06-13,63,45,0.11,M,M
1998-06-14,60,37,0.05,M,M
1998-06-15,59,34,0.04,M,M
1998-06-16,56,33,T,M,M
1998-06-17,44,36,0.20,M,M
1998-06-18,62,35,0.00,M,M
1998-06-19,68,36,0.01,M,M
1998-06-20,65,30,0.00,M,M
1998-06-21,68,33,0.00,M,M
1998-06-22,72,39,0.10,M,M
1998-06-23,64,38,0.01,M,M
1998-06-24,66,38,0.00,M,M
1998-06-25,70,41,T,M,M
1998-06-26,61,41,T,M,M
1998-06-27,65,30,0.00,M,M
1998-06-28,76,28,T,M,M
1998-06-29,80,41,0.00,M,0
1998-06-30,80,38,0.00,M,M
1998-07-01,85,43,0.00,M,M
1998-07-02,85,43,0.00,M,M
1998-07-03,84,42,0.00,M,M
1998-07-04,83,45,T,M,M
1998-07-05,81,40,0.00,M,M
1998-07-06,80,40,0.00,M,M
1998-07-07,75,40,0.00,M,M
1998-07-08,80,38,0.00,M,M
1998-07-09,83,44,0.00,M,M
1998-07-10,M,M,0.12,M,M
1998-07-11,82,46,0.01,M,M
1998-07-12,81,39,0.00,M,M
1998-07-13,86,39,0.00,M,0
1998-07-14,85,44,0.00,M,M
1998-07-15,86,42,0.00,M,0
1998-07-16,88,40,0.00,M,M
1998-07-18,93,52,0.00,M,0
1998-07-19,92,43,0.00,M,M
1998-07-20,86,47,0.00,M,M
1998-07-21,82,58,T,M,M
1998-07-22,81,47,0.00,M,M
1998-07-23,81,48,T,M,M
1998-07-24,73,56,0.09,M,M
1998-07-25,78,57,0.36,M,M
1998-07-26,78,54,0.00,M,M
1998-07-27,81,49,T,M,M
1998-07-28,76,54,0.02,M,M
1998-07-29,81,54,0.00,M,M
1998-07-30,73,48,0.15,M,M
1998-07-31,77,44,0.03,M,M
1998-08-01,76,40,0.00,M,M
1998-08-02,73,40,0.00,M,M
1998-08-03,78,44,0.00,M,M
1998-08-04,77,40,0.00,M,M
1998-08-05,83,45,0.00,M,M
1998-08-06,92,45,0.00,M,M
1998-08-07,94,46,0.02,M,M
1998-08-08,88,54,0.21,M,M
1998-08-09,103,57,T,M,M
1998-08-10,M,60,0.01,M,M
1998-08-11,97,49,T,M,M
1998-08-12,82,43,0.06,M,M
1998-08-13,84,42,0.00,M,M
1998-08-14,85,46,0.00,M,M
1998-08-15,82,44,T,M,M
1998-08-16,83,51,0.07,M,M
1998-08-17,75,53,0.48,M,M
1998-08-18,68,48,0.09,M,M
1998-08-19,76,46,T,M,M
1998-08-20,77,41,T,M,M
1998-08-21,77,43,0.03,M,M
1998-08-22,81,45,T,M,M
1998-08-23,82,36,0.00,M,M
1998-08-24,77,35,0.00,M,M
1998-08-25,78,32,0.10,M,M
1998-08-26,68,41,0.03,M,M
1998-08-27,75,35,T,M,M
1998-08-28,80,35,0.00,M,M
1998-08-29,80,40,0.00,M,M
1998-08-30,83,40,0.00,M,M
1998-08-31,76,45,T,M,M
1998-09-01,78,36,T,M,M
1998-09-02,84,37,T,M,M
1998-09-03,85,40,T,M,M
1998-09-04,85,40,0.00,M,M
1998-09-05,77,50,0.01,M,M
1998-09-06,82,53,0.00,M,M
1998-09-07,82,46,0.00,M,M
1998-09-08,80,40,T,M,M
1998-09-09,79,40,T,M,M
1998-09-10,66,48,0.05,M,M
1998-09-11,75,41,0.14,M,M
1998-09-12,66,45,0.01,M,M
1998-09-13,71,43,0.01,M,M
1998-09-14,74,35,0.00,M,M
1998-09-15,76,37,0.00,M,M
1998-09-16,78,36,0.00,M,M
1998-09-17,79,38,0.00,M,M
1998-09-18,76,45,T,M,M
1998-09-19,60,35,0.00,M,M
1998-09-20,53,37,0.01,M,M
1998-09-21,53,39,0.07,M,M
1998-09-22,61,35,T,M,M
1998-09-23,65,28,T,M,M
1998-09-24,67,28,0.00,M,M
1998-09-25,62,35,0.05,M,M
1998-09-26,58,35,0.05,M,M
1998-09-27,68,28,0.00,M,M
1998-09-28,71,30,0.00,M,M
1998-09-29,74,26,0.00,M,M
1998-09-30,71,33,T,M,0
1998-10-01,66,33,T,M,M
1998-10-02,61,33,0.01,M,M
1998-10-03,44,32,0.81,M,M
1998-10-04,42,30,0.00,M,M
1998-10-05,49,28,0.00,M,M
1998-10-06,62,32,0.00,M,M
1998-10-07,64,25,0.00,M,M
1998-10-08,66,23,0.00,M,M
1998-10-09,61,21,0.00,M,M
1998-10-10,59,22,T,M,M
1998-10-11,54,17,0.00,M,M
1998-10-12,64,20,0.00,M,M
1998-10-13,69,25,0.00,M,M
1998-10-14,59,22,0.00,M,M
1998-10-15,51,33,0.06,M,M
1998-10-16,42,30,0.10,M,M
1998-10-17,49,23,0.00,M,M
1998-10-18,51,20,0.00,M,M
1998-10-19,54,17,0.00,M,M
1998-10-20,53,18,0.00,M,M
1998-10-21,58,15,0.00,M,M
1998-10-22,57,25,T,M,M
1998-10-23,52,22,T,M,M
1998-10-24,54,19,0.00,M,M
1998-10-25,56,31,0.03,M,M
1998-10-26,60,29,T,M,M
1998-10-27,54,25,0.05,M,M
1998-10-28,51,32,0.00,M,M
1998-10-29,48,25,0.05,M,M
1998-10-30,40,33,0.09,M,M
1998-10-31,46,24,0.00,M,M
1998-11-01,47,21,0.00,M,M
1998-11-02,46,23,0.03,M,M
1998-11-03,41,21,T,M,M
1998-11-04,39,15,0.00,M,M
1998-11-05,42,25,0.00,M,M
1998-11-06,34,9,0.15,M,M
1998-11-07,24,-1,T,M,M
1998-11-08,33,4,T,M,M
1998-11-09,31,2,0.00,M,M
1998-11-10,27,2,T,M,M
1998-11-11,31,-0,0.00,M,M
1998-11-12,29,-1,0.00,M,M
1998-11-13,39,11,0.00,M,M
1998-11-14,45,14,0.00,M,M
1998-11-15,49,19,0.00,M,M
1998-11-16,44,15,0.00,M,M
1998-11-17,44,22,T,M,M
1998-11-18,39,16,T,M,M
1998-11-19,34,9,T,M,M
1998-11-20,35,5,0.00,M,M
1998-11-21,47,18,0.00,M,M
1998-11-22,44,19,0.07,M,M
1998-11-23,37,17,0.00,M,M
1998-11-24,41,14,0.07,M,M
1998-11-25,37,8,0.00,M,M
1998-11-26,41,8,0.00,M,M
1998-11-27,43,11,0.00,M,M
1998-11-28,41,22,T,M,M
1998-11-29,42,24,T,M,M
1998-11-30,45,24,T,M,M
1998-12-01,47,18,0.00,M,M
1998-12-02,47,23,0.00,M,M
1998-12-03,51,21,0.00,M,M
1998-12-04,40,14,T,M,M
1998-12-05,22,-2,0.00,M,M
