date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1948-08-01,75,43,0.00,0.0,0
1948-08-02,76,32,0.00,0.0,0
1948-08-03,80,31,T,0.0,0
1948-08-04,75,45,0.32,0.0,0
1948-08-05,73,48,0.09,0.0,0
1948-08-06,76,33,0.00,0.0,0
1948-08-07,80,33,T,0.0,0
1948-08-08,71,42,0.02,0.0,0
1948-08-09,73,34,0.00,0.0,0
1948-08-10,76,32,0.00,0.0,0
1948-08-11,79,30,0.00,0.0,0
1948-08-12,79,30,0.00,0.0,0
1948-08-13,80,31,0.00,0.0,0
1948-08-14,83,30,0.00,0.0,0
1948-08-15,83,30,0.00,0.0,0
1948-08-16,83,31,0.00,0.0,0
1948-08-17,85,31,0.00,0.0,0
1948-08-18,84,35,0.00,0.0,0
1948-08-19,79,39,0.00,0.0,0
1948-08-20,74,24,0.00,0.0,0
1948-08-21,80,23,0.00,0.0,0
1948-08-22,74,44,0.08,0.0,0
1948-08-23,76,34,0.09,0.0,0
1948-08-24,71,26,0.00,0.0,0
1948-08-25,74,23,0.00,0.0,0
1948-08-26,78,28,0.00,0.0,0
1948-08-27,82,32,0.00,0.0,0
1948-08-28,86,27,0.00,0.0,0
1948-08-29,87,29,0.00,0.0,0
1948-08-30,86,35,0.00,0.0,0
1948-08-31,84,31,0.00,0.0,0
1948-09-01,85,37,0.01,0.0,0
1948-09-02,86,27,0.00,0.0,0
1948-09-03,83,26,0.00,0.0,0
1948-09-04,80,30,0.00,0.0,0
1948-09-05,72,26,0.00,0.0,0
1948-09-06,71,23,0.00,0.0,0
1948-09-07,67,24,0.00,0.0,0
1948-09-08,70,22,0.00,0.0,0
1948-09-09,75,22,0.00,0.0,0
1948-09-10,80,21,0.00,0.0,0
1948-09-11,80,21,0.00,0.0,0
1948-09-12,79,24,0.00,0.0,0
1948-09-13,82,21,0.00,0.0,0
1948-09-14,84,22,0.00,0.0,0
1948-09-15,78,28,0.00,0.0,0
