date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1989-09-01,79,28,0.00,0.0,0
1989-09-02,77,33,0.00,0.0,M
1989-09-03,77,29,0.00,0.0,M
1989-09-04,71,22,0.00,0.0,M
1989-09-05,76,28,0.00,0.0,M
1989-09-06,80,32,0.00,0.0,M
1989-09-07,76,38,0.00,0.0,M
1989-09-08,77,45,0.07,0.0,M
1989-09-09,55,40,0.41,0.0,M
1989-09-10,51,34,0.13,0.0,M
1989-09-11,58,25,0.00,0.0,M
1989-09-12,59,29,T,0.0,M
1989-09-13,59,24,T,0.0,M
1989-09-14,67,26,0.00,0.0,M
1989-09-15,75,26,0.00,0.0,M
1989-09-16,75,26,0.00,0.0,M
1989-09-17,76,37,0.00,0.0,M
1989-09-18,75,43,0.20,0.0,M
1989-09-19,60,34,0.00,0.0,M
1989-09-20,69,39,0.11,0.0,M
1989-09-21,48,38,0.31,0.0,M
1989-09-22,63,33,0.00,0.0,M
1989-09-23,65,30,0.00,0.0,M
1989-09-24,69,30,0.00,0.0,M
1989-09-25,74,31,0.00,0.0,M
1989-09-26,74,34,0.00,0.0,M
1989-09-27,72,40,0.00,0.0,M
1989-09-28,66,33,T,0.0,M
1989-09-29,76,32,0.00,0.0,M
1989-09-30,76,30,0.00,0.0,M
1989-10-01,71,37,0.00,0.0,0
1989-10-02,56,28,0.00,0.0,M
1989-10-03,58,33,0.00,0.0,M
1989-10-04,58,30,T,0.0,M
1989-10-05,48,22,0.00,0.0,M
1989-10-06,57,24,0.00,0.0,M
1989-10-07,60,20,0.00,0.0,M
1989-10-08,62,23,0.00,0.0,M
1989-10-09,68,28,0.00,0.0,M
1989-10-10,69,24,0.00,0.0,M
1989-10-11,71,27,0.00,0.0,M
1989-10-12,66,24,0.00,0.0,M
1989-10-13,70,25,0.00,0.0,M
1989-10-14,71,25,0.00,0.0,M
1989-10-15,65,29,0.00,0.0,M
1989-10-16,57,29,0.00,0.0,M
1989-10-17,57,18,T,T,M
1989-10-18,51,14,0.00,M,M
1989-10-19,53,15,0.00,M,M
1989-10-20,52,14,0.00,M,M
1989-10-21,63,19,0.00,M,M
1989-10-22,56,30,0.01,M,M
1989-10-23,55,28,T,M,M
1989-10-24,60,33,T,M,M
1989-10-25,62,35,0.00,M,M
1989-10-26,62,32,0.07,M,M
1989-10-27,42,11,0.00,M,M
1989-10-28,46,13,0.16,3.0,M
1989-10-29,28,19,0.03,0.5,M
1989-10-30,31,1,0.00,M,M
1989-10-31,40,9,0.00,M,0
1989-11-01,32,2,0.01,M,0
1989-11-02,32,2,0.00,M,M
1989-11-03,46,13,0.00,M,M
1989-11-04,45,26,0.00,M,M
1989-11-05,47,17,0.05,T,M
1989-11-06,46,17,M,M,M
1989-11-07,40,21,T,T,T
